s,C,C,C,C,C,C,C,C,C,C,C,C
 7.1715963E+000, 6.2738327E+001, 3.6097184E+001, 2.2457479E+001, 1.4476482E+001, 7.3441100E+001, 4.1481495E+001, 2.5233975E+001, 1.6026820E+001, 7.3779770E+001, 4.2572433E+001, 2.6382491E+001, 1.6978966E+001
 7.3708074E+000, 6.2738327E+001, 3.6097184E+001, 2.2457479E+001, 1.4476482E+001, 7.3441100E+001, 4.1481495E+001, 2.5233975E+001, 1.6026820E+001, 7.3779770E+001, 4.2572433E+001, 2.6382491E+001, 1.6978966E+001
 7.5700184E+000, 6.2961908E+001, 3.6208459E+001, 2.2497730E+001, 1.4476323E+001, 7.5852650E+001, 4.2950551E+001, 2.6161040E+001, 1.6624998E+001, 7.4650267E+001, 4.3144950E+001, 2.6759567E+001, 1.7225112E+001
 7.7692294E+000, 6.2961908E+001, 3.6208459E+001, 2.2497730E+001, 1.4476323E+001, 7.5852650E+001, 4.2950551E+001, 2.6161040E+001, 1.6624998E+001, 7.4650267E+001, 4.3144950E+001, 2.6759567E+001, 1.7225112E+001
 7.9684404E+000, 6.3090860E+001, 3.6326384E+001, 2.2548040E+001, 1.4470440E+001, 7.8019081E+001, 4.4298936E+001, 2.7023063E+001, 1.7179043E+001, 7.5321667E+001, 4.3620395E+001, 2.7081083E+001, 1.7425791E+001
 8.1676514E+000, 6.3090860E+001, 3.6326384E+001, 2.2548040E+001, 1.4470440E+001, 7.8019081E+001, 4.4298936E+001, 2.7023063E+001, 1.7179043E+001, 7.5321667E+001, 4.3620395E+001, 2.7081083E+001, 1.7425791E+001
 8.3668624E+000, 6.3149724E+001, 3.6433697E+001, 2.2605835E+001, 1.4459741E+001, 7.9960565E+001, 4.5531546E+001, 2.7819293E+001, 1.7691014E+001, 7.5835616E+001, 4.4014468E+001, 2.7355800E+001, 1.7588083E+001
 8.5660734E+000, 6.3149724E+001, 3.6433697E+001, 2.2605835E+001, 1.4459741E+001, 7.9960565E+001, 4.5531546E+001, 2.7819293E+001, 1.7691014E+001, 7.5835616E+001, 4.4014468E+001, 2.7355800E+001, 1.7588083E+001
 8.7652844E+000, 6.3180816E+001, 3.6520197E+001, 2.2664065E+001, 1.4447319E+001, 8.1714945E+001, 4.6661113E+001, 2.8556792E+001, 1.8165299E+001, 7.6221809E+001, 4.4339445E+001, 2.7584406E+001, 1.7719921E+001
 8.9644954E+000, 6.3180816E+001, 3.6520197E+001, 2.2664065E+001, 1.4447319E+001, 8.1714945E+001, 4.6661113E+001, 2.8556792E+001, 1.8165299E+001, 7.6221809E+001, 4.4339445E+001, 2.7584406E+001, 1.7719921E+001
 9.1637064E+000, 6.3215469E+001, 3.6586479E+001, 2.2715055E+001, 1.4437067E+001, 8.3291966E+001, 4.7687891E+001, 2.9237320E+001, 1.8602524E+001, 7.6531143E+001, 4.4605635E+001, 2.7775594E+001, 1.7828302E+001
 9.3629174E+000, 6.3215469E+001, 3.6586479E+001, 2.2715055E+001, 1.4437067E+001, 8.3291966E+001, 4.7687891E+001, 2.9237320E+001, 1.8602524E+001, 7.6531143E+001, 4.4605635E+001, 2.7775594E+001, 1.7828302E+001
 9.5621285E+000, 6.3262745E+001, 3.6636692E+001, 2.2753913E+001, 1.4432971E+001, 8.4710878E+001, 4.8629204E+001, 2.9859617E+001, 1.9009935E+001, 7.6787121E+001, 4.4823153E+001, 2.7933630E+001, 1.7919783E+001
 9.7613395E+000, 6.3262745E+001, 3.6636692E+001, 2.2753913E+001, 1.4432971E+001, 8.4710878E+001, 4.8629204E+001, 2.9859617E+001, 1.9009935E+001, 7.6787121E+001, 4.4823153E+001, 2.7933630E+001, 1.7919783E+001
 9.9605505E+000, 6.3296175E+001, 3.6666873E+001, 2.2782500E+001, 1.4438775E+001, 8.5989448E+001, 4.9485095E+001, 3.0435014E+001, 1.9390318E+001, 7.7000114E+001, 4.4994186E+001, 2.8064280E+001, 1.8000374E+001
 1.0159761E+001, 6.3296175E+001, 3.6666873E+001, 2.2782500E+001, 1.4438775E+001, 8.5989448E+001, 4.9485095E+001, 3.0435014E+001, 1.9390318E+001, 7.7000114E+001, 4.4994186E+001, 2.8064280E+001, 1.8000374E+001
 1.0358972E+001, 6.3326278E+001, 3.6693110E+001, 2.2804711E+001, 1.4454223E+001, 8.7144773E+001, 5.0272761E+001, 3.0965702E+001, 1.9745208E+001, 7.7177964E+001, 4.5137506E+001, 2.8172843E+001, 1.8073000E+001
 1.0558184E+001, 6.3326278E+001, 3.6693110E+001, 2.2804711E+001, 1.4454223E+001, 8.7144773E+001, 5.0272761E+001, 3.0965702E+001, 1.9745208E+001, 7.7177964E+001, 4.5137506E+001, 2.8172843E+001, 1.8073000E+001
 1.0757395E+001, 6.3368498E+001, 3.6725468E+001, 2.2823116E+001, 1.4476712E+001, 8.8177392E+001, 5.0989753E+001, 3.1451778E+001, 2.0074750E+001, 7.7313830E+001, 4.5260682E+001, 2.8263391E+001, 1.8135408E+001
 1.0956606E+001, 6.3368498E+001, 3.6725468E+001, 2.2823116E+001, 1.4476712E+001, 8.8177392E+001, 5.0989753E+001, 3.1451778E+001, 2.0074750E+001, 7.7313830E+001, 4.5260682E+001, 2.8263391E+001, 1.8135408E+001
 1.1155817E+001, 6.3420847E+001, 3.6757962E+001, 2.2839124E+001, 1.4505197E+001, 8.9117407E+001, 5.1645512E+001, 3.1900143E+001, 2.0382448E+001, 7.7431446E+001, 4.5365099E+001, 2.8339389E+001, 1.8193329E+001
 1.1355028E+001, 6.3420847E+001, 3.6757962E+001, 2.2839124E+001, 1.4505197E+001, 8.9117407E+001, 5.1645512E+001, 3.1900143E+001, 2.0382448E+001, 7.7431446E+001, 4.5365099E+001, 2.8339389E+001, 1.8193329E+001
 1.1554239E+001, 6.3449576E+001, 3.6783961E+001, 2.2850606E+001, 1.4538829E+001, 8.9938280E+001, 5.2243611E+001, 3.2312051E+001, 2.0670462E+001, 7.7516402E+001, 4.5451003E+001, 2.8401461E+001, 1.8248652E+001
 1.1753450E+001, 6.3449576E+001, 3.6783961E+001, 2.2850606E+001, 1.4538829E+001, 8.9938280E+001, 5.2243611E+001, 3.2312051E+001, 2.0670462E+001, 7.7516402E+001, 4.5451003E+001, 2.8401461E+001, 1.8248652E+001
 1.1952661E+001, 6.3431941E+001, 3.6802772E+001, 2.2856878E+001, 1.4577139E+001, 9.0667202E+001, 5.2783798E+001, 3.2690355E+001, 2.0940416E+001, 7.7561399E+001, 4.5520947E+001, 2.8451336E+001, 1.8302489E+001
 1.2151872E+001, 6.3431941E+001, 3.6802772E+001, 2.2856878E+001, 1.4577139E+001, 9.0667202E+001, 5.2783798E+001, 3.2690355E+001, 2.0940416E+001, 7.7561399E+001, 4.5520947E+001, 2.8451336E+001, 1.8302489E+001
 1.2351083E+001, 6.3383852E+001, 3.6814908E+001, 2.2861579E+001, 1.4619011E+001, 9.1316050E+001, 5.3276007E+001, 3.3039198E+001, 2.1193520E+001, 7.7577943E+001, 4.5576924E+001, 2.8492759E+001, 1.8355171E+001
 1.2550294E+001, 6.3383852E+001, 3.6814908E+001, 2.2861579E+001, 1.4619011E+001, 9.1316050E+001, 5.3276007E+001, 3.3039198E+001, 2.1193520E+001, 7.7577943E+001, 4.5576924E+001, 2.8492759E+001, 1.8355171E+001
 1.2749505E+001, 6.3336102E+001, 3.6817290E+001, 2.2868501E+001, 1.4660187E+001, 9.1888364E+001, 5.3722263E+001, 3.3358216E+001, 2.1429442E+001, 7.7583922E+001, 4.5618341E+001, 2.8528935E+001, 1.8404846E+001
 1.2927328E+001, 6.3336102E+001, 3.6817290E+001, 2.2868501E+001, 1.4660187E+001, 9.1888364E+001, 5.3722263E+001, 3.3358216E+001, 2.1429442E+001, 7.7583922E+001, 4.5618341E+001, 2.8528935E+001, 1.8404846E+001
 1.3105151E+001, 6.3313931E+001, 3.6805228E+001, 2.2877340E+001, 1.4687836E+001, 9.2357240E+001, 5.4081725E+001, 3.3622133E+001, 2.1623087E+001, 7.7592770E+001, 4.5640037E+001, 2.8557975E+001, 1.8441729E+001
 1.3282974E+001, 6.3313931E+001, 3.6805228E+001, 2.2877340E+001, 1.4687836E+001, 9.2357240E+001, 5.4081725E+001, 3.3622133E+001, 2.1623087E+001, 7.7592770E+001, 4.5640037E+001, 2.8557975E+001, 1.8441729E+001
 1.3460797E+001, 6.3316459E+001, 3.6780528E+001, 2.2888601E+001, 1.4706449E+001, 9.2789390E+001, 5.4409152E+001, 3.3868494E+001, 2.1802496E+001, 7.7609840E+001, 4.5649346E+001, 2.8584992E+001, 1.8472685E+001
 1.3638620E+001, 6.3316459E+001, 3.6780528E+001, 2.2888601E+001, 1.4706449E+001, 9.2789390E+001, 5.4409152E+001, 3.3868494E+001, 2.1802496E+001, 7.7609840E+001, 4.5649346E+001, 2.8584992E+001, 1.8472685E+001
 1.3816443E+001, 6.3333523E+001, 3.6751298E+001, 2.2899081E+001, 1.4719572E+001, 9.3183983E+001, 5.4709095E+001, 3.4096723E+001, 2.1969501E+001, 7.7630978E+001, 4.5651270E+001, 2.8608471E+001, 1.8498919E+001
 1.3994266E+001, 6.3333523E+001, 3.6751298E+001, 2.2899081E+001, 1.4719572E+001, 9.3183983E+001, 5.4709095E+001, 3.4096723E+001, 2.1969501E+001, 7.7630978E+001, 4.5651270E+001, 2.8608471E+001, 1.8498919E+001
 1.4172089E+001, 6.3354011E+001, 3.6722805E+001, 2.2899668E+001, 1.4729143E+001, 9.3529835E+001, 5.4975971E+001, 3.4304314E+001, 2.2125474E+001, 7.7652226E+001, 4.5648541E+001, 2.8623185E+001, 1.8521251E+001
 1.4349912E+001, 6.3354011E+001, 3.6722805E+001, 2.2899668E+001, 1.4729143E+001, 9.3529835E+001, 5.4975971E+001, 3.4304314E+001, 2.2125474E+001, 7.7652226E+001, 4.5648541E+001, 2.8623185E+001, 1.8521251E+001
 1.4527735E+001, 6.3378567E+001, 3.6698062E+001, 2.2885358E+001, 1.4737663E+001, 9.3852999E+001, 5.5224140E+001, 3.4492502E+001, 2.2271789E+001, 7.7676131E+001, 4.5643874E+001, 2.8627265E+001, 1.8541273E+001
 1.4705558E+001, 6.3378567E+001, 3.6698062E+001, 2.2885358E+001, 1.4737663E+001, 9.3852999E+001, 5.5224140E+001, 3.4492502E+001, 2.2271789E+001, 7.7676131E+001, 4.5643874E+001, 2.8627265E+001, 1.8541273E+001
 1.4883381E+001, 6.3416744E+001, 3.6681529E+001, 2.2859878E+001, 1.4747665E+001, 9.4154835E+001, 5.5454061E+001, 3.4664092E+001, 2.2409524E+001, 7.7708951E+001, 4.5640944E+001, 2.8622942E+001, 1.8560484E+001
 1.5061204E+001, 6.3416744E+001, 3.6681529E+001, 2.2859878E+001, 1.4747665E+001, 9.4154835E+001, 5.5454061E+001, 3.4664092E+001, 2.2409524E+001, 7.7708951E+001, 4.5640944E+001, 2.8622942E+001, 1.8560484E+001
 1.5239028E+001, 6.3471476E+001, 3.6678121E+001, 2.2832322E+001, 1.4761486E+001, 9.4436714E+001, 5.5668969E+001, 3.4822694E+001, 2.2539934E+001, 7.7751798E+001, 4.5643497E+001, 2.8615160E+001, 1.8580476E+001
 1.5416851E+001, 6.3471476E+001, 3.6678121E+001, 2.2832322E+001, 1.4761486E+001, 9.4436714E+001, 5.5668969E+001, 3.4822694E+001, 2.2539934E+001, 7.7751798E+001, 4.5643497E+001, 2.8615160E+001, 1.8580476E+001
 1.5612456E+001, 6.3537954E+001, 3.6692444E+001, 2.2812965E+001, 1.4781983E+001, 9.4710426E+001, 5.5881783E+001, 3.4979661E+001, 2.2670225E+001, 7.7802837E+001, 4.5655426E+001, 2.8610112E+001, 1.8603745E+001
 1.5808061E+001, 6.3537954E+001, 3.6692444E+001, 2.2812965E+001, 1.4781983E+001, 9.4710426E+001, 5.5881783E+001, 3.4979661E+001, 2.2670225E+001, 7.7802837E+001, 4.5655426E+001, 2.8610112E+001, 1.8603745E+001
 1.6003667E+001, 6.3615964E+001, 3.6727587E+001, 2.2811410E+001, 1.4811317E+001, 9.4966630E+001, 5.6092629E+001, 3.5136145E+001, 2.2800585E+001, 7.7864350E+001, 4.5679547E+001, 2.8613200E+001, 1.8631887E+001
 1.6199272E+001, 6.3615964E+001, 3.6727587E+001, 2.2811410E+001, 1.4811317E+001, 9.4966630E+001, 5.6092629E+001, 3.5136145E+001, 2.2800585E+001, 7.7864350E+001, 4.5679547E+001, 2.8613200E+001, 1.8631887E+001
 1.6394877E+001, 6.3702052E+001, 3.6782269E+001, 2.2834593E+001, 1.4849342E+001, 9.5208570E+001, 5.6293211E+001, 3.5283588E+001, 2.2925593E+001, 7.7933008E+001, 4.5716404E+001, 2.8629586E+001, 1.8664782E+001
 1.6590483E+001, 6.3702052E+001, 3.6782269E+001, 2.2834593E+001, 1.4849342E+001, 9.5208570E+001, 5.6293211E+001, 3.5283588E+001, 2.2925593E+001, 7.7933008E+001, 4.5716404E+001, 2.8629586E+001, 1.8664782E+001
 1.6786088E+001, 6.3772174E+001, 3.6855991E+001, 2.2889638E+001, 1.4896017E+001, 9.5422987E+001, 5.6477936E+001, 3.5432281E+001, 2.3046189E+001, 7.7992299E+001, 4.5767016E+001, 2.8665341E+001, 1.8702986E+001
 1.6981694E+001, 6.3772174E+001, 3.6855991E+001, 2.2889638E+001, 1.4896017E+001, 9.5422987E+001, 5.6477936E+001, 3.5432281E+001, 2.3046189E+001, 7.7992299E+001, 4.5767016E+001, 2.8665341E+001, 1.8702986E+001
 1.7177299E+001, 6.3797203E+001, 3.6933615E+001, 2.2964127E+001, 1.4951896E+001, 9.5603401E+001, 5.6652459E+001, 3.5578589E+001, 2.3163598E+001, 7.8025103E+001, 4.5821684E+001, 2.8717748E+001, 1.8747423E+001
 1.7372904E+001, 6.3797203E+001, 3.6933615E+001, 2.2964127E+001, 1.4951896E+001, 9.5603401E+001, 5.6652459E+001, 3.5578589E+001, 2.3163598E+001, 7.8025103E+001, 4.5821684E+001, 2.8717748E+001, 1.8747423E+001
 1.7568510E+001, 6.3777789E+001, 3.6982787E+001, 2.3031065E+001, 1.4997263E+001, 9.5756152E+001, 5.6803110E+001, 3.5710292E+001, 2.3268123E+001, 7.8031766E+001, 4.5860934E+001, 2.8767779E+001, 1.8784951E+001
 1.7764115E+001, 6.3777789E+001, 3.6982787E+001, 2.3031065E+001, 1.4997263E+001, 9.5756152E+001, 5.6803110E+001, 3.5710292E+001, 2.3268123E+001, 7.8031766E+001, 4.5860934E+001, 2.8767779E+001, 1.8784951E+001
 1.7959720E+001, 6.3747202E+001, 3.6986836E+001, 2.3051542E+001, 1.5010346E+001, 9.5895518E+001, 5.6930131E+001, 3.5815853E+001, 2.3356519E+001, 7.8030451E+001, 4.5875992E+001, 2.8790891E+001, 1.8804554E+001
 1.8155326E+001, 6.3747202E+001, 3.6986836E+001, 2.3051542E+001, 1.5010346E+001, 9.5895518E+001, 5.6930131E+001, 3.5815853E+001, 2.3356519E+001, 7.8030451E+001, 4.5875992E+001, 2.8790891E+001, 1.8804554E+001
 1.8350931E+001, 6.3731379E+001, 3.6955632E+001, 2.3034553E+001, 1.4991717E+001, 9.6025464E+001, 5.7038806E+001, 3.5906244E+001, 2.3432178E+001, 7.8033087E+001, 4.5870757E+001, 2.8791254E+001, 1.8806650E+001
 1.8546537E+001, 6.3731379E+001, 3.6955632E+001, 2.3034553E+001, 1.4991717E+001, 9.6025464E+001, 5.7038806E+001, 3.5906244E+001, 2.3432178E+001, 7.8033087E+001, 4.5870757E+001, 2.8791254E+001, 1.8806650E+001
 1.8742142E+001, 6.3721122E+001, 3.6910832E+001, 2.3013583E+001, 1.4957665E+001, 9.6138584E+001, 5.7135239E+001, 3.5993357E+001, 2.3499887E+001, 7.8033012E+001, 4.5855177E+001, 2.8788223E+001, 1.8798699E+001
 1.8937747E+001, 6.3721122E+001, 3.6910832E+001, 2.3013583E+001, 1.4957665E+001, 9.6138584E+001, 5.7135239E+001, 3.5993357E+001, 2.3499887E+001, 7.8033012E+001, 4.5855177E+001, 2.8788223E+001, 1.8798699E+001
 1.9133353E+001, 6.3702647E+001, 3.6877302E+001, 2.3008541E+001, 1.4913853E+001, 9.6235348E+001, 5.7227286E+001, 3.6082789E+001, 2.3557303E+001, 7.8025398E+001, 4.5842890E+001, 2.8797137E+001, 1.8781028E+001
 1.9332564E+001, 6.3702647E+001, 3.6877302E+001, 2.3008541E+001, 1.4913853E+001, 9.6235348E+001, 5.7227286E+001, 3.6082789E+001, 2.3557303E+001, 7.8025398E+001, 4.5842890E+001, 2.8797137E+001, 1.8781028E+001
 1.9531775E+001, 6.3674361E+001, 3.6875432E+001, 2.3034558E+001, 1.4881557E+001, 9.6319609E+001, 5.7322530E+001, 3.6176000E+001, 2.3617457E+001, 7.8010284E+001, 4.5846104E+001, 2.8823041E+001, 1.8768615E+001
 1.9730986E+001, 6.3674361E+001, 3.6875432E+001, 2.3034558E+001, 1.4881557E+001, 9.6319609E+001, 5.7322530E+001, 3.6176000E+001, 2.3617457E+001, 7.8010284E+001, 4.5846104E+001, 2.8823041E+001, 1.8768615E+001
 1.9930197E+001, 6.3649848E+001, 3.6912685E+001, 2.3089928E+001, 1.4880411E+001, 9.6396926E+001, 5.7420785E+001, 3.6269908E+001, 2.3677475E+001, 7.7996396E+001, 4.5870340E+001, 2.8858086E+001, 1.8770679E+001
 2.0129408E+001, 6.3649848E+001, 3.6912685E+001, 2.3089928E+001, 1.4880411E+001, 9.6396926E+001, 5.7420785E+001, 3.6269908E+001, 2.3677475E+001, 7.7996396E+001, 4.5870340E+001, 2.8858086E+001, 1.8770679E+001
 2.0328619E+001, 6.3606982E+001, 3.6987045E+001, 2.3162992E+001, 1.4908320E+001, 9.6450630E+001, 5.7523756E+001, 3.6363378E+001, 2.3740708E+001, 7.7965920E+001, 4.5917416E+001, 2.8904150E+001, 1.8787265E+001
 2.0527830E+001, 6.3606982E+001, 3.6987045E+001, 2.3162992E+001, 1.4908320E+001, 9.6450630E+001, 5.7523756E+001, 3.6363378E+001, 2.3740708E+001, 7.7965920E+001, 4.5917416E+001, 2.8904150E+001, 1.8787265E+001
