m,kW/m2,C
 1.750E+00, 7.236E-01, 3.842E+01
 1.770E+00, 7.115E-01, 3.812E+01
 1.790E+00, 6.997E-01, 3.783E+01
 1.810E+00, 6.883E-01, 3.756E+01
 1.830E+00, 6.774E-01, 3.729E+01
 1.850E+00, 6.672E-01, 3.704E+01
 1.870E+00, 6.575E-01, 3.680E+01
 1.890E+00, 6.484E-01, 3.658E+01
 1.910E+00, 6.397E-01, 3.636E+01
 1.930E+00, 6.315E-01, 3.615E+01
 1.950E+00, 6.233E-01, 3.594E+01
 1.970E+00, 6.154E-01, 3.574E+01
 1.990E+00, 6.077E-01, 3.555E+01
 2.010E+00, 6.001E-01, 3.535E+01
 2.030E+00, 5.926E-01, 3.516E+01
 2.050E+00, 5.853E-01, 3.498E+01
 2.070E+00, 5.782E-01, 3.480E+01
 2.090E+00, 5.712E-01, 3.463E+01
 2.110E+00, 5.642E-01, 3.445E+01
 2.130E+00, 5.573E-01, 3.428E+01
 2.150E+00, 5.503E-01, 3.411E+01
 2.170E+00, 5.434E-01, 3.394E+01
 2.190E+00, 5.367E-01, 3.378E+01
 2.210E+00, 5.299E-01, 3.361E+01
 2.230E+00, 5.230E-01, 3.345E+01
 2.250E+00, 5.161E-01, 3.329E+01
 2.270E+00, 5.093E-01, 3.313E+01
 2.290E+00, 5.023E-01, 3.297E+01
 2.310E+00, 4.954E-01, 3.280E+01
 2.330E+00, 4.880E-01, 3.263E+01
 2.350E+00, 4.804E-01, 3.246E+01
 2.370E+00, 4.722E-01, 3.226E+01
 2.390E+00, 4.638E-01, 3.207E+01
 2.410E+00, 4.543E-01, 3.185E+01
 2.430E+00, 4.479E-01, 3.171E+01
