m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
 5.9375000E-001, 2.3992643E+001, 2.3978876E+001, 2.3988135E+001, 2.3997174E+001, 2.3978977E+001, 2.3987177E+001, 2.4000292E+001, 2.3979650E+001, 2.3986232E+001, 2.4001382E+001, 2.3976819E+001, 2.3987360E+001, 2.4001944E+001, 2.3973861E+001, 2.3988492E+001, 2.3996763E+001, 2.3977708E+001, 2.3988744E+001, 5.9375000E-001, 4.7410701E-002, 4.7148285E-002, 4.7473503E-002, 4.7446485E-002, 4.7130437E-002, 4.7429463E-002, 4.7535924E-002, 4.7173182E-002, 4.7430577E-002, 4.7574743E-002, 4.7129766E-002, 4.7456237E-002, 4.7568652E-002, 4.7152210E-002, 4.7464104E-002, 4.7481502E-002, 4.7197348E-002, 4.7481375E-002
 6.5625000E-001, 2.4044681E+001, 2.4031957E+001, 2.4040351E+001, 2.4046718E+001, 2.4031683E+001, 2.4039333E+001, 2.4051090E+001, 2.4032125E+001, 2.4037758E+001, 2.4053310E+001, 2.4030279E+001, 2.4038009E+001, 2.4053954E+001, 2.4027936E+001, 2.4039047E+001, 2.4049378E+001, 2.4031703E+001, 2.4039731E+001, 6.5625000E-001, 4.8270515E-002, 4.8074371E-002, 4.8423681E-002, 4.8316653E-002, 4.8032065E-002, 4.8414878E-002, 4.8419944E-002, 4.8060172E-002, 4.8389878E-002, 4.8468443E-002, 4.8018606E-002, 4.8404354E-002, 4.8453539E-002, 4.8040561E-002, 4.8412509E-002, 4.8344431E-002, 4.8099865E-002, 4.8402133E-002
 7.1875000E-001, 2.4089729E+001, 2.4077735E+001, 2.4082172E+001, 2.4089734E+001, 2.4077271E+001, 2.4081605E+001, 2.4093749E+001, 2.4077166E+001, 2.4080434E+001, 2.4096793E+001, 2.4075558E+001, 2.4080297E+001, 2.4098094E+001, 2.4073975E+001, 2.4081135E+001, 2.4094236E+001, 2.4077766E+001, 2.4081395E+001, 7.1875000E-001, 4.9057242E-002, 4.8896506E-002, 4.9178473E-002, 4.9084896E-002, 4.8848709E-002, 4.9181377E-002, 4.9162060E-002, 4.8851975E-002, 4.9156879E-002, 4.9215584E-002, 4.8810743E-002, 4.9164303E-002, 4.9218248E-002, 4.8831388E-002, 4.9177899E-002, 4.9126329E-002, 4.8900417E-002, 4.9158513E-002
 7.8125000E-001, 2.4127785E+001, 2.4116211E+001, 2.4113598E+001, 2.4126223E+001, 2.4115739E+001, 2.4113991E+001, 2.4128268E+001, 2.4114772E+001, 2.4114258E+001, 2.4131831E+001, 2.4112657E+001, 2.4114225E+001, 2.4134364E+001, 2.4111977E+001, 2.4114755E+001, 2.4131336E+001, 2.4115895E+001, 2.4113735E+001, 7.8125000E-001, 4.9770881E-002, 4.9614690E-002, 4.9737880E-002, 4.9751215E-002, 4.9580372E-002, 4.9728958E-002, 4.9762271E-002, 4.9548591E-002, 4.9731578E-002, 4.9816167E-002, 4.9506176E-002, 4.9736084E-002, 4.9862778E-002, 4.9524690E-002, 4.9760276E-002, 4.9827197E-002, 4.9599004E-002, 4.9750517E-002
 8.4375000E-001, 2.4156870E+001, 2.4144786E+001, 2.4138549E+001, 2.4154857E+001, 2.4144681E+001, 2.4139603E+001, 2.4155323E+001, 2.4143503E+001, 2.4140825E+001, 2.4158299E+001, 2.4141300E+001, 2.4140866E+001, 2.4161127E+001, 2.4140660E+001, 2.4141091E+001, 2.4159204E+001, 2.4144044E+001, 2.4139332E+001, 8.4375000E-001, 5.0326138E-002, 5.0150616E-002, 5.0182305E-002, 5.0286377E-002, 5.0137171E-002, 5.0171253E-002, 5.0259750E-002, 5.0097053E-002, 5.0188470E-002, 5.0303222E-002, 5.0059003E-002, 5.0197108E-002, 5.0365103E-002, 5.0065598E-002, 5.0218379E-002, 5.0364429E-002, 5.0126261E-002, 5.0210679E-002
 9.0625000E-001, 2.4176983E+001, 2.4163461E+001, 2.4157026E+001, 2.4175637E+001, 2.4164096E+001, 2.4158440E+001, 2.4174915E+001, 2.4163359E+001, 2.4160135E+001, 2.4176196E+001, 2.4161485E+001, 2.4160221E+001, 2.4178382E+001, 2.4160024E+001, 2.4160141E+001, 2.4177840E+001, 2.4162212E+001, 2.4158185E+001, 9.0625000E-001, 5.0723013E-002, 5.0504285E-002, 5.0511748E-002, 5.0690381E-002, 5.0519109E-002, 5.0508260E-002, 5.0654497E-002, 5.0497360E-002, 5.0527554E-002, 5.0676748E-002, 5.0469223E-002, 5.0547373E-002, 5.0725221E-002, 5.0454113E-002, 5.0552208E-002, 5.0738027E-002, 5.0482185E-002, 5.0538999E-002
 9.6875000E-001, 2.4185112E+001, 2.4172824E+001, 2.4166770E+001, 2.4184172E+001, 2.4173777E+001, 2.4168606E+001, 2.4183065E+001, 2.4173464E+001, 2.4170400E+001, 2.4183367E+001, 2.4172173E+001, 2.4170408E+001, 2.4184796E+001, 2.4170411E+001, 2.4169860E+001, 2.4184927E+001, 2.4171726E+001, 2.4167648E+001, 9.6875000E-001, 5.0905375E-002, 5.0712890E-002, 5.0667537E-002, 5.0884448E-002, 5.0736746E-002, 5.0680205E-002, 5.0850245E-002, 5.0726051E-002, 5.0707948E-002, 5.0858478E-002, 5.0713229E-002, 5.0729657E-002, 5.0893044E-002, 5.0695148E-002, 5.0717685E-002, 5.0907038E-002, 5.0699981E-002, 5.0690931E-002
 1.0312500E+000, 2.4181256E+001, 2.4172878E+001, 2.4167780E+001, 2.4180462E+001, 2.4173722E+001, 2.4170100E+001, 2.4179774E+001, 2.4173819E+001, 2.4171620E+001, 2.4179809E+001, 2.4173362E+001, 2.4171428E+001, 2.4180366E+001, 2.4171821E+001, 2.4170247E+001, 2.4180465E+001, 2.4172586E+001, 2.4167721E+001, 1.0312500E+000, 5.0873222E-002, 5.0776431E-002, 5.0649673E-002, 5.0868576E-002, 5.0790083E-002, 5.0687088E-002, 5.0846996E-002, 5.0783125E-002, 5.0729654E-002, 5.0848411E-002, 5.0791021E-002, 5.0743959E-002, 5.0868573E-002, 5.0788701E-002, 5.0714808E-002, 5.0871463E-002, 5.0779649E-002, 5.0666475E-002
 1.0937500E+000, 2.4167341E+001, 2.4164356E+001, 2.4161448E+001, 2.4166912E+001, 2.4165252E+001, 2.4163849E+001, 2.4166827E+001, 2.4165830E+001, 2.4164522E+001, 2.4166527E+001, 2.4165468E+001, 2.4163903E+001, 2.4166358E+001, 2.4164232E+001, 2.4162763E+001, 2.4166461E+001, 2.4164760E+001, 2.4160553E+001, 1.0937500E+000, 5.0655979E-002, 5.0663713E-002, 5.0532509E-002, 5.0660455E-002, 5.0658821E-002, 5.0584331E-002, 5.0655663E-002, 5.0651516E-002, 5.0617806E-002, 5.0656856E-002, 5.0671333E-002, 5.0614524E-002, 5.0668579E-002, 5.0685223E-002, 5.0581961E-002, 5.0660064E-002, 5.0677559E-002, 5.0532680E-002
 1.1562500E+000, 2.4143367E+001, 2.4147259E+001, 2.4147772E+001, 2.4143521E+001, 2.4148366E+001, 2.4149854E+001, 2.4144224E+001, 2.4149498E+001, 2.4149107E+001, 2.4143521E+001, 2.4148491E+001, 2.4147834E+001, 2.4142772E+001, 2.4147642E+001, 2.4147408E+001, 2.4142914E+001, 2.4148248E+001, 2.4146143E+001, 1.1562500E+000, 5.0253645E-002, 5.0374734E-002, 5.0316046E-002, 5.0260084E-002, 5.0342960E-002, 5.0371933E-002, 5.0276245E-002, 5.0331223E-002, 5.0372403E-002, 5.0283811E-002, 5.0354166E-002, 5.0341352E-002, 5.0293061E-002, 5.0384715E-002, 5.0319144E-002, 5.0272841E-002, 5.0393713E-002, 5.0289546E-002
 1.2187500E+000, 2.4112122E+001, 2.4121809E+001, 2.4126633E+001, 2.4113452E+001, 2.4123943E+001, 2.4127867E+001, 2.4114165E+001, 2.4125182E+001, 2.4125688E+001, 2.4112615E+001, 2.4123237E+001, 2.4124565E+001, 2.4111038E+001, 2.4122232E+001, 2.4125353E+001, 2.4111268E+001, 2.4122547E+001, 2.4125067E+001, 1.2187500E+000, 4.9726943E-002, 4.9918671E-002, 4.9964841E-002, 4.9744486E-002, 4.9908736E-002, 5.0009890E-002, 4.9763953E-002, 4.9916285E-002, 4.9973182E-002, 4.9761079E-002, 4.9924589E-002, 4.9930697E-002, 4.9765102E-002, 4.9939270E-002, 4.9921498E-002, 4.9744095E-002, 4.9939172E-002, 4.9918150E-002
 1.2812500E+000, 2.4073605E+001, 2.4088004E+001, 2.4098030E+001, 2.4076705E+001, 2.4091984E+001, 2.4097887E+001, 2.4076650E+001, 2.4092881E+001, 2.4094266E+001, 2.4073810E+001, 2.4089707E+001, 2.4094097E+001, 2.4071155E+001, 2.4088002E+001, 2.4096598E+001, 2.4071525E+001, 2.4087657E+001, 2.4097323E+001, 1.2812500E+000, 4.9075873E-002, 4.9295525E-002, 4.9478896E-002, 4.9113661E-002, 4.9356149E-002, 4.9498200E-002, 4.9118788E-002, 4.9406702E-002, 4.9420142E-002, 4.9088661E-002, 4.9382603E-002, 4.9382560E-002, 4.9084702E-002, 4.9348887E-002, 4.9389024E-002, 4.9073827E-002, 4.9313936E-002, 4.9418493E-002
 1.3437500E+000, 2.4029588E+001, 2.4047668E+001, 2.4061615E+001, 2.4032952E+001, 2.4052449E+001, 2.4060560E+001, 2.4030750E+001, 2.4052530E+001, 2.4056175E+001, 2.4027035E+001, 2.4048771E+001, 2.4056832E+001, 2.4024591E+001, 2.4046268E+001, 2.4060367E+001, 2.4026214E+001, 2.4045694E+001, 2.4061294E+001, 1.3437500E+000, 4.8340996E-002, 4.8541357E-002, 4.8789216E-002, 4.8395792E-002, 4.8637466E-002, 4.8805814E-002, 4.8362094E-002, 4.8692829E-002, 4.8720554E-002, 4.8308537E-002, 4.8638329E-002, 4.8695026E-002, 4.8295939E-002, 4.8574025E-002, 4.8711389E-002, 4.8306320E-002, 4.8532371E-002, 4.8745172E-002
 1.4062500E+000, 2.3980071E+001, 2.4000799E+001, 2.4017389E+001, 2.3982194E+001, 2.4005336E+001, 2.4015888E+001, 2.3976466E+001, 2.4004130E+001, 2.4011416E+001, 2.3972290E+001, 2.4000429E+001, 2.4012768E+001, 2.3971344E+001, 2.3997032E+001, 2.4016662E+001, 2.3975337E+001, 2.3996658E+001, 2.4016980E+001, 1.4062500E+000, 4.7522313E-002, 4.7656168E-002, 4.7895804E-002, 4.7590879E-002, 4.7752687E-002, 4.7932731E-002, 4.7493872E-002, 4.7774666E-002, 4.7874418E-002, 4.7420708E-002, 4.7691769E-002, 4.7868094E-002, 4.7398812E-002, 4.7614683E-002, 4.7888594E-002, 4.7441574E-002, 4.7594476E-002, 4.7898189E-002
 1.4687500E+000, 2.3923228E+001, 2.3946273E+001, 2.3964421E+001, 2.3924203E+001, 2.3949110E+001, 2.3962572E+001, 2.3916931E+001, 2.3947798E+001, 2.3957509E+001, 2.3912625E+001, 2.3945215E+001, 2.3959200E+001, 2.3913231E+001, 2.3941294E+001, 2.3963794E+001, 2.3919556E+001, 2.3941466E+001, 2.3964364E+001, 1.4687500E+000, 4.6581193E-002, 4.6681950E-002, 4.7006489E-002, 4.6650452E-002, 4.6729993E-002, 4.7015875E-002, 4.6523700E-002, 4.6724180E-002, 4.6924340E-002, 4.6438965E-002, 4.6649753E-002, 4.6950746E-002, 4.6416768E-002, 4.6582062E-002, 4.7019639E-002, 4.6514097E-002, 4.6596763E-002, 4.7030437E-002
 1.5312500E+000, 2.3859058E+001, 2.3884091E+001, 2.3902711E+001, 2.3858980E+001, 2.3883769E+001, 2.3900613E+001, 2.3852145E+001, 2.3883533E+001, 2.3894453E+001, 2.3848041E+001, 2.3883129E+001, 2.3896128E+001, 2.3850253E+001, 2.3879056E+001, 2.3901764E+001, 2.3858873E+001, 2.3880119E+001, 2.3903444E+001, 1.5312500E+000, 4.5517637E-002, 4.5618702E-002, 4.6121271E-002, 4.5574511E-002, 4.5569382E-002, 4.6055245E-002, 4.5451578E-002, 4.5541369E-002, 4.5870321E-002, 4.5363308E-002, 4.5512281E-002, 4.5942982E-002, 4.5349805E-002, 4.5476161E-002, 4.6104524E-002, 4.5523888E-002, 4.5539232E-002, 4.6141918E-002
 1.5937500E+000, 2.3785855E+001, 2.3812234E+001, 2.3829861E+001, 2.3785824E+001, 2.3811866E+001, 2.3826492E+001, 2.3780269E+001, 2.3813299E+001, 2.3820354E+001, 2.3775603E+001, 2.3812693E+001, 2.3822305E+001, 2.3778891E+001, 2.3807954E+001, 2.3828908E+001, 2.3787684E+001, 2.3809799E+001, 2.3831498E+001, 1.5937500E+000, 4.4319630E-002, 4.4349199E-002, 4.4963261E-002, 4.4363512E-002, 4.4279744E-002, 4.4836246E-002, 4.4248915E-002, 4.4281469E-002, 4.4620015E-002, 4.4115608E-002, 4.4289625E-002, 4.4721630E-002, 4.4119667E-002, 4.4270596E-002, 4.4908893E-002, 4.4319880E-002, 4.4332249E-002, 4.4981609E-002
 1.6562500E+000, 2.3703620E+001, 2.3730703E+001, 2.3745870E+001, 2.3704736E+001, 2.3733400E+001, 2.3740208E+001, 2.3701305E+001, 2.3737095E+001, 2.3735212E+001, 2.3695310E+001, 2.3733909E+001, 2.3737731E+001, 2.3699146E+001, 2.3727989E+001, 2.3745226E+001, 2.3705991E+001, 2.3730506E+001, 2.3748525E+001, 1.6562500E+000, 4.2987173E-002, 4.2873443E-002, 4.3532459E-002, 4.3017456E-002, 4.2861080E-002, 4.3358878E-002, 4.2915710E-002, 4.2944479E-002, 4.3173424E-002, 4.2695866E-002, 4.2981784E-002, 4.3286690E-002, 4.2726352E-002, 4.2965365E-002, 4.3432744E-002, 4.2902073E-002, 4.2975813E-002, 4.3549510E-002
 1.7187500E+000, 2.3608537E+001, 2.3638576E+001, 2.3647133E+001, 2.3609275E+001, 2.3643592E+001, 2.3640118E+001, 2.3606336E+001, 2.3646796E+001, 2.3636173E+001, 2.3600974E+001, 2.3641005E+001, 2.3640330E+001, 2.3603435E+001, 2.3636992E+001, 2.3648712E+001, 2.3607929E+001, 2.3638528E+001, 2.3649934E+001, 1.7187500E+000, 4.1594667E-002, 4.1552910E-002, 4.2077900E-002, 4.1599772E-002, 4.1625618E-002, 4.1862603E-002, 4.1545027E-002, 4.1760575E-002, 4.1723397E-002, 4.1340437E-002, 4.1758774E-002, 4.1848535E-002, 4.1342794E-002, 4.1711912E-002, 4.2010424E-002, 4.1421174E-002, 4.1686250E-002, 4.2131399E-002
 1.7812500E+000, 2.3500606E+001, 2.3535855E+001, 2.3533648E+001, 2.3499440E+001, 2.3542441E+001, 2.3526222E+001, 2.3495362E+001, 2.3542401E+001, 2.3523236E+001, 2.3492595E+001, 2.3533981E+001, 2.3530103E+001, 2.3491759E+001, 2.3534963E+001, 2.3539366E+001, 2.3493498E+001, 2.3533864E+001, 2.3535724E+001, 1.7812500E+000, 4.0142111E-002, 4.0387600E-002, 4.0599586E-002, 4.0110459E-002, 4.0573359E-002, 4.0347421E-002, 4.0136865E-002, 4.0729755E-002, 4.0269934E-002, 4.0049321E-002, 4.0620593E-002, 4.0407165E-002, 3.9968993E-002, 4.0510237E-002, 4.0641935E-002, 3.9877183E-002, 4.0463559E-002, 4.0727276E-002
 1.8437500E+000, 2.3371902E+001, 2.3408558E+001, 2.3399596E+001, 2.3369448E+001, 2.3413256E+001, 2.3394145E+001, 2.3364617E+001, 2.3413186E+001, 2.3393136E+001, 2.3364025E+001, 2.3404622E+001, 2.3400110E+001, 2.3362626E+001, 2.3405694E+001, 2.3405037E+001, 2.3363929E+001, 2.3403968E+001, 2.3399767E+001, 1.8437500E+000, 3.7063780E-002, 3.7369131E-002, 3.7488680E-002, 3.6966626E-002, 3.7586612E-002, 3.7265110E-002, 3.6958510E-002, 3.7747153E-002, 3.7240269E-002, 3.7008210E-002, 3.7605895E-002, 3.7393733E-002, 3.6946493E-002, 3.7449150E-002, 3.7544193E-002, 3.6835576E-002, 3.7336184E-002, 3.7575065E-002
 1.9062500E+000, 2.3222426E+001, 2.3256685E+001, 2.3244977E+001, 2.3219301E+001, 2.3256037E+001, 2.3243888E+001, 2.3214101E+001, 2.3259152E+001, 2.3245871E+001, 2.3215264E+001, 2.3252928E+001, 2.3250350E+001, 2.3216037E+001, 2.3249185E+001, 2.3245724E+001, 2.3219223E+001, 2.3248841E+001, 2.3242064E+001, 1.9062500E+000, 3.2359673E-002, 3.2497501E-002, 3.2745183E-002, 3.2168272E-002, 3.2665377E-002, 3.2615669E-002, 3.2009963E-002, 3.2812768E-002, 3.2634403E-002, 3.2217105E-002, 3.2714678E-002, 3.2808239E-002, 3.2275293E-002, 3.2528650E-002, 3.2717200E-002, 3.2296352E-002, 3.2304125E-002, 3.2674765E-002
 1.9687500E+000, 2.1573844E+001, 2.1590374E+001, 2.1583834E+001, 2.1572113E+001, 2.1588714E+001, 2.1584379E+001, 2.1569421E+001, 2.1591067E+001, 2.1586120E+001, 2.1570442E+001, 2.1588541E+001, 2.1587735E+001, 2.1571371E+001, 2.1585465E+001, 2.1583034E+001, 2.1573435E+001, 2.1585638E+001, 2.1581606E+001, 1.9687500E+000, 1.5003809E-002, 1.5030843E-002, 1.5186717E-002, 1.4884547E-002, 1.5102380E-002, 1.5145475E-002, 1.4767845E-002, 1.5172788E-002, 1.5165735E-002, 1.4910776E-002, 1.5134535E-002, 1.5257746E-002, 1.4969846E-002, 1.5034200E-002, 1.5151852E-002, 1.5013370E-002, 1.4894048E-002, 1.5112308E-002
