s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa
 6.5000830E+002, 2.2119335E+000, 4.0567980E+000,-1.4789215E+001,-1.8853011E+001, 1.5494793E+000, 1.6934121E-007,-2.8122949E-013, 2.9543490E+001,-5.0399272E-001,-3.3732333E-001,-9.3463755E-004, 1.4463896E-004, 1.0324030E-003, 1.3368847E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.6001617E+002, 2.1577184E+000, 3.9337499E+000,-1.5025119E+001,-1.6876439E+001, 1.5472848E+000, 1.6472213E-007,-2.6336905E-013, 2.8139354E+001,-2.2613303E-001,-5.7200052E-002,-9.0630242E-004, 1.4112128E-004, 1.0011039E-003, 1.3190424E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.7001636E+002, 2.1410795E+000, 3.9747677E+000,-1.5094664E+001,-1.6284908E+001, 1.5433350E+000, 1.6030100E-007,-2.6408537E-013, 2.7726206E+001,-1.3676745E-001, 3.1049153E-002,-9.1577046E-004, 1.4003236E-004, 1.0115623E-003, 1.3021432E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.8001459E+002, 2.1293148E+000, 3.9242676E+000,-1.5120745E+001,-1.5981756E+001, 1.5384811E+000, 1.5659989E-007,-2.6372232E-013, 2.7549177E+001,-5.4005255E-002, 1.1447208E-001,-9.0413784E-004, 1.3927319E-004, 9.9871293E-004, 1.2861206E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.9000586E+002, 2.1156159E+000, 3.8452787E+000,-1.5114775E+001,-1.5789722E+001, 1.5323904E+000, 1.5358507E-007,-2.6413418E-013, 2.7409698E+001,-1.6288156E-002, 1.5320860E-001,-8.8593932E-004, 1.3837128E-004, 9.7861079E-004, 1.2716172E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.0000037E+002, 2.0995461E+000, 3.7419979E+000,-1.5105306E+001,-1.5667745E+001, 1.5267587E+000, 1.5032729E-007,-2.6413887E-013, 2.7247818E+001,-6.7022375E-002, 1.0107236E-001,-8.6213990E-004, 1.3732200E-004, 9.5232190E-004, 1.2587458E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.1001044E+002, 2.0844289E+000, 3.6748316E+000,-1.5107915E+001,-1.5531029E+001, 1.5197135E+000, 1.4753509E-007,-2.6405741E-013, 2.7148201E+001,-5.6293936E-002, 1.1339971E-001,-8.4666269E-004, 1.3633906E-004, 9.3522574E-004, 1.2464438E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.2000348E+002, 2.0722753E+000, 3.6227415E+000,-1.5106540E+001,-1.5369055E+001, 1.5169796E+000, 1.4530541E-007,-2.6384840E-013, 2.7070344E+001, 1.5727755E-002, 1.8400409E-001,-8.3465961E-004, 1.3554209E-004, 9.2196710E-004, 1.2351256E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.3000018E+002, 2.0607159E+000, 3.5678550E+000,-1.5101832E+001,-1.5298382E+001, 1.5156055E+000, 1.4271364E-007,-2.6414846E-013, 2.6982806E+001,-7.1048540E-003, 1.5891368E-001,-8.2201358E-004, 1.3478883E-004, 9.0799827E-004, 1.2249516E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.4000031E+002, 2.0485898E+000, 3.5236609E+000,-1.5095697E+001,-1.5312662E+001, 1.5086823E+000, 1.4084048E-007,-2.6415094E-013, 2.6946594E+001,-7.0563519E-002, 9.5506446E-002,-8.1183017E-004, 1.3398742E-004, 8.9674964E-004, 1.2151625E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.5000140E+002, 2.0383183E+000, 3.4859662E+000,-1.5094447E+001,-1.5172175E+001, 1.5057298E+000, 1.3852488E-007,-2.6411490E-013, 2.6887331E+001,-4.3879281E-004, 1.6475699E-001,-8.0314514E-004, 1.3332142E-004, 8.8715614E-004, 1.2061458E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.6000262E+002, 2.0280524E+000, 3.4536602E+000,-1.5089016E+001,-1.5120519E+001, 1.5015957E+000, 1.3688560E-007,-2.6403225E-013, 2.6847186E+001, 5.9289469E-004, 1.6729921E-001,-7.9570181E-004, 1.3265176E-004, 8.7893422E-004, 1.1973154E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.7000995E+002, 2.0189883E+000, 3.4207754E+000,-1.5087206E+001,-1.5069188E+001, 1.4979843E+000, 1.3553905E-007,-2.6403349E-013, 2.6787524E+001,-1.6606066E-002, 1.4810257E-001,-7.8812571E-004, 1.3205523E-004, 8.7056564E-004, 1.1893378E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.8000128E+002, 2.0105149E+000, 3.3916122E+000,-1.5073590E+001,-1.5030337E+001, 1.4960361E+000, 1.3432504E-007,-2.6403532E-013, 2.6767324E+001, 3.6309957E-003, 1.6994783E-001,-7.8140678E-004, 1.3149722E-004, 8.6314389E-004, 1.1824053E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.9000848E+002, 2.0009961E+000, 3.3634834E+000,-1.5072945E+001,-1.5052080E+001, 1.4922238E+000, 1.3316330E-007,-2.6400745E-013, 2.6753433E+001,-4.2577913E-002, 1.2162872E-001,-7.7492596E-004, 1.3088752E-004, 8.5598516E-004, 1.1760842E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.0001630E+002, 1.9937274E+000, 3.3442172E+000,-1.5074548E+001,-1.4928225E+001, 1.4857344E+000, 1.3175609E-007,-2.6391230E-013, 2.6706326E+001, 1.7358408E-002, 1.8301510E-001,-7.7048794E-004, 1.3041009E-004, 8.5108291E-004, 1.1700760E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.1000604E+002, 1.9857073E+000, 3.3183156E+000,-1.5067597E+001,-1.4892328E+001, 1.4826335E+000, 1.3070795E-007,-2.6391842E-013, 2.6672252E+001, 1.9980717E-002, 1.8066714E-001,-7.6452115E-004, 1.2987903E-004, 8.4449198E-004, 1.1640147E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.2000507E+002, 1.9781806E+000, 3.2937836E+000,-1.5062828E+001,-1.4918851E+001, 1.4826577E+000, 1.3005546E-007,-2.6370137E-013, 2.6653473E+001,-3.2991595E-002, 1.3263313E-001,-7.5886988E-004, 1.2938962E-004, 8.3824958E-004, 1.1584625E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.3000220E+002, 1.9703451E+000, 3.2678919E+000,-1.5053792E+001,-1.4884527E+001, 1.4808545E+000, 1.2879273E-007,-2.6364452E-013, 2.6626222E+001,-2.4265798E-002, 1.3910215E-001,-7.5290491E-004, 1.2888245E-004, 8.3166066E-004, 1.1535238E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.4001343E+002, 1.9626296E+000, 3.2446392E+000,-1.5045190E+001,-1.4802614E+001, 1.4738426E+000, 1.2777251E-007,-2.6380492E-013, 2.6615769E+001, 4.1562662E-002, 2.0443733E-001,-7.4754828E-004, 1.2836570E-004, 8.2574370E-004, 1.1482839E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.5001324E+002, 1.9541969E+000, 3.2183140E+000,-1.5050981E+001,-1.4868893E+001, 1.4736017E+000, 1.2634908E-007,-2.6379904E-013, 2.6581018E+001,-7.5710412E-002, 8.8942576E-002,-7.4148191E-004, 1.2781834E-004, 8.1904278E-004, 1.1429794E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.6000018E+002, 1.9479798E+000, 3.1994023E+000,-1.5048742E+001,-1.4709186E+001, 1.4738986E+000, 1.2482940E-007,-2.6346594E-013, 2.6554812E+001, 5.8064492E-002, 2.1876259E-001,-7.3712519E-004, 1.2740721E-004, 8.1423034E-004, 1.1371778E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.7001111E+002, 1.9411924E+000, 3.1824445E+000,-1.5043840E+001,-1.4816814E+001, 1.4719368E+000, 1.2431911E-007,-2.6355666E-013, 2.6524744E+001,-8.6937167E-002, 7.7218937E-002,-7.3321912E-004, 1.2697997E-004, 8.0991568E-004, 1.1312932E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.8001300E+002, 1.9353246E+000, 3.1670497E+000,-1.5041783E+001,-1.4622316E+001, 1.4672186E+000, 1.2368562E-007,-2.6380063E-013, 2.6498406E+001, 7.2645647E-002, 2.3685055E-001,-7.2967332E-004, 1.2658622E-004, 8.0599898E-004, 1.1265424E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.9000861E+002, 1.9285472E+000, 3.1470979E+000,-1.5026557E+001,-1.4789972E+001, 1.4670009E+000, 1.2279065E-007,-2.6376856E-013, 2.6507050E+001,-7.5234513E-002, 8.6068703E-002,-7.2507633E-004, 1.2613228E-004, 8.0092113E-004, 1.1223455E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.0001099E+002, 1.9204763E+000, 3.1257816E+000,-1.5021659E+001,-1.4626203E+001, 1.4671061E+000, 1.2174583E-007,-2.6380330E-013, 2.6476811E+001, 5.6161502E-002, 2.1653074E-001,-7.2016604E-004, 1.2562323E-004, 7.9549722E-004, 1.1179730E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.1000421E+002, 1.9126008E+000, 3.1037500E+000,-1.5015130E+001,-1.4683185E+001, 1.4669686E+000, 1.2061296E-007,-2.6380460E-013, 2.6460514E+001,-2.0058589E-002, 1.4176751E-001,-7.1508956E-004, 1.2509963E-004, 7.8988972E-004, 1.1132616E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.2001410E+002, 1.9070414E+000, 3.0882718E+000,-1.5026528E+001,-1.4567173E+001, 1.4646261E+000, 1.1956433E-007,-2.6380458E-013, 2.6428920E+001, 4.3721801E-002, 2.0688672E-001,-7.1152363E-004, 1.2473770E-004, 7.8595079E-004, 1.1083328E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.3000739E+002, 1.9013277E+000, 3.0760351E+000,-1.5013277E+001,-1.4735221E+001, 1.4613775E+000, 1.1888547E-007,-2.6380529E-013, 2.6435840E+001,-1.1291460E-001, 5.0047756E-002,-7.0870537E-004, 1.2436225E-004, 7.8283774E-004, 1.1034214E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.4000482E+002, 1.8949615E+000, 3.0563609E+000,-1.5009007E+001,-1.4566022E+001, 1.4603686E+000, 1.1847467E-007,-2.6329501E-013, 2.6395791E+001, 1.8753932E-002, 1.7609210E-001,-7.0417286E-004, 1.2395153E-004, 7.7783111E-004, 1.0992173E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.5000220E+002, 1.8885978E+000, 3.0410058E+000,-1.5002658E+001,-1.4570356E+001, 1.4593356E+000, 1.1791562E-007,-2.6361085E-013, 2.6389922E+001, 3.5393348E-003, 1.6484121E-001,-7.0063582E-004, 1.2352805E-004, 7.7392409E-004, 1.0956382E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.6000055E+002, 1.8832244E+000, 3.0273960E+000,-1.5015388E+001,-1.4537817E+001, 1.4586238E+000, 1.1730717E-007,-2.6380768E-013, 2.6367926E+001,-4.2837053E-003, 1.5656943E-001,-6.9749974E-004, 1.2317898E-004, 7.7045997E-004, 1.0922010E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.7000714E+002, 1.8769988E+000, 3.0061205E+000,-1.4995866E+001,-1.4571123E+001, 1.4565610E+000, 1.1678577E-007,-2.6380889E-013, 2.6374885E+001,-1.5568284E-002, 1.4145601E-001,-6.9259858E-004, 1.2277064E-004, 7.6504613E-004, 1.0886927E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.8000250E+002, 1.8700767E+000, 2.9873507E+000,-1.4991104E+001,-1.4507742E+001, 1.4540504E+000, 1.1628337E-007,-2.6380973E-013, 2.6320055E+001,-1.4734839E-002, 1.4533644E-001,-6.8827432E-004, 1.2231806E-004, 7.6026954E-004, 1.0853196E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.9001282E+002, 1.8634533E+000, 2.9696476E+000,-1.4986936E+001,-1.4515553E+001, 1.4549881E+000, 1.1588552E-007,-2.6381094E-013, 2.6309520E+001,-3.3544184E-002, 1.2547248E-001,-6.8419575E-004, 1.2188559E-004, 7.5576434E-004, 1.0821323E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0000013E+003, 1.8580569E+000, 2.9551003E+000,-1.4985279E+001,-1.4405275E+001, 1.4547501E+000, 1.1532306E-007,-2.6381123E-013, 2.6274535E+001, 3.5554040E-002, 1.9678873E-001,-6.8084363E-004, 1.2152791E-004, 7.5206158E-004, 1.0790086E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0100168E+003, 1.8513580E+000, 2.9375439E+000,-1.4988467E+001,-1.4396735E+001, 1.4547371E+000, 1.1471920E-007,-2.6351163E-013, 2.6271216E+001, 2.9789198E-002, 1.9210951E-001,-6.7679900E-004, 1.2110306E-004, 7.4759387E-004, 1.0757597E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0200121E+003, 1.8467377E+000, 2.9269064E+000,-1.4981300E+001,-1.4467219E+001, 1.4513671E+000, 1.1394054E-007,-2.6381235E-013, 2.6249905E+001,-5.8692118E-002, 9.9490766E-002,-6.7434875E-004, 1.2079162E-004, 7.4488732E-004, 1.0723681E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0300055E+003, 1.8422000E+000, 2.9164433E+000,-1.4985728E+001,-1.4395289E+001, 1.4506028E+000, 1.1332379E-007,-2.6381245E-013, 2.6240657E+001,-1.0118318E-002, 1.5244304E-001,-6.7193843E-004, 1.2049372E-004, 7.4222488E-004, 1.0687593E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0400171E+003, 1.8366178E+000, 2.9013385E+000,-1.4970382E+001,-1.4351297E+001, 1.4510873E+000, 1.1296652E-007,-2.6343419E-013, 2.6233902E+001, 3.9986874E-002, 1.9992796E-001,-6.6845870E-004, 1.2013540E-004, 7.3838116E-004, 1.0651863E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0500071E+003, 1.8307800E+000, 2.8837426E+000,-1.4965059E+001,-1.4258583E+001, 1.4518767E+000, 1.1266815E-007,-2.6381407E-013, 2.6209044E+001, 1.0781394E-001, 2.6805878E-001,-6.6440522E-004, 1.1974898E-004, 7.3390367E-004, 1.0620619E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0600144E+003, 1.8247077E+000, 2.8674864E+000,-1.4955620E+001,-1.4495570E+001, 1.4516374E+000, 1.1207668E-007,-2.6381518E-013, 2.6223229E+001,-1.1148370E-001, 4.8384276E-002,-6.6065948E-004, 1.1934871E-004, 7.2976612E-004, 1.0591542E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0700132E+003, 1.8184655E+000, 2.8512241E+000,-1.4961347E+001,-1.4347362E+001, 1.4502849E+000, 1.1183515E-007,-2.6381590E-013, 2.6182825E+001,-1.6734708E-002, 1.4286694E-001,-6.5691230E-004, 1.1894195E-004, 7.2562698E-004, 1.0561252E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0800079E+003, 1.8129235E+000, 2.8375872E+000,-1.4938520E+001,-1.4320584E+001, 1.4496415E+000, 1.1172587E-007,-2.6337677E-013, 2.6134683E+001,-1.6356718E-002, 1.3814390E-001,-6.5377370E-004, 1.1858386E-004, 7.2216007E-004, 1.0534731E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0900107E+003, 1.8104630E+000, 2.8347969E+000,-1.4933830E+001,-1.4316845E+001, 1.4464984E+000, 1.1137498E-007,-2.6381726E-013, 2.6134875E+001,-1.0139330E-002, 1.4116134E-001,-6.5313526E-004, 1.1842112E-004, 7.2145484E-004, 1.0511828E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1000015E+003, 1.8088316E+000, 2.8342230E+000,-1.4931732E+001,-1.4323854E+001, 1.4443330E+000, 1.1079747E-007,-2.6381635E-013, 2.6121381E+001,-3.0655224E-002, 1.1895912E-001,-6.5300384E-004, 1.1831531E-004, 7.2130968E-004, 1.0486764E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1100023E+003, 1.8054967E+000, 2.8301929E+000,-1.4925125E+001,-1.4247282E+001, 1.4454186E+000, 1.1059633E-007,-2.6343733E-013, 2.6134690E+001, 5.9311942E-002, 2.1319871E-001,-6.5207625E-004, 1.1810208E-004, 7.2028507E-004, 1.0458457E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1200067E+003, 1.8024065E+000, 2.8228173E+000,-1.4918587E+001,-1.4261084E+001, 1.4415073E+000, 1.1004408E-007,-2.6349238E-013, 2.6139119E+001, 5.5241856E-002, 2.0336266E-001,-6.5037858E-004, 1.1788974E-004, 7.1840982E-004, 1.0432256E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1300143E+003, 1.7986609E+000, 2.8224450E+000,-1.4897506E+001,-1.4301627E+001, 1.4385520E+000, 1.0993042E-007,-2.6381756E-013, 2.6098936E+001,-3.2460614E-003, 1.3701547E-001,-6.5029929E-004, 1.1764839E-004, 7.1832223E-004, 1.0404639E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1400128E+003, 1.7969434E+000, 2.8231820E+000,-1.4890984E+001,-1.4459871E+001, 1.4414700E+000, 1.0917999E-007,-2.6309923E-013, 2.6128484E+001,-1.2687859E-001, 1.6042304E-002,-6.5047068E-004, 1.1754532E-004, 7.1851154E-004, 1.0379053E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1500061E+003, 1.7922835E+000, 2.8137035E+000,-1.4869620E+001,-1.4257484E+001, 1.4356616E+000, 1.0873657E-007,-2.6271916E-013, 2.6086266E+001, 4.8784985E-002, 1.8710704E-001,-6.4829114E-004, 1.1723208E-004, 7.1610402E-004, 1.0349085E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1600028E+003, 1.7902498E+000, 2.8138686E+000,-1.4863458E+001,-1.4327243E+001, 1.4271149E+000, 1.0787484E-007,-2.6312280E-013, 2.6069875E+001,-3.1207024E-002, 9.6538876E-002,-6.4833492E-004, 1.1709893E-004, 7.1615238E-004, 1.0317166E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1700143E+003, 1.7938249E+000, 2.8577346E+000,-1.4872002E+001,-1.4243393E+001, 1.4282579E+000, 1.0791096E-007,-2.6322145E-013, 2.6059365E+001, 4.6015539E-002, 1.6605195E-001,-6.5844876E-004, 1.1733726E-004, 7.2732415E-004, 1.0283667E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1800146E+003, 1.8045209E+000, 2.9584209E+000,-1.4906233E+001,-1.4317539E+001, 1.4244151E+000, 1.0796995E-007,-2.6366789E-013, 2.6109824E+001,-3.7846283E-003, 1.1498726E-001,-6.8164206E-004, 1.1804367E-004, 7.5294353E-004, 1.0259961E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1900063E+003, 1.8073410E+000, 2.9119276E+000,-1.4873362E+001,-1.4391113E+001, 1.4226057E+000, 1.0783006E-007,-2.6300641E-013, 2.6147324E+001, 1.2580117E-003, 1.1279605E-001,-6.7094256E-004, 1.1822026E-004, 7.4112483E-004, 1.0241644E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2000157E+003, 1.8095458E+000, 2.9220714E+000,-1.4869842E+001,-1.4422628E+001, 1.4231284E+000, 1.0748714E-007,-2.6381005E-013, 2.6178046E+001, 1.6425817E-002, 1.1824970E-001,-6.7328298E-004, 1.1836524E-004, 7.4371007E-004, 1.0222701E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2100054E+003, 1.8092956E+000, 2.9174986E+000,-1.4856746E+001,-1.4474396E+001, 1.4231499E+000, 1.0723037E-007,-2.6380931E-013, 2.6235907E+001, 3.5271072E-002, 1.3721094E-001,-6.7222979E-004, 1.1834345E-004, 7.4254671E-004, 1.0200728E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2200131E+003, 1.8066135E+000, 2.9093395E+000,-1.4850148E+001,-1.4450212E+001, 1.4211641E+000, 1.0674379E-007,-2.6359023E-013, 2.6239056E+001, 6.5530460E-002, 1.6647441E-001,-6.7035030E-004, 1.1817126E-004, 7.4047063E-004, 1.0177136E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2300027E+003, 1.8015368E+000, 2.8953931E+000,-1.4836057E+001,-1.4640799E+001, 1.4197723E+000, 1.0647073E-007,-2.6381106E-013, 2.6243291E+001,-1.0453306E-001,-1.2255239E-002,-6.6713833E-004, 1.1783516E-004, 7.3692268E-004, 1.0152284E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2400078E+003, 1.7972146E+000, 2.8862211E+000,-1.4832115E+001,-1.4527251E+001, 1.4165213E+000, 1.0602705E-007,-2.6381138E-013, 2.6245520E+001, 8.7468698E-003, 9.9890638E-002,-6.6502355E-004, 1.1755350E-004, 7.3458668E-004, 1.0126965E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2500009E+003, 1.7940583E+000, 2.8790503E+000,-1.4834954E+001,-1.4430123E+001, 1.4178636E+000, 1.0576348E-007,-2.6330152E-013, 2.6216993E+001, 7.1863491E-002, 1.6383792E-001,-6.6337094E-004, 1.1735167E-004, 7.3276121E-004, 1.0100965E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2600128E+003, 1.7898246E+000, 2.8664233E+000,-1.4828853E+001,-1.4614410E+001, 1.4150222E+000, 1.0551385E-007,-2.6381126E-013, 2.6225672E+001,-1.0162005E-001,-1.2743397E-002,-6.6046095E-004, 1.1706889E-004, 7.2954683E-004, 1.0076345E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2700117E+003, 1.7860111E+000, 2.8573177E+000,-1.4828114E+001,-1.4459425E+001, 1.4170737E+000, 1.0546425E-007,-2.6375272E-013, 2.6227194E+001, 5.2109973E-002, 1.4274062E-001,-6.5836260E-004, 1.1682181E-004, 7.2722898E-004, 1.0053742E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2800072E+003, 1.7821149E+000, 2.8458425E+000,-1.4831489E+001,-1.4490680E+001, 1.4152132E+000, 1.0506438E-007,-2.6307505E-013, 2.6213710E+001,-2.8403680E-003, 8.8869212E-002,-6.5571835E-004, 1.1657139E-004, 7.2430813E-004, 1.0033719E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2900138E+003, 1.7776340E+000, 2.8342567E+000,-1.4822317E+001,-1.4468874E+001, 1.4147286E+000, 1.0463497E-007,-2.6346895E-013, 2.6201299E+001, 1.1702063E-002, 1.0247041E-001,-6.5304832E-004, 1.1627163E-004, 7.2135881E-004, 1.0010665E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3000140E+003, 1.7724293E+000, 2.8188441E+000,-1.4821310E+001,-1.4451125E+001, 1.4144401E+000, 1.0429653E-007,-2.6381310E-013, 2.6209109E+001, 3.1344040E-002, 1.2354349E-001,-6.4949624E-004, 1.1592910E-004, 7.1743517E-004, 9.9851239E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3100073E+003, 1.7669581E+000, 2.8033694E+000,-1.4812611E+001,-1.4502618E+001, 1.4133212E+000, 1.0392922E-007,-2.6381386E-013, 2.6183239E+001,-4.2249713E-002, 4.8290204E-002,-6.4593035E-004, 1.1557444E-004, 7.1349628E-004, 9.9600031E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3200139E+003, 1.7613502E+000, 2.7847294E+000,-1.4803865E+001,-1.4452000E+001, 1.4136645E+000, 1.0368594E-007,-2.6381497E-013, 2.6175018E+001, 3.0268723E-003, 9.4167266E-002,-6.4163445E-004, 1.1521339E-004, 7.0875102E-004, 9.9350005E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3300070E+003, 1.7564284E+000, 2.7715251E+000,-1.4811907E+001,-1.4412160E+001, 1.4143381E+000, 1.0336261E-007,-2.6300357E-013, 2.6154405E+001, 7.8947681E-003, 1.0110452E-001,-6.3859124E-004, 1.1488781E-004, 7.0538949E-004, 9.9114408E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3400057E+003, 1.7517407E+000, 2.7563412E+000,-1.4805541E+001,-1.4422307E+001, 1.4133121E+000, 1.0279875E-007,-2.6304024E-013, 2.6142683E+001,-1.1607491E-002, 7.9888178E-002,-6.3509209E-004, 1.1457023E-004, 7.0152432E-004, 9.8870086E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3500160E+003, 1.7466556E+000, 2.7427935E+000,-1.4803596E+001,-1.4327009E+001, 1.4123731E+000, 1.0247033E-007,-2.6381686E-013, 2.6119378E+001, 5.7591174E-002, 1.4780288E-001,-6.3197005E-004, 1.1424984E-004, 6.9807571E-004, 9.8600026E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3600042E+003, 1.7414869E+000, 2.7271494E+000,-1.4801625E+001,-1.4467705E+001, 1.4128894E+000, 1.0216306E-007,-2.6381747E-013, 2.6101843E+001,-1.0311141E-001,-1.3110578E-002,-6.2836442E-004, 1.1390662E-004, 6.9409291E-004, 9.8340792E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3700103E+003, 1.7364491E+000, 2.7128858E+000,-1.4795749E+001,-1.4314832E+001, 1.4134041E+000, 1.0168611E-007,-2.6381790E-013, 2.6076316E+001, 2.1804089E-002, 1.1558811E-001,-6.2507690E-004, 1.1358299E-004, 6.9046151E-004, 9.8095244E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
