s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
 3.3000070E+002, 1.9833588E+001, 7.8902135E+001,-4.9230629E+001,-6.6375812E+001, 1.3664769E+000, 4.2049003E-006,-9.7802393E-014, 9.4690861E+001,-3.8685793E-001, 2.8448904E-001,-1.7515607E-002, 1.2969402E-003, 1.9347784E-002, 8.5544630E-008,-2.9537955E-001
 3.4000247E+002, 1.7432393E+001, 7.0653731E+001,-4.2478644E+001,-6.3477338E+001, 1.3023991E+000, 3.0181555E-006,-9.8164783E-014, 8.7373941E+001,-4.2831519E-001, 1.5275347E-001,-1.5697615E-002, 1.1397900E-003, 1.7339625E-002, 6.7674977E-008,-2.9537955E-001
 3.5000183E+002, 1.5041721E+001, 6.1382608E+001,-3.5830502E+001,-5.9923067E+001, 1.2366852E+000, 2.2399068E-006,-9.8552117E-014, 7.9525548E+001,-4.3213227E-001, 5.0387161E-002,-1.3660445E-002, 9.8321058E-004, 1.5089362E-002, 5.4971964E-008,-2.9537955E-001
 3.6000250E+002, 1.2593547E+001, 5.0023299E+001,-2.8349227E+001,-5.5852338E+001, 1.1741563E+000, 1.7193675E-006,-9.8992314E-014, 7.0236037E+001,-5.7658534E-001,-1.9782261E-001,-1.1174394E-002, 8.2285664E-004, 1.2343263E-002, 4.5730736E-008,-2.9537955E-001
 3.7000131E+002, 1.0015201E+001, 3.7417687E+001,-2.0764195E+001,-5.0270624E+001, 1.1309439E+000, 1.3580077E-006,-9.9505557E-014, 5.9500498E+001,-6.7145103E-001,-3.8817603E-001,-8.4034923E-003, 6.5393736E-004, 9.2825186E-003, 3.8879252E-008,-2.9537955E-001
 3.8000131E+002, 7.4349848E+000, 2.5658362E+001,-1.4728656E+001,-4.3173549E+001, 1.0798448E+000, 1.0897000E-006,-9.8800523E-014, 4.8811538E+001,-7.6855062E-001,-5.7583683E-001,-5.8052032E-003, 4.8501786E-004, 6.4124420E-003, 3.3665820E-008,-2.9537955E-001
 3.9000070E+002, 5.0680585E+000, 1.4544765E+001,-9.6925987E+000,-3.4295446E+001, 1.0403979E+000, 8.8311194E-007,-9.8678262E-014, 3.7108506E+001,-8.8734497E-001,-7.7108154E-001,-3.3290026E-003, 3.3027825E-004, 3.6772246E-003, 2.9511126E-008,-2.9537955E-001
 4.0000192E+002, 3.3248901E+000, 9.2335350E+000,-8.3132020E+000,-2.5956765E+001, 1.0086356E+000, 7.3602796E-007,-9.9126003E-014, 2.9285391E+001,-7.1629887E-001,-6.5104960E-001,-2.1214135E-003, 2.1660865E-004, 2.3433187E-003, 2.6141707E-008,-2.9537955E-001
 4.1000000E+002, 2.2181326E+000, 5.9004953E+000,-7.7953683E+000,-1.9267478E+001, 9.7828766E-001, 6.2666607E-007,-9.9155957E-014, 2.3354060E+001,-5.5217691E-001,-5.1236527E-001,-1.3582248E-003, 1.4455006E-004, 1.5002985E-003, 2.3489850E-008,-2.9537955E-001
 4.2000964E+002, 1.5914807E+000, 4.0104729E+000,-7.6233681E+000,-1.4457172E+001, 9.5441848E-001, 5.4095453E-007,-9.8969569E-014, 1.9171273E+001,-3.9019714E-001,-3.6336712E-001,-9.2390095E-004, 1.0380684E-004, 1.0205433E-003, 2.1387225E-008,-2.9537955E-001
 4.3000607E+002, 1.2697704E+000, 3.0446714E+000,-7.6245422E+000,-1.1404690E+001, 9.3003845E-001, 4.7424760E-007,-9.7148210E-014, 1.6635297E+001,-2.1802276E-001,-1.9412653E-001,-7.0152724E-004, 8.2910826E-005, 7.7490875E-004, 1.9681798E-008,-2.9537955E-001
 4.4001059E+002, 1.1117105E+000, 2.5618994E+000,-7.6437303E+000,-9.7270963E+000, 9.1321293E-001, 4.1935888E-007,-8.8365629E-014, 1.5251879E+001,-1.1676802E-001,-9.4023736E-002,-5.9026968E-004, 7.2643572E-005, 6.5201337E-004, 1.8266824E-008,-2.9537955E-001
 4.5001065E+002, 1.0307976E+000, 2.3146665E+000,-7.6558761E+000,-8.8473516E+000, 8.9891200E-001, 3.7442892E-007,-8.4653178E-014, 1.4529005E+001,-6.7342361E-002,-4.4512481E-002,-5.3327654E-004, 6.7388032E-005, 5.8905860E-004, 1.7072954E-008,-2.9537955E-001
 4.6001050E+002, 9.8641989E-001, 2.1775739E+000,-7.6591555E+000,-8.3607295E+000, 8.8359066E-001, 3.3824672E-007,-8.1394007E-014, 1.4137134E+001,-3.5475335E-002,-1.2740552E-002,-5.0167114E-004, 6.4503474E-005, 5.5414720E-004, 1.6050806E-008,-2.9537955E-001
 4.7001016E+002, 9.5963279E-001, 2.0949716E+000,-7.6592400E+000,-8.1195366E+000, 8.6978819E-001, 3.0951042E-007,-7.7954711E-014, 1.3947203E+001,-2.4403214E-002,-2.1519039E-003,-4.8263057E-004, 6.2752921E-005, 5.3311494E-004, 1.5187500E-008,-2.9537955E-001
 4.8000409E+002, 9.4119996E-001, 2.0393358E+000,-7.6589296E+000,-7.9725402E+000, 8.5791845E-001, 2.8242382E-007,-7.5379042E-014, 1.3812790E+001,-4.3163622E-002,-1.9561567E-002,-4.6980688E-004, 6.1553743E-005, 5.1894986E-004, 1.4455595E-008,-2.9537955E-001
 4.9000735E+002, 9.2714992E-001, 1.9955747E+000,-7.6569771E+000,-7.8310781E+000, 8.4783163E-001, 2.6172426E-007,-7.5382440E-014, 1.3723790E+001,-1.1735684E-002, 1.0716689E-002,-4.5972155E-004, 6.0640856E-005, 5.0780958E-004, 1.3799749E-008,-2.9537955E-001
 5.0001321E+002, 9.1653766E-001, 1.9620385E+000,-7.6549008E+000,-7.7366082E+000, 8.3697661E-001, 2.4378347E-007,-7.5362740E-014, 1.3674444E+001, 1.4904149E-002, 3.6449527E-002,-4.5199394E-004, 5.9943458E-005, 4.9927364E-004, 1.3241463E-008,-2.9537955E-001
 5.1000119E+002, 9.0702554E-001, 1.9327087E+000,-7.6523345E+000,-7.7255127E+000, 8.2822775E-001, 2.2723360E-007,-7.5366453E-014, 1.3634229E+001,-3.1433192E-002,-8.3646502E-003,-4.4523578E-004, 5.9324196E-005, 4.9180856E-004, 1.2754430E-008,-2.9537955E-001
 5.2000098E+002, 8.9835689E-001, 1.9067043E+000,-7.6469991E+000,-7.6503341E+000, 8.2022109E-001, 2.1263952E-007,-7.5389356E-014, 1.3594395E+001,-7.3469910E-003, 1.5640211E-002,-4.3924496E-004, 5.8757088E-005, 4.8519108E-004, 1.2307802E-008,-2.9537955E-001
 5.3000079E+002, 8.9055986E-001, 1.8838979E+000,-7.6469514E+000,-7.6179434E+000, 8.1242495E-001, 2.0133020E-007,-7.5375511E-014, 1.3572947E+001,-1.1486857E-002, 1.1037009E-002,-4.3399163E-004, 5.8247228E-005, 4.7938825E-004, 1.1908414E-008,-2.9537955E-001
 5.4000250E+002, 8.8282957E-001, 1.8611369E+000,-7.6383413E+000,-7.5813110E+000, 8.0370521E-001, 1.9047916E-007,-7.5393033E-014, 1.3550246E+001,-4.5758176E-003, 1.7128460E-002,-4.2874788E-004, 5.7741518E-005, 4.7359599E-004, 1.1564020E-008,-2.9537955E-001
 5.5000909E+002, 8.7542681E-001, 1.8388747E+000,-7.6373106E+000,-7.5366821E+000, 7.9618450E-001, 1.8149403E-007,-7.5312712E-014, 1.3501880E+001,-2.3561254E-002,-5.0087043E-004,-4.2361911E-004, 5.7261423E-005, 4.6793073E-004, 1.1250398E-008,-2.9537955E-001
 5.6000452E+002, 8.6991110E-001, 1.8221048E+000,-7.6402338E+000,-7.4500272E+000, 7.9015475E-001, 1.7352120E-007,-7.5320517E-014, 1.3484112E+001, 3.2177602E-002, 5.3917031E-002,-4.1975616E-004, 5.6893824E-005, 4.6366371E-004, 1.0974984E-008,-2.9537955E-001
 5.7001202E+002, 8.6431342E-001, 1.8059539E+000,-7.6357838E+000,-7.4899705E+000, 7.8401818E-001, 1.6626098E-007,-7.5343434E-014, 1.3480869E+001,-2.0522062E-002, 3.4460350E-003,-4.1603610E-004, 5.6533739E-005, 4.5955452E-004, 1.0729273E-008,-2.9537955E-001
 5.8000311E+002, 8.5831124E-001, 1.7893154E+000,-7.6355411E+000,-7.4224035E+000, 7.7797159E-001, 1.5897814E-007,-7.5332563E-014, 1.3448664E+001, 4.5835319E-003, 2.7001973E-002,-4.1220370E-004, 5.6140632E-005, 4.5532124E-004, 1.0499283E-008,-2.9537955E-001
 5.9000494E+002, 8.5342837E-001, 1.7761091E+000,-7.6319462E+000,-7.4251842E+000, 7.7387768E-001, 1.5213782E-007,-7.5398876E-014, 1.3440568E+001,-1.2792159E-002, 1.0743820E-002,-4.0916259E-004, 5.5816644E-005, 4.5196203E-004, 1.0279851E-008,-2.9537955E-001
 6.0000775E+002, 8.4765688E-001, 1.7596103E+000,-7.6224858E+000,-7.4021748E+000, 7.6940092E-001, 1.4673043E-007,-7.4596702E-014, 1.3423260E+001,-7.5219324E-003, 1.5657726E-002,-4.0536304E-004, 5.5446472E-005, 4.4776503E-004, 1.0072330E-008,-2.9537955E-001
 6.1001044E+002, 8.4213390E-001, 1.7441462E+000,-7.6236294E+000,-7.3852381E+000, 7.6256260E-001, 1.4086601E-007,-7.0749741E-014, 1.3408942E+001,-1.7165371E-002, 4.7715034E-003,-4.0180069E-004, 5.5081582E-005, 4.4383005E-004, 9.8846400E-009,-2.9537955E-001
 6.2000903E+002, 8.3676432E-001, 1.7291436E+000,-7.6181092E+000,-7.3363315E+000, 7.5830973E-001, 1.3534129E-007,-7.0750821E-014, 1.3391285E+001, 1.0027760E-002, 3.1918946E-002,-3.9834512E-004, 5.4731514E-005, 4.4001301E-004, 9.7002715E-009,-2.9537955E-001
 6.3000940E+002, 8.3203375E-001, 1.7136335E+000,-7.6181838E+000,-7.3315198E+000, 7.5709424E-001, 1.3300623E-007,-7.0751601E-014, 1.3369941E+001,-1.4338803E-002, 9.3653113E-003,-3.9477279E-004, 5.4417001E-005, 4.3606701E-004, 9.5334396E-009,-2.9537955E-001
 6.4000513E+002, 8.2673437E-001, 1.6997001E+000,-7.6106488E+000,-7.3087248E+000, 7.5034567E-001, 1.2940044E-007,-7.0752652E-014, 1.3364170E+001,-3.0629211E-004, 2.1876538E-002,-3.9156366E-004, 5.4076854E-005, 4.3252220E-004, 9.4057271E-009,-2.9537955E-001
 6.5000574E+002, 8.2171387E-001, 1.6863440E+000,-7.6104762E+000,-7.2713710E+000, 7.4775982E-001, 1.2554614E-007,-7.0753538E-014, 1.3345433E+001, 1.0634743E-002, 3.3059519E-002,-3.8848658E-004, 5.3743873E-005, 4.2912325E-004, 9.2837247E-009,-2.9537955E-001
 6.6000861E+002, 8.1707167E-001, 1.6721250E+000,-7.6061868E+000,-7.2784220E+000, 7.4425060E-001, 1.2335824E-007,-7.0754416E-014, 1.3323508E+001,-2.1776391E-002, 2.2121259E-004,-3.8521158E-004, 5.3443802E-005, 4.2550567E-004, 9.1641096E-009,-2.9537955E-001
 6.7000568E+002, 8.1272688E-001, 1.6584425E+000,-7.6073626E+000,-7.2334638E+000, 7.3976767E-001, 1.2133549E-007,-7.0755062E-014, 1.3302522E+001,-7.7696086E-003, 1.4190250E-002,-3.8206057E-004, 5.3158117E-005, 4.2202506E-004, 9.0663916E-009,-2.9537955E-001
 6.8001276E+002, 8.0806990E-001, 1.6440983E+000,-7.5999678E+000,-7.2117113E+000, 7.3649240E-001, 1.1874629E-007,-7.0755997E-014, 1.3295917E+001, 5.2165853E-003, 2.8800738E-002,-3.7875573E-004, 5.2855426E-005, 4.1837453E-004, 8.9793555E-009,-2.9537955E-001
 6.9000024E+002, 8.0396098E-001, 1.6314734E+000,-7.5998979E+000,-7.2119517E+000, 7.3320444E-001, 1.1701759E-007,-7.0756638E-014, 1.3278176E+001,-1.7229051E-002, 3.4923038E-003,-3.7584825E-004, 5.2580878E-005, 4.1516292E-004, 8.8932847E-009,-2.9537955E-001
 7.0001123E+002, 7.9960234E-001, 1.6186569E+000,-7.5948050E+000,-7.1680536E+000, 7.2956324E-001, 1.1523509E-007,-7.0757405E-014, 1.3265640E+001, 9.4082610E-003, 3.1947426E-002,-3.7289669E-004, 5.2301322E-005, 4.1190262E-004, 8.8169525E-009,-2.9537955E-001
 7.1001044E+002, 7.9523886E-001, 1.6074590E+000,-7.5919281E+000,-7.1835723E+000, 7.2817190E-001, 1.1308916E-007,-7.0758157E-014, 1.3253525E+001,-2.1132404E-002, 1.4354097E-003,-3.7031751E-004, 5.2013546E-005, 4.0905365E-004, 8.7442431E-009,-2.9537955E-001
 7.2000354E+002, 7.9115487E-001, 1.5948967E+000,-7.5899182E+000,-7.1321474E+000, 7.2544959E-001, 1.1133733E-007,-7.0758961E-014, 1.3242303E+001, 1.4901782E-002, 3.6842019E-002,-3.6742394E-004, 5.1749440E-005, 4.0585740E-004, 8.6710814E-009,-2.9537955E-001
 7.3001001E+002, 7.8721434E-001, 1.5836930E+000,-7.5904158E+000,-7.1369857E+000, 7.2315190E-001, 1.0891340E-007,-7.0759491E-014, 1.3227361E+001,-1.1862988E-002, 1.0325455E-002,-3.6484289E-004, 5.1489192E-005, 4.0300638E-004, 8.5986343E-009,-2.9537955E-001
 7.4000421E+002, 7.8402451E-001, 1.5757150E+000,-7.5915564E+000,-7.1153549E+000, 7.2069517E-001, 1.0743625E-007,-7.0759740E-014, 1.3208345E+001,-1.5958419E-002, 6.1533296E-003,-3.6300600E-004, 5.1281584E-005, 4.0097734E-004, 8.5226839E-009,-2.9537955E-001
 7.5000903E+002, 7.8124356E-001, 1.5694127E+000,-7.5873898E+000,-7.0781987E+000, 7.1699750E-001, 1.0630081E-007,-7.0759970E-014, 1.3201359E+001, 1.3035256E-002, 3.4011716E-002,-3.6155510E-004, 5.1098591E-005, 3.9937467E-004, 8.4573451E-009,-2.9537955E-001
 7.6000397E+002, 7.7741061E-001, 1.5593928E+000,-7.5818809E+000,-7.1227858E+000, 7.1712871E-001, 1.0477068E-007,-7.0760803E-014, 1.3204693E+001,-2.8080800E-002,-5.4338612E-003,-3.5924731E-004, 5.0847527E-005, 3.9682548E-004, 8.3982096E-009,-2.9537955E-001
 7.7000482E+002, 7.7332065E-001, 1.5470393E+000,-7.5771277E+000,-7.0454268E+000, 7.1550194E-001, 1.0398729E-007,-7.0761538E-014, 1.3192071E+001, 3.6407412E-002, 5.8339160E-002,-3.5640279E-004, 5.0584597E-005, 3.9368341E-004, 8.3428708E-009,-2.9537955E-001
 7.8001062E+002, 7.7006271E-001, 1.5378335E+000,-7.5803817E+000,-7.0744905E+000, 7.1180116E-001, 1.0274119E-007,-7.0761961E-014, 1.3176900E+001,-1.7270356E-002, 3.8918823E-003,-3.5428193E-004, 5.0367858E-005, 3.9134071E-004, 8.2961242E-009,-2.9537955E-001
 7.9001044E+002, 7.6646001E-001, 1.5283469E+000,-7.5757888E+000,-7.0474661E+000, 7.1102405E-001, 1.0089172E-007,-7.0762641E-014, 1.3167929E+001,-1.7246583E-003, 2.2157953E-002,-3.5209698E-004, 5.0132909E-005, 3.8892721E-004, 8.2453358E-009,-2.9537955E-001
 8.0000873E+002, 7.6289390E-001, 1.5177594E+000,-7.5726644E+000,-7.0251361E+000, 7.0915805E-001, 1.0007963E-007,-7.0763168E-014, 1.3162246E+001, 1.5411612E-002, 3.6497851E-002,-3.4965840E-004, 4.9900375E-005, 3.8623355E-004, 8.1898328E-009,-2.9537955E-001
 8.1001465E+002, 7.5947790E-001, 1.5078237E+000,-7.5713248E+000,-7.0279683E+000, 7.0765847E-001, 9.9052001E-008,-7.0719828E-014, 1.3135271E+001,-1.9479750E-002, 3.1141818E-003,-3.4736976E-004, 4.9675044E-005, 3.8370550E-004, 8.1398060E-009,-2.9537955E-001
 8.2000934E+002, 7.5658133E-001, 1.4994742E+000,-7.5718813E+000,-6.9984602E+000, 7.0644595E-001, 9.8901519E-008,-7.0764059E-014, 1.3137162E+001, 8.0140902E-003, 2.9847424E-002,-3.4544657E-004, 4.9485544E-005, 3.8158115E-004, 8.0978471E-009,-2.9537955E-001
 8.3001117E+002, 7.5250972E-001, 1.4879790E+000,-7.5637937E+000,-6.9904648E+000, 7.0416737E-001, 9.8356350E-008,-7.0764891E-014, 1.3127036E+001, 7.9230343E-003, 2.9454339E-002,-3.4279853E-004, 4.9224326E-005, 3.7865611E-004, 8.0675026E-009,-2.9537955E-001
 8.4000146E+002, 7.4996856E-001, 1.4810794E+000,-7.5673306E+000,-6.9717965E+000, 7.0323618E-001, 9.7287692E-008,-7.0765076E-014, 1.3110920E+001, 3.5266611E-003, 2.4997972E-002,-3.4121022E-004, 4.9051889E-005, 3.7690167E-004, 8.0366791E-009,-2.9537955E-001
 8.5001233E+002, 7.4689945E-001, 1.4732380E+000,-7.5664362E+000,-6.9920815E+000, 7.0173890E-001, 9.5975942E-008,-7.0765585E-014, 1.3117747E+001,-1.5191259E-002, 7.8678095E-003,-3.3940358E-004, 4.8855675E-005, 3.7490605E-004, 7.9991082E-009,-2.9537955E-001
