s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
 1.5000044E+002, 1.0591948E+001,-2.5166012E+000,-6.4040778E+000, 1.6156103E-001,-3.0799245E-003, 3.8402169E-003,-5.5977476E-001,-5.0376981E-002, 1.2738151E+000,-2.7552413E-004, 7.9331499E-004, 3.0434465E-004, 2.5077338E-004,-2.9819269E-001, 3.7694344E+003
 1.6000549E+002, 1.0469391E+001,-2.4747477E+000,-6.2071262E+000, 1.5028924E-001,-2.3506766E-003, 3.8169328E-003,-5.4214817E-001, 8.0425353E-002, 1.3971247E+000,-2.7392337E-004, 7.7621882E-004, 3.0257644E-004, 2.5240052E-004,-2.9819269E-001, 4.0051697E+003
 1.7000751E+002, 1.0599859E+001,-2.5310394E+000,-6.3718490E+000, 1.4411704E-001,-1.7517801E-003, 3.7986180E-003,-5.5807866E-001,-3.1086599E-002, 1.2850557E+000,-2.7247113E-004, 7.7486717E-004, 3.0097230E-004, 2.5406569E-004,-2.9819269E-001, 4.2396996E+003
 1.8000836E+002, 1.0625959E+001,-2.5435833E+000,-6.3845944E+000, 1.5105715E-001,-1.4308601E-003, 3.7573236E-003,-5.2745432E-001, 1.0686079E-002, 1.3237107E+000,-2.7155162E-004, 7.9805712E-004, 2.9995660E-004, 2.5528395E-004,-2.9819269E-001, 4.4716588E+003
 1.9000490E+002, 1.0855525E+001,-2.5915285E+000,-6.5321935E+000, 1.4308702E-001,-1.0124108E-003, 3.7108781E-003,-5.1880651E-001, 4.2738287E-002, 1.3587820E+000,-2.7202600E-004, 8.1904090E-004, 3.0048060E-004, 2.5580145E-004,-2.9819269E-001, 4.7006518E+003
 2.0000819E+002, 1.0305465E+001,-2.4519393E+000,-6.3475641E+000, 1.4803834E-001,-8.0271622E-004, 3.6813421E-003,-4.6503892E-001,-1.1715375E-001, 1.1918395E+000,-2.7128744E-004, 7.7744249E-004, 2.9966478E-004, 2.5684449E-004,-2.9819269E-001, 4.9279685E+003
 2.1000044E+002, 1.0116212E+001,-2.3909308E+000,-5.9220075E+000, 1.5567005E-001,-7.2244277E-004, 3.6844406E-003,-4.8444165E-001, 1.7266570E-001, 1.4774644E+000,-2.7093066E-004, 7.1291253E-004, 2.9927069E-004, 2.5688815E-004,-2.9819269E-001, 5.1552304E+003
 2.2000182E+002, 1.0447908E+001,-2.5072963E+000,-6.3658157E+000, 1.5425938E-001,-5.5592738E-004, 3.6738999E-003,-4.7545919E-001,-5.7284138E-002, 1.2567144E+000,-2.7336567E-004, 6.9750137E-004, 3.0196041E-004, 2.5381674E-004,-2.9819269E-001, 5.3820487E+003
 2.3000032E+002, 1.0749435E+001,-2.5504200E+000,-6.4126613E+000, 1.3553739E-001,-4.3742374E-004, 3.6859473E-003,-4.9819271E-001, 9.8093816E-002, 1.4269467E+000,-2.7551950E-004, 7.0749459E-004, 3.0433953E-004, 2.5094722E-004,-2.9819269E-001, 5.6095410E+003
 2.4000037E+002, 1.1076320E+001,-2.6274492E+000,-6.7483511E+000, 1.1170195E-001,-6.8969956E-004, 3.7004521E-003,-4.5662979E-001, 3.4378588E-002, 1.3586030E+000,-2.7667815E-004, 7.1507637E-004, 3.0561938E-004, 2.4936001E-004,-2.9819269E-001, 5.8379680E+003
 2.5000380E+002, 1.1139348E+001,-2.6346185E+000,-6.9923952E+000, 1.2790827E-001,-1.0720276E-003, 3.6929422E-003,-3.8676069E-001,-9.8003509E-002, 1.2561030E+000,-2.8063535E-004, 7.0521123E-004, 3.0999052E-004, 2.4759401E-004,-2.9819269E-001, 6.0660044E+003
 2.6000809E+002, 1.1002077E+001,-2.5719166E+000,-6.7397778E+000, 1.2130867E-001,-1.3813416E-003, 3.6996677E-003,-3.7201662E-001, 7.2596668E-002, 1.4419926E+000,-2.8460496E-004, 6.9537817E-004, 3.1437535E-004, 2.4663837E-004,-2.9819269E-001, 6.2944767E+003
 2.7000125E+002, 1.0911552E+001,-2.5377461E+000,-6.7643412E+000, 1.1877456E-001,-1.6419794E-003, 3.6876217E-003,-3.4761295E-001, 3.3123872E-003, 1.3826715E+000,-2.8747328E-004, 6.8661348E-004, 3.1754370E-004, 2.4706353E-004,-2.9819269E-001, 6.5219525E+003
 2.8001144E+002, 1.0770497E+001,-2.4950708E+000,-6.6715993E+000, 1.2300494E-001,-2.1130530E-003, 3.6942942E-003,-2.9679986E-001, 1.2518390E-002, 1.4316130E+000,-2.9404560E-004, 6.8658339E-004, 3.2480351E-004, 2.4776888E-004,-2.9819269E-001, 6.7502298E+003
 2.9001083E+002, 1.0786779E+001,-2.5272634E+000,-6.5577012E+000, 1.2365674E-001,-3.2862866E-003, 3.6914648E-003,-2.7492317E-001, 8.3132187E-002, 1.5509529E+000,-3.0536668E-004, 6.7894026E-004, 3.3730880E-004, 2.4795300E-004,-2.9819269E-001, 6.9780821E+003
 3.0000632E+002, 1.0657325E+001,-2.4521809E+000,-6.7655811E+000, 1.2743914E-001,-2.7784342E-003, 3.6960971E-003,-2.2512083E-001,-1.4377963E-001, 1.3427989E+000,-3.0985352E-004, 6.6940254E-004, 3.4226497E-004, 2.4757265E-004,-2.9819269E-001, 7.2061343E+003
 3.1000330E+002, 6.0859548E+000,-8.8058852E-001,-4.5229709E+000, 1.9948908E-001,-1.7877340E-003, 3.7105404E-003, 1.8795244E-001,-3.4143413E-001, 1.0717597E+000,-3.0105597E-004, 2.5589898E-004, 3.3254718E-004, 2.4679755E-004,-2.9819269E-001, 7.4351102E+003
 3.2000760E+002, 5.1901525E+000,-7.0090059E-001,-3.7042334E+000, 2.1262079E-001,-1.9897305E-004, 3.6930250E-003, 1.6312774E-001,-5.4013661E-002, 1.1642611E+000,-2.5707124E-004, 1.8957549E-004, 2.8396154E-004, 2.4504461E-004,-2.9819269E-001, 7.6631738E+003
 3.3000296E+002, 4.9061980E+000,-6.1874619E-001,-3.4726682E+000, 2.0470430E-001, 1.5962001E-005, 3.6925210E-003, 1.3102823E-001,-3.7550828E-003, 1.1542245E+000,-2.4370712E-004, 1.7200464E-004, 2.6919950E-004, 2.4298598E-004,-2.9819269E-001, 7.8910011E+003
 3.4000778E+002, 4.6845088E+000,-5.4366640E-001,-3.2980048E+000, 1.9234156E-001, 5.2275208E-005, 3.7155449E-003, 7.2292525E-002,-1.8190465E-004, 1.1112395E+000,-2.3325985E-004, 1.5789838E-004, 2.5765942E-004, 2.4124535E-004,-2.9819269E-001, 8.1204654E+003
 3.5000150E+002, 4.4827493E+000,-5.0029259E-001,-3.1922561E+000, 1.9634162E-001, 5.4841563E-005, 3.7317718E-003, 7.8740555E-002,-6.3947361E-003, 1.0690695E+000,-2.2538394E-004, 1.4745589E-004, 2.4895967E-004, 2.3968262E-004,-2.9819269E-001, 8.3506745E+003
 3.6000076E+002, 4.3512577E+000,-4.5659404E-001,-3.1447200E+000, 1.9679414E-001, 4.9839730E-005, 3.7357491E-003, 5.3211578E-002,-3.6745661E-002, 1.0037350E+000,-2.1765051E-004, 1.3996281E-004, 2.4041730E-004, 2.3810732E-004,-2.9819269E-001, 8.5812590E+003
 3.7000620E+002, 4.2620126E+000,-4.2981168E-001,-3.0051996E+000, 1.9274499E-001, 4.3887908E-005, 3.7442864E-003, 2.4790469E-002, 2.7757586E-002, 1.0483249E+000,-2.1404842E-004, 1.2925704E-004, 2.3643842E-004, 2.3643275E-004,-2.9819269E-001, 8.8125148E+003
 3.8001266E+002, 4.2428539E+000,-3.9846007E-001,-2.9391825E+000, 1.8732632E-001, 3.9861197E-005, 3.7536039E-003,-8.0160000E-002, 4.3388265E-002, 1.0161712E+000,-2.0490089E-004, 1.2997015E-004, 2.2633404E-004, 2.3539215E-004,-2.9819269E-001, 9.0443675E+003
 3.9000974E+002, 4.7373868E+000,-5.2807319E-001,-3.0902287E+000, 1.8660515E-001, 2.9075275E-005, 3.7525119E-003,-2.7274208E-001, 5.7557099E-002, 1.0367296E+000,-2.0450945E-004, 2.0398269E-004, 2.2590165E-004, 2.3503853E-004,-2.9819269E-001, 9.2759336E+003
 4.0001205E+002, 5.0771974E+000,-6.2399326E-001,-3.3420573E+000, 1.8864457E-001,-2.4219850E-005, 3.8399621E-003,-3.0564227E-001,-2.3508032E-002, 9.9796492E-001,-2.1406703E-004, 2.2698562E-004, 2.3645898E-004, 2.3467181E-004,-2.9819269E-001, 9.5130217E+003
 4.1000378E+002, 4.8584935E+000,-5.4419837E-001,-3.2429003E+000, 1.9089258E-001,-3.5040404E-004, 3.7609494E-003,-2.2768425E-001,-6.4371693E-003, 1.0380137E+000,-2.1940092E-004, 1.7835890E-004, 2.4235081E-004, 2.3426090E-004,-2.9819269E-001, 9.7449947E+003
 4.2000098E+002, 4.2054452E+000,-3.7190501E-001,-2.9633316E+000, 1.9964151E-001,-2.6446552E-004, 3.6830398E-003,-1.1223485E-001,-4.2185299E-002, 9.6103388E-001,-2.1142019E-004, 1.1318386E-004, 2.3353527E-004, 2.3262044E-004,-2.9819269E-001, 9.9722774E+003
 4.3000583E+002, 4.0077391E+000,-3.2106101E-001,-2.7674872E+000, 2.0314648E-001,-1.4421055E-004, 3.7213963E-003,-1.4983619E-001, 1.9854803E-003, 9.7607836E-001,-2.0610390E-004, 1.0746064E-004, 2.2766289E-004, 2.3117225E-004,-2.9819269E-001, 1.0202101E+004
 4.4001001E+002, 3.9131225E+000,-2.8731241E-001,-2.6435445E+000, 2.0259377E-001,-9.4925858E-005, 3.7480970E-003,-2.1438962E-001, 8.5545238E-003, 9.7412294E-001,-2.0507760E-004, 1.1290814E-004, 2.2652923E-004, 2.3004791E-004,-2.9819269E-001, 1.0433564E+004
 4.5000818E+002, 3.9837371E+000,-3.0107790E-001,-2.5944300E+000, 1.9844973E-001,-4.2831399E-005, 3.7647015E-003,-2.9292922E-001, 3.1815552E-002, 9.9747161E-001,-2.0541033E-004, 1.4631774E-004, 2.2689676E-004, 2.2919486E-004,-2.9819269E-001, 1.0665903E+004
 4.6001474E+002, 4.2559845E+000,-3.8778600E-001,-2.7101585E+000, 1.9563197E-001,-2.8089931E-007, 3.9267767E-003,-3.5347691E-001,-1.0470072E-002, 1.0041215E+000,-2.1497782E-004, 2.0674903E-004, 2.3746504E-004, 2.2896402E-004,-2.9819269E-001, 1.0908449E+004
 4.7000485E+002, 4.3163834E+000,-4.0321143E-001,-2.6799893E+000, 1.9761916E-001, 2.1203899E-005, 3.9865174E-003,-3.2326911E-001, 2.4662424E-002, 1.1115405E+000,-2.3129165E-004, 2.2692808E-004, 2.5548533E-004, 2.2894967E-004,-2.9819269E-001, 1.1154289E+004
 4.8001605E+002, 4.4972538E+000,-4.4232571E-001,-2.7623045E+000, 1.9907590E-001,-6.2342698E-006, 3.8974541E-003,-3.5953566E-001, 4.6401242E-002, 1.1360551E+000,-2.3206611E-004, 2.6905927E-004, 2.5634081E-004, 2.2915529E-004,-2.9819269E-001, 1.1395146E+004
 4.9001468E+002, 4.6131787E+000,-4.6642858E-001,-2.8723157E+000, 1.9363417E-001,-3.2330953E-004, 3.8118441E-003,-3.0293170E-001, 4.6326501E-002, 1.1686254E+000,-2.3912551E-004, 2.8933695E-004, 2.6413864E-004, 2.2939972E-004,-2.9819269E-001, 1.1630420E+004
 5.0001321E+002, 4.2633951E+000,-3.6170166E-001,-2.8752368E+000, 2.0349100E-001,-3.6848964E-004, 3.7074704E-003,-1.5097236E-001,-3.0695684E-002, 1.0823142E+000,-2.3821449E-004, 2.5056918E-004, 2.6313232E-004, 2.2844865E-004,-2.9819269E-001, 1.1859242E+004
 5.1001086E+002, 4.2986942E+000,-3.7337344E-001,-2.8698487E+000, 2.0882825E-001,-3.4869302E-004, 3.7137522E-003,-1.6024307E-001,-1.0939541E-003, 1.1074224E+000,-2.3676904E-004, 2.5847359E-004, 2.6153568E-004, 2.2767045E-004,-2.9819269E-001, 1.2088432E+004
 5.2000958E+002, 4.3966262E+000,-3.9753230E-001,-2.8952759E+000, 2.0998439E-001,-4.2585699E-004, 3.6996713E-003,-1.9256216E-001, 6.6584232E-003, 1.1245140E+000,-2.3865176E-004, 2.7593044E-004, 2.6361533E-004, 2.2725947E-004,-2.9819269E-001, 1.2316780E+004
 5.3000696E+002, 4.4969169E+000,-4.1414115E-001,-2.9086556E+000, 2.0999643E-001,-5.7707467E-004, 3.6635727E-003,-2.1863097E-001, 2.7272206E-002, 1.1685721E+000,-2.4421906E-004, 2.9265984E-004, 2.6976499E-004, 2.2705216E-004,-2.9819269E-001, 1.2542868E+004
 5.4000983E+002, 4.7700134E+000,-4.9791945E-001,-3.0353081E+000, 2.1016091E-001,-7.8375883E-004, 3.6745292E-003,-2.2282456E-001, 4.2988701E-002, 1.2270130E+000,-2.5290756E-004, 3.3153735E-004, 2.7936232E-004, 2.2698511E-004,-2.9819269E-001, 1.2769755E+004
 5.5000000E+002, 5.8729282E+000,-8.1335106E-001,-3.4258232E+000, 1.9985021E-001,-6.9304863E-004, 3.7555331E-003,-4.8860088E-001, 9.5610019E-002, 1.3480657E+000,-2.6810452E-004, 5.4520812E-004, 2.9614893E-004, 2.2712136E-004,-2.9819269E-001, 1.3001340E+004
 5.6000714E+002, 6.4141692E+000,-9.3622505E-001,-3.8481823E+000, 1.9973513E-001,-1.7798727E-003, 3.7663429E-003,-3.7775651E-001, 3.3300044E-002, 1.4537269E+000,-3.0588554E-004, 6.0159880E-004, 3.3788194E-004, 2.2814559E-004,-2.9819269E-001, 1.3234007E+004
 5.7001025E+002, 5.8845819E+000,-8.6760034E-001,-3.6869021E+000, 1.9961437E-001,-2.6968084E-003, 3.6853539E-003,-1.3543016E-001,-4.0266033E-002, 1.3952522E+000,-3.0822143E-004, 5.6399706E-004, 3.4046216E-004, 2.2908623E-004,-2.9819269E-001, 1.3461563E+004
 5.8000122E+002, 5.6315490E+000,-8.4148567E-001,-3.5187706E+000, 2.0253819E-001,-7.9359481E-004, 3.7798340E-003,-1.1148944E-002, 2.9203554E-002, 1.4656682E+000,-3.0820653E-004, 5.4932659E-004, 3.4044571E-004, 2.2978260E-004,-2.9819269E-001, 1.3694670E+004
 5.9000433E+002, 5.2819891E+000,-7.9148925E-001,-3.4313012E+000, 2.0742922E-001,-1.1288295E-004, 3.8420284E-003, 1.7155650E-001,-4.7988891E-003, 1.4419135E+000,-3.0926672E-004, 5.1449897E-004, 3.4161679E-004, 2.3022066E-004,-2.9819269E-001, 1.3931911E+004
 6.0000439E+002, 5.5247979E+000,-8.7838980E-001,-3.5713067E+000, 2.0633219E-001,-3.8760883E-005, 3.6107613E-003, 1.9223110E-001, 1.3532488E-002, 1.4772367E+000,-3.1220135E-004, 5.0282000E-004, 3.4485840E-004, 2.3043462E-004,-2.9819269E-001, 1.4154812E+004
 6.1000995E+002, 5.7383047E+000,-9.3673782E-001,-3.6695151E+000, 2.0025378E-001,-7.7412588E-005, 3.4963010E-003, 1.6610602E-001, 2.6194658E-002, 1.5018304E+000,-3.1492980E-004, 4.8933952E-004, 3.4787224E-004, 2.3041159E-004,-2.9819269E-001, 1.4370753E+004
 6.2001349E+002, 5.9016545E+000,-9.8376342E-001,-3.7398310E+000, 2.0249119E-001,-3.3779944E-004, 3.4882424E-003, 1.2499017E-001, 2.0175113E-002, 1.5086919E+000,-3.1858241E-004, 4.9394543E-004, 3.5190693E-004, 2.3027741E-004,-2.9819269E-001, 1.4586153E+004
 6.3000555E+002, 7.0751977E+000,-1.2630556E+000,-4.4666370E+000, 2.1318032E-001,-9.1257827E-004, 3.5036105E-003, 1.1658127E-001, 1.7050187E-001, 1.6778578E+000,-3.2223109E-004, 5.1824052E-004, 3.5593727E-004, 2.3019688E-004,-2.9819269E-001, 1.4802253E+004
 6.4000482E+002, 7.4721386E+000,-1.3526494E+000,-4.9120749E+000, 2.2246390E-001,-2.0421450E-003, 3.4933873E-003, 8.4346952E-002,-1.8281206E-002, 1.5156765E+000,-3.2827397E-004, 5.0766318E-004, 3.6261226E-004, 2.2997866E-004,-2.9819269E-001, 1.5017879E+004
 6.5001190E+002, 7.6719916E+000,-1.4157189E+000,-4.9081739E+000, 2.3017698E-001,-3.7212295E-003, 3.4739570E-003, 4.4745558E-002, 5.7071121E-002, 1.6227740E+000,-3.3451709E-004, 5.2813530E-004, 3.6950842E-004, 2.2986107E-004,-2.9819269E-001, 1.5232472E+004
 6.6000568E+002, 7.8972680E+000,-1.4978322E+000,-5.0545004E+000, 2.3467458E-001,-5.9355434E-003, 3.4916744E-003, 3.2798594E-002, 5.3502424E-003, 1.6099647E+000,-3.4262409E-004, 5.6403575E-004, 3.7846343E-004, 2.2996076E-004,-2.9819269E-001, 1.5447873E+004
 6.7000861E+002, 8.2916353E+000,-1.6274554E+000,-5.2012979E+000, 2.3126136E-001,-6.1239880E-003, 3.5212149E-003, 1.4170714E-002, 6.4467426E-002, 1.7057114E+000,-3.5238106E-004, 5.9392766E-004, 3.8924100E-004, 2.3017037E-004,-2.9819269E-001, 1.5665296E+004
 6.8000415E+002, 8.7578815E+000,-1.7534183E+000,-5.4933418E+000, 2.3181846E-001,-6.5349866E-003, 3.5236588E-003,-1.0895832E-002, 4.1742769E-002, 1.7290327E+000,-3.6332142E-004, 6.1295278E-004, 4.0132575E-004, 2.3049854E-004,-2.9819269E-001, 1.5882708E+004
 6.9000671E+002, 9.0510249E+000,-1.8393575E+000,-5.7392648E+000, 2.3410688E-001,-7.3771704E-003, 3.5318284E-003, 4.5126219E-002, 1.7971541E-002, 1.7477903E+000,-3.7328004E-004, 6.2578806E-004, 4.1232607E-004, 2.3092769E-004,-2.9819269E-001, 1.6100776E+004
 7.0001129E+002, 8.8735599E+000,-1.8297873E+000,-5.7251227E+000, 2.5336478E-001,-2.9983907E-003, 3.5865382E-003, 1.9911279E-001, 2.0732482E-002, 1.7717156E+000,-3.7814150E-004, 6.1279182E-004, 4.1769605E-004, 2.3116248E-004,-2.9819269E-001, 1.6322265E+004
 7.1000610E+002, 8.8229634E+000,-1.7943190E+000,-5.6667967E+000, 2.5362003E-001,-6.6074198E-004, 3.6390264E-003, 1.6583746E-001, 1.8203235E-002, 1.7842835E+000,-3.8271666E-004, 6.1628581E-004, 4.2274979E-004, 2.3125912E-004,-2.9819269E-001, 1.6546778E+004
 7.2000476E+002, 8.7581556E+000,-1.7889087E+000,-5.6386354E+000, 2.6019351E-001,-3.6002259E-004, 3.6330577E-003, 1.9537585E-001, 1.4802271E-003, 1.7894539E+000,-3.8794714E-004, 6.3477591E-004, 4.2852738E-004, 2.3151093E-004,-2.9819269E-001, 1.6771013E+004
 7.3001038E+002, 8.8716490E+000,-1.8119370E+000,-5.6588602E+000, 2.5892024E-001,-1.5026799E-004, 3.6655544E-003, 1.6691414E-001, 2.0856037E-002, 1.8302015E+000,-3.9343218E-004, 6.4521026E-004, 4.3458617E-004, 2.3173324E-004,-2.9819269E-001, 1.6997409E+004
 7.4000677E+002, 9.0031193E+000,-1.8525419E+000,-5.6960010E+000, 2.6158508E-001,-1.5695463E-004, 3.6290170E-003, 1.3445802E-001, 1.3788026E-002, 1.8540916E+000,-4.0030086E-004, 6.5703268E-004, 4.4217334E-004, 2.3207052E-004,-2.9819269E-001, 1.7221345E+004
 7.5001080E+002, 8.8197748E+000,-1.8745292E+000,-5.5909988E+000, 2.6715487E-001,-4.1623672E-005, 3.4845108E-003, 2.3211693E-001,-1.1442565E-002, 1.8569614E+000,-4.0634133E-004, 6.7961411E-004, 4.4884565E-004, 2.3241582E-004,-2.9819269E-001, 1.7436528E+004
 7.6000146E+002, 8.8517192E+000,-1.9036142E+000,-5.5286775E+000, 2.6109314E-001,-6.5585817E-006, 3.5503512E-003, 2.4848698E-001, 5.4250347E-002, 1.9325515E+000,-4.1220982E-004, 7.2274815E-004, 4.5532800E-004, 2.3273606E-004,-2.9819269E-001, 1.7655478E+004
 7.7000800E+002, 9.1502772E+000,-1.9454594E+000,-5.7016325E+000, 2.5793265E-001,-1.2343037E-006, 3.5477086E-003, 2.2017057E-001, 7.0314405E-002, 1.9848349E+000,-4.2091953E-004, 7.9522616E-004, 4.6494877E-004, 2.3311862E-004,-2.9819269E-001, 1.7874614E+004
 7.8000934E+002, 9.1235871E+000,-2.0205362E+000,-5.7416526E+000, 2.6422667E-001,-1.6654709E-006, 3.5083750E-003, 3.0308502E-001, 1.5749229E-002, 1.9322167E+000,-4.2880216E-004, 8.8912186E-004, 4.7365594E-004, 2.3355204E-004,-2.9819269E-001, 1.8091212E+004
 7.9000336E+002, 9.9981984E+000,-2.3371948E+000,-6.1107581E+000, 2.4876514E-001,-3.0420450E-006, 3.5085045E-003, 2.6314307E-001, 1.2421823E-001, 2.0656592E+000,-4.3916335E-004, 1.0058347E-003, 4.8510094E-004, 2.3409402E-004,-2.9819269E-001, 1.8307658E+004
 8.0000793E+002, 1.2620264E+001,-3.2557624E+000,-7.3333007E+000, 2.3141280E-001,-3.9939111E-006, 3.4792291E-003, 1.0878086E-001, 3.4003778E-001, 2.3748694E+000,-4.6802314E-004, 1.2015846E-003, 5.1697953E-004, 2.3483607E-004,-2.9819269E-001, 1.8522524E+004
 8.1000659E+002, 1.7400297E+001,-4.5816647E+000,-1.0750410E+001, 2.5951533E-001,-5.9558978E-006, 3.4596235E-003, 2.3508958E-002, 1.1729720E-001, 2.3547003E+000,-5.1568045E-004, 1.4081298E-003, 5.6962192E-004, 2.3554592E-004,-2.9819269E-001, 1.8736053E+004
 8.2000958E+002, 1.9858351E+001,-5.4114560E+000,-1.2090459E+001, 2.7099020E-001,-7.5112337E-006, 3.3779203E-003, 5.2128144E-002, 2.4182004E-001, 2.6829248E+000,-5.6694914E-004, 1.7958327E-003, 6.2625345E-004, 2.3604808E-004,-2.9819269E-001, 1.8944633E+004
 8.3000098E+002, 2.2483380E+001,-6.2477206E+000,-1.3372435E+001, 2.4021907E-001,-7.5481190E-006, 3.2382569E-003,-3.1415147E-002, 3.7533488E-001, 3.0752587E+000,-6.2885711E-004, 2.2281084E-003, 6.9463714E-004, 2.3689322E-004,-2.9819269E-001, 1.9144352E+004
 8.4000604E+002, 2.8013906E+001,-8.0072744E+000,-1.6752912E+001, 2.3633544E-001,-7.7229522E-006, 3.1929130E-003,-7.6140495E-002, 3.0738907E-001, 3.4170997E+000,-7.2387917E-004, 2.9416886E-003, 7.9959875E-004, 2.3867560E-004,-2.9819269E-001, 1.9341552E+004
 8.5000452E+002, 3.6003973E+001,-1.0593614E+001,-2.1061176E+001, 1.8895625E-001,-8.0035162E-006, 2.8649142E-003,-2.9258402E-001, 6.7063858E-001, 4.2484126E+000,-8.3595833E-004, 3.6982713E-003, 9.2340167E-004, 2.4183820E-004,-2.9819269E-001, 1.9518384E+004
