s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
 1.5000078E+002, 1.9957970E+002, 1.3053241E+001,-7.1272655E+001,-1.4170405E+002, 1.5242611E+000,-1.0318628E-001,-8.2101669E-013, 7.8303524E+000,-1.5816070E+000, 8.9076697E+000,-2.9138150E-003, 1.5497976E-002, 3.2186073E-003, 2.0842516E-003,-2.9819269E-001,-2.9819269E-001
 1.6000002E+002, 2.1124718E+002, 1.3955938E+001,-7.4842264E+001,-1.4574562E+002, 1.7985146E+000,-4.4878371E-002,-8.2085939E-013, 6.4530434E+000, 1.4323200E+000, 1.2821919E+001,-3.1153199E-003, 1.6294820E-002, 3.4411902E-003, 2.2148993E-003,-2.9819269E-001,-2.9819269E-001
 1.7000026E+002, 2.5077117E+002, 1.5391836E+001,-8.9074946E+001,-1.7041481E+002, 1.8734454E+000,-3.6574657E-002,-8.2053043E-013, 5.6999838E+000, 1.6248504E+000, 1.4210103E+001,-3.4358488E-003, 1.8827440E-002, 3.7952472E-003, 2.3200670E-003,-2.9819269E-001,-2.9819269E-001
 1.8000040E+002, 2.4557840E+002, 1.7534901E+001,-8.8064596E+001,-1.6891076E+002, 2.1144522E+000,-4.6824827E-002,-8.2027601E-013, 6.3351331E+000,-4.2054226E-003, 1.4540708E+001,-3.9142354E-003, 1.8469978E-002, 4.3236742E-003, 2.4336263E-003,-2.9819269E-001,-2.9819269E-001
 1.9000008E+002, 2.7714857E+002, 1.9119433E+001,-9.8426622E+001,-1.8582956E+002, 1.9936909E+000,-5.0347646E-002,-8.1988434E-013, 5.9066623E+000, 3.8805642E+000, 1.9861833E+001,-4.2679432E-003, 2.2483675E-002, 4.7143808E-003, 2.4736465E-003,-2.9819269E-001,-2.9819269E-001
 2.0000038E+002, 3.9957818E+002, 2.1062979E+001,-1.4204553E+002,-2.6307324E+002, 1.8275405E+000,-6.2594740E-002,-8.1975382E-013, 3.7879755E+000, 4.1887941E+000, 2.1075315E+001,-4.7017920E-003, 3.4227483E-002, 5.1936112E-003, 2.6143137E-003,-2.9819269E-001,-2.9819269E-001
 2.1000055E+002, 5.5750930E+002, 2.5022130E+001,-1.9919153E+002,-3.6436028E+002, 1.5045134E+000,-8.3759882E-002,-8.1941272E-013, 2.2899699E-001, 6.5837866E-001, 2.0629371E+001,-5.5855751E-003, 4.5285271E-002, 6.1698403E-003, 2.9279378E-003,-2.9819269E-001,-2.9819269E-001
 2.2000043E+002, 6.6006312E+002, 3.0347838E+001,-2.3375892E+002,-4.2652953E+002, 1.0399039E+000,-9.6051618E-002,-8.1980664E-013,-9.6433095E-001, 5.6251838E+000, 3.0102023E+001,-6.7744084E-003, 5.5077963E-002, 7.4830285E-003, 3.1899868E-003,-2.9819269E-001,-2.9819269E-001
 2.3000027E+002, 9.0379769E+002, 3.6624158E+001,-3.1850948E+002,-5.8670828E+002, 2.1587991E-001,-1.4305612E-001,-8.2127111E-013,-2.9675281E+000, 3.3653327E+000, 3.2309383E+001,-8.1754426E-003, 7.4708351E-002, 9.0306144E-003, 3.5673851E-003,-2.9819269E-001,-2.9819269E-001
 2.4000032E+002, 8.4958548E+002, 4.0973538E+001,-2.9516110E+002,-5.4969656E+002, 5.3632259E-001,-1.5801704E-001,-8.2127994E-013,-1.2215855E+001,-1.3900117E+000, 3.3863811E+001,-9.1463346E-003, 6.9965092E-002, 1.0103064E-002, 3.7256548E-003,-2.9819269E-001,-2.9819269E-001
 2.5000069E+002, 8.1867417E+002, 4.9135867E+001,-2.9001977E+002,-5.2562887E+002, 7.6382597E-001,-9.2378012E-002,-8.2099498E-013,-7.1557293E+000, 1.4735805E+000, 4.5677113E+001,-1.0968374E-002, 6.9104405E-002, 1.2115693E-002, 3.1694721E-003,-2.9819269E-001,-2.9819269E-001
 2.6000027E+002, 8.9134365E+002, 5.5670829E+001,-3.1884976E+002,-5.7678714E+002, 1.8896344E-001,-5.3439305E-002,-8.2067074E-013, 4.4720302E+000, 5.3465576E+000, 5.5985133E+001,-1.2427143E-002, 7.1258124E-002, 1.3727054E-002, 2.9265586E-003,-2.9819269E-001,-2.9819269E-001
 2.7000049E+002, 9.1040438E+002, 6.1210921E+001,-3.3469864E+002,-5.9510474E+002, 6.2884250E-002,-6.0416585E-002,-8.2040042E-013, 1.0945290E+001,-2.0739719E+000, 5.2759676E+001,-1.3663833E-002, 7.2893069E-002, 1.5093104E-002, 2.4154605E-003,-2.9819269E-001,-2.9819269E-001
 2.8000012E+002, 9.0066237E+002, 7.0288861E+001,-3.4208030E+002,-5.9020373E+002, 2.7024142E-001,-5.7542849E-002,-8.2022696E-013, 2.2584013E+001,-2.4839410E+000, 6.1463914E+001,-1.5690259E-002, 6.8784735E-002, 1.7331500E-002, 2.2222152E-003,-2.9819269E-001,-2.9819269E-001
 2.9000058E+002, 8.1721106E+002, 7.7757696E+001,-3.2316429E+002,-5.4049509E+002, 1.1206961E+000,-5.0668312E-002,-8.1968606E-013, 3.7819837E+001,-1.9851341E+000, 7.0199245E+001,-1.7357493E-002, 6.0135703E-002, 1.9173130E-002, 2.0860729E-003,-2.9819269E-001,-2.9819269E-001
 3.0000058E+002, 7.0079168E+002, 8.9751530E+001,-2.9140170E+002,-4.6629224E+002, 1.6221694E+000,-3.6205443E-002,-8.2109988E-013, 5.0110510E+001, 2.0682122E-001, 8.4545750E+001,-2.0034822E-002, 5.2097793E-002, 2.2130514E-002, 1.8716016E-003,-2.9819269E-001,-2.9819269E-001
 3.1000015E+002, 6.0487764E+002, 9.4549242E+001,-2.6452367E+002,-4.1904810E+002, 2.4099838E+000,-4.1618768E-002,-8.2084276E-013, 6.7228733E+001,-4.1968743E+000, 8.5452202E+001,-2.1105793E-002, 4.5232484E-002, 2.3313512E-002, 1.8075280E-003,-2.9819269E-001,-2.9819269E-001
 3.2000043E+002, 5.7140391E+002, 9.6328535E+001,-2.5512479E+002,-3.9739638E+002, 2.7019468E+000,-9.5866444E-002,-8.2059037E-013, 7.0921335E+001,-2.0633581E+000, 8.8738694E+001,-2.1502976E-002, 4.3177975E-002, 2.3752242E-002, 1.6380666E-003,-2.9819269E-001,-2.9819269E-001
 3.3000058E+002, 5.3517846E+002, 1.0357705E+002,-2.4348363E+002,-3.7818045E+002, 2.7571206E+000,-1.6409507E-001,-8.2121711E-013, 7.9430938E+001, 1.8519151E-001, 9.9115389E+001,-2.3121028E-002, 3.8192182E-002, 2.5539546E-002, 1.5941521E-003,-2.9819269E-001,-2.9819269E-001
 3.4000018E+002, 5.3576173E+002, 1.0709801E+002,-2.4688959E+002,-3.8188242E+002, 2.8415618E+000,-2.6695754E-001,-8.2142421E-013, 8.5849556E+001, 6.1523853E-002, 1.0251188E+002,-2.3906997E-002, 4.0346658E-002, 2.6407729E-002, 1.5089474E-003,-2.9819269E-001,-2.9819269E-001
 3.5000006E+002, 5.3272926E+002, 1.0756991E+002,-2.4964246E+002,-3.8288785E+002, 2.9811793E+000,-4.4454573E-001,-8.2105271E-013, 9.1725259E+001,-1.2471269E+000, 1.0203074E+002,-2.4012337E-002, 3.9656516E-002, 2.6524088E-002, 1.4321639E-003,-2.9819269E-001,-2.9819269E-001
 3.6000046E+002, 4.8559084E+002, 1.1877757E+002,-2.3474477E+002,-3.6269539E+002, 3.0594131E+000,-5.3880827E-001,-8.2023383E-013, 1.0438221E+002,-1.3246030E+000, 1.1383107E+002,-2.6514171E-002, 3.6557127E-002, 2.9287620E-002, 1.3636909E-003,-2.9819269E-001,-2.9819269E-001
 3.7000058E+002, 4.4811523E+002, 1.2804407E+002,-2.2599756E+002,-3.4483137E+002, 3.0427585E+000,-4.7331247E-001,-8.1990783E-013, 1.1553662E+002,-6.2566081E-001, 1.2343644E+002,-2.8582690E-002, 3.4368727E-002, 3.1572512E-002, 1.1750786E-003,-2.9819269E-001,-2.9819269E-001
 3.8000015E+002, 4.0294805E+002, 1.3711499E+002,-2.1164860E+002,-3.2672337E+002, 2.8557166E+000,-5.7840400E-001,-8.1996493E-013, 1.2753419E+002, 4.5014384E-001, 1.3150259E+002,-3.0607549E-002, 3.0925775E-002, 3.3809175E-002, 1.0417032E-003,-2.9819269E-001,-2.9819269E-001
 3.9000027E+002, 3.9610057E+002, 1.4160680E+002,-2.1275056E+002,-3.2458745E+002, 2.5238591E+000,-5.3535640E-001,-8.2041708E-013, 1.3138346E+002,-6.2211599E-001, 1.3374132E+002,-3.1610236E-002, 3.0305863E-002, 3.4916746E-002, 1.0170528E-003,-2.9819269E-001,-2.9819269E-001
 4.0000000E+002, 3.4835019E+002, 1.5702596E+002,-2.0119793E+002,-3.0649898E+002, 2.4692907E+000,-4.0072727E-001,-8.2045297E-013, 1.4968171E+002, 5.6193631E-002, 1.4942951E+002,-3.5052183E-002, 2.6847901E-002, 3.8718730E-002, 8.3365315E-004,-2.9819269E-001,-2.9819269E-001
 4.1000027E+002, 3.4155390E+002, 1.5851093E+002,-2.0211872E+002,-3.0579152E+002, 2.2628549E+000,-4.0187764E-001,-8.2034881E-013, 1.5541140E+002, 4.0545507E-001, 1.4942696E+002,-3.5383666E-002, 2.5300348E-002, 3.9084886E-002, 7.1055910E-004,-2.9819269E-001,-2.9819269E-001
 4.2000024E+002, 3.0783191E+002, 1.6650017E+002,-1.9923432E+002,-2.9167827E+002, 2.5026424E+000,-3.9272306E-001,-8.2067770E-013, 1.7156874E+002,-1.8641042E+000, 1.5709815E+002,-3.7167067E-002, 2.2902582E-002, 4.1054835E-002, 6.0284774E-004,-2.9819269E-001,-2.9819269E-001
 4.3000037E+002, 2.6796170E+002, 1.7550898E+002,-1.9059973E+002,-2.6944872E+002, 2.5108401E+000,-3.2783019E-001,-8.2134322E-013, 1.8166841E+002,-1.6750508E-001, 1.6727364E+002,-3.9178062E-002, 1.9843564E-002, 4.3276186E-002, 4.6500173E-004,-2.9819269E-001,-2.9819269E-001
 4.4000015E+002, 2.4230799E+002, 1.7476191E+002,-1.8371630E+002,-2.5780816E+002, 2.2364001E+000,-1.8777218E-001,-8.2206153E-013, 1.8767196E+002,-8.9013259E-001, 1.6526602E+002,-3.9011298E-002, 1.6964664E-002, 4.3091978E-002, 3.1801864E-004,-2.9819269E-001,-2.9819269E-001
 4.5000009E+002, 1.8952515E+002, 1.8325418E+002,-1.7113498E+002,-2.2761406E+002, 2.3962922E+000,-1.0502187E-001,-8.2240152E-013, 1.9595678E+002,-1.9424266E+000, 1.7227833E+002,-4.0906989E-002, 1.2503154E-002, 4.5185962E-002, 2.3282652E-004,-2.9819269E-001,-2.9819269E-001
 4.6000009E+002, 1.3590288E+002, 1.9168433E+002,-1.6008528E+002,-1.9250514E+002, 2.3243160E+000,-4.0830487E-002,-8.2271316E-013, 2.0468693E+002,-4.4494459E-001, 1.8196721E+002,-4.2788812E-002, 8.3318429E-003, 4.7264629E-002, 9.5698784E-005,-2.9819269E-001,-2.9819269E-001
 4.7000027E+002, 6.7124118E+001, 2.1123671E+002,-1.4871243E+002,-1.5334490E+002, 2.2448871E+000,-6.3070393E-003,-8.1979848E-013, 2.2228946E+002,-1.0781269E+000, 2.0083155E+002,-4.7153400E-002, 3.7975688E-003, 5.2085764E-002, 7.3649341E-006,-2.9819269E-001,-2.9819269E-001
 4.8000031E+002, 4.2173978E+001, 2.0475792E+002,-1.4294696E+002,-1.3471908E+002, 2.1960632E+000, 4.0475684E-005,-8.2060990E-013, 2.2331043E+002,-7.2533693E-001, 1.9477240E+002,-4.5707170E-002, 3.0405310E-003, 5.0488255E-002, 5.1416722E-007,-2.9819269E-001,-2.9819269E-001
 4.9000037E+002, 3.7178606E+001, 1.9179812E+002,-1.3526075E+002,-1.3038360E+002, 2.1341752E+000, 2.2499577E-005,-8.2223004E-013, 2.1630860E+002,-6.9477058E-001, 1.8177517E+002,-4.2814213E-002, 2.7826684E-003, 4.7292687E-002, 3.2796258E-007,-2.9819269E-001,-2.9819269E-001
 5.0000024E+002, 3.2764253E+001, 1.7842020E+002,-1.2540520E+002,-1.2510164E+002, 2.0511209E+000, 1.3452871E-005,-8.1902349E-013, 2.0602540E+002,-4.5674822E-001, 1.6875414E+002,-3.9827921E-002, 2.5046310E-003, 4.3994021E-002, 2.2312795E-007,-2.9819269E-001,-2.9819269E-001
 5.1000012E+002, 2.8919896E+001, 1.6505187E+002,-1.1555570E+002,-1.2039942E+002, 1.9719165E+000, 8.5186207E-006,-8.1969932E-013, 1.9492732E+002,-7.1725750E-001, 1.5491590E+002,-3.6843771E-002, 2.2258340E-003, 4.0697722E-002, 1.5986098E-007,-2.9819269E-001,-2.9819269E-001
 5.2000012E+002, 2.5251853E+001, 1.5024312E+002,-1.0421146E+002,-1.1473727E+002, 1.8902621E+000, 5.6396540E-006,-8.1945327E-013, 1.8130891E+002,-1.0186563E+000, 1.3974543E+002,-3.3538082E-002, 1.9550831E-003, 3.7046249E-002, 1.1940258E-007,-2.9819269E-001,-2.9819269E-001
 5.3000006E+002, 2.1795931E+001, 1.3687802E+002,-9.3194174E+001,-1.0831780E+002, 1.8519828E+000, 3.8684592E-006,-8.2043118E-013, 1.6754362E+002,-8.7608707E-001, 1.2655758E+002,-3.0554651E-002, 1.6949867E-003, 3.3750744E-002, 9.2253572E-008,-2.9819269E-001,-2.9819269E-001
 5.4000037E+002, 1.9202723E+001, 1.3371962E+002,-8.4963677E+001,-9.4491240E+001, 1.7621005E+000, 2.7613186E-006,-8.1982359E-013, 1.4889480E+002, 7.6531992E-002, 1.2412433E+002,-2.9849617E-002, 1.5482807E-003, 3.2971962E-002, 7.3335142E-008,-2.9819269E-001,-2.9819269E-001
 5.5000018E+002, 1.7749739E+001, 1.3156563E+002,-8.2969201E+001,-9.7689121E+001, 1.7103514E+000, 2.0182658E-006,-8.2016540E-013, 1.5434752E+002,-8.3456339E-001, 1.2471492E+002,-2.9368792E-002, 1.4486217E-003, 3.2440841E-002, 5.9918453E-008,-2.9819269E-001,-2.9819269E-001
 5.6000018E+002, 1.5683393E+001, 1.2013812E+002,-7.7135739E+001,-9.3403738E+001, 1.6800464E+000, 1.5196958E-006,-8.2018981E-013, 1.4722643E+002,-4.1316076E-001, 1.1418852E+002,-2.6817881E-002, 1.2814547E-003, 2.9623099E-002, 4.9969170E-008,-2.9819269E-001,-2.9819269E-001
 5.7000043E+002, 1.3477520E+001, 1.0235049E+002,-6.6705221E+001,-8.9218130E+001, 1.6528397E+000, 1.1737235E-006,-8.1995454E-013, 1.3326055E+002,-5.6213419E-001, 9.4818053E+001,-2.2847230E-002, 1.1010531E-003, 2.5237108E-002, 4.2515768E-008,-2.9819269E-001,-2.9819269E-001
 5.8000043E+002, 1.1141808E+001, 7.9966057E+001,-5.3630342E+001,-7.8576881E+001, 1.6228404E+000, 9.3171941E-007,-8.2068772E-013, 1.0980290E+002,-2.3396763E+000, 7.0326380E+001,-1.7850455E-002, 9.0943323E-004, 1.9717658E-002, 3.6842913E-008,-2.9819269E-001,-2.9819269E-001
 5.9000012E+002, 9.8450570E+000, 7.6843751E+001,-5.1753805E+001,-6.8995710E+001, 1.5323131E+000, 7.6174325E-007,-8.2088000E-013, 1.0180198E+002, 8.9601013E-001, 6.9273592E+001,-1.7153477E-002, 7.9818790E-004, 1.8947774E-002, 3.2513012E-008,-2.9819269E-001,-2.9819269E-001
 6.0000037E+002, 8.6716921E+000, 5.8988508E+001,-4.4103903E+001,-6.2600274E+001, 1.4534694E+000, 6.2926001E-007,-8.2079136E-013, 8.5048162E+001,-1.8637493E+000, 4.7457654E+001,-1.3167734E-002, 7.0436629E-004, 1.4545112E-002, 2.9134934E-008,-2.9819269E-001,-2.9819269E-001
 6.1000031E+002, 7.3548381E+000, 5.1320918E+001,-3.8827261E+001,-5.6947581E+001, 1.5064043E+000, 5.2841299E-007,-8.1981118E-013, 7.7581589E+001,-8.6316606E-001, 4.1988909E+001,-1.1456133E-002, 5.9558279E-004, 1.2654473E-002, 2.6394451E-008,-2.9819269E-001,-2.9819269E-001
 6.2000012E+002, 6.4099358E+000, 4.1770879E+001,-3.2114660E+001,-5.0082478E+001, 1.5211665E+000, 4.5142169E-007,-8.2020985E-013, 6.4951900E+001,-2.2123200E-001, 3.2456743E+001,-9.3243214E-003, 5.2419379E-004, 1.0299669E-002, 2.4165888E-008,-2.9819269E-001,-2.9819269E-001
 6.3000006E+002, 5.2182637E+000, 4.0571953E+001,-3.2304893E+001,-5.1923253E+001, 1.4585022E+000, 3.8818121E-007,-8.2064925E-013, 7.0100288E+001, 5.6335670E-002, 3.3120862E+001,-9.0566906E-003, 4.2082226E-004, 1.0004043E-002, 2.2323706E-008,-2.9819269E-001,-2.9819269E-001
 6.4000018E+002, 3.7806192E+000, 2.2086210E+001,-2.3081956E+001,-4.5197692E+001, 1.4254337E+000, 3.4424362E-007,-8.2022413E-013, 5.6650788E+001,-2.7521353E-001, 1.5663403E+001,-4.9302031E-003, 3.0988417E-004, 5.4459147E-003, 2.0779900E-008,-2.9819269E-001,-2.9819269E-001
 6.5000079E+002, 2.8104220E+000, 1.0003044E+001,-1.5682327E+001,-3.6144910E+001, 1.4472336E+000, 3.1065747E-007,-8.1988946E-013, 4.0207668E+001,-2.8751854E+000, 2.6411314E+000,-2.2329336E-003, 2.3273074E-004, 2.4665040E-003, 1.9559822E-008,-2.9819269E-001,-2.9819269E-001
 6.6000037E+002, 2.5539014E+000, 8.1721094E+000,-1.4059872E+001,-2.7330796E+001, 1.4669213E+000, 2.7962594E-007,-8.1982646E-013, 3.4411339E+001,-1.8382010E-001, 5.2136026E+000,-1.8242224E-003, 1.9371726E-004, 2.0150407E-003, 1.8561559E-008,-2.9819269E-001,-2.9819269E-001
 6.7000031E+002, 2.3618330E+000, 6.9479315E+000,-1.3386985E+001,-2.5352911E+001, 1.4531046E+000, 2.5269007E-007,-8.2014314E-013, 3.1194569E+001,-3.8410938E-001, 3.2175424E+000,-1.5509548E-003, 1.6869775E-004, 1.7131886E-003, 1.7685285E-008,-2.9819269E-001,-2.9819269E-001
 6.8000037E+002, 2.1279039E+000, 6.0923460E+000,-1.2887897E+001,-2.4827156E+001, 1.4306797E+000, 2.2997280E-007,-8.2045316E-013, 3.0294328E+001,-2.2324783E-001, 2.2302053E+000,-1.3599664E-003, 1.5050002E-004, 1.5022223E-003, 1.6905873E-008,-2.9819269E-001,-2.9819269E-001
 6.9000049E+002, 2.6609970E+000, 5.5965020E+000,-1.3014403E+001,-2.4249282E+001, 1.3759926E+000, 2.0833832E-007,-8.2099935E-013, 2.7492415E+001, 2.1156553E-002,-1.3777775E-001,-1.2492814E-003, 1.3901575E-004, 1.3799594E-003, 1.6204649E-008,-2.9819269E-001,-2.9819269E-001
 7.0000006E+002, 1.7590382E+000, 6.5978419E+000,-1.3732175E+001,-2.9120019E+001, 9.6726305E-001, 1.9302202E-007,-8.1797276E-013, 2.9550738E+001, 2.4494937E+000,-3.9773131E+000,-1.4728059E-003, 1.4237882E-004, 1.6268651E-003, 1.5555934E-008,-2.9819269E-001,-2.9819269E-001
 7.1000037E+002, 1.7903319E+000, 7.1244054E+000,-1.3957281E+001,-2.9679351E+001, 1.3180836E+000, 1.8419619E-007,-8.2072309E-013, 3.2074040E+001,-2.2142275E+000,-1.3297707E+000,-1.5903483E-003, 1.5191546E-004, 1.7567027E-003, 1.5057744E-008,-2.9819269E-001,-2.9819269E-001
 7.2000031E+002, 2.0350706E+000, 7.4755172E+000,-1.4172309E+001,-2.9115042E+001, 1.0629149E+000, 1.7356578E-007,-8.1912701E-013, 2.8570730E+001,-7.3801337E-002,-4.1431190E+000,-1.6687254E-003, 1.6739276E-004, 1.8432782E-003, 1.4645899E-008,-2.9819269E-001,-2.9819269E-001
 7.3000018E+002, 1.9600100E+000, 6.7199426E+000,-1.3647361E+001,-2.3287395E+001, 1.3826249E+000, 1.6141793E-007,-8.2118807E-013, 2.7299978E+001,-6.1818721E-001, 4.2780001E-001,-1.5000619E-003, 1.6234171E-004, 1.6569721E-003, 1.4285079E-008,-2.9819269E-001,-2.9819269E-001
 7.4000037E+002, 1.8834951E+000, 6.5047809E+000,-1.3300195E+001,-2.2033132E+001, 1.3495047E+000, 1.4990970E-007,-8.1949477E-013, 2.6967980E+001, 5.6345180E-001, 1.3724337E+000,-1.4520324E-003, 1.5836800E-004, 1.6039186E-003, 1.3905544E-008,-2.9819269E-001,-2.9819269E-001
 7.5000012E+002, 2.0333259E+000, 7.2262953E+000,-1.4063969E+001,-2.5573806E+001, 1.2187162E+000, 1.4214710E-007,-8.1639659E-013, 2.9892629E+001, 8.4358055E-001, 7.3319131E-001,-1.6130927E-003, 1.6723399E-004, 1.7818262E-003, 1.3535079E-008,-2.9819269E-001,-2.9819269E-001
 7.6000024E+002, 2.1154445E+000, 8.1714104E+000,-1.4424674E+001,-2.6938955E+001, 1.1738435E+000, 1.3976689E-007,-8.1684175E-013, 3.2045522E+001,-4.3530747E-001, 2.1425924E+000,-1.8240664E-003, 1.7707158E-004, 2.0148683E-003, 1.3242278E-008,-2.9819269E-001,-2.9819269E-001
 7.7000024E+002, 2.1086347E+000, 8.1522270E+000,-1.4524112E+001,-2.6968566E+001, 1.0693490E+000, 1.3740661E-007,-8.1603959E-013, 3.2908744E+001, 6.3035289E-001, 2.7462775E+000,-1.8197842E-003, 1.7469844E-004, 2.0101382E-003, 1.3049441E-008,-2.9819269E-001,-2.9819269E-001
 7.8000012E+002, 2.1454405E+000, 7.6534339E+000,-1.4842773E+001,-2.7731717E+001, 1.0067233E+000, 1.3528023E-007,-8.1565947E-013, 3.2917553E+001,-8.1863386E-002, 1.1486606E+000,-1.7084409E-003, 1.7597666E-004, 1.8871481E-003, 1.2911644E-008,-2.9819269E-001,-2.9819269E-001
 7.9000012E+002, 2.1457954E+000, 7.6069491E+000,-1.4866858E+001,-2.7632476E+001, 9.8026163E-001, 1.3475020E-007,-8.1544988E-013, 3.3534461E+001,-4.2775792E-001, 1.7681326E+000,-1.6980643E-003, 1.7691582E-004, 1.8756861E-003, 1.2805441E-008,-2.9819269E-001,-2.9819269E-001
