s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 9.0005165E+001, 1.7055675E+002, 7.7665314E+000,-6.4716978E+001,-1.0338821E+002, 1.7606249E+000, 1.8531665E-002, 6.8949435E-002,-4.1119411E-001, 1.0141673E+000, 3.8884768E+000,-1.7658244E-003, 1.3093737E-002, 1.9505341E-003, 2.7618846E-003,-2.9819269E-001, 3.4201919E+003,-2.9819269E-001, 4.1305624E+003,-2.9819269E-001, 3.6453515E+003,-2.9819269E-001, 5.5332613E+003
 1.0000379E+002, 2.2522465E+002, 9.6635165E+000,-8.1116296E+001,-1.3728695E+002, 1.8132864E+000, 1.5769346E-002, 9.5804892E-002,-3.0497280E+000, 3.0394847E+000, 5.6965397E+000,-2.1959463E-003, 1.7009886E-002, 2.4256478E-003, 2.9498753E-003,-2.9819269E-001, 5.0098216E+003,-2.9819269E-001, 6.3975138E+003,-2.9819269E-001, 4.8181594E+003,-2.9819269E-001, 6.4169015E+003
 1.1000313E+002, 2.9122286E+002, 1.2063962E+001,-1.0113941E+002,-1.7964941E+002, 1.9217809E+000, 1.3899891E-002, 1.6252756E-001,-6.4976259E+000, 4.3478523E+000, 6.0346176E+000,-2.7407236E-003, 2.1650405E-002, 3.0274102E-003, 3.2145553E-003,-2.9819269E-001, 6.4183751E+003,-2.9819269E-001, 1.0720694E+004,-2.9819269E-001, 6.0980426E+003,-2.9819269E-001, 9.4346184E+003
 1.2000002E+002, 4.0332606E+002, 1.4669863E+001,-1.3539250E+002,-2.4599788E+002, 1.6761267E+000, 1.0940707E-002,-2.8031716E-001,-1.9236772E+001, 4.9243177E+000, 4.1056604E+000,-3.3342529E-003, 2.8371088E-002, 3.6830242E-003, 3.7402791E-003,-2.9819269E-001, 4.4890338E+003,-2.9819269E-001, 3.7163920E+001,-2.9819269E-001, 1.0659634E+004,-2.9819269E-001, 2.4916229E+002
 1.3000343E+002, 4.5594153E+002, 1.7335792E+001,-1.4844572E+002,-2.7587659E+002, 2.2313929E+000, 1.1347476E-002,-2.4976554E-001,-3.4179374E+001, 7.0262184E-001,-5.6717448E-001,-3.9417128E-003, 3.1558049E-002, 4.3540259E-003, 4.7362069E-003,-2.9819269E-001,-9.5062209E-002,-2.9819269E-001,-2.9649763E-001,-2.9819269E-001, 1.8603669E-001,-2.9819269E-001,-2.8690526E-001
 1.4000026E+002, 5.4758380E+002, 2.0849692E+001,-1.7539058E+002,-3.2836029E+002, 2.5107301E+000, 1.1670870E-002,-1.1318087E-005,-4.1628585E+001, 4.4558189E+000, 4.7267398E+000,-4.7434483E-003, 3.9727369E-002, 5.2396249E-003, 5.5895021E-003,-2.9819269E-001,-2.9818344E-001,-2.9819269E-001,-2.9819261E-001,-2.9819269E-001,-2.9817063E-001,-2.9819269E-001,-2.9819218E-001
 1.5000206E+002, 6.2009285E+002, 2.6450573E+001,-1.9741452E+002,-3.8248019E+002, 2.6115128E+000, 1.2206049E-002,-5.1602328E-010,-3.7776452E+001, 3.7154093E+000, 5.0454115E+000,-6.0199986E-003, 4.5861725E-002, 6.6497055E-003, 6.7464790E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.6000409E+002, 7.4693269E+002, 3.3288000E+001,-2.3910212E+002,-4.6525037E+002, 2.8765618E+000, 1.5091470E-002,-1.4246470E-012,-4.0171847E+001, 3.7178805E+000, 5.3000091E+000,-7.5777114E-003, 5.3938032E-002, 8.3703590E-003, 7.6815642E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.7000073E+002, 1.0990124E+003, 4.0134378E+001,-3.6362489E+002,-6.8896761E+002, 2.5221396E+000, 1.8866756E-002,-1.4236075E-012,-4.2993243E+001, 1.3840187E+001, 5.9676936E+000,-9.1371594E-003, 7.8098983E-002, 1.0092929E-002, 8.9310971E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.8000005E+002, 1.8330766E+003, 4.7380811E+001,-6.1918769E+002,-1.1907416E+003, 1.0343057E+000, 2.3810059E-002,-1.4236837E-012,-4.7204856E+001, 9.5712582E+000,-2.2999367E+001,-1.0786868E-002, 1.3085810E-001, 1.1915201E-002, 1.0662243E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.9000323E+002, 1.9354388E+003, 5.8221781E+001,-6.2920295E+002,-1.2556818E+003, 1.1545770E+000, 3.0601494E-002,-1.4235736E-012,-7.7964647E+001,-1.2989007E+000,-2.6225419E+001,-1.3237852E-002, 1.3978974E-001, 1.4622565E-002, 9.9448699E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.0000044E+002, 2.0097294E+003, 7.6392910E+001,-6.0127873E+002,-1.2495060E+003, 4.0915927E-001, 3.8638939E-002,-1.4231593E-012,-1.6364026E+002,-2.2224382E+000,-4.2477737E+000,-1.7321195E-002, 1.5080622E-001, 1.9133036E-002, 1.2708324E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.1000298E+002, 2.1109894E+003, 9.5252031E+001,-6.3672270E+002,-1.3195733E+003, 1.4035168E-001, 4.9080989E-002,-1.4228447E-012,-1.4783876E+002, 4.6572675E+000, 7.0440638E+000,-2.1560441E-002, 1.6677045E-001, 2.3815717E-002, 1.5571757E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.2000371E+002, 2.1984470E+003, 1.1675757E+002,-6.7248605E+002,-1.3948706E+003, 4.1105031E-002, 4.3781889E-002,-1.4231834E-012,-1.2430020E+002, 3.6343201E+000, 6.8750651E+000,-2.6397931E-002, 1.8554441E-001, 2.9159220E-002, 1.5195327E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.3000134E+002, 2.1273277E+003, 1.3891621E+002,-6.6470962E+002,-1.3681345E+003, 3.2305094E-001, 3.6365599E-002,-1.4238356E-012,-9.0369864E+001, 3.2524112E-001, 4.4731906E+000,-3.1371833E-002, 1.9752456E-001, 3.4653406E-002, 1.3398011E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.4000000E+002, 2.0372454E+003, 1.6137511E+002,-6.5439811E+002,-1.3267217E+003, 5.5870260E-001, 2.4884406E-002,-1.4253172E-012,-5.1846407E+001, 1.8054436E+000, 4.8627175E+000,-3.6403534E-002, 2.0242612E-001, 4.0211435E-002, 1.1355711E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.5000110E+002, 2.0285386E+003, 1.7937286E+002,-6.7331223E+002,-1.3350442E+003, 6.4024907E-001, 1.8177829E-002,-1.4243320E-012,-2.0093835E+001,-6.5813958E-001, 7.4675242E-001,-4.0438339E-002, 1.9056249E-001, 4.4668291E-002, 1.0626201E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.6000385E+002, 1.6775771E+003, 2.0783105E+002,-5.9693977E+002,-1.1269952E+003, 1.0831747E+000, 1.3680923E-002,-1.4250693E-012, 3.3563450E+001,-7.9706006E+000,-1.1697502E+001,-4.6796951E-002, 1.8252473E-001, 5.1692030E-002, 9.8326557E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.7000220E+002, 1.3379669E+003, 2.3335499E+002,-5.1950551E+002,-9.1061083E+002, 1.4592893E+000, 7.8939123E-003,-1.4246169E-012, 8.2179843E+001,-1.9092587E+000,-8.5023633E+000,-5.2490861E-002, 1.6310461E-001, 5.7981537E-002, 9.0860984E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.8000101E+002, 1.1685384E+003, 2.5035058E+002,-4.8071342E+002,-8.1237767E+002, 1.6441246E+000, 5.6840452E-003,-1.4237002E-012, 1.1305336E+002,-3.0082117E+000,-9.8495240E+000,-5.6268896E-002, 1.4870180E-001, 6.2154764E-002, 8.2883091E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.9000290E+002, 1.0435241E+003, 2.7082809E+002,-4.5269250E+002,-7.3882357E+002, 1.9144027E+000, 8.0527886E-003,-1.4228436E-012, 1.4178771E+002, 8.2673335E-001,-4.2817947E+000,-6.0815807E-002, 1.3939535E-001, 6.7177293E-002, 7.5112956E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.0000381E+002, 9.3021481E+002, 3.0401318E+002,-4.2982088E+002,-6.8397305E+002, 2.1244382E+000, 9.8273428E-003,-1.4226769E-012, 1.7885310E+002,-1.4252234E+000,-2.5917580E+000,-6.8169553E-002, 1.2914232E-001, 7.5300259E-002, 6.9643646E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.1000067E+002, 8.3876979E+002, 3.2296281E+002,-3.9977593E+002,-6.4917315E+002, 2.5661029E+000, 1.3790779E-002,-1.4227764E-012, 2.0513744E+002,-1.5734669E+000,-2.4619641E+000,-7.2368864E-002, 1.2064933E-001, 7.9938829E-002, 6.5771201E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.2000323E+002, 7.6214666E+002, 3.2509897E+002,-3.7319989E+002,-6.0622951E+002, 2.6329816E+000, 1.7811287E-002,-1.4240244E-012, 2.1313385E+002,-1.1869840E+000,-1.4980965E+000,-7.2839988E-002, 1.1386448E-001, 8.0459233E-002, 6.3296796E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.3000046E+002, 6.9356639E+002, 3.1875576E+002,-3.4922903E+002,-5.6359760E+002, 2.5924394E+000, 1.9455348E-002,-1.4222110E-012, 2.1587658E+002,-1.8550292E+000,-7.7176517E-001,-7.1439503E-002, 1.1212327E-001, 7.8912254E-002, 6.0058449E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.4000406E+002, 6.3812585E+002, 3.1724211E+002,-3.3232545E+002,-5.2182867E+002, 2.4879306E+000, 2.4510664E-002,-1.4216855E-012, 2.1604824E+002, 4.3347763E-001, 2.5324136E+000,-7.1102475E-002, 1.0500730E-001, 7.8539973E-002, 5.7674840E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.5000006E+002, 6.0586001E+002, 3.3042469E+002,-3.2751384E+002,-5.0505997E+002, 2.4747370E+000, 3.0565289E-002,-1.4210473E-012, 2.2760556E+002, 4.8595556E-001, 3.3970709E+000,-7.4007137E-002, 1.0000311E-001, 8.1748470E-002, 5.5923514E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.6000079E+002, 6.3080169E+002, 3.2902627E+002,-3.3378667E+002,-5.2661073E+002, 2.3387064E+000, 3.4477484E-002,-1.4208596E-012, 2.2884478E+002, 1.1732743E-001, 1.6222555E+000,-7.3653220E-002, 1.0417783E-001, 8.1357532E-002, 5.5490343E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.7000006E+002, 6.1990709E+002, 3.3850824E+002,-3.3611270E+002,-5.2181666E+002, 2.3025394E+000, 3.9280546E-002,-1.4222258E-012, 2.3888560E+002, 2.0083183E-001, 3.2051468E+000,-7.5714997E-002, 1.0102590E-001, 8.3634975E-002, 5.4443068E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.8000140E+002, 6.0068337E+002, 3.4101750E+002,-3.3307732E+002,-5.1057171E+002, 2.2882404E+000, 4.0865792E-002,-1.4265452E-012, 2.4509660E+002, 1.4369962E+000, 4.4600367E+000,-7.6250105E-002, 9.8768038E-002, 8.4226058E-002, 5.0781549E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.9000116E+002, 6.8194967E+002, 3.3485025E+002,-3.5459194E+002,-5.7172601E+002, 2.0974384E+000, 4.2735809E-002,-1.4262480E-012, 2.4358699E+002, 1.5268895E+000, 1.3588883E+000,-7.4843156E-002, 1.0150401E-001, 8.2671938E-002, 4.6952728E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.0000372E+002, 6.7798712E+002, 3.5118794E+002,-3.6065302E+002,-5.7863383E+002, 2.2802253E+000, 4.9305874E-002,-1.4248055E-012, 2.5980616E+002, 9.8652499E-001, 8.3596493E-001,-7.8412164E-002, 1.0017898E-001, 8.6614273E-002, 4.4536521E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.1000180E+002, 5.9568523E+002, 3.6367011E+002,-3.4550713E+002,-5.3087201E+002, 2.4567642E+000, 5.3308207E-002,-1.4209062E-012, 2.7531509E+002,-2.6620367E+000,-2.8687454E+000,-8.1148178E-002, 9.4716203E-002, 8.9636482E-002, 4.1598570E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.2000082E+002, 4.7204729E+002, 3.6902779E+002,-3.1520907E+002,-4.5177633E+002, 2.7329066E+000, 5.4242093E-002,-1.4182899E-012, 2.9105397E+002,-3.0003672E+000,-1.0969947E+000,-8.2364130E-002, 9.0763283E-002, 9.0979625E-002, 3.9212232E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.3000186E+002, 3.7792871E+002, 3.8700937E+002,-2.9530906E+002,-3.8530677E+002, 2.8157704E+000, 4.8088386E-002,-1.4183342E-012, 3.0351986E+002, 4.3475774E-002, 3.6966010E+000,-8.6302679E-002, 8.4951035E-002, 9.5330156E-002, 3.5850426E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.4000311E+002, 3.6006190E+002, 3.9360871E+002,-2.9051603E+002,-3.7970548E+002, 2.8300926E+000, 4.4504820E-002,-1.4191099E-012, 3.1120350E+002,-6.1451677E-003, 3.9184926E+000,-8.7710372E-002, 8.1799651E-002, 9.6885097E-002, 3.4967650E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.5000012E+002, 3.4377639E+002, 4.0351869E+002,-2.8864684E+002,-3.7307586E+002, 2.8317954E+000, 3.8852814E-002,-1.4211328E-012, 3.1977377E+002, 4.7967449E-001, 4.6981110E+000,-8.9818475E-002, 7.8107709E-002, 9.9213713E-002, 3.3475513E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.6000339E+002, 3.2019604E+002, 4.1549726E+002,-2.8616994E+002,-3.6242453E+002, 2.7951917E+000, 2.4964261E-002,-1.4235381E-012, 3.2999354E+002,-7.4162222E-002, 4.4152634E+000,-9.2380996E-002, 7.4956487E-002, 1.0204428E-001, 3.1420507E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.7000040E+002, 3.1267952E+002, 4.1482316E+002,-2.8493368E+002,-3.6224928E+002, 2.7666113E+000, 1.8151588E-002,-1.4272322E-012, 3.3521899E+002, 3.6968446E-001, 3.5003186E+000,-9.2144009E-002, 7.5501299E-002, 1.0178250E-001, 2.8989814E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.8000339E+002, 3.0418385E+002, 4.2234418E+002,-2.8459027E+002,-3.5996840E+002, 2.7717153E+000, 1.3492557E-002,-1.4284889E-012, 3.4167315E+002, 1.0986864E-001, 4.0835326E+000,-9.3713223E-002, 7.2216179E-002, 1.0351586E-001, 2.7901899E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.9000067E+002, 2.9225459E+002, 4.3190626E+002,-2.8527215E+002,-3.5523965E+002, 2.7215898E+000, 8.4689212E-003,-1.4298354E-012, 3.5025431E+002, 3.6161987E-001, 4.7271477E+000,-9.5722210E-002, 6.9304405E-002, 1.0573499E-001, 2.6460976E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.0000391E+002, 2.8302361E+002, 4.3983858E+002,-2.8689654E+002,-3.5288536E+002, 2.7133894E+000, 8.1925117E-003,-1.4302926E-012, 3.5856554E+002, 1.1329525E-001, 4.5288375E+000,-9.7356199E-002, 6.5710553E-002, 1.0753990E-001, 2.4655911E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.1000406E+002, 2.7245020E+002, 4.4142408E+002,-2.8641737E+002,-3.4914346E+002, 2.7075733E+000, 6.9822513E-003,-1.4302070E-012, 3.6465204E+002, 4.6752465E-001, 4.2559601E+000,-9.7608000E-002, 6.5793898E-002, 1.0781804E-001, 2.3750421E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.2000049E+002, 2.6336349E+002, 4.5371596E+002,-2.8916600E+002,-3.4861201E+002, 2.7058126E+000, 6.7782023E-003,-1.4299396E-012, 3.7498567E+002,-3.3005468E-001, 3.2837374E+000,-1.0019777E-001, 6.1300943E-002, 1.1067871E-001, 2.1592125E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.3000385E+002, 2.5896681E+002, 4.4731305E+002,-2.8761945E+002,-3.4672303E+002, 2.6976673E+000, 9.8277921E-003,-1.4300808E-012, 3.7735953E+002, 4.5250832E-001, 4.6913609E+000,-9.8700942E-002, 6.0367377E-002, 1.0902531E-001, 1.9292801E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.4000330E+002, 2.3823707E+002, 4.6974930E+002,-2.9343634E+002,-3.3689318E+002, 2.6784166E+000, 1.0201937E-002,-1.4295861E-012, 3.9421675E+002, 2.3611049E-001, 4.8129168E+000,-1.0349709E-001, 5.3502824E-002, 1.1432314E-001, 1.8192208E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.5000348E+002, 2.2966105E+002, 4.6125864E+002,-2.8952292E+002,-3.3442392E+002, 2.6632686E+000, 6.8624878E-003,-1.4296424E-012, 3.9497901E+002,-8.5197820E-002, 3.3633490E+000,-1.0153192E-001, 5.3439286E-002, 1.1215242E-001, 1.6525784E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.6000146E+002, 2.2615454E+002, 4.6306828E+002,-2.9023525E+002,-3.3753172E+002, 2.6449309E+000, 6.1752222E-003,-1.4295872E-012, 4.0208859E+002,-2.0427634E-001, 3.1272632E+000,-1.0185173E-001, 5.0059722E-002, 1.1250568E-001, 1.4610104E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.7000293E+002, 2.1331717E+002, 4.7081688E+002,-2.9076220E+002,-3.3115987E+002, 2.6822466E+000, 3.9978064E-003,-1.4295913E-012, 4.0963542E+002,-9.3576864E-003, 3.7167683E+000,-1.0342962E-001, 4.5180033E-002, 1.1424861E-001, 1.3870484E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.8000317E+002, 1.9389997E+002, 4.7704839E+002,-2.9058429E+002,-3.2073132E+002, 2.6670857E+000, 4.6593196E-003,-1.4293044E-012, 4.1819001E+002,-1.1637301E-001, 3.4461166E+000,-1.0468505E-001, 3.9757846E-002, 1.1563537E-001, 1.0565393E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
