s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa
 2.8000522E+002, 2.6322667E+001,-7.6994783E+000,-1.5630664E+001, 2.1680966E-001,-1.3047714E-004, 9.9209324E-003,-3.0437445E-002, 1.6430938E-001, 3.1886873E+000,-6.6381317E-004, 2.3487748E-003, 7.3324970E-004, 3.8713278E-004,-2.9819269E-001, 6.8157167E+003, 6.7206059E+003, 6.9264469E+003
 2.9000720E+002, 2.6101519E+001,-7.6167557E+000,-1.5478716E+001, 2.3016300E-001,-5.5813951E-005, 1.0052968E-002, 2.6769318E-002, 3.5176406E-002, 3.2729773E+000,-7.0966440E-004, 2.2317420E-003, 7.8389708E-004, 3.9091831E-004,-2.9819269E-001, 7.0055067E+003, 6.9154419E+003, 7.1625009E+003
 3.0000494E+002, 2.7207314E+001,-7.9571456E+000,-1.5913399E+001, 2.3270077E-001,-6.2369669E-006, 9.1409123E-003, 1.0921671E-001, 2.9687783E-001, 3.6878214E+000,-7.5575391E-004, 2.4411447E-003, 8.3480766E-004, 3.9631167E-004,-2.9819269E-001, 7.1639331E+003, 7.0841432E+003, 7.3995100E+003
 3.1000504E+002, 2.8615898E+001,-8.4698093E+000,-1.6832907E+001, 2.4496531E-001, 1.9896619E-005, 8.2598149E-003,-1.2631529E-002, 3.8568823E-002, 3.5537949E+000,-8.0639954E-004, 2.5376838E-003, 8.9075095E-004, 4.0722582E-004,-2.9819269E-001, 7.2796072E+003, 7.2411090E+003, 7.6367811E+003
 3.2000342E+002, 3.1548913E+001,-9.2668659E+000,-1.8552404E+001, 2.1659636E-001, 2.0857294E-005, 9.0941137E-003,-3.6850014E-002, 1.7380270E-002, 3.9185045E+000,-8.9886019E-004, 2.9515147E-003, 9.9288322E-004, 4.2237295E-004,-2.9819269E-001, 7.4344099E+003, 7.4131177E+003, 7.8712060E+003
 3.3000458E+002, 3.7582225E+001,-1.1236291E+001,-2.1415265E+001, 1.9116828E-001, 1.4228961E-005, 8.4887004E-003, 3.3621473E-002, 7.1817392E-001, 5.1639618E+000,-1.0229959E-003, 3.2763112E-003, 1.1300039E-003, 4.3405429E-004,-2.9819269E-001, 7.5700339E+003, 7.5678054E+003, 8.1049823E+003
 3.4000046E+002, 4.5446080E+001,-1.3768610E+001,-2.6288246E+001, 1.7495462E-001, 6.7038641E-006, 7.0539780E-003,-5.3521574E-002, 5.8868458E-001, 5.5177178E+000,-1.1342161E-003, 4.4173264E-003, 1.2528579E-003, 4.5191558E-004,-2.9819269E-001, 7.6497846E+003, 7.6891865E+003, 8.3391303E+003
 3.5000522E+002, 6.2498449E+001,-1.9325461E+001,-3.6253296E+001, 8.6380193E-002, 1.3375748E-006, 5.4286938E-003,-6.4968429E-001, 7.1226632E-001, 6.3618186E+000,-1.2971227E-003, 5.5704946E-003, 1.4328050E-003, 4.9179225E-004,-2.9819269E-001, 7.6771101E+003, 7.7610617E+003, 8.5752389E+003
 3.6000589E+002, 7.2046314E+001,-2.2349484E+001,-4.2047769E+001, 3.9976370E-002,-3.8761772E-006, 5.0557479E-003,-5.7306696E-001, 6.1074202E-001, 7.1210230E+000,-1.5033399E-003, 5.8024694E-003, 1.6605931E-003, 5.3812639E-004,-2.9819269E-001, 7.7119632E+003, 7.8018793E+003, 8.8116782E+003
 3.7000409E+002, 9.1867390E+001,-2.8969348E+001,-5.4024697E+001,-1.1194328E-002,-8.4967801E-006, 3.7545841E-003,-8.7206104E-001, 8.1847126E-001, 7.9938345E+000,-1.6658797E-003, 6.7527157E-003, 1.8401349E-003, 5.9533436E-004,-2.9819269E-001, 7.6967809E+003, 7.8106599E+003, 9.0498016E+003
 3.8000357E+002, 1.1635328E+002,-3.6969829E+001,-6.8527840E+001,-1.6232710E-001,-1.2249137E-005, 4.5151609E-003,-6.1802181E-001, 9.4508419E-001, 1.0079768E+001,-2.1030241E-003, 8.8190616E-003, 2.3230057E-003, 6.4226414E-004,-2.9819269E-001, 7.7124682E+003, 7.8348598E+003, 9.2885797E+003
 3.9000369E+002, 1.3936736E+002,-4.4735675E+001,-8.2612419E+001,-1.7271624E-001,-1.5254086E-005, 3.9700117E-003,-5.9716821E-001, 4.9142303E-001, 1.1253341E+001,-2.4720114E-003, 9.3699766E-003, 2.7305900E-003, 6.9612269E-004,-2.9819269E-001, 7.7156996E+003, 7.8358024E+003, 9.5294741E+003
 4.0000229E+002, 1.5655158E+002,-5.0923545E+001,-9.3008628E+001,-2.2273703E-001,-1.7606422E-005, 5.0569764E-003, 1.9171651E-001, 6.2534520E-001, 1.2593422E+001,-2.7621317E-003, 1.0875983E-002, 3.0510576E-003, 7.5187144E-004,-2.9819269E-001, 7.7472252E+003, 7.8744164E+003, 9.7714818E+003
 4.1000192E+002, 1.7567755E+002,-5.7413701E+001,-1.0331529E+002,-1.3932583E-001,-1.9705255E-005, 4.5868492E-003, 7.1572130E-001, 1.3199028E+000, 1.5529522E+001,-3.2265632E-003, 1.1822947E-002, 3.5640699E-003, 8.1178776E-004,-2.9819269E-001, 7.7548682E+003, 7.9042880E+003, 1.0017050E+004
 4.2000211E+002, 1.9555204E+002,-6.4047694E+001,-1.1678396E+002,-3.4084452E-001,-2.1292717E-005, 5.8219376E-003, 1.2710739E+000, 7.3660734E-002, 1.5656418E+001,-3.5527669E-003, 1.2861968E-002, 3.9243952E-003, 8.6580356E-004,-2.9819269E-001, 7.8450830E+003, 7.9241343E+003, 1.0266365E+004
 4.3000137E+002, 2.0909118E+002,-6.8987900E+001,-1.2410927E+002,-2.7340340E-001,-2.2524657E-005, 7.2107609E-003, 2.0787883E+000, 8.7802947E-001, 1.7806576E+001,-3.8715030E-003, 1.4061670E-002, 4.2764719E-003, 9.0060960E-004,-2.9819269E-001, 7.9867026E+003, 7.9766306E+003, 1.0517367E+004
 4.4000327E+002, 2.2858827E+002,-7.5688255E+001,-1.3657100E+002,-1.5149579E-001,-2.3429903E-005, 6.4773270E-003, 3.2679876E+000, 2.4505660E-001, 1.9451960E+001,-4.3358469E-003, 1.4397368E-002, 4.7893874E-003, 9.8713441E-004,-2.9819269E-001, 8.1377661E+003, 7.9683849E+003, 1.0774455E+004
 4.5000381E+002, 2.3194159E+002,-7.7169688E+001,-1.3775330E+002, 2.2697796E-001,-2.4267330E-005,-1.2618242E-001, 4.7204514E+000,-2.9850719E-002, 2.1839823E+001,-4.8908348E-003, 1.4615019E-002, 5.4024284E-003, 1.0052052E-003,-2.9819269E-001, 2.2434980E+001, 8.0136727E+003, 1.1056541E+004
 4.6000217E+002, 2.2238787E+002,-7.4016794E+001,-1.3159227E+002, 2.6919985E-001,-2.4680397E-005, 4.4138087E-003, 5.6027061E+000,-3.9883046E-001, 2.2655109E+001,-5.1419263E-003, 1.4768079E-002, 5.6797847E-003, 1.1016604E-003,-2.9819269E-001,-2.9715888E-001, 8.0337805E+003, 1.1331558E+004
 4.7000092E+002, 2.1693983E+002,-7.2265333E+001,-1.2596223E+002, 4.1428643E-001,-2.4874675E-005, 4.5280018E-003, 6.6676021E+000, 1.1891789E+000, 2.5798661E+001,-5.4573785E-003, 1.3685997E-002, 6.0282339E-003, 1.0922389E-003,-2.9819269E-001,-2.9819264E-001, 8.0287020E+003, 1.1616097E+004
 4.8000049E+002, 2.2067584E+002,-7.2923879E+001,-1.2808774E+002, 4.0018013E-001,-2.4954383E-005, 3.1983966E-003, 5.3144977E+000,-2.3788621E-001, 2.5382066E+001,-5.6616678E-003, 1.4185596E-002, 6.2538925E-003, 1.1617308E-003,-2.9819269E-001,-2.9819269E-001, 7.9324712E+003, 1.1909795E+004
 4.9000134E+002, 2.2571674E+002,-7.4506913E+001,-1.3148748E+002, 4.2939464E-001,-2.4813851E-005, 2.7074455E-003, 6.3831254E+000,-2.3442672E-001, 2.6537545E+001,-5.9136534E-003, 1.4684131E-002, 6.5322364E-003, 1.2251271E-003,-2.9819269E-001,-2.9819269E-001, 7.7881017E+003, 1.2221282E+004
 5.0000073E+002, 2.2193633E+002,-7.3208696E+001,-1.2765141E+002, 5.5096223E-001,-2.4258105E-005, 4.1691448E-003, 6.8309078E+000, 9.7523833E-002, 2.8462234E+001,-6.2428437E-003, 1.4030349E-002, 6.8958608E-003, 1.1691445E-003,-2.9819269E-001,-2.9819269E-001, 7.7289157E+003, 1.2537772E+004
 5.1000391E+002, 2.0938904E+002,-6.9222503E+001,-1.2213795E+002, 6.1883175E-001,-2.3545937E-005, 1.6614358E-003, 1.0977105E+001, 1.5146048E-001, 2.9626156E+001,-6.4659459E-003, 1.5119472E-002, 7.1423001E-003, 1.1853649E-003,-2.9819269E-001,-2.9819269E-001, 7.5125553E+003, 1.2856778E+004
 5.2000006E+002, 2.1656964E+002,-7.1121939E+001,-1.2724672E+002, 5.9002523E-001,-2.3916959E-005, 1.4990467E-003, 1.1918170E+001, 3.0196857E-001, 3.0710646E+001,-6.6682822E-003, 1.4576783E-002, 7.3658013E-003, 1.1309790E-003,-2.9819269E-001,-2.9819269E-001, 7.2815319E+003, 1.3180241E+004
 5.3000427E+002, 2.1888171E+002,-7.1767463E+001,-1.2741060E+002, 5.6921166E-001,-2.2128882E-005, 3.9022917E-003, 1.2703338E+001, 1.3725353E+000, 3.2980075E+001,-6.9448543E-003, 1.4588244E-002, 7.6713035E-003, 1.0969685E-003,-2.9819269E-001,-2.9819269E-001, 7.1992457E+003, 1.3503559E+004
 5.4000146E+002, 2.4282942E+002,-8.0279202E+001,-1.4267900E+002, 5.5784770E-001,-1.9558702E-005, 2.4263890E-003, 1.3152119E+001, 6.4836584E-001, 3.3583591E+001,-7.2887404E-003, 1.7699225E-002, 8.0511609E-003, 1.1556087E-003,-2.9819269E-001,-2.9819269E-001, 7.0265838E+003, 1.3825917E+004
 5.5000140E+002, 2.6024446E+002,-8.6056504E+001,-1.5344606E+002, 4.9986294E-001,-1.5367502E-005,-1.0759498E-001, 1.3914572E+001, 3.6449238E-001, 3.5048725E+001,-7.6830350E-003, 1.6976749E-002, 8.4866998E-003, 1.1842270E-003,-2.9819269E-001,-2.9819269E-001, 3.9896676E+001, 1.4169158E+004
 5.6000177E+002, 2.7802667E+002,-9.2394806E+001,-1.6187906E+002, 5.9211015E-001,-6.9969024E-006, 4.7022173E-003, 1.3698194E+001, 1.7883063E+000, 3.8047805E+001,-8.0395150E-003, 1.8433826E-002, 8.8804684E-003, 1.2708738E-003,-2.9819269E-001,-2.9819269E-001,-2.9636847E-001, 1.4499534E+004
 5.7000183E+002, 2.8355635E+002,-9.3261467E+001,-1.6689753E+002, 7.0406927E-001, 6.1411535E-006, 5.6093797E-003, 1.5232329E+001,-1.1425622E+000, 3.9339369E+001,-8.9420106E-003, 1.8280422E-002, 9.8773673E-003, 1.4227210E-003,-2.9819269E-001,-2.9819269E-001,-2.9819261E-001, 1.4845793E+004
 5.8000305E+002, 2.6827157E+002,-8.7362170E+001,-1.5455840E+002, 7.4937192E-001, 3.0223073E-005, 5.7285051E-003, 1.5278596E+001, 3.7583785E-002, 4.2384723E+001,-9.2957375E-003, 1.7363967E-002, 1.0268095E-002, 1.4739768E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.5199448E+004
 5.9000214E+002, 2.6942115E+002,-8.7411110E+001,-1.5429315E+002, 7.7509795E-001,-8.8885542E-004, 6.0127237E-003, 1.4666231E+001, 1.1679062E+000, 4.3163346E+001,-9.2047526E-003, 1.7418784E-002, 1.0167593E-002, 1.5055077E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.5570559E+004
 6.0000330E+002, 2.6984562E+002,-8.7488936E+001,-1.5728154E+002, 7.2073356E-001,-2.6901172E-002, 6.2347277E-003, 1.7469335E+001,-1.2502965E+000, 4.3244540E+001,-9.7144655E-003, 1.8080911E-002, 1.0730623E-002, 1.5044940E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.5955473E+004
 6.1000140E+002, 2.7289104E+002,-8.8327257E+001,-1.6009706E+002, 7.9992852E-001,-3.8032095E-002, 5.5826443E-003, 2.0250278E+001, 4.0778296E-001, 4.5484476E+001,-9.8534067E-003, 1.9532056E-002, 1.0884098E-002, 1.4709323E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.6300013E+004
 6.2000049E+002, 2.8771775E+002,-9.3211304E+001,-1.6815903E+002, 8.0056968E-001,-2.3380542E-002, 5.3870830E-003, 1.9951071E+001, 1.0280320E-001, 4.7081057E+001,-1.0229672E-002, 1.9984132E-002, 1.1299721E-002, 1.5168342E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.6632543E+004
 6.3000214E+002, 2.8959788E+002,-9.3260496E+001,-1.6923215E+002, 8.3346927E-001,-3.4733298E-002, 4.6912989E-003, 2.2132328E+001, 5.0441645E-002, 5.0040998E+001,-1.0923109E-002, 2.0794445E-002, 1.2065694E-002, 1.5747452E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.6922156E+004
 6.4000195E+002, 3.0464325E+002,-9.8538248E+001,-1.7793593E+002, 7.7992376E-001,-4.2471702E-002, 4.3980673E-003, 2.2244952E+001, 1.0634600E+000, 5.1155882E+001,-1.0935886E-002, 2.1732209E-002, 1.2079807E-002, 1.5745572E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.7193656E+004
 6.5000140E+002, 3.1717003E+002,-1.0297566E+002,-1.8682614E+002, 7.5261785E-001,-7.6050975E-002, 3.9969150E-003, 2.3111591E+001, 1.2108292E+000, 5.1160382E+001,-1.0911304E-002, 2.3109358E-002, 1.2052654E-002, 1.6061085E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.7440374E+004
 6.6000348E+002, 3.2439019E+002,-1.0544737E+002,-1.9309987E+002, 7.0281808E-001,-1.2400468E-001, 4.7066968E-003, 2.5705547E+001,-5.4202642E-001, 5.2132015E+001,-1.1448017E-002, 2.1281507E-002, 1.2645509E-002, 1.6293612E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 1.7730955E+004
 6.7000201E+002, 3.2947587E+002,-1.0628461E+002,-1.9706182E+002, 6.6561761E-001,-1.6078833E-001,-2.8105055E-001, 2.7688570E+001, 5.6283951E-001, 5.4041790E+001,-1.1640897E-002, 2.2255751E-002, 1.2858564E-002, 1.6232275E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001, 3.8637426E+002
 6.8000159E+002, 3.2067399E+002,-1.0297183E+002,-1.9259238E+002, 6.2248414E-001,-1.3462188E-001,-6.2510328E-003, 2.8803851E+001,-3.1708864E-001, 5.4395249E+001,-1.1891487E-002, 2.0595039E-002, 1.3135366E-002, 1.5810641E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.8063046E-001
 6.9000311E+002, 3.3693839E+002,-1.0715739E+002,-2.0309396E+002, 5.4471275E-001,-8.8531472E-002,-2.8386810E-007, 2.9648397E+001, 2.2619957E-001, 5.6791620E+001,-1.2312881E-002, 2.1671314E-002, 1.3600839E-002, 1.5505463E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819189E-001
 7.0000378E+002, 3.4475594E+002,-1.0973128E+002,-2.0445984E+002, 4.4762978E-001,-1.1187136E-001,-1.3439563E-011, 3.2619693E+001, 1.9056139E+000, 6.3520277E+001,-1.3422835E-002, 2.1665973E-002, 1.4826897E-002, 1.5722344E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.1000403E+002, 3.7059472E+002,-1.1829049E+002,-2.2125276E+002, 2.8938985E-001,-1.2251860E-001,-7.5982885E-013, 3.3667112E+001, 5.8522468E-001, 6.4885450E+001,-1.3970843E-002, 2.4058265E-002, 1.5432228E-002, 1.6417963E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.2000122E+002, 3.9648363E+002,-1.2698272E+002,-2.3605167E+002, 2.3625991E-001,-1.2317523E-001,-7.5959871E-013, 3.5301055E+001, 8.2561762E-001, 6.8863378E+001,-1.4821857E-002, 2.5225822E-002, 1.6372260E-002, 1.7313113E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.3000385E+002, 4.1737990E+002,-1.3354882E+002,-2.4837496E+002, 5.2916145E-002,-1.2521940E-001,-7.5943343E-013, 3.8960896E+001, 9.3370537E-001, 7.4344711E+001,-1.6005966E-002, 2.6453209E-002, 1.7680231E-002, 1.7820746E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.4000281E+002, 4.2593096E+002,-1.3686165E+002,-2.5518973E+002, 4.5562835E-002,-1.0443457E-001,-7.5920084E-013, 4.2114511E+001, 6.4605465E-002, 7.5935225E+001,-1.6555666E-002, 2.7394493E-002, 1.8287430E-002, 1.8090714E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.5000354E+002, 4.4398941E+002,-1.4172874E+002,-2.6645806E+002,-5.1511988E-002,-7.2802812E-002,-7.5900595E-013, 4.0763825E+001, 4.5088182E-001, 7.6442122E+001,-1.6562824E-002, 2.7253652E-002, 1.8295337E-002, 1.8388481E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
