s,m,mu-m,C,m/s
 5.8930000E+001, 4.5602249E+001, 2.7621530E+002, 7.8844385E+000, 1.1328524E+000
 5.9930000E+001, 4.4479196E+001, 2.7074534E+002, 7.8847873E+000, 1.1131897E+000
 6.0930000E+001, 4.3377941E+001, 2.6522163E+002, 7.8838865E+000, 1.0854898E+000
 6.1930000E+001, 4.2310271E+001, 2.5965815E+002, 7.8839483E+000, 1.0498829E+000
 6.2930000E+001, 4.1276698E+001, 2.5404598E+002, 7.8809260E+000, 1.0190139E+000
 6.3930000E+001, 4.0271737E+001, 2.4837983E+002, 7.8805379E+000, 9.9086667E-001
 6.4920000E+001, 3.9302869E+001, 2.4272226E+002, 7.8822471E+000, 9.6839651E-001
 6.5920000E+001, 3.8344449E+001, 2.3694120E+002, 7.8817005E+000, 9.4834714E-001
 6.6920000E+001, 3.7408380E+001, 2.3109234E+002, 7.8827062E+000, 9.2079266E-001
 6.7920000E+001, 3.6504122E+001, 2.2518474E+002, 7.8825635E+000, 8.8769159E-001
 6.8920000E+001, 3.5632793E+001, 2.1921152E+002, 7.8808985E+000, 8.5595943E-001
 6.9920000E+001, 3.4791336E+001, 2.1316092E+002, 7.8805248E+000, 8.2688525E-001
 7.0920000E+001, 3.3979189E+001, 2.0703096E+002, 7.8784882E+000, 7.9732594E-001
 7.1920000E+001, 3.3196997E+001, 2.0081606E+002, 7.8800120E+000, 7.6700408E-001
 7.2910000E+001, 3.2452728E+001, 1.9457328E+002, 7.8794911E+000, 7.3649805E-001
 7.3910000E+001, 3.1731891E+001, 1.8816951E+002, 7.8791366E+000, 7.0502401E-001
 7.4910000E+001, 3.1042940E+001, 1.8165843E+002, 7.8786231E+000, 6.7281356E-001
 7.5910000E+001, 3.0386512E+001, 1.7503142E+002, 7.8780295E+000, 6.3996797E-001
 7.6910000E+001, 2.9763213E+001, 1.6827810E+002, 7.8780628E+000, 6.0667426E-001
 7.7910000E+001, 2.9173241E+001, 1.6138367E+002, 7.8774388E+000, 5.7315033E-001
 7.8910000E+001, 2.8617177E+001, 1.5433216E+002, 7.8767277E+000, 5.3884698E-001
 7.9910000E+001, 2.8095824E+001, 1.4710493E+002, 7.8759858E+000, 5.0372298E-001
 8.0900000E+001, 2.7614744E+001, 1.3975784E+002, 7.8762621E+000, 4.6802881E-001
