s,mu-m,,C
 7.8100000E+000, 1.1750158E+003, 9.5879321E-001,-4.0158256E+000
 8.1100000E+000, 1.1741080E+003, 9.5731220E-001,-4.0257853E+000
 8.4100000E+000, 1.1732003E+003, 9.5583258E-001,-4.0342522E+000
 8.7100000E+000, 1.1722927E+003, 9.5435423E-001,-4.0414515E+000
 9.0100000E+000, 1.1713850E+003, 9.5287701E-001,-4.0475744E+000
 9.3100000E+000, 1.1704773E+003, 9.5140083E-001,-4.0527837E+000
 9.6100000E+000, 1.1695695E+003, 9.4992560E-001,-4.0572173E+000
 9.9100000E+000, 1.1686615E+003, 9.4845126E-001,-4.0609925E+000
 1.0210000E+001, 1.1677534E+003, 9.4697773E-001,-4.0642091E+000
 1.0510000E+001, 1.1668450E+003, 9.4550497E-001,-4.0669517E+000
 1.0810000E+001, 1.1659363E+003, 9.4403294E-001,-4.0692921E+000
 1.1110000E+001, 1.1650273E+003, 9.4256159E-001,-4.0712915E+000
 1.1410000E+001, 1.1641181E+003, 9.4109090E-001,-4.0730015E+000
 1.1710000E+001, 1.1632085E+003, 9.3962083E-001,-4.0744662E+000
 1.2010000E+001, 1.1622986E+003, 9.3815138E-001,-4.0757230E+000
 1.2310000E+001, 1.1613883E+003, 9.3668251E-001,-4.0768034E+000
 1.2610000E+001, 1.1604777E+003, 9.3521421E-001,-4.0777344E+000
 1.2910000E+001, 1.1595667E+003, 9.3374647E-001,-4.0785388E+000
 1.3210000E+001, 1.1586553E+003, 9.3227927E-001,-4.0792359E+000
 1.3510000E+001, 1.1577436E+003, 9.3081261E-001,-4.0798420E+000
 1.3810000E+001, 1.1568314E+003, 9.2934648E-001,-4.0803712E+000
 1.4110000E+001, 1.1559189E+003, 9.2788088E-001,-4.0808352E+000
 1.4410000E+001, 1.1550059E+003, 9.2641579E-001,-4.0812439E+000
 1.4710000E+001, 1.1540926E+003, 9.2495121E-001,-4.0816059E+000
 1.5010000E+001, 1.1531789E+003, 9.2348714E-001,-4.0819283E+000
 1.5310000E+001, 1.1522647E+003, 9.2202358E-001,-4.0822171E+000
 1.5610000E+001, 1.1513501E+003, 9.2056052E-001,-4.0824776E+000
 1.5910000E+001, 1.1504352E+003, 9.1909796E-001,-4.0827141E+000
 1.6210000E+001, 1.1495198E+003, 9.1763590E-001,-4.0829302E+000
 1.6510000E+001, 1.1486040E+003, 9.1617433E-001,-4.0831291E+000
 1.6810000E+001, 1.1476877E+003, 9.1471326E-001,-4.0833134E+000
 1.7110000E+001, 1.1467711E+003, 9.1325269E-001,-4.0834854E+000
 1.7410000E+001, 1.1458540E+003, 9.1179261E-001,-4.0836469E+000
 1.7710000E+001, 1.1449365E+003, 9.1033303E-001,-4.0837996E+000
 1.8010000E+001, 1.1440186E+003, 9.0887394E-001,-4.0839448E+000
 1.8300000E+001, 1.1431308E+003, 9.0746396E-001,-4.0840791E+000
 1.8600000E+001, 1.1422121E+003, 9.0600584E-001,-4.0842127E+000
 1.8900000E+001, 1.1412929E+003, 9.0454822E-001,-4.0843417E+000
 1.9200000E+001, 1.1403733E+003, 9.0309109E-001,-4.0844668E+000
 1.9500000E+001, 1.1394532E+003, 9.0163446E-001,-4.0845887E+000
 1.9800000E+001, 1.1385327E+003, 9.0017832E-001,-4.0847077E+000
 2.0100000E+001, 1.1376118E+003, 8.9872267E-001,-4.0848244E+000
 2.0400000E+001, 1.1366905E+003, 8.9726752E-001,-4.0849391E+000
 2.0700000E+001, 1.1357687E+003, 8.9581287E-001,-4.0850523E+000
 2.1000000E+001, 1.1348465E+003, 8.9435871E-001,-4.0851642E+000
 2.1300000E+001, 1.1339238E+003, 8.9290505E-001,-4.0852750E+000
 2.1600000E+001, 1.1330008E+003, 8.9145188E-001,-4.0853849E+000
 2.1900000E+001, 1.1320772E+003, 8.8999921E-001,-4.0854939E+000
 2.2200000E+001, 1.1311533E+003, 8.8854704E-001,-4.0856022E+000
 2.2500000E+001, 1.1302289E+003, 8.8709537E-001,-4.0857099E+000
 2.2800000E+001, 1.1293041E+003, 8.8564420E-001,-4.0858170E+000
 2.3100000E+001, 1.1283788E+003, 8.8419352E-001,-4.0859236E+000
 2.3400000E+001, 1.1274531E+003, 8.8274335E-001,-4.0860298E+000
 2.3700000E+001, 1.1265269E+003, 8.8129367E-001,-4.0861356E+000
 2.4000000E+001, 1.1256003E+003, 8.7984450E-001,-4.0862410E+000
 2.4300000E+001, 1.1246733E+003, 8.7839582E-001,-4.0863461E+000
 2.4600000E+001, 1.1237458E+003, 8.7694765E-001,-4.0864510E+000
 2.4900000E+001, 1.1228179E+003, 8.7549997E-001,-4.0865555E+000
 2.5200000E+001, 1.1218895E+003, 8.7405280E-001,-4.0866598E+000
 2.5500000E+001, 1.1209607E+003, 8.7260613E-001,-4.0867639E+000
 2.5800000E+001, 1.1200314E+003, 8.7115997E-001,-4.0868677E+000
 2.6100000E+001, 1.1191017E+003, 8.6971431E-001,-4.0869714E+000
 2.6400000E+001, 1.1181715E+003, 8.6826915E-001,-4.0870748E+000
 2.6700000E+001, 1.1172409E+003, 8.6682449E-001,-4.0871781E+000
 2.7000000E+001, 1.1163099E+003, 8.6538034E-001,-4.0872812E+000
 2.7300000E+001, 1.1153783E+003, 8.6393670E-001,-4.0873841E+000
 2.7600000E+001, 1.1144464E+003, 8.6249356E-001,-4.0874869E+000
 2.7900000E+001, 1.1135140E+003, 8.6105092E-001,-4.0875895E+000
 2.8200000E+001, 1.1125811E+003, 8.5960880E-001,-4.0876919E+000
 2.8500000E+001, 1.1116478E+003, 8.5816718E-001,-4.0877942E+000
 2.8800000E+001, 1.1107140E+003, 8.5672606E-001,-4.0878964E+000
 2.9100000E+001, 1.1097797E+003, 8.5528546E-001,-4.0879984E+000
 2.9400000E+001, 1.1088450E+003, 8.5384536E-001,-4.0881002E+000
 2.9700000E+001, 1.1079099E+003, 8.5240578E-001,-4.0882020E+000
 3.0000000E+001, 1.1069743E+003, 8.5096670E-001,-4.0883036E+000
