s,mu-m,,C
 7.8100000E+000, 1.1907129E+003, 9.8458134E-001, 3.0432467E+000
 8.1100000E+000, 1.1903079E+003, 9.8391171E-001, 3.0528893E+000
 8.4100000E+000, 1.1899022E+003, 9.8324119E-001, 3.0611963E+000
 8.7100000E+000, 1.1894960E+003, 9.8256991E-001, 3.0683514E+000
 9.0100000E+000, 1.1890892E+003, 9.8189798E-001, 3.0745127E+000
 9.3100000E+000, 1.1886819E+003, 9.8122553E-001, 3.0798171E+000
 9.6100000E+000, 1.1882743E+003, 9.8055262E-001, 3.0843826E+000
 9.9100000E+000, 1.1878663E+003, 9.7987933E-001, 3.0883111E+000
 1.0210000E+001, 1.1874579E+003, 9.7920573E-001, 3.0916904E+000
 1.0510000E+001, 1.1870492E+003, 9.7853188E-001, 3.0945965E+000
 1.0810000E+001, 1.1866403E+003, 9.7785782E-001, 3.0970946E+000
 1.1110000E+001, 1.1862312E+003, 9.7718360E-001, 3.0992413E+000
 1.1410000E+001, 1.1858218E+003, 9.7650925E-001, 3.1010851E+000
 1.1710000E+001, 1.1854122E+003, 9.7583480E-001, 3.1026680E+000
 1.2010000E+001, 1.1850024E+003, 9.7516028E-001, 3.1040260E+000
 1.2310000E+001, 1.1845925E+003, 9.7448571E-001, 3.1051905E+000
 1.2610000E+001, 1.1841824E+003, 9.7381111E-001, 3.1061882E+000
 1.2910000E+001, 1.1837722E+003, 9.7313649E-001, 3.1070423E+000
 1.3210000E+001, 1.1833618E+003, 9.7246189E-001, 3.1077728E+000
 1.3510000E+001, 1.1829513E+003, 9.7178729E-001, 3.1083967E+000
 1.3810000E+001, 1.1825406E+003, 9.7111273E-001, 3.1089290E+000
 1.4110000E+001, 1.1821299E+003, 9.7043820E-001, 3.1093823E+000
 1.4410000E+001, 1.1817190E+003, 9.6976371E-001, 3.1097677E+000
 1.4710000E+001, 1.1813080E+003, 9.6908928E-001, 3.1100946E+000
 1.5010000E+001, 1.1808969E+003, 9.6841490E-001, 3.1103712E+000
 1.5310000E+001, 1.1804857E+003, 9.6774059E-001, 3.1106045E+000
 1.5610000E+001, 1.1800744E+003, 9.6706634E-001, 3.1108005E+000
 1.5910000E+001, 1.1796630E+003, 9.6639216E-001, 3.1109644E+000
 1.6210000E+001, 1.1792515E+003, 9.6571806E-001, 3.1111007E+000
 1.6510000E+001, 1.1788399E+003, 9.6504403E-001, 3.1112133E+000
 1.6810000E+001, 1.1784282E+003, 9.6437009E-001, 3.1113054E+000
 1.7110000E+001, 1.1780164E+003, 9.6369622E-001, 3.1113800E+000
 1.7410000E+001, 1.1776045E+003, 9.6302244E-001, 3.1114395E+000
 1.7710000E+001, 1.1771925E+003, 9.6234875E-001, 3.1114860E+000
 1.8010000E+001, 1.1767804E+003, 9.6167514E-001, 3.1115214E+000
 1.8300000E+001, 1.1763820E+003, 9.6102406E-001, 3.1115464E+000
 1.8600000E+001, 1.1759698E+003, 9.6035063E-001, 3.1115641E+000
 1.8900000E+001, 1.1755574E+003, 9.5967729E-001, 3.1115747E+000
 1.9200000E+001, 1.1751450E+003, 9.5900403E-001, 3.1115792E+000
 1.9500000E+001, 1.1747325E+003, 9.5833087E-001, 3.1115784E+000
 1.9800000E+001, 1.1743199E+003, 9.5765780E-001, 3.1115730E+000
 2.0100000E+001, 1.1739072E+003, 9.5698482E-001, 3.1115638E+000
 2.0400000E+001, 1.1734944E+003, 9.5631194E-001, 3.1115513E+000
 2.0700000E+001, 1.1730816E+003, 9.5563915E-001, 3.1115359E+000
 2.1000000E+001, 1.1726686E+003, 9.5496645E-001, 3.1115180E+000
 2.1300000E+001, 1.1722556E+003, 9.5429385E-001, 3.1114980E+000
 2.1600000E+001, 1.1718425E+003, 9.5362134E-001, 3.1114762E+000
 2.1900000E+001, 1.1714292E+003, 9.5294893E-001, 3.1114529E+000
 2.2200000E+001, 1.1710159E+003, 9.5227661E-001, 3.1114282E+000
 2.2500000E+001, 1.1706025E+003, 9.5160439E-001, 3.1114024E+000
 2.2800000E+001, 1.1701891E+003, 9.5093226E-001, 3.1113756E+000
 2.3100000E+001, 1.1697755E+003, 9.5026023E-001, 3.1113480E+000
 2.3400000E+001, 1.1693619E+003, 9.4958830E-001, 3.1113197E+000
 2.3700000E+001, 1.1689481E+003, 9.4891646E-001, 3.1112909E+000
 2.4000000E+001, 1.1685343E+003, 9.4824472E-001, 3.1112615E+000
 2.4300000E+001, 1.1681204E+003, 9.4757308E-001, 3.1112316E+000
 2.4600000E+001, 1.1677064E+003, 9.4690153E-001, 3.1112015E+000
 2.4900000E+001, 1.1672923E+003, 9.4623008E-001, 3.1111710E+000
 2.5200000E+001, 1.1668781E+003, 9.4555872E-001, 3.1111402E+000
 2.5500000E+001, 1.1664639E+003, 9.4488747E-001, 3.1111093E+000
 2.5800000E+001, 1.1660495E+003, 9.4421631E-001, 3.1110782E+000
 2.6100000E+001, 1.1656351E+003, 9.4354524E-001, 3.1110469E+000
 2.6400000E+001, 1.1652206E+003, 9.4287428E-001, 3.1110155E+000
 2.6700000E+001, 1.1648060E+003, 9.4220341E-001, 3.1109841E+000
 2.7000000E+001, 1.1643913E+003, 9.4153264E-001, 3.1109525E+000
 2.7300000E+001, 1.1639765E+003, 9.4086197E-001, 3.1109209E+000
 2.7600000E+001, 1.1635616E+003, 9.4019140E-001, 3.1108893E+000
 2.7900000E+001, 1.1631466E+003, 9.3952092E-001, 3.1108576E+000
 2.8200000E+001, 1.1627316E+003, 9.3885054E-001, 3.1108259E+000
 2.8500000E+001, 1.1623165E+003, 9.3818027E-001, 3.1107942E+000
 2.8800000E+001, 1.1619013E+003, 9.3751008E-001, 3.1107625E+000
 2.9100000E+001, 1.1614859E+003, 9.3684000E-001, 3.1107308E+000
 2.9400000E+001, 1.1610706E+003, 9.3617002E-001, 3.1106991E+000
 2.9700000E+001, 1.1606551E+003, 9.3550013E-001, 3.1106674E+000
 3.0000000E+001, 1.1602395E+003, 9.3483035E-001, 3.1106357E+000
