s,mu-m,C,mm^2
 3.2000000E+001, 8.9719882E+002, 7.8277007E+001, 8.0496572E-001
 3.3000000E+001, 8.8877433E+002, 7.8272346E+001, 7.8991981E-001
 3.4000000E+001, 8.8028276E+002, 7.8267470E+001, 7.7489773E-001
 3.5000000E+001, 8.7172166E+002, 7.8262381E+001, 7.5989865E-001
 3.6000000E+001, 8.6308848E+002, 7.8257082E+001, 7.4492173E-001
 3.7000000E+001, 8.5438060E+002, 7.8251575E+001, 7.2996621E-001
 3.8000000E+001, 8.4559525E+002, 7.8245863E+001, 7.1503133E-001
 3.9000000E+001, 8.3672959E+002, 7.8239948E+001, 7.0011641E-001
 4.0000000E+001, 8.2778064E+002, 7.8233835E+001, 6.8522078E-001
 4.1000000E+001, 8.1874529E+002, 7.8227528E+001, 6.7034386E-001
 4.2000000E+001, 8.0962033E+002, 7.8221029E+001, 6.5548509E-001
 4.3000000E+001, 8.0040239E+002, 7.8214346E+001, 6.4064398E-001
 4.4010000E+001, 7.9099430E+002, 7.8207371E+001, 6.2567198E-001
 4.5010000E+001, 7.8157872E+002, 7.8200189E+001, 6.1086529E-001
 4.6010000E+001, 7.7205917E+002, 7.8192786E+001, 5.9607535E-001
 4.7010000E+001, 7.6243161E+002, 7.8185193E+001, 5.8130196E-001
 4.8010000E+001, 7.5269181E+002, 7.8177430E+001, 5.6654496E-001
 4.9010000E+001, 7.4283526E+002, 7.8169506E+001, 5.5180423E-001
 5.0010000E+001, 7.3285723E+002, 7.8161429E+001, 5.3707972E-001
 5.1010000E+001, 7.2275268E+002, 7.8153200E+001, 5.2237144E-001
 5.2010000E+001, 7.1251627E+002, 7.8144823E+001, 5.0767944E-001
 5.3010000E+001, 7.0214232E+002, 7.8136297E+001, 4.9300383E-001
 5.4010000E+001, 6.9162473E+002, 7.8127618E+001, 4.7834477E-001
 5.5010000E+001, 6.8095701E+002, 7.8118764E+001, 4.6370246E-001
 5.6010000E+001, 6.7013223E+002, 7.8109621E+001, 4.4907721E-001
 5.7010000E+001, 6.5914294E+002, 7.8100243E+001, 4.3446941E-001
 5.8010000E+001, 6.4798106E+002, 7.8090663E+001, 4.1987945E-001
 5.9010000E+001, 6.3663780E+002, 7.8080885E+001, 4.0530769E-001
 6.0010000E+001, 6.2510363E+002, 7.8070899E+001, 3.9075455E-001
 6.1010000E+001, 6.1336813E+002, 7.8060690E+001, 3.7622046E-001
 6.2010000E+001, 6.0141990E+002, 7.8050234E+001, 3.6170590E-001
 6.3010000E+001, 5.8924643E+002, 7.8039504E+001, 3.4721136E-001
 6.4010000E+001, 5.7683395E+002, 7.8028348E+001, 3.3273740E-001
 6.5010000E+001, 5.6417207E+002, 7.8004476E+001, 3.1829012E-001
 6.6010000E+001, 5.5124513E+002, 7.7988682E+001, 3.0387119E-001
 6.7010000E+001, 5.3803005E+002, 7.7975225E+001, 2.8947634E-001
 6.8010000E+001, 5.2450442E+002, 7.7961951E+001, 2.7510488E-001
 6.9010000E+001, 5.1064386E+002, 7.7948238E+001, 2.6075715E-001
 7.0010000E+001, 4.9642095E+002, 7.7933761E+001, 2.4643376E-001
 7.1010000E+001, 4.8180443E+002, 7.7918261E+001, 2.3213551E-001
 7.2010000E+001, 4.6675816E+002, 7.7901719E+001, 2.1786318E-001
 7.3000000E+001, 4.5139760E+002, 7.7884145E+001, 2.0375979E-001
 7.4000000E+001, 4.3536317E+002, 7.7864920E+001, 1.8954109E-001
 7.5000000E+001, 4.1874853E+002, 7.7843635E+001, 1.7535034E-001
 7.6000000E+001, 4.0148258E+002, 7.7819924E+001, 1.6118826E-001
 7.7000000E+001, 3.8347819E+002, 7.7793290E+001, 1.4705553E-001
 7.8000000E+001, 3.6462657E+002, 7.7762703E+001, 1.3295254E-001
 7.9000000E+001, 3.4478926E+002, 7.7726644E+001, 1.1887964E-001
 8.0000000E+001, 3.2378499E+002, 7.7683274E+001, 1.0483672E-001
 8.1000000E+001, 3.0136845E+002, 7.7629129E+001, 9.0822944E-002
 8.2000000E+001, 2.7719364E+002, 7.7558655E+001, 7.6836316E-002
 8.3000000E+001, 2.5074344E+002, 7.7461238E+001, 6.2872271E-002
 8.4000000E+001, 2.2118077E+002, 7.7314740E+001, 4.8920932E-002
 8.5000000E+001, 1.8697297E+002, 7.7062698E+001, 3.4958891E-002
 8.6000000E+001, 1.4463101E+002, 7.6498455E+001, 2.0918129E-002
 8.7000000E+001, 8.0453686E+001, 7.3866601E+001, 6.4727956E-003
 8.8000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 8.9000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.0000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.1000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.2000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.3000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.4000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.5000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.6000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.7000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.8000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 9.9000000E+001, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
 1.0000000E+002, 1.8641763E+001, 5.3793809E+001, 3.4751533E-004
