s,m,mu-m,C,m/s
Time,"z","d","t","v"
 8.6740000E+001, 1.8207348E+002, 4.1708697E+002, 7.2480290E+000, 1.7705817E+000
 8.7730000E+001, 1.8032929E+002, 4.1266357E+002, 7.2480746E+000, 1.7546730E+000
 8.8730000E+001, 1.7858457E+002, 4.0817750E+002, 7.2488498E+000, 1.7333635E+000
 8.9730000E+001, 1.7686126E+002, 4.0367650E+002, 7.2495313E+000, 1.7151092E+000
 9.0720000E+001, 1.7517093E+002, 3.9919978E+002, 7.2488461E+000, 1.6976606E+000
 9.1720000E+001, 1.7348908E+002, 3.9466432E+002, 7.2484532E+000, 1.6701235E+000
 9.2720000E+001, 1.7182568E+002, 3.9010875E+002, 7.2478193E+000, 1.6556088E+000
 9.3710000E+001, 1.7019832E+002, 3.8558037E+002, 7.2490318E+000, 1.6308596E+000
 9.4710000E+001, 1.6857641E+002, 3.8098988E+002, 7.2500555E+000, 1.6173103E+000
 9.5710000E+001, 1.6696852E+002, 3.7637392E+002, 7.2506973E+000, 1.5957749E+000
 9.6700000E+001, 1.6540416E+002, 3.7179100E+002, 7.2513169E+000, 1.5689933E+000
 9.7700000E+001, 1.6383913E+002, 3.6713661E+002, 7.2509174E+000, 1.5583606E+000
 9.8700000E+001, 1.6229361E+002, 3.6246114E+002, 7.2525583E+000, 1.5307874E+000
 9.9690000E+001, 1.6078848E+002, 3.5781318E+002, 7.2511595E+000, 1.5106897E+000
 1.0069000E+002, 1.5928791E+002, 3.5309431E+002, 7.2506385E+000, 1.4900013E+000
 1.0169000E+002, 1.5781034E+002, 3.4835400E+002, 7.2504611E+000, 1.4660728E+000
 1.0269000E+002, 1.5635352E+002, 3.4358967E+002, 7.2524968E+000, 1.4488110E+000
 1.0368000E+002, 1.5492967E+002, 3.3884870E+002, 7.2539938E+000, 1.4285991E+000
 1.0468000E+002, 1.5351021E+002, 3.3403108E+002, 7.2530322E+000, 1.4087225E+000
 1.0568000E+002, 1.5211855E+002, 3.2919099E+002, 7.2535045E+000, 1.3754195E+000
 1.0667000E+002, 1.5076705E+002, 3.2437599E+002, 7.2527825E+000, 1.3589652E+000
 1.0767000E+002, 1.4941740E+002, 3.1947869E+002, 7.2525383E+000, 1.3386339E+000
 1.0867000E+002, 1.4809198E+002, 3.1455586E+002, 7.2530243E+000, 1.3127742E+000
 1.0966000E+002, 1.4680304E+002, 3.0965496E+002, 7.2543347E+000, 1.2938795E+000
 1.1066000E+002, 1.4551916E+002, 3.0466939E+002, 7.2549260E+000, 1.2724942E+000
 1.1166000E+002, 1.4425926E+002, 2.9965378E+002, 7.2557118E+000, 1.2473098E+000
 1.1265000E+002, 1.4303608E+002, 2.9465371E+002, 7.2551645E+000, 1.2228535E+000
 1.1365000E+002, 1.4182887E+002, 2.8957415E+002, 7.2544362E+000, 1.1945184E+000
 1.1465000E+002, 1.4064443E+002, 2.8445911E+002, 7.2554317E+000, 1.1784514E+000
 1.1565000E+002, 1.3947751E+002, 2.7929977E+002, 7.2562806E+000, 1.1548035E+000
 1.1664000E+002, 1.3834902E+002, 2.7415795E+002, 7.2569066E+000, 1.1249275E+000
 1.1764000E+002, 1.3723652E+002, 2.6892598E+002, 7.2558298E+000, 1.1001017E+000
 1.1864000E+002, 1.3614827E+002, 2.6365024E+002, 7.2557599E+000, 1.0760193E+000
 1.1963000E+002, 1.3509543E+002, 2.5838499E+002, 7.2560665E+000, 1.0510767E+000
 1.2063000E+002, 1.3405626E+002, 2.5301940E+002, 7.2559947E+000, 1.0265745E+000
 1.2163000E+002, 1.3304267E+002, 2.4760635E+002, 7.2563555E+000, 1.0006847E+000
 1.2262000E+002, 1.3206464E+002, 2.4219695E+002, 7.2563024E+000, 9.7497728E-001
 1.2362000E+002, 1.3110302E+002, 2.3667910E+002, 7.2555592E+000, 9.4808525E-001
 1.2462000E+002, 1.3016955E+002, 2.3110690E+002, 7.2555619E+000, 9.1964631E-001
 1.2561000E+002, 1.2927246E+002, 2.2553287E+002, 7.2566051E+000, 8.9267195E-001
 1.2661000E+002, 1.2839203E+002, 2.1983707E+002, 7.2564870E+000, 8.6756946E-001
 1.2761000E+002, 1.2753852E+002, 2.1407200E+002, 7.2570444E+000, 8.3938489E-001
 1.2860000E+002, 1.2672273E+002, 2.0829548E+002, 7.2572474E+000, 8.0710884E-001
