s,mu-m,,C
 7.8100000E+000, 1.1865347E+003, 9.7768370E-001, 2.9929600E+000
 8.1100000E+000, 1.1859662E+003, 9.7674709E-001, 2.9959307E+000
 8.4100000E+000, 1.1853973E+003, 9.7581028E-001, 2.9983515E+000
 8.7100000E+000, 1.1848281E+003, 9.7487333E-001, 3.0003227E+000
 9.0100000E+000, 1.1842585E+003, 9.7393632E-001, 3.0019265E+000
 9.3100000E+000, 1.1836887E+003, 9.7299929E-001, 3.0032299E+000
 9.6100000E+000, 1.1831186E+003, 9.7206227E-001, 3.0042878E+000
 9.9100000E+000, 1.1825483E+003, 9.7112531E-001, 3.0051453E+000
 1.0210000E+001, 1.1819777E+003, 9.7018842E-001, 3.0058390E+000
 1.0510000E+001, 1.1814069E+003, 9.6925163E-001, 3.0063989E+000
 1.0810000E+001, 1.1808359E+003, 9.6831495E-001, 3.0068496E+000
 1.1110000E+001, 1.1802648E+003, 9.6737841E-001, 3.0072111E+000
 1.1410000E+001, 1.1796934E+003, 9.6644201E-001, 3.0074997E+000
 1.1710000E+001, 1.1791218E+003, 9.6550575E-001, 3.0077290E+000
 1.2010000E+001, 1.1785501E+003, 9.6456966E-001, 3.0079096E+000
 1.2310000E+001, 1.1779782E+003, 9.6363374E-001, 3.0080508E+000
 1.2610000E+001, 1.1774061E+003, 9.6269798E-001, 3.0081596E+000
 1.2910000E+001, 1.1768338E+003, 9.6176241E-001, 3.0082420E+000
 1.3210000E+001, 1.1762614E+003, 9.6082701E-001, 3.0083029E+000
 1.3510000E+001, 1.1756888E+003, 9.5989179E-001, 3.0083463E+000
 1.3810000E+001, 1.1751160E+003, 9.5895675E-001, 3.0083754E+000
 1.4110000E+001, 1.1745431E+003, 9.5802191E-001, 3.0083928E+000
 1.4410000E+001, 1.1739700E+003, 9.5708725E-001, 3.0084007E+000
 1.4710000E+001, 1.1733968E+003, 9.5615278E-001, 3.0084008E+000
 1.5010000E+001, 1.1728234E+003, 9.5521850E-001, 3.0083947E+000
 1.5310000E+001, 1.1722498E+003, 9.5428441E-001, 3.0083833E+000
 1.5610000E+001, 1.1716760E+003, 9.5335051E-001, 3.0083677E+000
 1.5910000E+001, 1.1711021E+003, 9.5241681E-001, 3.0083488E+000
 1.6210000E+001, 1.1705281E+003, 9.5148329E-001, 3.0083270E+000
 1.6510000E+001, 1.1699538E+003, 9.5054998E-001, 3.0083029E+000
 1.6810000E+001, 1.1693794E+003, 9.4961685E-001, 3.0082770E+000
 1.7110000E+001, 1.1688049E+003, 9.4868392E-001, 3.0082496E+000
 1.7410000E+001, 1.1682302E+003, 9.4775119E-001, 3.0082209E+000
 1.7710000E+001, 1.1676553E+003, 9.4681865E-001, 3.0081913E+000
 1.8000000E+001, 1.1670994E+003, 9.4591738E-001, 3.0081618E+000
 1.8300000E+001, 1.1665242E+003, 9.4498522E-001, 3.0081307E+000
 1.8600000E+001, 1.1659488E+003, 9.4405326E-001, 3.0080990E+000
 1.8900000E+001, 1.1653733E+003, 9.4312150E-001, 3.0080669E+000
 1.9200000E+001, 1.1647976E+003, 9.4218993E-001, 3.0080344E+000
 1.9500000E+001, 1.1642218E+003, 9.4125855E-001, 3.0080016E+000
 1.9800000E+001, 1.1636457E+003, 9.4032738E-001, 3.0079686E+000
 2.0100000E+001, 1.1630696E+003, 9.3939640E-001, 3.0079354E+000
 2.0400000E+001, 1.1624932E+003, 9.3846562E-001, 3.0079020E+000
 2.0700000E+001, 1.1619167E+003, 9.3753503E-001, 3.0078686E+000
 2.1000000E+001, 1.1613400E+003, 9.3660464E-001, 3.0078350E+000
 2.1300000E+001, 1.1607632E+003, 9.3567445E-001, 3.0078013E+000
 2.1600000E+001, 1.1601862E+003, 9.3474445E-001, 3.0077676E+000
 2.1900000E+001, 1.1596090E+003, 9.3381466E-001, 3.0077338E+000
 2.2200000E+001, 1.1590317E+003, 9.3288506E-001, 3.0077001E+000
 2.2500000E+001, 1.1584542E+003, 9.3195566E-001, 3.0076662E+000
 2.2800000E+001, 1.1578765E+003, 9.3102645E-001, 3.0076324E+000
 2.3100000E+001, 1.1572987E+003, 9.3009745E-001, 3.0075986E+000
 2.3400000E+001, 1.1567207E+003, 9.2916864E-001, 3.0075648E+000
 2.3700000E+001, 1.1561426E+003, 9.2824003E-001, 3.0075310E+000
 2.4000000E+001, 1.1555642E+003, 9.2731162E-001, 3.0074973E+000
 2.4300000E+001, 1.1549858E+003, 9.2638340E-001, 3.0074635E+000
 2.4600000E+001, 1.1544071E+003, 9.2545539E-001, 3.0074298E+000
 2.4900000E+001, 1.1538283E+003, 9.2452758E-001, 3.0073962E+000
 2.5200000E+001, 1.1532493E+003, 9.2359996E-001, 3.0073625E+000
 2.5500000E+001, 1.1526701E+003, 9.2267254E-001, 3.0073289E+000
 2.5800000E+001, 1.1520908E+003, 9.2174532E-001, 3.0072954E+000
 2.6100000E+001, 1.1515113E+003, 9.2081831E-001, 3.0072619E+000
 2.6400000E+001, 1.1509317E+003, 9.1989149E-001, 3.0072284E+000
 2.6700000E+001, 1.1503519E+003, 9.1896487E-001, 3.0071950E+000
 2.7000000E+001, 1.1497719E+003, 9.1803845E-001, 3.0071616E+000
 2.7300000E+001, 1.1491917E+003, 9.1711223E-001, 3.0071283E+000
 2.7600000E+001, 1.1486114E+003, 9.1618621E-001, 3.0070950E+000
 2.7900000E+001, 1.1480309E+003, 9.1526039E-001, 3.0070617E+000
 2.8200000E+001, 1.1474503E+003, 9.1433478E-001, 3.0070285E+000
 2.8500000E+001, 1.1468694E+003, 9.1340936E-001, 3.0069954E+000
 2.8800000E+001, 1.1462884E+003, 9.1248414E-001, 3.0069623E+000
 2.9100000E+001, 1.1457073E+003, 9.1155913E-001, 3.0069292E+000
 2.9400000E+001, 1.1451259E+003, 9.1063431E-001, 3.0068962E+000
 2.9700000E+001, 1.1445444E+003, 9.0970970E-001, 3.0068633E+000
 3.0000000E+001, 1.1439628E+003, 9.0878529E-001, 3.0068304E+000
