s,mu-m,C
 5.2100000E-001, 3.6225755E+001, 5.7818994E+000
 5.3600000E-001, 3.5987129E+001, 5.7817570E+000
 5.5000000E-001, 3.5762977E+001, 5.7816235E+000
 5.6400000E-001, 3.5537412E+001, 5.7814894E+000
 5.7800000E-001, 3.5310407E+001, 5.7813547E+000
 5.9200000E-001, 3.5081935E+001, 5.7812193E+000
 6.0600000E-001, 3.4851966E+001, 5.7810834E+000
 6.2000000E-001, 3.4620471E+001, 5.7809468E+000
 6.3400000E-001, 3.4387418E+001, 5.7808095E+000
 6.4800000E-001, 3.4152777E+001, 5.7806716E+000
 6.6200000E-001, 3.3916513E+001, 5.7805330E+000
 6.7600000E-001, 3.3678594E+001, 5.7803937E+000
 6.9000000E-001, 3.3438983E+001, 5.7802536E+000
 7.0400000E-001, 3.3197643E+001, 5.7801128E+000
 7.1900000E-001, 3.2937105E+001, 5.7799560E+000
 7.3300000E-001, 3.2692063E+001, 5.7798064E+000
 7.4700000E-001, 3.2445173E+001, 5.7796555E+000
 7.6100000E-001, 3.2196390E+001, 5.7795039E+000
 7.7500000E-001, 3.1945672E+001, 5.7793515E+000
 7.8900000E-001, 3.1692971E+001, 5.7791983E+000
 8.0300000E-001, 3.1438241E+001, 5.7790443E+000
 8.1700000E-001, 3.1181431E+001, 5.7788895E+000
 8.3100000E-001, 3.0922489E+001, 5.7787339E+000
 8.4500000E-001, 3.0661362E+001, 5.7785774E+000
 8.5900000E-001, 3.0397993E+001, 5.7784200E+000
 8.7300000E-001, 3.0132324E+001, 5.7782615E+000
 8.8800000E-001, 2.9845055E+001, 5.7780905E+000
 9.0200000E-001, 2.9574421E+001, 5.7779300E+000
 9.1600000E-001, 2.9301289E+001, 5.7777685E+000
 9.3000000E-001, 2.9025588E+001, 5.7776061E+000
 9.4400000E-001, 2.8747244E+001, 5.7774426E+000
 9.5800000E-001, 2.8466179E+001, 5.7772780E+000
 9.7200000E-001, 2.8182312E+001, 5.7771124E+000
 9.8600000E-001, 2.7895558E+001, 5.7769448E+000
 1.0000000E+000, 2.7605827E+001, 5.7767715E+000
 1.0140000E+000, 2.7313022E+001, 5.7765960E+000
 1.0280000E+000, 2.7017046E+001, 5.7764192E+000
 1.0420000E+000, 2.6717792E+001, 5.7762411E+000
 1.0570000E+000, 2.6393398E+001, 5.7760490E+000
 1.0710000E+000, 2.6086992E+001, 5.7758684E+000
 1.0850000E+000, 2.5776945E+001, 5.7756865E+000
 1.0990000E+000, 2.5463123E+001, 5.7755025E+000
 1.1130000E+000, 2.5145385E+001, 5.7753164E+000
 1.1270000E+000, 2.4823580E+001, 5.7751288E+000
 1.1410000E+000, 2.4497549E+001, 5.7749396E+000
 1.1550000E+000, 2.4167119E+001, 5.7747489E+000
 1.1690000E+000, 2.3832108E+001, 5.7745565E+000
 1.1830000E+000, 2.3492319E+001, 5.7743614E+000
 1.1970000E+000, 2.3147542E+001, 5.7741580E+000
 1.2110000E+000, 2.2797550E+001, 5.7739517E+000
 1.2250000E+000, 2.2442100E+001, 5.7737436E+000
 1.2400000E+000, 2.2054902E+001, 5.7735184E+000
 1.2540000E+000, 2.1687279E+001, 5.7733062E+000
 1.2680000E+000, 2.1313313E+001, 5.7730893E+000
 1.2820000E+000, 2.0932664E+001, 5.7728688E+000
 1.2960000E+000, 2.0544960E+001, 5.7726460E+000
 1.3100000E+000, 2.0149793E+001, 5.7724208E+000
 1.3240000E+000, 1.9746714E+001, 5.7721918E+000
 1.3380000E+000, 1.9335227E+001, 5.7719541E+000
 1.3520000E+000, 1.8914784E+001, 5.7717131E+000
 1.3660000E+000, 1.8484771E+001, 5.7714693E+000
 1.3800000E+000, 1.8044502E+001, 5.7712205E+000
 1.3940000E+000, 1.7593207E+001, 5.7709639E+000
 1.4080000E+000, 1.7130012E+001, 5.7707038E+000
