s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 4.5004091E+001, 1.4672466E+000, 6.6130274E-001, 7.1259420E-001, 2.8589677E+000, 5.3674070E+000, 1.4198921E+000, 7.1689630E-001, 2.4257080E+000, 1.3949920E+000, 3.6156355E-001, 2.7902163E+000, 3.2401685E-001
 5.0003821E+001, 1.4407363E+000, 5.8870928E-001, 6.7375641E-001, 2.8063243E+000, 5.2027873E+000, 1.3723438E+000, 6.9813284E-001, 2.3056832E+000, 1.2998309E+000, 3.4301039E-001, 2.7169833E+000, 2.7362535E-001
 5.5001375E+001, 1.4345393E+000, 6.3850901E-001, 6.7204884E-001, 2.7814879E+000, 5.2123958E+000, 1.3706016E+000, 6.9728001E-001, 2.4624923E+000, 1.3980818E+000, 3.3606790E-001, 2.6953852E+000, 2.9606717E-001
 6.0009206E+001, 1.3906470E+000, 5.3383952E-001, 6.5216652E-001, 2.7390998E+000, 5.1732560E+000, 1.3602513E+000, 6.5490507E-001, 2.2719975E+000, 1.2392866E+000, 3.1826918E-001, 2.7377483E+000, 2.3575854E-001
 6.5001477E+001, 1.3045422E+000, 5.1951133E-001, 6.1579969E-001, 2.6129338E+000, 5.0155096E+000, 1.2906480E+000, 6.1670015E-001, 2.1793422E+000, 1.1867558E+000, 2.9717569E-001, 2.6316202E+000, 2.4401244E-001
 7.0007833E+001, 1.4200865E+000, 6.0773873E-001, 6.7156651E-001, 2.7600614E+000, 5.2415125E+000, 1.3427441E+000, 7.0278815E-001, 2.3536737E+000, 1.3186494E+000, 3.4078534E-001, 2.6460592E+000, 2.9441786E-001
 7.5007216E+001, 1.4638606E+000, 6.1259654E-001, 6.8204150E-001, 2.8672917E+000, 5.3767638E+000, 1.4061462E+000, 7.0088409E-001, 2.4135748E+000, 1.3557046E+000, 3.4458868E-001, 2.7986173E+000, 2.8850023E-001
 8.0001515E+001, 1.4003430E+000, 6.0237081E-001, 6.6002588E-001, 2.7607807E+000, 5.2631156E+000, 1.3376530E+000, 6.7560269E-001, 2.2930599E+000, 1.3032358E+000, 3.2758667E-001, 2.6593937E+000, 2.8939910E-001
 8.5002791E+001, 1.5075988E+000, 6.5435526E-001, 7.4584351E-001, 2.8166199E+000, 5.1969642E+000, 1.4477921E+000, 7.7102500E-001, 2.4450195E+000, 1.3994251E+000, 3.8560322E-001, 2.7559115E+000, 3.1903250E-001
 9.0007181E+001, 1.4028405E+000, 5.9137121E-001, 6.4393285E-001, 2.7536105E+000, 5.2051442E+000, 1.3268488E+000, 6.7212324E-001, 2.3242244E+000, 1.3074739E+000, 3.2084231E-001, 2.6495137E+000, 2.7255393E-001
 9.5005277E+001, 1.4251507E+000, 5.6943515E-001, 6.7720450E-001, 2.7833739E+000, 5.2243556E+000, 1.3592647E+000, 7.0417477E-001, 2.3265640E+000, 1.2871899E+000, 3.4799122E-001, 2.7097523E+000, 2.6470751E-001
 1.0000000E+002, 1.4675178E+000, 6.1552688E-001, 7.4723043E-001, 2.8091554E+000, 5.2797465E+000, 1.4371374E+000, 7.5077621E-001, 2.3610790E+000, 1.3247305E+000, 3.9584489E-001, 2.7709732E+000, 3.0635076E-001
