s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 4.5004757E+001, 1.1318116E-001, 2.4296343E+000, 6.3289289E-001, 1.1040239E-001, 4.8078374E-001, 2.6810640E-001, 5.7368017E+000, 4.7609479E-001, 2.5133736E-001, 1.5599512E-001, 7.4878907E-002, 4.1455492E+000
 5.0007519E+001, 1.1194896E-001, 2.4330211E+000, 6.3161205E-001, 1.0953288E-001, 4.7222355E-001, 2.6377157E-001, 5.7147995E+000, 4.7586448E-001, 2.4975792E-001, 1.5456638E-001, 7.4633114E-002, 4.1404987E+000
 5.5001287E+001, 1.1301336E-001, 2.4583456E+000, 6.4190242E-001, 1.1077392E-001, 4.7880064E-001, 2.6815638E-001, 5.7920479E+000, 4.8569443E-001, 2.5480034E-001, 1.5687803E-001, 7.5141439E-002, 4.1879670E+000
 6.0005004E+001, 1.1488536E-001, 2.4885939E+000, 6.5481349E-001, 1.1567103E-001, 4.8720914E-001, 2.7271331E-001, 5.8330861E+000, 5.1295274E-001, 2.6873966E-001, 1.6490876E-001, 7.7293600E-002, 4.2244326E+000
 6.5006225E+001, 1.1365023E-001, 2.4617106E+000, 6.4760560E-001, 1.1310904E-001, 4.7763176E-001, 2.6794049E-001, 5.7723614E+000, 5.0180987E-001, 2.6143420E-001, 1.6007127E-001, 7.6532047E-002, 4.1811144E+000
 7.0004537E+001, 1.1283859E-001, 2.5100193E+000, 6.6422226E-001, 1.1301625E-001, 4.7690374E-001, 2.6638140E-001, 5.8493908E+000, 5.1366597E-001, 2.6412202E-001, 1.6064002E-001, 7.6230585E-002, 4.2476053E+000
 7.5004976E+001, 1.1434824E-001, 2.4677380E+000, 6.5208002E-001, 1.1463140E-001, 4.8174924E-001, 2.6923920E-001, 5.7951868E+000, 5.2323101E-001, 2.6977333E-001, 1.6363946E-001, 7.7385699E-002, 4.1935355E+000
 8.0008890E+001, 1.1411229E-001, 2.5030409E+000, 6.6263401E-001, 1.1328016E-001, 4.7859293E-001, 2.6839491E-001, 5.8615741E+000, 5.0611926E-001, 2.6360264E-001, 1.6109227E-001, 7.6899809E-002, 4.2460865E+000
 8.5000707E+001, 1.1403979E-001, 2.4689628E+000, 6.5714942E-001, 1.1359792E-001, 4.7953311E-001, 2.6865346E-001, 5.7517378E+000, 5.0366457E-001, 2.6260498E-001, 1.6115831E-001, 7.6786440E-002, 4.1758510E+000
 9.0000056E+001, 1.1407811E-001, 2.5073714E+000, 6.6041503E-001, 1.1329084E-001, 4.8213955E-001, 2.6944571E-001, 5.8641804E+000, 5.0403157E-001, 2.6413237E-001, 1.6112763E-001, 7.6701969E-002, 4.2532033E+000
 9.5000899E+001, 1.1300168E-001, 2.4741760E+000, 6.5717484E-001, 1.1164492E-001, 4.7552737E-001, 2.6584386E-001, 5.7700383E+000, 4.9236337E-001, 2.5802373E-001, 1.5851233E-001, 7.5933103E-002, 4.1864675E+000
 1.0000000E+002, 1.1494454E-001, 2.5173219E+000, 6.6281953E-001, 1.1643041E-001, 4.8545174E-001, 2.7260075E-001, 5.8579594E+000, 5.1326547E-001, 2.6899511E-001, 1.6597874E-001, 7.7892293E-002, 4.2580576E+000
