s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 4.300E+02, 1.958E+02,-1.170E+02,-2.890E+00,-6.386E+01, 5.818E-01, 4.862E-01, 0.000E+00, 1.711E+00, 1.305E+01, 3.999E-03, 3.999E-03,-2.230E+01
 4.400E+02, 2.024E+02,-1.190E+02,-3.530E+00,-6.704E+01, 5.748E-01,-2.349E-01, 0.000E+00,-9.999E-01, 1.321E+01, 3.999E-03, 3.999E-03,-4.888E+01
 4.500E+02, 1.981E+02,-1.176E+02,-4.483E+00,-6.548E+01, 5.557E-01,-4.881E-02, 0.000E+00,-1.934E-01, 1.098E+01, 3.999E-03, 3.999E-03,-5.401E+01
 4.600E+02, 1.988E+02,-1.196E+02,-2.283E+00,-6.625E+01, 5.730E-01, 8.381E-03, 0.000E+00,-1.747E-02, 1.123E+01, 3.999E-03, 3.999E-03,-5.447E+01
 4.700E+02, 1.986E+02,-1.184E+02,-1.773E+00,-6.581E+01, 5.268E-01, 1.060E-01, 0.000E+00, 2.849E-01, 1.325E+01, 3.999E-03, 3.999E-03,-4.691E+01
 4.800E+02, 2.004E+02,-1.204E+02,-3.525E+00,-6.693E+01, 5.564E-01,-5.548E-01, 0.000E+00,-2.069E+00, 9.551E+00, 3.999E-03, 3.999E-03,-1.019E+02
 4.900E+02, 1.968E+02,-1.199E+02, 4.256E+00,-6.569E+01, 5.368E-01, 1.364E+00, 0.000E+00, 4.736E+00, 1.742E+01, 3.999E-03, 3.999E-03, 2.410E+01
 5.000E+02, 2.059E+02,-1.213E+02,-1.080E+01,-6.613E+01, 5.915E-01,-9.008E-01, 0.000E+00,-3.132E+00, 7.389E+00, 3.999E-03, 3.999E-03,-5.900E+01
 5.100E+02, 1.987E+02,-1.195E+02,-3.653E+00,-6.394E+01, 5.672E-01,-4.010E-01, 0.000E+00,-1.534E+00, 1.183E+01, 3.999E-03, 3.999E-03,-9.981E+01
 5.200E+02, 1.980E+02,-1.202E+02, 5.073E-01,-6.363E+01, 5.424E-01, 3.504E-01, 0.000E+00, 1.279E+00, 1.549E+01, 3.999E-03, 3.999E-03,-6.585E+01
 5.300E+02, 2.032E+02,-1.219E+02,-3.032E+00,-6.563E+01, 5.525E-01, 5.615E-03, 0.000E+00,-8.460E-02, 1.320E+01, 3.999E-03, 3.999E-03,-6.809E+01
 5.400E+02, 1.956E+02,-1.188E+02, 6.917E-02,-6.293E+01, 5.408E-01, 1.718E-01, 0.000E+00, 5.673E-01, 1.463E+01, 3.999E-03, 3.999E-03,-5.301E+01
 5.500E+02, 1.994E+02,-1.195E+02,-2.046E+00,-6.454E+01, 4.969E-01,-8.894E-02, 0.000E+00,-3.791E-01, 1.368E+01, 3.999E-03, 3.999E-03,-6.309E+01
 5.600E+02, 1.951E+02,-1.194E+02, 3.786E+00,-6.360E+01, 4.754E-01, 7.212E-01, 0.000E+00, 2.488E+00, 1.708E+01, 3.999E-03, 3.999E-03, 2.978E+00
 5.700E+02, 2.059E+02,-1.228E+02,-6.389E+00,-6.614E+01, 5.362E-01,-5.904E-01, 0.000E+00,-2.111E+00, 1.051E+01, 3.999E-03, 3.999E-03,-5.315E+01
 5.800E+02, 1.980E+02,-1.212E+02, 7.985E-01,-6.419E+01, 5.325E-01, 2.384E-01, 0.000E+00, 7.324E-01, 1.410E+01, 3.999E-03, 3.999E-03,-3.369E+01
 5.900E+02, 1.953E+02,-1.194E+02,-2.904E+00,-6.215E+01, 5.084E-01,-5.406E-01, 0.000E+00,-1.934E+00, 1.085E+01, 3.999E-03, 3.999E-03,-8.507E+01
 6.000E+02, 2.015E+02,-1.213E+02,-5.804E+00,-6.244E+01, 4.823E-01,-2.565E-01, 0.000E+00,-9.298E-01, 1.215E+01, 3.999E-03, 3.999E-03,-1.098E+02
 6.100E+02, 2.010E+02,-1.213E+02,-3.130E+00,-6.260E+01, 5.100E-01, 6.605E-01, 0.000E+00, 2.325E+00, 1.516E+01, 3.999E-03, 3.999E-03,-4.808E+01
 6.200E+02, 1.978E+02,-1.203E+02,-2.610E+00,-5.985E+01, 4.778E-01, 5.909E-01, 0.000E+00, 2.016E+00, 1.609E+01, 3.999E-03, 3.999E-03, 5.527E+00
 6.300E+02, 2.014E+02,-1.210E+02,-5.850E+00,-6.283E+01, 4.299E-01,-6.017E-01, 0.000E+00,-2.195E+00, 1.155E+01, 3.999E-03, 3.999E-03,-5.276E+01
 6.400E+02, 1.981E+02,-1.229E+02,-1.801E+00,-6.313E+01, 4.522E-01, 6.920E-02, 0.000E+00, 1.024E-01, 1.082E+01, 3.999E-03, 3.999E-03,-5.004E+01
 6.500E+02, 1.980E+02,-1.227E+02, 2.257E+00,-6.263E+01, 4.315E-01, 4.502E-01, 0.000E+00, 1.550E+00, 1.579E+01, 3.999E-03, 3.999E-03,-8.843E+00
 6.600E+02, 2.010E+02,-1.231E+02,-4.287E+00,-6.260E+01, 4.538E-01,-8.657E-01, 0.000E+00,-3.077E+00, 1.066E+01, 3.999E-03, 3.999E-03,-9.069E+01
 6.700E+02, 1.997E+02,-1.226E+02,-2.522E+00,-6.196E+01, 4.755E-01, 4.400E-01, 0.000E+00, 1.423E+00, 1.347E+01, 3.999E-03, 3.999E-03,-5.286E+01
 6.800E+02, 1.795E+02,-1.197E+02, 1.551E+01,-5.970E+01, 4.470E-01, 1.567E+00, 0.000E+00, 5.262E+00, 1.758E+01, 3.999E-03, 3.999E-03, 8.700E+01
 6.900E+02, 2.249E+02,-1.268E+02,-2.597E+01,-6.211E+01, 5.389E-01,-1.535E+00, 0.000E+00,-5.341E+00, 8.970E+00, 3.999E-03, 3.999E-03,-5.462E+01
 7.000E+02, 1.975E+02,-1.234E+02, 8.223E-01,-6.194E+01, 4.990E-01,-5.093E-02, 0.000E+00,-1.991E-01, 1.340E+01, 3.999E-03, 3.999E-03,-5.991E+01
 7.100E+02, 1.961E+02,-1.217E+02,-2.264E+00,-6.043E+01, 4.449E-01, 1.274E-01, 0.000E+00, 3.799E-01, 1.227E+01, 3.999E-03, 3.999E-03,-4.980E+01
 7.200E+02, 1.945E+02,-1.221E+02,-1.299E+00,-5.997E+01, 3.540E-01,-1.393E-01, 0.000E+00,-5.207E-01, 1.137E+01, 3.999E-03, 3.999E-03,-6.362E+01
 7.300E+02, 1.940E+02,-1.237E+02, 2.449E+00,-6.129E+01, 2.937E-01,-4.652E-01, 0.000E+00,-1.747E+00, 1.132E+01, 3.999E-03, 3.999E-03,-1.101E+02
 7.400E+02, 2.037E+02,-1.253E+02,-6.899E+00,-6.095E+01, 5.032E-01,-2.315E-01, 0.000E+00,-8.568E-01, 1.089E+01, 3.999E-03, 3.999E-03,-1.329E+02
