s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 4.400E+02, 9.999E+01,-3.383E+01,-4.122E+01,-2.556E+01, 4.367E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.868E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.500E+02, 1.002E+02,-3.380E+01,-4.176E+01,-2.530E+01, 4.396E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.863E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.600E+02, 1.001E+02,-3.374E+01,-4.195E+01,-2.501E+01, 4.388E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.073E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.700E+02, 1.002E+02,-3.400E+01,-4.160E+01,-2.521E+01, 4.365E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.705E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.800E+02, 1.003E+02,-3.380E+01,-4.243E+01,-2.475E+01, 4.381E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.044E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.900E+02, 1.000E+02,-3.368E+01,-4.212E+01,-2.484E+01, 4.432E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.585E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.000E+02, 1.002E+02,-3.380E+01,-4.220E+01,-2.479E+01, 4.448E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.460E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.100E+02, 1.001E+02,-3.382E+01,-4.255E+01,-2.434E+01, 4.430E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.574E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.200E+02, 1.001E+02,-3.379E+01,-4.263E+01,-2.434E+01, 4.407E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.917E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.300E+02, 9.997E+01,-3.382E+01,-4.235E+01,-2.441E+01, 4.376E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.760E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.400E+02, 1.001E+02,-3.387E+01,-4.216E+01,-2.466E+01, 4.418E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.904E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.500E+02, 1.001E+02,-3.368E+01,-4.287E+01,-2.415E+01, 4.371E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.594E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.600E+02, 1.003E+02,-3.362E+01,-4.321E+01,-2.417E+01, 4.366E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.349E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.700E+02, 9.998E+01,-3.336E+01,-4.391E+01,-2.335E+01, 4.359E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.038E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.800E+02, 1.001E+02,-3.328E+01,-4.437E+01,-2.305E+01, 4.342E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.940E-01, 0.000E+00, 2.000E-03, 0.000E+00
 5.900E+02, 9.990E+01,-3.311E+01,-4.378E+01,-2.366E+01, 4.352E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.050E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.000E+02, 9.993E+01,-3.310E+01,-4.303E+01,-2.442E+01, 4.345E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.916E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.100E+02, 1.002E+02,-3.309E+01,-4.364E+01,-2.400E+01, 4.362E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.411E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.200E+02, 1.001E+02,-3.334E+01,-4.304E+01,-2.439E+01, 4.384E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.212E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.300E+02, 1.002E+02,-3.352E+01,-4.326E+01,-2.398E+01, 4.399E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.331E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.400E+02, 1.001E+02,-3.358E+01,-4.319E+01,-2.393E+01, 4.399E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.624E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.500E+02, 1.000E+02,-3.357E+01,-4.327E+01,-2.386E+01, 4.438E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.353E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.600E+02, 1.000E+02,-3.362E+01,-4.293E+01,-2.414E+01, 4.390E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.259E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.700E+02, 1.001E+02,-3.357E+01,-4.279E+01,-2.431E+01, 4.405E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.634E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.800E+02, 1.002E+02,-3.350E+01,-4.334E+01,-2.398E+01, 4.320E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.606E-01, 0.000E+00, 2.000E-03, 0.000E+00
 6.900E+02, 1.004E+02,-3.337E+01,-4.422E+01,-2.345E+01, 4.450E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.756E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.000E+02, 1.001E+02,-3.319E+01,-4.416E+01,-2.338E+01, 4.367E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.058E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.100E+02, 1.001E+02,-3.337E+01,-4.346E+01,-2.390E+01, 4.390E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.603E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.200E+02, 1.003E+02,-3.342E+01,-4.415E+01,-2.339E+01, 4.411E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.592E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.300E+02, 1.000E+02,-3.337E+01,-4.392E+01,-2.335E+01, 4.387E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.788E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.400E+02, 1.002E+02,-3.351E+01,-4.409E+01,-2.325E+01, 4.388E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.978E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.500E+02, 1.001E+02,-3.334E+01,-4.463E+01,-2.275E+01, 4.425E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.737E-01, 0.000E+00, 2.000E-03, 0.000E+00
