s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 7.200E+02, 1.004E+02,-5.889E+01,-4.506E-01,-4.099E+01, 4.199E-01, 1.832E-02, 0.000E+00, 6.828E-02, 5.319E-01,-5.433E-04, 1.999E-03,-2.160E-03, 5.446E+00
 7.300E+02, 1.011E+02,-5.901E+01,-1.353E+00,-4.064E+01, 4.156E-01, 1.323E-02, 0.000E+00, 5.258E-02, 5.138E-01,-2.948E-03, 1.999E-03,-2.514E-03, 6.842E+00
 7.400E+02, 1.002E+02,-5.900E+01,-6.180E-01,-4.059E+01, 4.180E-01,-2.423E-02, 0.000E+00,-7.911E-02, 3.811E-01,-1.088E-03, 1.999E-03,-2.194E-03, 4.746E+00
 7.500E+02, 1.007E+02,-5.907E+01,-1.338E+00,-4.027E+01, 4.168E-01,-4.848E-03, 0.000E+00,-2.823E-02, 4.616E-01,-2.835E-03, 1.999E-03,-2.564E-03, 3.996E+00
 7.600E+02, 1.008E+02,-5.915E+01,-1.464E+00,-4.012E+01, 4.143E-01, 1.160E-02, 0.000E+00, 6.460E-02, 5.113E-01,-3.274E-03, 1.999E-03,-2.563E-03, 5.708E+00
 7.700E+02, 1.010E+02,-5.905E+01,-2.391E+00,-3.955E+01, 4.179E-01,-1.101E-02, 0.000E+00,-6.893E-02, 4.145E-01,-5.663E-03, 1.999E-03,-3.037E-03, 3.882E+00
 7.800E+02, 1.011E+02,-5.930E+01,-2.933E+00,-3.892E+01, 4.203E-01,-3.280E-02, 0.000E+00,-8.560E-02, 3.552E-01,-6.565E-03, 1.999E-03,-3.534E-03, 1.611E+00
 7.900E+02, 1.005E+02,-5.935E+01,-1.824E+00,-3.936E+01, 4.167E-01,-7.489E-03, 0.000E+00,-3.723E-02, 4.146E-01,-3.510E-03, 1.999E-03,-3.203E-03, 6.247E-01
 8.000E+02, 1.000E+02,-5.931E+01,-1.957E+00,-3.864E+01, 4.191E-01, 3.292E-02, 0.000E+00, 1.128E-01, 5.762E-01,-4.155E-03, 1.999E-03,-3.049E-03, 3.615E+00
 8.100E+02, 1.001E+02,-5.932E+01,-1.453E+00,-3.927E+01, 4.176E-01, 1.424E-02, 0.000E+00, 4.735E-02, 5.237E-01,-2.856E-03, 1.999E-03,-2.839E-03, 4.873E+00
 8.200E+02, 1.008E+02,-5.949E+01,-2.200E+00,-3.896E+01, 4.145E-01, 2.884E-02, 0.000E+00, 9.072E-02, 5.564E-01,-4.345E-03, 1.999E-03,-3.478E-03, 7.274E+00
 8.300E+02, 1.007E+02,-5.972E+01,-1.138E+00,-3.976E+01, 4.154E-01, 9.900E-03, 0.000E+00, 2.672E-02, 4.785E-01,-1.383E-03, 1.999E-03,-3.094E-03, 7.984E+00
 8.400E+02, 1.002E+02,-5.966E+01,-1.150E+00,-3.963E+01, 4.144E-01,-8.926E-02, 0.000E+00,-3.142E-01, 1.397E-01,-1.689E-03, 1.999E-03,-2.996E-03,-3.407E-01
 8.500E+02, 1.014E+02,-5.986E+01,-2.534E+00,-3.881E+01, 4.136E-01, 6.461E-02, 0.000E+00, 2.561E-01, 7.050E-01,-5.045E-03, 1.999E-03,-3.689E-03, 6.458E+00
 8.600E+02, 1.011E+02,-5.996E+01,-2.113E+00,-3.917E+01, 4.185E-01,-6.417E-02, 0.000E+00,-2.513E-01, 2.398E-01,-4.493E-03, 1.999E-03,-3.287E-03,-2.010E-01
 8.700E+02, 1.004E+02,-5.994E+01,-1.825E+00,-3.859E+01, 4.193E-01,-8.873E-03, 0.000E+00,-2.310E-02, 4.221E-01,-3.494E-03, 1.999E-03,-3.280E-03,-8.138E-01
 8.800E+02, 1.003E+02,-5.999E+01,-4.512E-01,-3.963E+01, 4.136E-01, 9.187E-02, 0.000E+00, 3.198E-01, 7.892E-01, 3.305E-04, 1.999E-03,-2.806E-03, 7.662E+00
 8.900E+02, 1.006E+02,-6.000E+01,-1.646E+00,-3.913E+01, 4.171E-01,-7.354E-02, 0.000E+00,-2.475E-01, 2.163E-01,-3.333E-03, 1.999E-03,-3.073E-03, 1.094E+00
 9.000E+02, 1.004E+02,-6.013E+01,-6.254E-01,-3.948E+01, 4.111E-01, 3.652E-02, 0.000E+00, 1.245E-01, 5.909E-01,-7.108E-04, 1.999E-03,-2.601E-03, 4.396E+00
 9.100E+02, 1.009E+02,-6.013E+01,-1.961E+00,-3.881E+01, 4.143E-01,-3.681E-02, 0.000E+00,-1.016E-01, 3.455E-01,-3.535E-03, 1.999E-03,-3.532E-03, 1.704E+00
 9.200E+02, 1.005E+02,-6.022E+01,-1.275E+00,-3.886E+01, 4.194E-01, 3.676E-02, 0.000E+00, 1.084E-01, 5.991E-01,-2.195E-03, 1.999E-03,-3.039E-03, 4.583E+00
 9.300E+02, 1.004E+02,-6.028E+01,-1.848E+00,-3.822E+01, 4.173E-01, 2.201E-02, 0.000E+00, 5.705E-02, 5.401E-01,-3.609E-03, 1.999E-03,-3.360E-03, 6.094E+00
