s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 2.30E+02, 0.00E+00, 1.04E+01, 2.19E+00, 1.21E+01, 0.00E+00,-8.69E-02,-2.81E+01,-3.52E+00,-3.52E+00, 0.00E+00, 2.05E-02, 0.00E+00, 2.79E-03, 2.64E+04
 2.35E+02, 0.00E+00, 1.04E+01, 2.14E+00, 1.20E+01, 0.00E+00,-2.06E-01,-2.82E+01,-3.96E+00,-3.95E+00, 0.00E+00, 2.13E-02, 0.00E+00, 2.59E-03, 2.64E+04
 2.40E+02, 0.00E+00, 1.03E+01, 2.11E+00, 1.15E+01, 0.00E+00,-3.63E-01,-2.81E+01,-4.58E+00,-4.58E+00, 0.00E+00, 2.24E-02, 0.00E+00, 2.44E-03, 2.64E+04
 2.45E+02, 0.00E+00, 1.03E+01, 2.09E+00, 1.13E+01, 0.00E+00,-2.02E-01,-2.74E+01,-3.90E+00,-3.90E+00, 0.00E+00, 2.20E-02, 0.00E+00, 2.29E-03, 2.64E+04
 2.50E+02, 0.00E+00, 1.03E+01, 2.07E+00, 1.11E+01, 0.00E+00,-2.07E-01,-2.70E+01,-3.75E+00,-3.75E+00, 0.00E+00, 2.14E-02, 0.00E+00, 2.11E-03, 2.64E+04
 2.55E+02, 0.00E+00, 1.03E+01, 2.07E+00, 1.07E+01, 0.00E+00,-2.54E-01,-2.67E+01,-3.94E+00,-3.94E+00, 0.00E+00, 2.26E-02, 0.00E+00, 1.98E-03, 2.64E+04
 2.60E+02, 0.00E+00, 1.03E+01, 2.06E+00, 1.06E+01, 0.00E+00,-1.36E-01,-2.61E+01,-3.35E+00,-3.34E+00, 0.00E+00, 2.16E-02, 0.00E+00, 1.82E-03, 2.64E+04
 2.65E+02, 0.00E+00, 1.02E+01, 2.03E+00, 9.86E+00, 0.00E+00,-2.13E-01,-2.55E+01,-3.63E+00,-3.63E+00, 0.00E+00, 2.20E-02, 0.00E+00, 1.71E-03, 2.64E+04
 2.70E+02, 0.00E+00, 1.01E+01, 2.02E+00, 9.74E+00, 0.00E+00,-2.55E-01,-2.54E+01,-3.77E+00,-3.77E+00, 0.00E+00, 2.26E-02, 0.00E+00, 1.56E-03, 2.63E+04
 2.75E+02, 0.00E+00, 1.01E+01, 2.01E+00, 9.71E+00, 0.00E+00,-2.12E-01,-2.51E+01,-3.49E+00,-3.49E+00, 0.00E+00, 2.18E-02, 0.00E+00, 1.45E-03, 2.63E+04
 2.80E+02, 0.00E+00, 1.00E+01, 1.99E+00, 9.08E+00, 0.00E+00,-1.05E-01,-2.39E+01,-2.95E+00,-2.94E+00, 0.00E+00, 2.11E-02, 0.00E+00, 1.35E-03, 2.63E+04
 2.85E+02, 0.00E+00, 1.00E+01, 1.99E+00, 8.89E+00, 0.00E+00,-5.67E-02,-2.35E+01,-2.68E+00,-2.68E+00, 0.00E+00, 2.05E-02, 0.00E+00, 1.24E-03, 2.63E+04
 2.90E+02, 0.00E+00, 9.97E+00, 1.96E+00, 8.39E+00, 0.00E+00,-1.56E-01,-2.33E+01,-3.11E+00,-3.11E+00, 0.00E+00, 2.13E-02, 0.00E+00, 1.14E-03, 2.63E+04
 2.95E+02, 0.00E+00, 9.97E+00, 1.98E+00, 8.56E+00, 0.00E+00,-3.39E-02,-2.30E+01,-2.54E+00,-2.54E+00, 0.00E+00, 2.12E-02, 0.00E+00, 1.04E-03, 2.63E+04
 3.00E+02, 0.00E+00, 9.94E+00, 1.95E+00, 8.51E+00, 0.00E+00,-1.08E-01,-2.32E+01,-2.89E+00,-2.89E+00, 0.00E+00, 2.19E-02, 0.00E+00, 9.65E-04, 2.63E+04
 3.05E+02, 0.00E+00, 9.90E+00, 1.88E+00, 8.45E+00, 0.00E+00,-1.59E-01,-2.32E+01,-3.08E+00,-3.07E+00, 0.00E+00, 2.25E-02, 0.00E+00, 8.72E-04, 2.63E+04
 3.10E+02, 0.00E+00, 9.94E+00, 1.92E+00, 7.94E+00, 0.00E+00,-1.07E-01,-2.25E+01,-2.79E+00,-2.79E+00, 0.00E+00, 2.18E-02, 0.00E+00, 7.99E-04, 2.63E+04
 3.15E+02, 0.00E+00, 9.85E+00, 1.94E+00, 7.46E+00, 0.00E+00,-6.94E-02,-2.17E+01,-2.49E+00,-2.49E+00, 0.00E+00, 2.05E-02, 0.00E+00, 7.32E-04, 2.63E+04
 3.20E+02, 0.00E+00, 9.74E+00, 1.93E+00, 7.61E+00, 0.00E+00,-2.39E-03,-2.15E+01,-2.18E+00,-2.18E+00, 0.00E+00, 2.07E-02, 0.00E+00, 6.49E-04, 2.63E+04
