s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
 9.0000318E+001, 5.7665394E+002, 6.6158251E+001, 6.2790865E+001, 5.5566461E+001, 7.3486467E+001, 6.3797203E+002, 2.5776361E+002, 2.3007709E+002, 2.0658398E+002, 1.9082909E+002, 1.5336459E+002, 4.4249457E+002, 1.9236194E+002, 1.9206699E+002, 1.9776147E+002, 2.0816080E+002, 2.0672342E+002, 3.5778359E+000, 2.0489150E+000, 1.1247112E+001, 8.9336681E+000, 7.1349240E+000, 5.4182274E+000, 4.9492211E+000, 4.5618793E+000, 4.4330043E+000, 4.4142957E+000, 7.9027286E+002, 8.1770660E+002, 8.4990905E+002, 8.6204060E+002, 8.5905539E+002, 5.9492110E+002, 6.9933267E+002, 7.5585102E+002, 7.7365745E+002, 7.7208313E+002
 1.0000393E+002, 6.1923548E+002, 7.0685545E+001, 6.5745933E+001, 5.9828284E+001, 7.5347226E+001, 6.8769398E+002, 3.0475104E+002, 2.7356989E+002, 2.4277844E+002, 2.1491566E+002, 1.6348333E+002, 4.8181396E+002, 2.0243086E+002, 1.9876847E+002, 2.0316955E+002, 2.1326974E+002, 2.2189285E+002, 3.7461334E+000, 2.1330374E+000, 1.2562832E+001, 1.0298125E+001, 8.3624877E+000, 6.0165222E+000, 5.6641801E+000, 5.0732995E+000, 4.7817434E+000, 4.7336916E+000, 8.3222390E+002, 8.5855115E+002, 8.9176596E+002, 9.0089574E+002, 8.9730608E+002, 6.0744961E+002, 7.1892900E+002, 8.0016659E+002, 8.1878036E+002, 8.1628105E+002
 1.1000344E+002, 6.2970347E+002, 7.7178851E+001, 6.9472800E+001, 6.3652567E+001, 7.9109731E+001, 7.0519507E+002, 3.2684703E+002, 2.9127299E+002, 2.6360070E+002, 2.3259182E+002, 1.7312005E+002, 4.9379511E+002, 2.0929132E+002, 2.0334608E+002, 2.0610201E+002, 2.1526086E+002, 2.2878510E+002, 4.3814076E+000, 2.5280109E+000, 1.4397283E+001, 1.1832743E+001, 9.9350287E+000, 7.4584654E+000, 5.7033148E+000, 5.1870280E+000, 4.9416363E+000, 4.6922622E+000, 8.4640923E+002, 8.7096237E+002, 9.0302040E+002, 9.1354894E+002, 9.1201950E+002, 6.1052185E+002, 7.1617612E+002, 8.2340051E+002, 8.4453580E+002, 8.4261786E+002
 1.2000227E+002, 6.5225604E+002, 8.5717980E+001, 7.4041671E+001, 6.8200783E+001, 8.2920885E+001, 7.4231116E+002, 3.6798862E+002, 3.2880650E+002, 2.9987374E+002, 2.6724127E+002, 1.8831294E+002, 5.0246206E+002, 2.1000169E+002, 2.0102470E+002, 2.0248488E+002, 2.1360880E+002, 2.4023790E+002, 4.7998892E+000, 2.8771640E+000, 1.6741965E+001, 1.4302985E+001, 1.2223950E+001, 9.5531974E+000, 6.0474956E+000, 5.3998452E+000, 5.0889139E+000, 5.0638115E+000, 8.8142236E+002, 9.0509044E+002, 9.3705632E+002, 9.4539068E+002, 9.4183443E+002, 6.3790405E+002, 7.3025261E+002, 8.3876833E+002, 8.6058654E+002, 8.6019213E+002
 1.3000598E+002, 6.7165925E+002, 9.3002080E+001, 8.3351601E+001, 7.8093741E+001, 9.0719621E+001, 7.3575868E+002, 3.8568918E+002, 3.5131642E+002, 3.1984617E+002, 2.8035022E+002, 2.0024037E+002, 4.7951020E+002, 1.9326118E+002, 1.8650230E+002, 1.8960700E+002, 2.0476446E+002, 2.2956988E+002, 4.6229848E+000, 2.8987013E+000, 1.5240182E+001, 1.2681668E+001, 1.0580250E+001, 7.9036977E+000, 5.5561034E+000, 4.9859753E+000, 4.7016715E+000, 4.5769462E+000, 9.1174842E+002, 9.3662991E+002, 9.6163035E+002, 9.7175219E+002, 9.6951238E+002, 6.6293582E+002, 7.6400325E+002, 8.5863280E+002, 8.7991352E+002, 8.7921871E+002
 1.4000226E+002, 6.5848432E+002, 9.4904465E+001, 8.6900344E+001, 8.1792748E+001, 9.1714069E+001, 7.5545854E+002, 3.9373171E+002, 3.5739798E+002, 3.2349784E+002, 2.8054959E+002, 1.9258913E+002, 4.6386477E+002, 1.8204851E+002, 1.7497674E+002, 1.7685155E+002, 1.9369407E+002, 2.2617606E+002, 4.9658164E+000, 2.9761293E+000, 1.8346217E+001, 1.5659924E+001, 1.3316989E+001, 1.0089390E+001, 5.2546271E+000, 4.7036796E+000, 4.3484465E+000, 4.1709903E+000, 9.1598732E+002, 9.3693200E+002, 9.6132436E+002, 9.7129876E+002, 9.6964290E+002, 6.7488838E+002, 7.5616819E+002, 8.7937576E+002, 9.0560764E+002, 9.0726031E+002
 1.5000265E+002, 6.6682917E+002, 9.9472711E+001, 8.9460688E+001, 8.3575222E+001, 8.8956720E+001, 7.5791653E+002, 4.2435465E+002, 3.8517776E+002, 3.4572543E+002, 2.9356503E+002, 1.9602090E+002, 4.6749456E+002, 1.8666961E+002, 1.7999940E+002, 1.8100351E+002, 1.9434445E+002, 2.2646961E+002, 4.9192270E+000, 2.9752147E+000, 1.8434248E+001, 1.5572827E+001, 1.2926802E+001, 9.3083484E+000, 6.2581133E+000, 5.6186764E+000, 5.2132222E+000, 4.9024879E+000, 9.4081689E+002, 9.5911803E+002, 9.8182015E+002, 9.8851401E+002, 9.8786624E+002, 6.9442378E+002, 7.8392997E+002, 8.9305268E+002, 9.1690051E+002, 9.1749187E+002
 1.6000566E+002, 6.8406081E+002, 1.0861239E+002, 9.5707632E+001, 8.9371400E+001, 8.7149513E+001, 7.6851618E+002, 4.4855363E+002, 4.0434356E+002, 3.6463000E+002, 3.0440638E+002, 2.0316105E+002, 4.6556915E+002, 1.8252373E+002, 1.7527646E+002, 1.7514097E+002, 1.8902263E+002, 2.2724329E+002, 4.7852848E+000, 2.8640869E+000, 1.9117400E+001, 1.5851300E+001, 1.3170916E+001, 9.5603399E+000, 6.0494334E+000, 5.3259584E+000, 4.9422032E+000, 4.7928432E+000, 9.4952771E+002, 9.6667445E+002, 9.8826688E+002, 9.9799270E+002, 9.9758415E+002, 7.0709504E+002, 8.0375067E+002, 9.0575351E+002, 9.3013084E+002, 9.3094848E+002
 1.7000169E+002, 6.9905680E+002, 1.1081919E+002, 9.7701710E+001, 9.2156342E+001, 9.3539117E+001, 7.7963976E+002, 4.5207883E+002, 4.1556647E+002, 3.7935662E+002, 3.2470711E+002, 2.1095935E+002, 4.9051359E+002, 1.9507961E+002, 1.8577755E+002, 1.8725962E+002, 2.0391170E+002, 2.4250519E+002, 5.8974442E+000, 3.5980779E+000, 2.2809234E+001, 1.9861519E+001, 1.7197849E+001, 1.3511827E+001, 7.0304892E+000, 6.3401756E+000, 5.9666939E+000, 5.7513076E+000, 9.6569761E+002, 9.8327514E+002, 1.0063049E+003, 1.0150662E+003, 1.0115635E+003, 7.1410120E+002, 8.0315929E+002, 9.1931350E+002, 9.4512996E+002, 9.4593252E+002
 1.8000142E+002, 7.0902884E+002, 1.1286098E+002, 9.8749391E+001, 9.1239919E+001, 9.7940775E+001, 7.9687082E+002, 4.6909894E+002, 4.2780982E+002, 3.9689734E+002, 3.3985500E+002, 2.1622915E+002, 4.9860793E+002, 2.0021387E+002, 1.9362219E+002, 1.9760480E+002, 2.1773233E+002, 2.5399658E+002, 4.8995953E+000, 2.8748176E+000, 2.0213619E+001, 1.6556481E+001, 1.3700820E+001, 1.0037319E+001, 7.7689638E+000, 6.9381108E+000, 6.5215245E+000, 6.3055315E+000, 9.7653914E+002, 9.9343646E+002, 1.0145125E+003, 1.0227525E+003, 1.0217935E+003, 7.4304157E+002, 8.3301223E+002, 9.2636937E+002, 9.5078452E+002, 9.5118974E+002
 1.9000135E+002, 7.0029219E+002, 1.1034243E+002, 9.5200715E+001, 8.8577752E+001, 9.4554957E+001, 8.0363932E+002, 4.2978150E+002, 3.8947121E+002, 3.5756145E+002, 3.0802813E+002, 2.0627250E+002, 5.0176381E+002, 2.1229961E+002, 2.0478812E+002, 2.0900529E+002, 2.2342039E+002, 2.5153499E+002, 5.0168814E+000, 2.9957829E+000, 1.9679981E+001, 1.5817535E+001, 1.2974148E+001, 9.1707231E+000, 8.0394895E+000, 7.0872596E+000, 6.6090450E+000, 6.2197519E+000, 9.8745696E+002, 1.0048642E+003, 1.0247525E+003, 1.0327921E+003, 1.0313407E+003, 7.6828024E+002, 8.4162784E+002, 9.3865546E+002, 9.6273856E+002, 9.6336692E+002
 2.0000052E+002, 7.1813949E+002, 1.0914393E+002, 9.3320580E+001, 8.6398740E+001, 9.4530292E+001, 8.1837532E+002, 4.5060965E+002, 3.9698172E+002, 3.5741990E+002, 3.0424444E+002, 2.0263251E+002, 4.9388114E+002, 2.0972383E+002, 2.0103565E+002, 2.0514535E+002, 2.2060580E+002, 2.5335105E+002, 5.1406489E+000, 3.0591966E+000, 2.3068868E+001, 1.8996449E+001, 1.5350025E+001, 1.0960524E+001, 7.3188760E+000, 6.5646760E+000, 6.0494838E+000, 5.6293072E+000, 9.9060774E+002, 1.0069622E+003, 1.0322478E+003, 1.0439565E+003, 1.0424629E+003, 7.5649955E+002, 8.3583172E+002, 9.4295804E+002, 9.6931727E+002, 9.7057067E+002
 2.1000035E+002, 7.3906836E+002, 1.1125123E+002, 9.5819101E+001, 8.6903324E+001, 9.3223602E+001, 8.2051881E+002, 4.7620540E+002, 4.1986158E+002, 3.6984085E+002, 3.0912439E+002, 1.9958785E+002, 4.9820640E+002, 2.0454217E+002, 1.9549218E+002, 1.9608550E+002, 2.0854372E+002, 2.4420777E+002, 5.6761683E+000, 3.4145200E+000, 2.3382263E+001, 1.9157721E+001, 1.5627373E+001, 1.0955305E+001, 8.2625903E+000, 7.3176957E+000, 6.7328836E+000, 6.3061481E+000, 1.0126380E+003, 1.0302276E+003, 1.0541466E+003, 1.0595009E+003, 1.0592250E+003, 7.5067338E+002, 8.1995656E+002, 9.4960657E+002, 9.7736052E+002, 9.7843641E+002
 2.2000229E+002, 7.5443493E+002, 1.1646159E+002, 1.0325023E+002, 9.1729724E+001, 9.0007726E+001, 7.8910975E+002, 4.7986538E+002, 4.1484201E+002, 3.6402037E+002, 3.0045138E+002, 2.0112937E+002, 5.3570243E+002, 2.4869344E+002, 2.3979231E+002, 2.4271732E+002, 2.5702461E+002, 2.6801536E+002, 5.5472054E+000, 3.2561447E+000, 2.1792953E+001, 1.7321965E+001, 1.4146376E+001, 1.0337339E+001, 9.6502718E+000, 8.8149424E+000, 8.3489794E+000, 7.9709851E+000, 1.0113850E+003, 1.0264380E+003, 1.0472878E+003, 1.0574571E+003, 1.0563546E+003, 7.4936971E+002, 8.1384462E+002, 9.5845468E+002, 9.8863985E+002, 9.8997995E+002
 2.3000025E+002, 7.3811072E+002, 1.1966409E+002, 1.1175226E+002, 9.9344117E+001, 9.3934094E+001, 8.0326883E+002, 5.0020090E+002, 4.3400922E+002, 3.8657770E+002, 3.2806221E+002, 2.1940950E+002, 5.2264870E+002, 2.4886102E+002, 2.4173196E+002, 2.4373299E+002, 2.5829112E+002, 2.7306750E+002, 6.3515601E+000, 3.8185881E+000, 2.4375828E+001, 2.0342729E+001, 1.6838467E+001, 1.1926172E+001, 7.8347850E+000, 6.8986200E+000, 6.3644871E+000, 6.0765572E+000, 1.0154975E+003, 1.0333003E+003, 1.0592738E+003, 1.0694105E+003, 1.0678583E+003, 7.6992758E+002, 8.4786085E+002, 9.6627792E+002, 9.9299216E+002, 9.9450993E+002
 2.4000227E+002, 7.4757324E+002, 1.2343976E+002, 1.1424983E+002, 1.0147273E+002, 9.5615117E+001, 8.0963454E+002, 5.1348089E+002, 4.5363738E+002, 3.9869897E+002, 3.2808485E+002, 2.2240123E+002, 4.7084189E+002, 2.1356690E+002, 2.0630865E+002, 2.0609341E+002, 2.1768278E+002, 2.4204263E+002, 6.4102223E+000, 3.8780980E+000, 2.3670288E+001, 1.9817266E+001, 1.6478533E+001, 1.1721761E+001, 6.8357622E+000, 6.0413035E+000, 5.5025537E+000, 4.9453331E+000, 1.0253861E+003, 1.0418735E+003, 1.0646975E+003, 1.0734474E+003, 1.0715917E+003, 7.7484720E+002, 8.3542784E+002, 9.7775973E+002, 1.0049710E+003, 1.0061823E+003
 2.5000548E+002, 7.4415583E+002, 1.2664593E+002, 1.1516779E+002, 1.0006214E+002, 9.7595475E+001, 8.2556277E+002, 5.1515270E+002, 4.6050472E+002, 4.0982635E+002, 3.2788159E+002, 2.1932700E+002, 4.8185969E+002, 2.0460630E+002, 1.9455342E+002, 1.9263428E+002, 2.0185949E+002, 2.3867041E+002, 7.0250463E+000, 4.2541747E+000, 2.6065335E+001, 2.1573747E+001, 1.7786184E+001, 1.3056418E+001, 8.3270259E+000, 7.2744119E+000, 6.5567463E+000, 5.9181468E+000, 1.0320615E+003, 1.0477081E+003, 1.0700067E+003, 1.0790074E+003, 1.0791692E+003, 7.9339692E+002, 8.6291155E+002, 9.9238027E+002, 1.0189103E+003, 1.0199347E+003
 2.6000514E+002, 7.5036444E+002, 1.2987685E+002, 1.1566435E+002, 1.0016133E+002, 1.0140322E+002, 8.3497606E+002, 5.1903736E+002, 4.5742776E+002, 4.0239848E+002, 3.2826328E+002, 2.2123519E+002, 4.9641923E+002, 2.0295752E+002, 1.9082170E+002, 1.8614464E+002, 1.9216930E+002, 2.3334804E+002, 6.5273645E+000, 4.0288671E+000, 2.8391992E+001, 2.3174338E+001, 1.8736302E+001, 1.3409816E+001, 8.2114475E+000, 7.2035939E+000, 6.4967696E+000, 5.7999400E+000, 1.0632120E+003, 1.0788824E+003, 1.0968419E+003, 1.1039269E+003, 1.1026297E+003, 8.4443591E+002, 9.1674646E+002, 1.0061129E+003, 1.0313510E+003, 1.0323177E+003
 2.7000360E+002, 7.6447473E+002, 1.3328329E+002, 1.1942135E+002, 1.0379267E+002, 9.8172089E+001, 8.3063126E+002, 5.2239105E+002, 4.6642224E+002, 4.1949241E+002, 3.5144513E+002, 2.2449738E+002, 4.9409664E+002, 2.0675588E+002, 1.9286958E+002, 1.8846719E+002, 1.9481504E+002, 2.4094322E+002, 5.8911719E+000, 3.5505107E+000, 2.4306860E+001, 2.0269649E+001, 1.7004630E+001, 1.2423655E+001, 8.3246833E+000, 7.2443268E+000, 6.5389807E+000, 5.9489404E+000, 1.0746104E+003, 1.0883646E+003, 1.1012659E+003, 1.1075149E+003, 1.1064483E+003, 8.2362698E+002, 8.8206565E+002, 1.0047413E+003, 1.0390263E+003, 1.0405431E+003
 2.8000222E+002, 7.5552338E+002, 1.2725005E+002, 1.1457977E+002, 1.0109697E+002, 9.1113386E+001, 8.4174625E+002, 4.9410827E+002, 4.4439068E+002, 4.0149331E+002, 3.3391184E+002, 2.1242754E+002, 4.9713680E+002, 2.0901166E+002, 1.9530190E+002, 1.9161506E+002, 2.0115588E+002, 2.4363537E+002, 6.7140021E+000, 4.0812779E+000, 2.7679709E+001, 2.2678321E+001, 1.8487151E+001, 1.3023565E+001, 9.0871742E+000, 8.0189362E+000, 7.2977318E+000, 6.7256695E+000, 1.0901124E+003, 1.1006650E+003, 1.1142233E+003, 1.1194332E+003, 1.1179016E+003, 8.5408083E+002, 9.2845104E+002, 1.0308136E+003, 1.0568151E+003, 1.0576764E+003
 2.9000434E+002, 7.6582819E+002, 1.2736587E+002, 1.1347098E+002, 1.0116977E+002, 9.0865537E+001, 8.7582831E+002, 5.1238213E+002, 4.5942505E+002, 4.0429259E+002, 3.3415190E+002, 2.1649081E+002, 5.2364074E+002, 2.1888040E+002, 2.0734897E+002, 2.0716093E+002, 2.2504319E+002, 2.5104148E+002, 6.7744087E+000, 4.0614234E+000, 2.9145101E+001, 2.3765511E+001, 1.8867385E+001, 1.3647755E+001, 1.0048102E+001, 8.9361487E+000, 8.2358669E+000, 7.6817388E+000, 1.1015849E+003, 1.1133801E+003, 1.1281403E+003, 1.1330334E+003, 1.1327055E+003, 8.4494665E+002, 9.1545784E+002, 1.0339349E+003, 1.0627678E+003, 1.0643439E+003
 3.0000508E+002, 7.7415225E+002, 1.3533695E+002, 1.1988822E+002, 1.0546724E+002, 9.0644768E+001, 8.3946922E+002, 5.3437092E+002, 4.8452249E+002, 4.3030728E+002, 3.5377947E+002, 2.2316033E+002, 5.5951031E+002, 2.4723639E+002, 2.3317490E+002, 2.3197754E+002, 2.5014649E+002, 2.7509088E+002, 6.6988537E+000, 3.7614553E+000, 2.6779970E+001, 2.2173906E+001, 1.8139880E+001, 1.2917770E+001, 1.0461728E+001, 9.1994344E+000, 8.5195147E+000, 8.2418015E+000, 1.1063078E+003, 1.1173823E+003, 1.1329972E+003, 1.1415323E+003, 1.1407164E+003, 8.5626190E+002, 9.1140384E+002, 1.0409344E+003, 1.0733019E+003, 1.0749118E+003
 3.1000427E+002, 7.7582031E+002, 1.3378135E+002, 1.1973614E+002, 1.0630874E+002, 9.2617962E+001, 8.3728520E+002, 5.3829066E+002, 4.7827246E+002, 4.2358113E+002, 3.4672611E+002, 2.1832324E+002, 5.8955106E+002, 2.7743612E+002, 2.6705771E+002, 2.6910537E+002, 2.8823635E+002, 2.9699719E+002, 5.9569347E+000, 3.5396767E+000, 2.3775627E+001, 1.9378538E+001, 1.5592959E+001, 1.1014573E+001, 1.1241144E+001, 1.0273543E+001, 9.6429833E+000, 9.1045417E+000, 1.1061938E+003, 1.1149078E+003, 1.1297777E+003, 1.1398967E+003, 1.1392443E+003, 8.6322788E+002, 9.2520301E+002, 1.0394979E+003, 1.0685017E+003, 1.0706645E+003
 3.2000505E+002, 6.9886289E+002, 1.2519227E+002, 1.1344645E+002, 1.0189836E+002, 8.7517298E+001, 7.2835871E+002, 4.5579639E+002, 4.0446634E+002, 3.5270323E+002, 2.9093694E+002, 1.9281192E+002, 5.5467545E+002, 2.8814470E+002, 2.8017127E+002, 2.7872635E+002, 2.8841842E+002, 2.8093977E+002, 2.2037784E+000, 1.2313673E+000, 1.0180796E+001, 8.0012650E+000, 6.3386995E+000, 4.4386359E+000, 6.8834226E+000, 6.4546091E+000, 6.2796050E+000, 6.2413952E+000, 9.8398946E+002, 1.0013385E+003, 1.0227585E+003, 1.0320336E+003, 1.0352432E+003, 6.9053372E+002, 7.3088727E+002, 8.7122049E+002, 9.3692136E+002, 9.4359909E+002
 3.3000544E+002, 5.9002750E+002, 1.1591249E+002, 1.0531846E+002, 9.5507403E+001, 7.7693538E+001, 6.1767976E+002, 3.8703486E+002, 3.4204799E+002, 2.9755514E+002, 2.4280630E+002, 1.5962367E+002, 5.2880608E+002, 3.0936092E+002, 3.0514590E+002, 3.0459425E+002, 3.0758523E+002, 2.7850836E+002, 8.3785741E-001, 5.3940418E-001, 4.8733349E+000, 4.2657291E+000, 3.5725539E+000, 2.6514071E+000, 5.4110063E+000, 5.3934271E+000, 5.4893765E+000, 5.6493839E+000, 7.2317853E+002, 7.5093272E+002, 7.9770827E+002, 8.2068859E+002, 8.3163242E+002, 5.1341627E+002, 5.4008847E+002, 6.5484652E+002, 7.6672531E+002, 7.8140141E+002
 3.4000092E+002, 5.0131263E+002, 1.0088450E+002, 9.4093479E+001, 8.6329082E+001, 7.1839701E+001, 5.4780914E+002, 3.2213994E+002, 2.8929645E+002, 2.5696829E+002, 2.1491598E+002, 1.4291837E+002, 4.3240833E+002, 2.5904468E+002, 2.5684561E+002, 2.5804671E+002, 2.6578486E+002, 2.3791947E+002, 5.8599454E-001, 4.1641064E-001, 3.2901808E+000, 2.9537816E+000, 2.6429726E+000, 2.1996009E+000, 2.2124290E+000, 2.1237418E+000, 2.1947899E+000, 2.5460626E+000, 5.8540156E+002, 6.1257022E+002, 6.5872532E+002, 6.8799572E+002, 7.0855234E+002, 4.3258108E+002, 4.5753722E+002, 5.5976291E+002, 6.5527003E+002, 6.8767056E+002
