s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
 9.0002291E+001, 4.5830107E+001, 4.7541537E+001, 4.6563697E+001, 4.5969555E+001, 4.4425136E+001, 1.1646923E+002, 8.7337916E+001, 8.2270933E+001, 7.8026273E+001, 7.1498178E+001, 5.7934040E+001, 9.5111078E+001, 8.1597577E+001, 7.9843192E+001, 7.7936897E+001, 7.4842609E+001, 6.3101312E+001, 1.3608790E-001, 1.3924938E-001, 7.9802451E-001, 7.6292852E-001, 7.1785707E-001, 6.3784444E-001, 4.9695969E-001, 5.1873440E-001, 5.2731300E-001, 5.4272887E-001, 3.7083704E+002, 3.8500272E+002, 4.0040730E+002, 4.0086472E+002, 3.9435720E+002, 3.9474781E+002, 4.3586929E+002, 4.5619110E+002, 4.5678901E+002, 4.4994602E+002
 1.0000029E+002, 4.8406101E+001, 4.9565410E+001, 4.8568655E+001, 4.7778248E+001, 4.4943380E+001, 1.1601296E+002, 9.0255400E+001, 8.5539008E+001, 8.1545237E+001, 7.4724146E+001, 5.9332341E+001, 1.0012045E+002, 8.6508691E+001, 8.4176285E+001, 8.1738480E+001, 7.8382486E+001, 6.6459291E+001, 2.4304734E-001, 2.0991287E-001, 6.8162782E-001, 6.5354611E-001, 6.2493308E-001, 5.4818958E-001, 7.3820944E-001, 7.2238321E-001, 6.9483026E-001, 6.4677607E-001, 4.0268752E+002, 4.1898141E+002, 4.4293010E+002, 4.5011891E+002, 4.4573436E+002, 4.6430085E+002, 5.0860588E+002, 5.2541541E+002, 5.2499978E+002, 5.1873228E+002
 1.1000680E+002, 5.1909564E+001, 5.3637888E+001, 5.1893739E+001, 5.0832794E+001, 4.7326666E+001, 1.1658876E+002, 8.9750395E+001, 8.5332436E+001, 8.1445931E+001, 7.4858912E+001, 5.8869418E+001, 9.5686883E+001, 8.3053902E+001, 8.0761701E+001, 7.8242515E+001, 7.4875672E+001, 6.3873956E+001, 2.2329546E-001, 2.0945532E-001, 6.0750792E-001, 5.9430971E-001, 5.8021460E-001, 5.3983498E-001, 4.1086207E-001, 4.2778927E-001, 4.3662217E-001, 4.4740858E-001, 4.3659360E+002, 4.5407953E+002, 4.7579986E+002, 4.8012520E+002, 4.7586952E+002, 4.7931187E+002, 5.2666759E+002, 5.9136155E+002, 6.1043314E+002, 6.0890904E+002
 1.2000831E+002, 5.5646779E+001, 5.6645157E+001, 5.4685994E+001, 5.3039017E+001, 4.7724848E+001, 1.2348318E+002, 9.2681365E+001, 8.7462422E+001, 8.2818584E+001, 7.5823034E+001, 5.9344747E+001, 9.5708728E+001, 8.0484425E+001, 7.8982698E+001, 7.7088716E+001, 7.4012945E+001, 6.2591074E+001, 2.8156632E-001, 2.5020148E-001, 8.0354196E-001, 7.2013093E-001, 6.4207098E-001, 5.4529358E-001, 5.3422837E-001, 5.5760646E-001, 5.6435808E-001, 5.5452003E-001, 4.6090576E+002, 4.7641546E+002, 4.9431913E+002, 4.9737911E+002, 4.9290212E+002, 4.8418698E+002, 5.5986056E+002, 6.1223115E+002, 6.2379279E+002, 6.2091743E+002
 1.3000298E+002, 6.0888514E+001, 6.1938921E+001, 5.9691630E+001, 5.7634879E+001, 4.9502495E+001, 1.3315664E+002, 9.9920280E+001, 9.2989527E+001, 8.6790838E+001, 7.8411323E+001, 6.1002750E+001, 9.8563806E+001, 8.1442497E+001, 8.0818765E+001, 7.9622229E+001, 7.7212580E+001, 6.6442087E+001, 3.5553225E-001, 3.1883891E-001, 9.2556007E-001, 8.2568998E-001, 7.4657418E-001, 6.6179738E-001, 6.0468581E-001, 6.4552703E-001, 6.8110788E-001, 7.1758080E-001, 4.5761618E+002, 4.7075655E+002, 4.8429222E+002, 4.8466656E+002, 4.8020984E+002, 5.0018144E+002, 5.8063043E+002, 6.3152600E+002, 6.4214902E+002, 6.3607544E+002
 1.4000474E+002, 6.4523574E+001, 6.5666794E+001, 6.2898671E+001, 6.0543120E+001, 5.1221436E+001, 1.4619817E+002, 1.0573256E+002, 9.7961557E+001, 9.2056209E+001, 8.4089105E+001, 6.4643291E+001, 1.1658395E+002, 9.2179250E+001, 9.2049149E+001, 9.0909443E+001, 8.7896139E+001, 7.3737896E+001, 4.2040520E-001, 3.9073805E-001, 1.1022434E+000, 1.0036658E+000, 9.4006393E-001, 8.4330893E-001, 9.5981013E-001, 1.0044525E+000, 1.0339924E+000, 1.0335254E+000, 4.4850602E+002, 4.6032598E+002, 4.7292000E+002, 4.7531370E+002, 4.7158085E+002, 4.8183067E+002, 5.1723097E+002, 5.7988082E+002, 6.3955471E+002, 6.4639551E+002
 1.5000196E+002, 8.0006152E+001, 7.2171739E+001, 6.9345761E+001, 6.6940644E+001, 5.5535833E+001, 1.7201177E+002, 1.1974430E+002, 1.0994826E+002, 1.0226332E+002, 9.1813598E+001, 6.8625516E+001, 1.2413339E+002, 9.8928604E+001, 9.8867427E+001, 9.7850487E+001, 9.4804086E+001, 8.0029532E+001, 5.3688623E-001, 4.7629010E-001, 1.3651020E+000, 1.2301892E+000, 1.0895615E+000, 9.1540743E-001, 7.9197053E-001, 8.4744387E-001, 8.7683733E-001, 8.8425816E-001, 4.4715162E+002, 4.5839248E+002, 4.7096894E+002, 4.7478155E+002, 4.7024830E+002, 4.4768232E+002, 4.6810663E+002, 5.3340771E+002, 6.0421585E+002, 6.1655125E+002
 1.6000331E+002, 9.1884278E+001, 7.7183924E+001, 7.4145057E+001, 7.1162411E+001, 5.7973199E+001, 1.8686823E+002, 1.2914331E+002, 1.1764853E+002, 1.0862107E+002, 9.6817179E+001, 7.2869707E+001, 1.3079256E+002, 1.0295207E+002, 1.0325540E+002, 1.0256715E+002, 9.9673807E+001, 8.4351566E+001, 5.2236904E-001, 4.7071586E-001, 1.5243779E+000, 1.3790938E+000, 1.2549431E+000, 1.0788704E+000, 9.1664705E-001, 9.6223720E-001, 1.0030257E+000, 1.0585168E+000, 4.3305827E+002, 4.4285692E+002, 4.5388561E+002, 4.5790600E+002, 4.5582826E+002, 4.3903798E+002, 4.6479313E+002, 5.4331699E+002, 6.2252306E+002, 6.2555963E+002
 1.7000516E+002, 9.7567212E+001, 8.0800162E+001, 7.6996222E+001, 7.4129832E+001, 6.1251007E+001, 2.0673850E+002, 1.4085948E+002, 1.2887251E+002, 1.1882795E+002, 1.0521409E+002, 7.8447891E+001, 1.4419175E+002, 1.0983498E+002, 1.0915323E+002, 1.0749388E+002, 1.0404461E+002, 8.7489524E+001, 5.8264221E-001, 5.3983425E-001, 1.4655991E+000, 1.3379821E+000, 1.2255183E+000, 1.0966200E+000, 9.7372026E-001, 1.0026730E+000, 1.0096035E+000, 1.0306538E+000, 4.2172072E+002, 4.3111299E+002, 4.4211271E+002, 4.4651114E+002, 4.4481052E+002, 4.1674391E+002, 4.4460136E+002, 5.3843712E+002, 6.1493247E+002, 6.2291637E+002
 1.8000454E+002, 1.0372812E+002, 8.6785621E+001, 8.2453334E+001, 7.8792045E+001, 6.3632057E+001, 1.9921319E+002, 1.3587624E+002, 1.2526704E+002, 1.1638088E+002, 1.0444414E+002, 7.8480445E+001, 1.3745569E+002, 1.0501655E+002, 1.0441947E+002, 1.0267351E+002, 9.9954576E+001, 8.6749373E+001, 6.6754770E-001, 5.5593602E-001, 9.4720743E-001, 9.0751674E-001, 8.9053663E-001, 8.3257859E-001, 5.5461914E-001, 6.0827728E-001, 6.5090874E-001, 6.9660781E-001, 4.1370319E+002, 4.2224125E+002, 4.3219645E+002, 4.3502808E+002, 4.3182911E+002, 3.9069780E+002, 4.1171827E+002, 4.8218935E+002, 5.4430524E+002, 5.7315814E+002
 1.9000571E+002, 1.1520447E+002, 9.4681443E+001, 8.9244727E+001, 8.5459780E+001, 6.4936756E+001, 1.7991439E+002, 1.2645407E+002, 1.1752705E+002, 1.1060415E+002, 1.0147632E+002, 7.6395385E+001, 1.2705660E+002, 9.8101413E+001, 9.7819213E+001, 9.6539119E+001, 9.3758814E+001, 8.0651304E+001, 8.1760214E-001, 7.4794662E-001, 1.1420666E+000, 1.0909927E+000, 1.0400977E+000, 9.5955182E-001, 6.1900948E-001, 6.5760490E-001, 6.7912583E-001, 6.9116873E-001, 4.0576670E+002, 4.1443877E+002, 4.2505806E+002, 4.2818044E+002, 4.2519367E+002, 3.7374551E+002, 3.9323408E+002, 4.5772700E+002, 5.0833245E+002, 5.2989543E+002
 2.0000516E+002, 1.2230621E+002, 9.8647026E+001, 9.2324380E+001, 8.8338458E+001, 6.6927657E+001, 1.7943541E+002, 1.2888500E+002, 1.2048285E+002, 1.1419942E+002, 1.0557866E+002, 7.8462011E+001, 1.2226312E+002, 9.4055416E+001, 9.4173270E+001, 9.3376931E+001, 9.1116649E+001, 7.8646444E+001, 7.5703537E-001, 6.5995148E-001, 1.2201073E+000, 1.1657636E+000, 1.1347418E+000, 1.0743527E+000, 5.7482231E-001, 6.2748589E-001, 6.7414104E-001, 7.2009009E-001, 3.9803539E+002, 4.0609637E+002, 4.1585124E+002, 4.1867035E+002, 4.1685709E+002, 3.6381469E+002, 3.8735587E+002, 4.4015895E+002, 4.8685479E+002, 5.0840603E+002
 2.1000323E+002, 1.2178549E+002, 9.7752108E+001, 9.1542292E+001, 8.6859373E+001, 6.8177601E+001, 1.7092095E+002, 1.2400663E+002, 1.1688191E+002, 1.1209267E+002, 1.0509866E+002, 8.0135771E+001, 1.1785786E+002, 9.2034359E+001, 9.2522137E+001, 9.2021492E+001, 8.9938052E+001, 7.6418820E+001, 5.4596449E-001, 4.7318609E-001, 9.5132112E-001, 9.1162403E-001, 9.1330728E-001, 9.3758893E-001, 6.7829827E-001, 7.4321709E-001, 7.8312672E-001, 8.0953261E-001, 3.8531851E+002, 3.9299214E+002, 4.0305269E+002, 4.0753343E+002, 4.0897594E+002, 3.5831768E+002, 3.8232485E+002, 4.3694302E+002, 4.8988242E+002, 5.1399499E+002
 2.2000469E+002, 1.2493161E+002, 9.9974448E+001, 9.3798530E+001, 8.8805693E+001, 6.9083715E+001, 1.6799850E+002, 1.2170039E+002, 1.1461000E+002, 1.0991227E+002, 1.0284846E+002, 8.1434281E+001, 1.1413589E+002, 9.0819103E+001, 9.1537029E+001, 9.1161702E+001, 8.9164582E+001, 7.6611973E+001, 8.5827406E-001, 7.7638970E-001, 1.0912671E+000, 1.0216399E+000, 9.7276701E-001, 8.6810999E-001, 5.6230461E-001, 6.0148860E-001, 6.2867776E-001, 6.5670957E-001, 3.7435010E+002, 3.8244906E+002, 3.9222661E+002, 3.9725999E+002, 3.9921148E+002, 3.5569053E+002, 3.7905684E+002, 4.1745484E+002, 4.5948538E+002, 4.7278892E+002
 2.3000145E+002, 1.3130035E+002, 1.0228348E+002, 9.4552852E+001, 8.9617816E+001, 6.6602256E+001, 1.6613171E+002, 1.2280844E+002, 1.1568990E+002, 1.1068308E+002, 1.0303376E+002, 8.0048760E+001, 1.0893925E+002, 8.7536207E+001, 8.8027086E+001, 8.7797485E+001, 8.6417495E+001, 7.5842755E+001, 7.0784897E-001, 6.0689820E-001, 1.1494158E+000, 1.1089761E+000, 1.0849458E+000, 1.0447860E+000, 4.5061617E-001, 4.9741779E-001, 5.3468585E-001, 5.7437926E-001, 3.7759840E+002, 3.8560545E+002, 3.9404567E+002, 3.9688020E+002, 3.9464132E+002, 3.5095741E+002, 3.7246515E+002, 4.0419359E+002, 4.4351460E+002, 4.5735850E+002
 2.4000260E+002, 1.4014271E+002, 1.0575285E+002, 9.8311139E+001, 9.4319814E+001, 6.9377489E+001, 1.6597963E+002, 1.2268919E+002, 1.1727495E+002, 1.1345491E+002, 1.0683204E+002, 8.2946129E+001, 1.0522916E+002, 8.3115023E+001, 8.3927816E+001, 8.4084368E+001, 8.3151114E+001, 7.5293793E+001, 8.4523939E-001, 7.7359576E-001, 1.0593928E+000, 1.0702057E+000, 1.0880218E+000, 1.0891199E+000, 4.9453547E-001, 5.2169583E-001, 5.5301984E-001, 5.9692434E-001, 3.6672310E+002, 3.7504096E+002, 3.8362063E+002, 3.8589498E+002, 3.8622724E+002, 3.4632459E+002, 3.6934416E+002, 4.0927903E+002, 4.5684498E+002, 4.7439307E+002
 2.5000457E+002, 1.3533097E+002, 1.0510025E+002, 9.7751735E+001, 9.4033453E+001, 7.0149178E+001, 1.5793368E+002, 1.1919013E+002, 1.1446291E+002, 1.1126346E+002, 1.0529416E+002, 8.2233199E+001, 1.0356287E+002, 8.1508720E+001, 8.1911455E+001, 8.1662093E+001, 8.0050058E+001, 7.3219395E+001, 7.5801545E-001, 6.3172453E-001, 9.9542408E-001, 9.5065215E-001, 9.1846719E-001, 8.9004704E-001, 5.3666837E-001, 5.7571919E-001, 5.9229884E-001, 5.9362062E-001, 3.5880501E+002, 3.6736310E+002, 3.7535499E+002, 3.7740534E+002, 3.7907510E+002, 3.4120530E+002, 3.6570188E+002, 4.0309019E+002, 4.5398246E+002, 4.7554653E+002
 2.6000165E+002, 1.4157031E+002, 1.1200126E+002, 1.0358606E+002, 9.7543939E+001, 7.0042260E+001, 1.5762552E+002, 1.2022748E+002, 1.1456806E+002, 1.1071529E+002, 1.0427566E+002, 8.1366075E+001, 1.0411782E+002, 8.1505877E+001, 8.1770952E+001, 8.1249200E+001, 7.9510998E+001, 7.3249077E+001, 1.1094789E+000, 9.1827204E-001, 1.2598738E+000, 1.2240042E+000, 1.1877008E+000, 1.0944394E+000, 4.7613407E-001, 4.9634034E-001, 5.1241986E-001, 5.4302226E-001, 3.5674702E+002, 3.6484028E+002, 3.7373457E+002, 3.7554885E+002, 3.7501169E+002, 3.3883222E+002, 3.6529176E+002, 4.0440071E+002, 4.6156937E+002, 4.8546841E+002
 2.7000388E+002, 1.5772251E+002, 1.1849780E+002, 1.0988121E+002, 1.0414088E+002, 7.3896415E+001, 1.6513144E+002, 1.2467198E+002, 1.1991161E+002, 1.1655162E+002, 1.1062666E+002, 8.5949940E+001, 1.0520460E+002, 8.1547323E+001, 8.2116385E+001, 8.2247389E+001, 8.1438679E+001, 7.2038889E+001, 9.4795724E-001, 8.8907474E-001, 1.1338534E+000, 1.1493204E+000, 1.1629028E+000, 1.1682983E+000, 5.8916157E-001, 6.4347499E-001, 6.9724565E-001, 7.4067644E-001, 3.5525379E+002, 3.6312960E+002, 3.7115028E+002, 3.7337164E+002, 3.7376416E+002, 3.3499029E+002, 3.6198055E+002, 3.9770867E+002, 4.4529266E+002, 4.6159826E+002
 2.8000390E+002, 1.5496628E+002, 1.1311048E+002, 1.0626026E+002, 1.0170912E+002, 7.2600457E+001, 1.6354940E+002, 1.2429835E+002, 1.2044533E+002, 1.1690605E+002, 1.1098542E+002, 8.7409637E+001, 1.0563616E+002, 8.2646385E+001, 8.3607829E+001, 8.3902834E+001, 8.2610059E+001, 7.2570240E+001, 8.4435341E-001, 7.3891201E-001, 1.1727402E+000, 1.1679844E+000, 1.1487167E+000, 1.0984395E+000, 5.0294118E-001, 5.3773839E-001, 5.6135119E-001, 5.8685988E-001, 3.5747483E+002, 3.6552811E+002, 3.7350661E+002, 3.7456196E+002, 3.7484392E+002, 3.3434103E+002, 3.5930860E+002, 3.9747628E+002, 4.3615520E+002, 4.5246403E+002
 2.9000136E+002, 1.6329460E+002, 1.1718263E+002, 1.0947368E+002, 1.0464497E+002, 7.3752066E+001, 1.6773090E+002, 1.2741332E+002, 1.2358875E+002, 1.1923668E+002, 1.1165594E+002, 8.7760918E+001, 1.0482779E+002, 8.5041990E+001, 8.5580515E+001, 8.5184642E+001, 8.3158244E+001, 7.2639082E+001, 9.9844513E-001, 8.8036734E-001, 1.2792228E+000, 1.2831043E+000, 1.2335952E+000, 1.1074194E+000, 6.1272469E-001, 6.5487546E-001, 6.7559239E-001, 6.8781174E-001, 3.4673350E+002, 3.5720257E+002, 3.6798716E+002, 3.7070840E+002, 3.7270934E+002, 3.3716131E+002, 3.6340193E+002, 4.1221207E+002, 4.6878538E+002, 4.9339273E+002
 3.0000333E+002, 1.6209438E+002, 1.1958182E+002, 1.1217511E+002, 1.0650448E+002, 7.3810346E+001, 1.6733337E+002, 1.2916608E+002, 1.2613557E+002, 1.2181669E+002, 1.1595149E+002, 9.0123635E+001, 1.0206780E+002, 8.3680705E+001, 8.4218957E+001, 8.3904574E+001, 8.1936007E+001, 7.3366364E+001, 1.0307497E+000, 8.7563598E-001, 1.1738824E+000, 1.2004282E+000, 1.2283742E+000, 1.2904179E+000, 5.2793233E-001, 5.7001294E-001, 6.0368249E-001, 6.2036434E-001, 3.4675396E+002, 3.5519398E+002, 3.6385282E+002, 3.6851904E+002, 3.7281027E+002, 3.3359868E+002, 3.5775797E+002, 4.1600053E+002, 4.8540561E+002, 5.0959431E+002
 3.1000391E+002, 1.6801262E+002, 1.2634138E+002, 1.1644216E+002, 1.0939664E+002, 7.5317896E+001, 1.6445228E+002, 1.2709987E+002, 1.2455614E+002, 1.2125167E+002, 1.1727593E+002, 8.9519273E+001, 1.0264171E+002, 8.4344746E+001, 8.4960592E+001, 8.4678551E+001, 8.2708671E+001, 7.4793189E+001, 1.2355106E+000, 1.0028478E+000, 1.1614678E+000, 1.1600685E+000, 1.1488351E+000, 1.1343010E+000, 5.7208340E-001, 6.1778054E-001, 6.4994687E-001, 6.8494362E-001, 3.4617461E+002, 3.5337725E+002, 3.6153438E+002, 3.6656226E+002, 3.6967074E+002, 3.3164344E+002, 3.5447865E+002, 3.9440149E+002, 4.4993799E+002, 4.6609101E+002
 3.2000376E+002, 1.6071946E+002, 1.2293145E+002, 1.1390280E+002, 1.0747335E+002, 7.6199110E+001, 1.6094478E+002, 1.2314346E+002, 1.1970592E+002, 1.1670512E+002, 1.1336553E+002, 8.7391420E+001, 1.0428854E+002, 8.4840317E+001, 8.5652379E+001, 8.5390741E+001, 8.3724751E+001, 7.6398022E+001, 7.9857367E-001, 7.3554445E-001, 1.0441360E+000, 1.0344519E+000, 1.0225401E+000, 1.0385577E+000, 6.0489427E-001, 6.5023019E-001, 6.8103670E-001, 7.0668584E-001, 3.4545813E+002, 3.5304632E+002, 3.6248074E+002, 3.6526570E+002, 3.6855352E+002, 3.3191875E+002, 3.5349672E+002, 3.9578625E+002, 4.4721646E+002, 4.6786572E+002
 3.3000160E+002, 1.5944146E+002, 1.1870745E+002, 1.1143649E+002, 1.0536454E+002, 7.7175075E+001, 1.6014589E+002, 1.2248539E+002, 1.1973704E+002, 1.1729734E+002, 1.1334514E+002, 8.6657039E+001, 1.0425305E+002, 8.4672754E+001, 8.6049829E+001, 8.6181857E+001, 8.5128263E+001, 7.6744432E+001, 9.3569111E-001, 8.4762413E-001, 1.1588743E+000, 1.1909948E+000, 1.2176851E+000, 1.1768579E+000, 5.5177291E-001, 6.0036346E-001, 6.3178165E-001, 6.7428586E-001, 3.4730372E+002, 3.5517313E+002, 3.6425316E+002, 3.6541432E+002, 3.6738751E+002, 3.3217377E+002, 3.5467663E+002, 3.9631581E+002, 4.4508449E+002, 4.6343490E+002
 3.4000230E+002, 1.5646563E+002, 1.1904325E+002, 1.1151819E+002, 1.0478564E+002, 7.7719642E+001, 1.5638662E+002, 1.2099658E+002, 1.1853766E+002, 1.1631256E+002, 1.1220948E+002, 8.8188044E+001, 1.0746406E+002, 8.5336452E+001, 8.6471527E+001, 8.6158882E+001, 8.4513821E+001, 7.5813915E+001, 8.6396007E-001, 7.5446527E-001, 1.0084372E+000, 1.0079112E+000, 1.0142310E+000, 1.0198483E+000, 5.8797485E-001, 6.2450149E-001, 6.5033484E-001, 6.6604677E-001, 3.4751585E+002, 3.5673004E+002, 3.6638795E+002, 3.6787251E+002, 3.6952031E+002, 3.3293763E+002, 3.5861756E+002, 4.0624368E+002, 4.6880778E+002, 4.9617220E+002
