s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
 9.0004977E+001, 2.3026195E+002, 4.7056773E+001, 4.6549313E+001, 4.7472364E+001, 6.1228312E+001, 3.4310819E+002, 1.4310821E+002, 1.4047198E+002, 1.3974351E+002, 1.3425978E+002, 1.1623528E+002, 3.1943595E+002, 2.0758411E+002, 2.0448073E+002, 2.0032886E+002, 1.9768965E+002, 1.7330224E+002, 7.5012465E-001, 4.9049551E-001, 3.3071012E+000, 2.6951018E+000, 2.3053141E+000, 1.9578190E+000, 3.2368655E+000, 3.2272337E+000, 3.1862102E+000, 3.1334807E+000, 5.2361837E+002, 5.9729677E+002, 6.6392596E+002, 6.6054496E+002, 6.4565455E+002, 4.3019093E+002, 4.9468970E+002, 5.3100207E+002, 5.4337063E+002, 5.4272633E+002
 1.0000421E+002, 2.5301589E+002, 4.7999855E+001, 4.7123689E+001, 4.7780579E+001, 6.3356391E+001, 3.4980156E+002, 1.5033567E+002, 1.4623943E+002, 1.4244526E+002, 1.3489188E+002, 1.1812780E+002, 3.2678415E+002, 2.1318774E+002, 2.1194927E+002, 2.1001574E+002, 2.0737274E+002, 1.8468901E+002, 7.7335757E-001, 5.0911449E-001, 3.8286735E+000, 3.0781321E+000, 2.5482058E+000, 2.1006648E+000, 3.4228750E+000, 3.4086021E+000, 3.4102776E+000, 3.4392568E+000, 5.3233649E+002, 5.9633551E+002, 6.6877783E+002, 6.8406029E+002, 6.7704516E+002, 4.5093387E+002, 5.0924377E+002, 5.4381289E+002, 5.5826095E+002, 5.5926797E+002
 1.1000002E+002, 2.7601605E+002, 4.9196222E+001, 4.7772012E+001, 4.9618147E+001, 6.1695188E+001, 3.5429042E+002, 1.6415680E+002, 1.5875475E+002, 1.5267053E+002, 1.4271159E+002, 1.2058742E+002, 3.3439284E+002, 2.2158852E+002, 2.2006136E+002, 2.1582335E+002, 2.1289534E+002, 1.9389715E+002, 7.6702650E-001, 5.1416407E-001, 3.9411606E+000, 3.3383301E+000, 2.7948949E+000, 2.2644542E+000, 3.6202700E+000, 3.5212088E+000, 3.5055377E+000, 3.5810624E+000, 5.6068277E+002, 6.3070544E+002, 6.6668139E+002, 6.6707054E+002, 6.6690387E+002, 4.6754571E+002, 5.2130237E+002, 5.5669327E+002, 5.7108483E+002, 5.7175849E+002
 1.2000247E+002, 2.6511421E+002, 4.9687462E+001, 4.8183087E+001, 5.0193553E+001, 6.5619050E+001, 3.6805608E+002, 1.7511232E+002, 1.6900668E+002, 1.6289087E+002, 1.5119373E+002, 1.2497996E+002, 3.4932929E+002, 2.2532596E+002, 2.2158337E+002, 2.1956799E+002, 2.1737283E+002, 1.9574672E+002, 7.8992873E-001, 5.0790531E-001, 3.9681960E+000, 3.3726337E+000, 2.9507340E+000, 2.4046619E+000, 3.6135772E+000, 3.4929153E+000, 3.5045752E+000, 3.4546892E+000, 5.4780846E+002, 6.3418693E+002, 7.1848877E+002, 7.0573583E+002, 6.9015377E+002, 4.6044448E+002, 5.1659685E+002, 5.5482806E+002, 5.6891538E+002, 5.7095691E+002
 1.3000151E+002, 2.5023887E+002, 5.1231452E+001, 4.9810362E+001, 5.1613891E+001, 6.5416108E+001, 3.6836414E+002, 1.7191608E+002, 1.6737389E+002, 1.6021591E+002, 1.5066674E+002, 1.2534111E+002, 3.5191893E+002, 2.2618068E+002, 2.2219049E+002, 2.1912035E+002, 2.1597758E+002, 1.9421226E+002, 8.7064115E-001, 5.9278109E-001, 3.8026398E+000, 3.1318760E+000, 2.5790658E+000, 2.1273778E+000, 3.7628942E+000, 3.7275901E+000, 3.6407362E+000, 3.5187307E+000, 5.4882233E+002, 6.3815702E+002, 7.2852027E+002, 7.3041900E+002, 7.1531813E+002, 4.7729849E+002, 5.3535299E+002, 5.7309458E+002, 5.8838228E+002, 5.9083723E+002
 1.4000536E+002, 2.6000007E+002, 5.2650949E+001, 5.1491196E+001, 5.3427619E+001, 6.7298131E+001, 3.6798009E+002, 1.8065380E+002, 1.7572829E+002, 1.6718420E+002, 1.5408944E+002, 1.2716022E+002, 3.5654435E+002, 2.3114020E+002, 2.2772732E+002, 2.2410115E+002, 2.1986850E+002, 1.9466602E+002, 8.4335535E-001, 5.4622851E-001, 4.3364664E+000, 3.6306841E+000, 3.1714430E+000, 2.4682929E+000, 4.0513265E+000, 4.0071943E+000, 3.9924220E+000, 3.9764140E+000, 5.6778360E+002, 6.6370172E+002, 7.5048701E+002, 7.4705371E+002, 7.3098152E+002, 4.7726379E+002, 5.3841023E+002, 5.8030275E+002, 5.9611670E+002, 5.9695031E+002
 1.5000206E+002, 2.4389595E+002, 5.2707741E+001, 5.2167877E+001, 5.3803909E+001, 6.6703919E+001, 3.6687623E+002, 1.8435342E+002, 1.7385944E+002, 1.6536426E+002, 1.5029087E+002, 1.2471135E+002, 3.6482328E+002, 2.3698933E+002, 2.3584731E+002, 2.3237585E+002, 2.2744812E+002, 1.9687990E+002, 8.4574675E-001, 5.5927639E-001, 3.6168022E+000, 2.7733131E+000, 2.3276849E+000, 1.9494804E+000, 3.7007912E+000, 3.7182234E+000, 3.6409604E+000, 3.6194972E+000, 5.7404019E+002, 6.4238910E+002, 7.1994730E+002, 7.1972556E+002, 7.1599547E+002, 4.8148196E+002, 5.4354292E+002, 5.8910872E+002, 6.1032697E+002, 6.1530125E+002
 1.6000373E+002, 2.4727072E+002, 5.2088619E+001, 5.1305470E+001, 5.2645386E+001, 6.7374584E+001, 3.7843408E+002, 1.7021335E+002, 1.6218684E+002, 1.5527455E+002, 1.4463848E+002, 1.2055172E+002, 3.7018655E+002, 2.3440478E+002, 2.3116148E+002, 2.2687702E+002, 2.1894753E+002, 1.8635061E+002, 8.6267934E-001, 5.5646655E-001, 3.8640261E+000, 3.1962140E+000, 2.7255163E+000, 2.2956705E+000, 3.6610651E+000, 3.6036697E+000, 3.6425262E+000, 3.6072007E+000, 5.7712484E+002, 6.5312786E+002, 7.4717719E+002, 7.4389817E+002, 7.2749046E+002, 4.8575567E+002, 5.5516376E+002, 5.9584804E+002, 6.1581073E+002, 6.2121055E+002
 1.7000082E+002, 2.7155352E+002, 5.2027015E+001, 5.0838450E+001, 5.1525436E+001, 6.7664837E+001, 3.6501067E+002, 1.7457638E+002, 1.5991769E+002, 1.5197595E+002, 1.4539046E+002, 1.2344658E+002, 3.7519591E+002, 2.3907778E+002, 2.3719630E+002, 2.3408713E+002, 2.2778000E+002, 1.9586011E+002, 8.0003543E-001, 5.0166233E-001, 4.2246947E+000, 3.1646941E+000, 2.5208438E+000, 2.0699216E+000, 4.1200087E+000, 4.1341663E+000, 4.1131232E+000, 4.1311324E+000, 5.9275010E+002, 6.6768262E+002, 7.4861726E+002, 7.5234005E+002, 7.3926369E+002, 5.0734703E+002, 5.5896463E+002, 6.0185730E+002, 6.2072026E+002, 6.2466271E+002
 1.8000110E+002, 2.9397858E+002, 5.2962611E+001, 5.1151052E+001, 5.1526823E+001, 6.4812193E+001, 3.7353514E+002, 1.8993448E+002, 1.7270334E+002, 1.6234790E+002, 1.5530802E+002, 1.2457319E+002, 3.7299543E+002, 2.4083940E+002, 2.4226311E+002, 2.4162543E+002, 2.3785749E+002, 2.0472922E+002, 8.8169703E-001, 5.6425267E-001, 4.7037561E+000, 3.9136568E+000, 3.3660463E+000, 2.8076570E+000, 3.9985013E+000, 4.0900181E+000, 4.1683234E+000, 4.1982098E+000, 5.9320053E+002, 6.6275183E+002, 7.0925521E+002, 7.2084746E+002, 7.1853504E+002, 5.0298342E+002, 5.5223609E+002, 6.0127656E+002, 6.1994592E+002, 6.2283882E+002
 1.9000079E+002, 2.7681313E+002, 5.2954997E+001, 5.1940825E+001, 5.3280070E+001, 6.4748895E+001, 3.7788782E+002, 1.8764267E+002, 1.7662359E+002, 1.6819683E+002, 1.5835094E+002, 1.2852381E+002, 3.6956322E+002, 2.4414028E+002, 2.4506988E+002, 2.4511722E+002, 2.3722745E+002, 2.0580000E+002, 8.8500718E-001, 5.9245083E-001, 3.9647174E+000, 3.3355893E+000, 2.9115187E+000, 2.3847546E+000, 3.8572379E+000, 3.7641314E+000, 3.7727100E+000, 3.7662717E+000, 6.0982795E+002, 6.8885809E+002, 7.5580742E+002, 7.6089584E+002, 7.5149751E+002, 5.0236632E+002, 5.5877737E+002, 6.0013175E+002, 6.1714060E+002, 6.2032721E+002
 2.0000351E+002, 2.5855872E+002, 5.2516713E+001, 5.1512785E+001, 5.2288980E+001, 6.5657226E+001, 3.9254422E+002, 1.8162405E+002, 1.7606508E+002, 1.6674954E+002, 1.5435322E+002, 1.2824153E+002, 3.6624215E+002, 2.4286025E+002, 2.3940498E+002, 2.3681162E+002, 2.2963548E+002, 1.9322540E+002, 9.0863900E-001, 5.7279363E-001, 4.2858457E+000, 3.4858490E+000, 2.9138361E+000, 2.2913831E+000, 4.1926633E+000, 3.9760505E+000, 3.9635373E+000, 3.9449627E+000, 6.1855943E+002, 7.2013234E+002, 7.8127369E+002, 7.6745716E+002, 7.5106723E+002, 4.9782197E+002, 5.4888461E+002, 5.9090682E+002, 6.0612603E+002, 6.0828401E+002
 2.1000715E+002, 2.6791553E+002, 5.2604452E+001, 5.1165760E+001, 5.1431080E+001, 6.6618926E+001, 3.9212001E+002, 1.8251368E+002, 1.7888865E+002, 1.6945676E+002, 1.5755665E+002, 1.3224157E+002, 3.7772923E+002, 2.4697222E+002, 2.4074061E+002, 2.3786687E+002, 2.3239261E+002, 1.9836369E+002, 9.0648195E-001, 5.7403564E-001, 4.1218043E+000, 3.5074659E+000, 3.0892463E+000, 2.5163558E+000, 3.9999766E+000, 3.8850372E+000, 3.8665857E+000, 3.8583653E+000, 6.3458129E+002, 7.3396344E+002, 7.7734729E+002, 7.6643705E+002, 7.5244795E+002, 4.9950267E+002, 5.4688502E+002, 5.9658461E+002, 6.1250429E+002, 6.1337711E+002
 2.2000250E+002, 2.6156604E+002, 5.2666122E+001, 5.0901473E+001, 5.1152037E+001, 6.6131458E+001, 3.7283604E+002, 1.8868616E+002, 1.8336667E+002, 1.7177218E+002, 1.5671975E+002, 1.2985602E+002, 3.8191103E+002, 2.4779685E+002, 2.4356690E+002, 2.3987588E+002, 2.3214969E+002, 2.0349389E+002, 9.0901156E-001, 5.7595376E-001, 4.7422985E+000, 3.9173318E+000, 3.1795479E+000, 2.4875321E+000, 4.4699052E+000, 4.3572356E+000, 4.3221013E+000, 4.2516818E+000, 6.5646548E+002, 7.7089342E+002, 8.5581415E+002, 8.4258563E+002, 8.2648247E+002, 5.0946447E+002, 5.6324592E+002, 6.0790423E+002, 6.2751336E+002, 6.2968322E+002
 2.3000659E+002, 2.7033262E+002, 5.2828482E+001, 5.0968294E+001, 5.1016685E+001, 6.8973103E+001, 3.7886874E+002, 2.0330895E+002, 1.9386691E+002, 1.8249589E+002, 1.6885887E+002, 1.3690894E+002, 3.7645761E+002, 2.4931877E+002, 2.4603394E+002, 2.4445381E+002, 2.3949693E+002, 2.0930777E+002, 9.6484445E-001, 6.0432569E-001, 5.0159834E+000, 4.1024978E+000, 3.4737920E+000, 2.8842182E+000, 4.0922665E+000, 4.0402305E+000, 4.1511838E+000, 4.1983132E+000, 6.4500561E+002, 7.1921367E+002, 7.8701608E+002, 7.9698262E+002, 7.8674022E+002, 5.0382167E+002, 5.5280648E+002, 6.0082468E+002, 6.1734283E+002, 6.1998230E+002
 2.4000092E+002, 2.7429019E+002, 5.2966231E+001, 5.1257594E+001, 5.0909259E+001, 6.7942931E+001, 3.9847222E+002, 2.0768483E+002, 1.9498103E+002, 1.8357049E+002, 1.6979243E+002, 1.3522239E+002, 3.7271848E+002, 2.4342636E+002, 2.4199600E+002, 2.4164219E+002, 2.3832142E+002, 2.1001101E+002, 9.3736611E-001, 6.0478789E-001, 4.6244541E+000, 3.8048356E+000, 3.2408241E+000, 2.6880855E+000, 4.0543264E+000, 4.0340943E+000, 3.9668323E+000, 4.0673649E+000, 6.3632393E+002, 7.1257113E+002, 7.8299301E+002, 7.8806231E+002, 7.7431111E+002, 5.0989908E+002, 5.6354822E+002, 6.0610677E+002, 6.2098269E+002, 6.2197844E+002
 2.5000176E+002, 2.7450871E+002, 5.3325894E+001, 5.2748284E+001, 5.2795320E+001, 6.8254391E+001, 3.9932782E+002, 2.0418253E+002, 1.9458637E+002, 1.8353685E+002, 1.6970139E+002, 1.3696652E+002, 3.7441990E+002, 2.5079516E+002, 2.4880158E+002, 2.4673884E+002, 2.4405147E+002, 2.1577360E+002, 9.3413812E-001, 6.3132680E-001, 4.9134155E+000, 4.1524784E+000, 3.5767548E+000, 2.8918387E+000, 4.6961861E+000, 4.5804239E+000, 4.4877804E+000, 4.5976317E+000, 6.3856929E+002, 6.8991783E+002, 7.7971353E+002, 8.0100794E+002, 7.9239122E+002, 5.3113602E+002, 5.7788777E+002, 6.2067368E+002, 6.3715036E+002, 6.3867620E+002
 2.6000202E+002, 2.6743150E+002, 5.3585114E+001, 5.3794864E+001, 5.4359596E+001, 7.1818527E+001, 4.0039611E+002, 2.0689988E+002, 2.0160000E+002, 1.9189383E+002, 1.7802290E+002, 1.4169179E+002, 3.7936634E+002, 2.5477447E+002, 2.5113240E+002, 2.4848083E+002, 2.4913065E+002, 2.2269696E+002, 9.3042609E-001, 5.8928699E-001, 4.4754473E+000, 3.7900620E+000, 3.3010885E+000, 2.8822714E+000, 4.1693051E+000, 4.1120345E+000, 4.1417059E+000, 4.2878153E+000, 6.4955585E+002, 7.2626984E+002, 8.1046169E+002, 8.1580386E+002, 8.0369499E+002, 5.3990419E+002, 5.9170399E+002, 6.3206754E+002, 6.5097493E+002, 6.5324554E+002
 2.7000156E+002, 2.7476051E+002, 5.3442565E+001, 5.3103954E+001, 5.3444220E+001, 7.0629300E+001, 3.8802746E+002, 1.9483591E+002, 1.8596088E+002, 1.7731188E+002, 1.6863190E+002, 1.3934981E+002, 3.8664390E+002, 2.5456423E+002, 2.5281713E+002, 2.5029383E+002, 2.4698080E+002, 2.1841393E+002, 9.3738610E-001, 5.9698009E-001, 4.9038154E+000, 3.8847776E+000, 3.2497694E+000, 2.7296399E+000, 4.8844616E+000, 4.8422772E+000, 4.7371130E+000, 4.5263932E+000, 6.4503489E+002, 7.2086936E+002, 8.1901129E+002, 8.2594261E+002, 8.1297054E+002, 5.2849588E+002, 5.8515890E+002, 6.3164614E+002, 6.4926335E+002, 6.5231916E+002
 2.8000035E+002, 3.0703001E+002, 5.3854200E+001, 5.2838235E+001, 5.2841385E+001, 6.9147754E+001, 3.9096451E+002, 2.0488951E+002, 1.9109598E+002, 1.8189151E+002, 1.7102025E+002, 1.3936872E+002, 3.8570898E+002, 2.5569271E+002, 2.5369557E+002, 2.4884035E+002, 2.4013639E+002, 2.1656088E+002, 9.8791221E-001, 6.3131995E-001, 5.0387750E+000, 3.9931937E+000, 3.3179265E+000, 2.5997519E+000, 4.3755610E+000, 4.1415848E+000, 3.9997042E+000, 3.9070491E+000, 6.7208572E+002, 7.5108193E+002, 8.3038431E+002, 8.3319859E+002, 8.2188214E+002, 5.2017773E+002, 5.7370220E+002, 6.2502810E+002, 6.4329895E+002, 6.4710023E+002
 2.9000335E+002, 2.9239540E+002, 5.3735788E+001, 5.2484269E+001, 5.2201260E+001, 6.7858430E+001, 3.8720823E+002, 1.9967154E+002, 1.8395499E+002, 1.7424478E+002, 1.6333036E+002, 1.3559168E+002, 3.8364367E+002, 2.5114700E+002, 2.4568623E+002, 2.4068382E+002, 2.3449959E+002, 2.1220527E+002, 9.8506354E-001, 6.4699626E-001, 4.7902676E+000, 3.8500631E+000, 3.1809009E+000, 2.5908188E+000, 4.4101530E+000, 4.4014783E+000, 4.3508638E+000, 4.2361702E+000, 6.8644230E+002, 7.6449670E+002, 8.1628709E+002, 8.1164638E+002, 7.9723319E+002, 5.3212544E+002, 5.8566896E+002, 6.3236210E+002, 6.5144498E+002, 6.5440100E+002
 3.0000252E+002, 2.8821895E+002, 5.3867086E+001, 5.2240894E+001, 5.3113950E+001, 6.8203640E+001, 3.9349329E+002, 2.0121014E+002, 1.8223892E+002, 1.7195675E+002, 1.6363375E+002, 1.3577636E+002, 3.8746239E+002, 2.6235356E+002, 2.6192250E+002, 2.5949894E+002, 2.4960299E+002, 2.1208816E+002, 9.5366459E-001, 5.8782331E-001, 5.0363827E+000, 3.9900199E+000, 3.2754661E+000, 2.5766592E+000, 4.9003451E+000, 4.8943161E+000, 4.8982300E+000, 4.8334418E+000, 7.0529089E+002, 7.8047341E+002, 8.4283932E+002, 8.3630410E+002, 8.1704481E+002, 5.2814932E+002, 5.8797357E+002, 6.3759807E+002, 6.5679670E+002, 6.6143189E+002
 3.1000183E+002, 2.9292858E+002, 5.4255434E+001, 5.2205826E+001, 5.3418673E+001, 6.7774925E+001, 4.0256519E+002, 2.0575237E+002, 1.9063673E+002, 1.7815826E+002, 1.6519794E+002, 1.3232068E+002, 3.8693125E+002, 2.6170623E+002, 2.6060523E+002, 2.5874286E+002, 2.4977672E+002, 2.1396510E+002, 8.7260095E-001, 5.8707870E-001, 4.5440968E+000, 3.7663068E+000, 3.2447434E+000, 2.7521706E+000, 4.3217526E+000, 4.1522831E+000, 4.1806016E+000, 4.1741158E+000, 6.6954492E+002, 7.3127588E+002, 8.1034968E+002, 8.2468630E+002, 8.1783496E+002, 5.1744314E+002, 5.6956207E+002, 6.2320550E+002, 6.4125511E+002, 6.4483870E+002
 3.2000456E+002, 2.5314614E+002, 5.3387525E+001, 5.1478478E+001, 5.2971610E+001, 6.8671584E+001, 3.6991448E+002, 1.9012119E+002, 1.8055689E+002, 1.7047754E+002, 1.5993102E+002, 1.2965319E+002, 3.6555482E+002, 2.4423793E+002, 2.4193244E+002, 2.4074639E+002, 2.3569304E+002, 2.0402131E+002, 5.7722357E-001, 3.9895466E-001, 2.9018144E+000, 2.4347007E+000, 2.1388975E+000, 1.7922521E+000, 3.0574568E+000, 3.0609027E+000, 3.1216240E+000, 3.2129671E+000, 6.0664153E+002, 6.5168823E+002, 6.9348408E+002, 7.0548881E+002, 7.1070618E+002, 4.6694299E+002, 5.3073051E+002, 5.8745964E+002, 6.0393965E+002, 6.0771534E+002
 3.3000179E+002, 2.0834340E+002, 5.2370266E+001, 5.0807926E+001, 5.3529940E+001, 6.8240672E+001, 3.3209351E+002, 1.7743812E+002, 1.7334934E+002, 1.6666013E+002, 1.5806212E+002, 1.2680278E+002, 3.3840898E+002, 2.2037373E+002, 2.1795004E+002, 2.1635546E+002, 2.1151345E+002, 1.8663813E+002, 3.4734033E-001, 2.6584057E-001, 1.9888333E+000, 1.9793557E+000, 2.0039516E+000, 2.0020230E+000, 2.2465816E+000, 2.2631099E+000, 2.3177189E+000, 2.4221947E+000, 4.8412432E+002, 5.0026704E+002, 5.2305566E+002, 5.4300873E+002, 5.5672165E+002, 3.7896171E+002, 4.1795338E+002, 5.0810910E+002, 5.3044385E+002, 5.3641495E+002
 3.4000951E+002, 1.6866740E+002, 5.0383707E+001, 4.9354609E+001, 5.2271912E+001, 6.8476467E+001, 2.7595235E+002, 1.6543574E+002, 1.6666106E+002, 1.6234325E+002, 1.5386132E+002, 1.2142265E+002, 3.0612363E+002, 1.9715256E+002, 1.9341178E+002, 1.9082523E+002, 1.8834268E+002, 1.6963166E+002, 1.6479122E-001, 1.3896431E-001, 9.6386066E-001, 9.8208905E-001, 1.0076807E+000, 1.0104062E+000, 1.4728707E+000, 1.4742548E+000, 1.4713762E+000, 1.5313064E+000, 3.5713060E+002, 3.6025119E+002, 3.6609816E+002, 3.8157076E+002, 3.9855898E+002, 2.8018007E+002, 3.0267097E+002, 3.8066790E+002, 4.2405760E+002, 4.5441535E+002
