s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.050E+02, 2.992E+03,-1.322E+03,-1.651E+03,-1.434E+01, 5.341E-02, 0.000E+00, 0.000E+00, 8.356E+00, 4.623E+00, 9.388E-02, 9.388E-02
 3.100E+02, 3.094E+03,-1.369E+03,-1.725E+03,-1.842E+01, 5.653E-02, 0.000E+00, 0.000E+00,-1.222E+01,-1.767E+01, 9.512E-02, 9.512E-02
 3.150E+02, 3.011E+03,-1.339E+03,-1.645E+03,-1.720E+01, 5.546E-02, 0.000E+00, 0.000E+00, 1.490E+01, 1.006E+01, 9.418E-02, 9.418E-02
 3.200E+02, 3.037E+03,-1.347E+03,-1.665E+03,-1.837E+01, 5.415E-02, 0.000E+00, 0.000E+00, 1.204E+01, 6.716E+00, 9.401E-02, 9.401E-02
 3.250E+02, 3.075E+03,-1.358E+03,-1.733E+03,-1.625E+01, 5.556E-02, 0.000E+00, 0.000E+00,-2.682E+01,-3.194E+01, 9.500E-02, 9.500E-02
 3.300E+02, 3.049E+03,-1.348E+03,-1.697E+03,-1.596E+01, 5.609E-02, 0.000E+00, 0.000E+00,-7.214E+00,-1.130E+01, 9.524E-02, 9.524E-02
 3.350E+02, 3.164E+03,-1.399E+03,-1.746E+03,-1.767E+01, 6.077E-02, 0.000E+00, 0.000E+00, 6.713E+00, 1.287E+00, 9.611E-02, 9.611E-02
 3.400E+02, 3.070E+03,-1.363E+03,-1.665E+03,-1.684E+01, 5.666E-02, 0.000E+00, 0.000E+00, 3.117E+01, 2.600E+01, 9.547E-02, 9.547E-02
 3.450E+02, 3.124E+03,-1.373E+03,-1.746E+03,-1.468E+01, 6.167E-02, 0.000E+00, 0.000E+00,-5.689E+00,-9.931E+00, 9.731E-02, 9.731E-02
 3.500E+02, 3.098E+03,-1.369E+03,-1.731E+03,-1.798E+01, 6.382E-02, 0.000E+00, 0.000E+00,-1.395E+01,-1.938E+01, 9.689E-02, 9.689E-02
 3.550E+02, 3.077E+03,-1.361E+03,-1.700E+03,-1.676E+01, 5.658E-02, 0.000E+00, 0.000E+00, 4.765E+00,-5.555E-01, 9.501E-02, 9.501E-02
 3.600E+02, 3.099E+03,-1.369E+03,-1.701E+03,-1.787E+01, 5.743E-02, 0.000E+00, 0.000E+00, 1.553E+01, 1.050E+01, 9.576E-02, 9.576E-02
 3.650E+02, 3.042E+03,-1.349E+03,-1.690E+03,-1.333E+01, 5.471E-02, 0.000E+00, 0.000E+00,-6.601E+00,-1.041E+01, 9.458E-02, 9.458E-02
 3.700E+02, 3.105E+03,-1.374E+03,-1.723E+03,-1.761E+01, 5.653E-02, 0.000E+00, 0.000E+00,-4.332E+00,-9.700E+00, 9.605E-02, 9.605E-02
 3.750E+02, 3.049E+03,-1.346E+03,-1.675E+03,-1.760E+01, 5.412E-02, 0.000E+00, 0.000E+00, 1.612E+01, 1.112E+01, 9.508E-02, 9.508E-02
 3.800E+02, 3.161E+03,-1.398E+03,-1.771E+03,-2.266E+01, 5.972E-02, 0.000E+00, 0.000E+00,-2.388E+01,-3.062E+01, 9.830E-02, 9.830E-02
 3.850E+02, 3.134E+03,-1.384E+03,-1.726E+03,-1.698E+01, 5.793E-02, 0.000E+00, 0.000E+00, 1.174E+01, 6.866E+00, 9.600E-02, 9.600E-02
 3.900E+02, 3.109E+03,-1.378E+03,-1.716E+03,-1.913E+01, 5.805E-02, 0.000E+00, 0.000E+00, 2.168E+00,-4.017E+00, 9.576E-02, 9.576E-02
 3.950E+02, 3.052E+03,-1.345E+03,-1.703E+03,-1.732E+01, 5.521E-02, 0.000E+00, 0.000E+00,-8.679E+00,-1.363E+01, 9.524E-02, 9.524E-02
 4.000E+02, 2.995E+03,-1.322E+03,-1.682E+03,-1.634E+01, 5.735E-02, 0.000E+00, 0.000E+00,-2.051E+01,-2.569E+01, 9.615E-02, 9.615E-02
