s,kg/s/m2,C,C
Time,"MASS FLUX WATER","TMP WALL","TMP WALL MAX"
 1.0900100E+003,-5.1856743E-021, 4.1758434E+002, 4.1788003E+002
 1.1000100E+003,-5.0743310E-021, 4.2558510E+002, 4.2587277E+002
 1.1100100E+003,-5.0651254E-021, 4.3328032E+002, 4.3344655E+002
 1.1200100E+003,-4.8334746E-021, 4.4072183E+002, 4.4093622E+002
 1.1300100E+003,-5.0343312E-021, 4.4796170E+002, 4.4813386E+002
 1.1400100E+003,-4.9600396E-021, 4.5490889E+002, 4.5514309E+002
 1.1500100E+003,-4.9935270E-021, 4.6157327E+002, 4.6192639E+002
 1.1600100E+003,-4.8517718E-021, 4.6803352E+002, 4.6840054E+002
 1.1700100E+003,-5.0220508E-021, 4.7423871E+002, 4.7449751E+002
 1.1800100E+003,-4.7896167E-021, 4.8019619E+002, 4.8036121E+002
 1.1900100E+003,-4.5854419E-021, 4.8589856E+002, 4.8622657E+002
 1.2000000E+003,-4.8570377E-021, 4.9137870E+002, 4.9166003E+002
