s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 4.8009998E+001, 0.0000000E+000, 9.2472801E-005,-3.2210621E-003, 2.6238463E-003, 7.0896969E-004, 0.0000000E+000, 0.0000000E+000, 2.0811018E-004, 2.0422669E-004, 0.0000000E+000, 1.8838070E-005
 4.9209999E+001, 0.0000000E+000, 9.4928471E-005,-3.3333036E-003, 2.6512554E-003, 7.4216660E-004, 0.0000000E+000, 0.0000000E+000, 1.6045138E-004, 1.5504686E-004, 0.0000000E+000, 1.9555496E-005
 5.0410000E+001, 0.0000000E+000, 9.7558635E-005,-3.3602914E-003, 2.6767482E-003, 7.7803479E-004, 0.0000000E+000, 0.0000000E+000, 1.9840227E-004, 1.9205023E-004, 0.0000000E+000, 2.0318584E-005
 5.1610001E+001, 0.0000000E+000, 1.0019076E-004,-3.3558920E-003, 2.6945878E-003, 8.2176980E-004, 0.0000000E+000, 0.0000000E+000, 2.6917457E-004, 2.6065632E-004, 0.0000000E+000, 2.1259336E-005
 5.2810001E+001, 0.0000000E+000, 1.0276891E-004,-3.3503110E-003, 2.7116536E-003, 8.7725830E-004, 0.0000000E+000, 0.0000000E+000, 3.5095071E-004, 3.4136980E-004, 0.0000000E+000, 2.2446564E-005
 5.4009998E+001, 0.0000000E+000, 1.0519566E-004,-3.3616688E-003, 2.7251696E-003, 9.4470648E-004, 0.0000000E+000, 0.0000000E+000, 4.2358878E-004, 4.1340294E-004, 0.0000000E+000, 2.3878541E-005
 5.5209999E+001, 0.0000000E+000, 1.0760164E-004,-3.4138243E-003, 2.7330487E-003, 1.0239801E-003, 0.0000000E+000, 0.0000000E+000, 4.6174220E-004, 4.5080619E-004, 0.0000000E+000, 2.5571129E-005
 5.6410000E+001, 0.0000000E+000, 1.0997746E-004,-3.4642787E-003, 2.7319458E-003, 1.1072597E-003, 0.0000000E+000, 0.0000000E+000, 4.9782116E-004, 4.8490419E-004, 0.0000000E+000, 2.7384059E-005
 5.7610001E+001, 0.0000000E+000, 1.1231743E-004,-3.4959758E-003, 2.7281219E-003, 1.1841429E-003, 0.0000000E+000, 0.0000000E+000, 5.4471625E-004, 5.2860631E-004, 0.0000000E+000, 2.9104607E-005
 5.8810001E+001, 0.0000000E+000, 1.1436641E-004,-3.6055672E-003, 2.7219441E-003, 1.2440466E-003, 0.0000000E+000, 0.0000000E+000, 4.9663896E-004, 4.7478991E-004, 0.0000000E+000, 3.0464660E-005
