z/L jet, Q jet, z/L 62, Q 62, z/L 31, Q 31
0.397039, 0.385798, 0.379325, 0.587494, 0.376250, 0.691562
0.410332, 0.405405, 0.391700, 0.602142, 0.388834, 0.702457
0.423514, 0.425488, 0.404370, 0.616730, 0.401417, 0.713279
0.436695, 0.446026, 0.417039, 0.631260, 0.414000, 0.724009
0.449989, 0.467009, 0.429709, 0.645720, 0.426584, 0.734615
0.463170, 0.488363, 0.442378, 0.660066, 0.439294, 0.745090
0.476464, 0.509979, 0.454753, 0.674271, 0.451581, 0.755433
0.489645, 0.531783, 0.467423, 0.688296, 0.464292, 0.765652
0.502939, 0.553587, 0.480093, 0.702095, 0.477002, 0.775727
0.516120, 0.575229, 0.492762, 0.715638, 0.489289, 0.785645
0.529302, 0.596745, 0.505432, 0.728917, 0.502000, 0.795392
0.542595, 0.618068, 0.518101, 0.741936, 0.514710, 0.804962
0.555777, 0.639166, 0.530476, 0.754657, 0.526997, 0.814342
0.569070, 0.659913, 0.543146, 0.767109, 0.539707, 0.823499
0.582252, 0.680232, 0.555816, 0.779288, 0.552418, 0.832414
0.595434, 0.700100, 0.568485, 0.791163, 0.565128, 0.841099
0.608727, 0.719488, 0.581155, 0.802690, 0.577415, 0.849562
0.621909, 0.738378, 0.593530, 0.813843, 0.590126, 0.857775
0.635202, 0.756698, 0.606199, 0.824618, 0.602836, 0.865733
0.648384, 0.774401, 0.618869, 0.835006, 0.615123, 0.873422
0.661565, 0.791476, 0.631538, 0.845025, 0.627834, 0.880835
0.674859, 0.807881, 0.644208, 0.854666, 0.640544, 0.887980
0.688040, 0.823570, 0.656583, 0.863944, 0.652831, 0.894856
0.701334, 0.838484, 0.669253, 0.872844, 0.665542, 0.901470
0.714516, 0.852582, 0.681922, 0.881370, 0.678252, 0.907809
0.727697, 0.865880, 0.694592, 0.889543, 0.690539, 0.913875
0.740991, 0.878357, 0.707261, 0.897361, 0.703249, 0.919679
0.754172, 0.889997, 0.719931, 0.904805, 0.715960, 0.925231
0.767466, 0.900789, 0.732306, 0.911877, 0.728247, 0.930525
0.780647, 0.910760, 0.744976, 0.918566, 0.740957, 0.935561
0.793829, 0.919915, 0.757645, 0.924877, 0.753668, 0.940322
0.807122, 0.928295, 0.770315, 0.930825, 0.766378, 0.944819
0.820304, 0.935954, 0.782984, 0.936408, 0.778665, 0.949044
0.833597, 0.942938, 0.795359, 0.941638, 0.791376, 0.953000
0.846779, 0.949273, 0.808029, 0.946517, 0.804086, 0.956706
0.860072, 0.955017, 0.820699, 0.951087, 0.816373, 0.960171
0.873254, 0.960210, 0.833368, 0.955363, 0.829083, 0.963399
0.886436, 0.964893, 0.846038, 0.959352, 0.841794, 0.966402
0.899729, 0.969101, 0.858707, 0.963058, 0.854081, 0.969177
0.912911, 0.972857, 0.871082, 0.966497, 0.866791, 0.971751
0.926204, 0.976209, 0.883752, 0.969690, 0.879502, 0.974138
0.939386, 0.979197, 0.896422, 0.972652, 0.891789, 0.976335
0.952567, 0.981872, 0.909091, 0.975391, 0.904499, 0.978363
0.965861, 0.984257, 0.921761, 0.977917, 0.917210, 0.980237
0.979042, 0.986369, 0.934136, 0.980237, 0.929497, 0.981966
0.992336, 0.988239, 0.946805, 0.982358, 0.942207, 0.983566
1.005517, 0.989881, 0.959475, 0.984283, 0.954918, 0.985043
1.018699, 0.991312, 0.972145, 0.986038, 0.967204, 0.986412
1.031992, 0.992544, 0.984814, 0.987624, 0.979915, 0.987678
1.045174, 0.993601, 0.997189, 0.989061, 0.992625, 0.988847
1.058467, 0.994508, 1.009859, 0.990360, 1.005336, 0.989925
1.071649, 0.995296, 1.022528, 0.991531, 1.017623, 0.990912
1.084831, 0.995981, 1.035198, 0.992581, 1.030333, 0.991810
1.098124, 0.996578, 1.047868, 0.993517, 1.043044, 0.992628
1.111306, 0.997095, 1.060537, 0.994349, 1.055331, 0.993373
1.124822, 0.997543, 1.072912, 0.995084, 1.068041, 0.994057
1.138228, 0.997926, 1.085582, 0.995731, 1.080752, 0.994681
1.150515, 0.998252, 1.098251, 0.996298, 1.093038, 0.995247
1.163921, 0.998529, 1.110921, 0.996795, 1.105749, 0.995756
1.177326, 0.998764, 1.123591, 0.997229, 1.118460, 0.996212
1.190731, 0.998963, 1.135966, 0.997607, 1.130746, 0.996618
1.204136, 0.999129, 1.148635, 0.997937, 1.143457, 0.996982
1.217541, 0.999269, 1.161305, 0.998226, 1.156167, 0.997307
1.229829, 0.999385, 1.173974, 0.998482, 1.168454, 0.997596
1.243234, 0.999483, 1.186644, 0.998706, 1.181165, 0.997854
1.256639, 0.999564, 1.199314, 0.998904, 1.193875, 0.998086
1.270044, 0.999634, 1.211688, 0.999075, 1.206586, 0.998293
1.283449, 0.999692, 1.224358, 0.999222, 1.218873, 0.998477
1.296854, 0.999741, 1.237028, 0.999348, 1.231583, 0.998642
1.310259, 0.999782, 1.249697, 0.999455, 1.244294, 0.998789
1.322547, 0.999816, 1.262367, 0.999544, 1.256580, 0.998920
1.335952, 0.999844, 1.274742, 0.999619, 1.269291, 0.999037
1.349357, 0.999868, 1.287411, 0.999681, 1.282001, 0.999141
1.362762, 0.999889, 1.300081, 0.999733, 1.294288, 0.999235
1.376168, 0.999906, 1.312751, 0.999777, 1.306999, 0.999321
1.389573, 0.999920, 1.325420, 0.999814, 1.319709, 0.999401
1.401861, 0.999933, 1.337795, 0.999845, 1.331996, 0.999473
1.415266, 0.999943, 1.350465, 0.999872, 1.344707, 0.999538
1.428671, 0.999952, 1.363134, 0.999893, 1.357417, 0.999598
1.442076, 0.999959, 1.375804, 0.999911, 1.369704, 0.999652
1.455481, 0.999965, 1.388474, 0.999926, 1.382414, 0.999700
1.468886, 0.999971, 1.401143, 0.999939, 1.395125, 0.999742
1.481174, 0.999975, 1.413518, 0.999949, 1.407836, 0.999781
1.494579, 0.999979, 1.426188, 0.999957, 1.420122, 0.999814
1.507984, 0.999982, 1.438857, 0.999965, 1.432833, 0.999843
1.521389, 0.999985, 1.451527, 0.999970, 1.445543, 0.999869
1.534794, 0.999987, 1.464197, 0.999975, 1.457830, 0.999890
1.548199, 0.999989, 1.476572, 0.999979, 1.470541, 0.999909
1.561604, 0.999991, 1.489241, 0.999983, 1.483251, 0.999925
1.573892, 0.999993, 1.501911, 0.999985, 1.495538, 0.999938
1.587297, 0.999994, 1.514580, 0.999988, 1.508249, 0.999949
1.600703, 0.999995, 1.527250, 0.999990, 1.520959, 0.999958
1.614108, 0.999996, 1.539920, 0.999992, 1.533246, 0.999965
1.627513, 0.999996, 1.552295, 0.999993, 1.545956, 0.999971
1.640918, 0.999997, 1.564964, 0.999994, 1.558667, 0.999976
1.653206, 0.999997, 1.577634, 0.999995, 1.570954, 0.999980
1.666611, 0.999998, 1.590303, 0.999996, 1.583664, 0.999983
1.680016, 0.999998, 1.602973, 0.999997, 1.596375, 0.999986
1.693421, 0.999998, 1.615348, 0.999997, 1.609085, 0.999988
1.706826, 0.999999, 1.628018, 0.999998, 1.621372, 0.999990
1.720231, 0.999999, 1.640687, 0.999998, 1.634083, 0.999992
1.732519, 0.999999, 1.653357, 0.999998, 1.646793, 0.999993
1.745924, 0.999999, 1.666026, 0.999999, 1.659080, 0.999994
1.759329, 0.999999, 1.678696, 0.999999, 1.671791, 0.999995
1.772734, 0.999999, 1.691071, 0.999999, 1.684501, 0.999996
1.786139, 1.000000, 1.703741, 0.999999, 1.696788, 0.999997
1.799544, 1.000000, 1.716410, 0.999999, 1.709498, 0.999997
1.811832, 1.000000, 1.729080, 0.999999, 1.722209, 0.999998
1.825237, 1.000000, 1.741749, 1.000000, 1.734496, 0.999998
1.838643, 1.000000, 1.754124, 1.000000, 1.747206, 0.999998
1.852048, 1.000000, 1.766794, 1.000000, 1.759917, 0.999999
1.865453, 1.000000, 1.779464, 1.000000, 1.772204, 0.999999
1.878858, 1.000000, 1.792133, 1.000000, 1.784914, 0.999999
1.892263, 1.000000, 1.804803, 1.000000, 1.797625, 0.999999
1.904551, 1.000000, 1.817178, 1.000000, 1.810335, 0.999999
1.917956, 1.000000, 1.829847, 1.000000, 1.822622, 1.000000
1.931361, 1.000000, 1.842517, 1.000000, 1.835332, 1.000000
1.944766, 1.000000, 1.855187, 1.000000, 1.848043, 1.000000
1.958171, 1.000000, 1.867856, 1.000000, 1.860330, 1.000000
1.971576, 1.000000, 1.880526, 1.000000, 1.873040, 1.000000
1.983864, 1.000000, 1.892901, 1.000000, 1.885751, 1.000000
1.997269, 1.000000, 1.905570, 1.000000, 1.898038, 1.000000
2.010674, 1.000000, 1.918240, 1.000000, 1.910748, 1.000000
