s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p07_025,HRRPUA-CONE_3p07_025,WALL TEMPERATURE-CONE_3p07_050,HRRPUA-CONE_3p07_050,WALL TEMPERATURE-CONE_3p07_075,HRRPUA-CONE_3p07_075
 2.880E+02, 4.756E+02, 4.313E+02, 6.468E+02, 1.427E+01, 7.582E+02, 0.000E+00
 2.900E+02, 4.758E+02, 4.260E+02, 6.469E+02, 1.426E+01, 7.583E+02, 0.000E+00
 2.920E+02, 4.761E+02, 4.199E+02, 6.471E+02, 1.426E+01, 7.584E+02, 0.000E+00
 2.940E+02, 4.763E+02, 4.114E+02, 6.472E+02, 1.425E+01, 7.585E+02, 0.000E+00
 2.960E+02, 4.766E+02, 4.028E+02, 6.473E+02, 1.423E+01, 7.586E+02, 0.000E+00
 2.980E+02, 4.768E+02, 3.941E+02, 6.475E+02, 1.421E+01, 7.587E+02, 0.000E+00
 3.000E+02, 4.770E+02, 3.849E+02, 6.476E+02, 1.418E+01, 7.588E+02, 0.000E+00
 3.020E+02, 4.772E+02, 3.757E+02, 6.477E+02, 1.415E+01, 7.589E+02, 0.000E+00
 3.040E+02, 4.775E+02, 3.665E+02, 6.478E+02, 1.412E+01, 7.589E+02, 0.000E+00
 3.060E+02, 4.777E+02, 3.573E+02, 6.479E+02, 1.409E+01, 7.590E+02, 0.000E+00
 3.080E+02, 4.779E+02, 3.482E+02, 6.480E+02, 1.406E+01, 7.591E+02, 0.000E+00
 3.100E+02, 4.781E+02, 3.391E+02, 6.481E+02, 1.403E+01, 7.592E+02, 0.000E+00
 3.120E+02, 4.783E+02, 3.290E+02, 6.483E+02, 1.401E+01, 7.592E+02, 0.000E+00
 3.140E+02, 4.785E+02, 3.172E+02, 6.484E+02, 1.398E+01, 7.593E+02, 0.000E+00
 3.160E+02, 4.787E+02, 3.055E+02, 6.485E+02, 1.395E+01, 7.594E+02, 0.000E+00
 3.180E+02, 4.789E+02, 2.934E+02, 6.486E+02, 1.392E+01, 7.594E+02, 0.000E+00
 3.200E+02, 4.791E+02, 2.776E+02, 6.486E+02, 1.389E+01, 7.595E+02, 0.000E+00
 3.220E+02, 4.792E+02, 2.613E+02, 6.487E+02, 1.386E+01, 7.596E+02, 0.000E+00
 3.240E+02, 4.794E+02, 2.452E+02, 6.488E+02, 1.383E+01, 7.596E+02, 0.000E+00
