s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 1.530E+02, 5.265E+02, 3.523E+01, 3.031E+01
 1.540E+02, 5.213E+02, 3.498E+01, 2.987E+01
 1.550E+02, 5.155E+02, 3.474E+01, 2.942E+01
 1.560E+02, 5.092E+02, 3.450E+01, 2.896E+01
 1.570E+02, 5.024E+02, 3.426E+01, 2.850E+01
 1.580E+02, 4.951E+02, 3.403E+01, 2.804E+01
 1.590E+02, 4.872E+02, 3.380E+01, 2.758E+01
 1.600E+02, 4.789E+02, 3.358E+01, 2.714E+01
 1.610E+02, 4.701E+02, 3.336E+01, 2.668E+01
 1.620E+02, 4.610E+02, 3.314E+01, 2.622E+01
 1.630E+02, 4.514E+02, 3.292E+01, 2.571E+01
 1.640E+02, 4.414E+02, 3.271E+01, 2.512E+01
 1.650E+02, 4.311E+02, 3.249E+01, 2.444E+01
 1.660E+02, 4.204E+02, 3.228E+01, 2.361E+01
 1.670E+02, 4.094E+02, 3.207E+01, 2.263E+01
 1.680E+02, 3.981E+02, 3.187E+01, 2.122E+01
 1.690E+02, 3.864E+02, 3.167E+01, 1.902E+01
 1.700E+02, 3.745E+02, 3.149E+01, 1.608E+01
 1.710E+02, 3.625E+02, 3.132E+01, 1.299E+01
 1.720E+02, 3.504E+02, 3.115E+01, 1.004E+01
 1.730E+02, 3.382E+02, 3.100E+01, 7.264E+00
 1.740E+02, 3.258E+02, 3.085E+01, 3.070E+00
 1.750E+02, 3.135E+02, 3.068E+01, 0.000E+00
 1.760E+02, 3.011E+02, 3.050E+01, 0.000E+00
 1.770E+02, 2.888E+02, 3.030E+01, 0.000E+00
 1.780E+02, 2.766E+02, 3.009E+01, 0.000E+00
 1.790E+02, 2.644E+02, 2.986E+01, 0.000E+00
 1.800E+02, 2.523E+02, 2.962E+01, 0.000E+00
 1.810E+02, 2.404E+02, 2.937E+01, 0.000E+00
 1.820E+02, 2.288E+02, 2.912E+01, 0.000E+00
 1.830E+02, 2.174E+02, 2.888E+01, 0.000E+00
 1.840E+02, 2.062E+02, 2.864E+01, 0.000E+00
 1.850E+02, 1.954E+02, 2.841E+01, 0.000E+00
 1.860E+02, 1.848E+02, 2.820E+01, 0.000E+00
 1.870E+02, 1.746E+02, 2.800E+01, 0.000E+00
 1.880E+02, 1.648E+02, 2.780E+01, 0.000E+00
 1.890E+02, 1.553E+02, 2.760E+01, 0.000E+00
 1.900E+02, 1.461E+02, 2.741E+01, 0.000E+00
 1.910E+02, 1.374E+02, 2.722E+01, 0.000E+00
 1.920E+02, 1.291E+02, 2.703E+01, 0.000E+00
 1.930E+02, 1.212E+02, 2.683E+01, 0.000E+00
 1.940E+02, 1.138E+02, 2.663E+01, 0.000E+00
 1.950E+02, 1.067E+02, 2.642E+01, 0.000E+00
 1.960E+02, 1.001E+02, 2.621E+01, 0.000E+00
 1.970E+02, 9.398E+01, 2.600E+01, 0.000E+00
 1.980E+02, 8.823E+01, 2.577E+01, 0.000E+00
 1.990E+02, 8.294E+01, 2.555E+01, 0.000E+00
 2.000E+02, 7.801E+01, 2.532E+01, 0.000E+00
 2.010E+02, 7.345E+01, 2.509E+01, 0.000E+00
 2.020E+02, 6.925E+01, 2.485E+01, 0.000E+00
 2.030E+02, 6.540E+01, 2.461E+01, 0.000E+00
 2.040E+02, 6.191E+01, 2.436E+01, 0.000E+00
