s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
 2.600E+02, 3.726E+02, 1.627E+00, 4.317E+02, 6.973E+00, 4.804E+02, 1.058E+01, 5.580E+02, 1.599E+01, 6.473E+02, 6.112E+01, 7.579E+02, 2.366E+02
 2.700E+02, 3.737E+02, 1.355E+00, 4.327E+02, 6.190E+00, 4.813E+02, 1.046E+01, 5.588E+02, 1.578E+01, 6.480E+02, 7.315E+01, 7.584E+02, 2.517E+02
 2.800E+02, 3.747E+02, 1.247E+00, 4.336E+02, 5.383E+00, 4.821E+02, 1.024E+01, 5.595E+02, 1.582E+01, 6.486E+02, 8.978E+01, 7.589E+02, 2.589E+02
 2.900E+02, 3.757E+02, 1.209E+00, 4.344E+02, 4.594E+00, 4.829E+02, 1.000E+01, 5.602E+02, 1.587E+01, 6.492E+02, 1.087E+02, 7.594E+02, 2.515E+02
 3.000E+02, 3.765E+02, 1.170E+00, 4.352E+02, 4.245E+00, 4.836E+02, 9.750E+00, 5.608E+02, 1.591E+01, 6.498E+02, 1.235E+02, 7.598E+02, 2.423E+02
 3.100E+02, 3.773E+02, 1.131E+00, 4.360E+02, 4.410E+00, 4.843E+02, 9.482E+00, 5.614E+02, 1.596E+01, 6.502E+02, 1.369E+02, 7.603E+02, 2.330E+02
 3.200E+02, 3.781E+02, 1.092E+00, 4.367E+02, 4.713E+00, 4.849E+02, 9.199E+00, 5.619E+02, 1.601E+01, 6.507E+02, 1.491E+02, 7.606E+02, 2.217E+02
 3.300E+02, 3.788E+02, 1.053E+00, 4.373E+02, 5.009E+00, 4.855E+02, 8.900E+00, 5.624E+02, 1.630E+01, 6.511E+02, 1.587E+02, 7.610E+02, 2.074E+02
 3.400E+02, 3.795E+02, 1.014E+00, 4.379E+02, 5.298E+00, 4.861E+02, 8.596E+00, 5.629E+02, 1.688E+01, 6.515E+02, 1.641E+02, 7.613E+02, 1.925E+02
 3.500E+02, 3.801E+02, 9.756E-01, 4.385E+02, 5.580E+00, 4.866E+02, 8.298E+00, 5.633E+02, 1.748E+01, 6.519E+02, 1.683E+02, 7.616E+02, 1.764E+02
 3.600E+02, 3.807E+02, 9.367E-01, 4.390E+02, 5.872E+00, 4.870E+02, 7.982E+00, 5.637E+02, 1.808E+01, 6.522E+02, 1.700E+02, 7.619E+02, 1.598E+02
 3.700E+02, 3.812E+02, 8.977E-01, 4.395E+02, 6.100E+00, 4.875E+02, 7.648E+00, 5.641E+02, 1.897E+01, 6.525E+02, 1.699E+02, 7.621E+02, 1.433E+02
 3.800E+02, 3.817E+02, 8.588E-01, 4.399E+02, 6.156E+00, 4.879E+02, 7.294E+00, 5.644E+02, 2.017E+01, 6.528E+02, 1.697E+02, 7.623E+02, 1.321E+02
 3.900E+02, 3.822E+02, 8.198E-01, 4.403E+02, 6.207E+00, 4.883E+02, 7.004E+00, 5.648E+02, 2.134E+01, 6.531E+02, 1.702E+02, 7.626E+02, 1.226E+02
 4.000E+02, 3.827E+02, 7.808E-01, 4.407E+02, 6.259E+00, 4.886E+02, 6.969E+00, 5.651E+02, 2.247E+01, 6.533E+02, 1.714E+02, 7.627E+02, 1.125E+02
 4.100E+02, 3.831E+02, 7.418E-01, 4.411E+02, 6.267E+00, 4.889E+02, 6.953E+00, 5.653E+02, 2.357E+01, 6.535E+02, 1.705E+02, 7.629E+02, 1.018E+02
 4.200E+02, 3.835E+02, 7.098E-01, 4.414E+02, 6.074E+00, 4.893E+02, 6.934E+00, 5.656E+02, 2.465E+01, 6.537E+02, 1.656E+02, 7.631E+02, 8.923E+01
 4.300E+02, 3.838E+02, 6.875E-01, 4.417E+02, 5.850E+00, 4.895E+02, 6.889E+00, 5.658E+02, 2.584E+01, 6.539E+02, 1.597E+02, 7.633E+02, 7.735E+01
 4.400E+02, 3.842E+02, 6.652E-01, 4.420E+02, 5.624E+00, 4.898E+02, 6.839E+00, 5.660E+02, 2.762E+01, 6.541E+02, 1.538E+02, 7.634E+02, 7.260E+01
 4.500E+02, 3.845E+02, 6.429E-01, 4.423E+02, 5.395E+00, 4.900E+02, 6.787E+00, 5.662E+02, 2.934E+01, 6.543E+02, 1.477E+02, 7.635E+02, 6.882E+01
 4.600E+02, 3.848E+02, 6.206E-01, 4.426E+02, 5.163E+00, 4.903E+02, 6.735E+00, 5.664E+02, 3.092E+01, 6.544E+02, 1.406E+02, 7.636E+02, 6.504E+01
 4.700E+02, 3.851E+02, 5.983E-01, 4.428E+02, 4.929E+00, 4.905E+02, 6.683E+00, 5.666E+02, 3.265E+01, 6.546E+02, 1.340E+02, 7.638E+02, 6.125E+01
 4.800E+02, 3.853E+02, 5.760E-01, 4.430E+02, 4.693E+00, 4.907E+02, 6.648E+00, 5.668E+02, 3.536E+01, 6.547E+02, 1.277E+02, 7.639E+02, 5.745E+01
 4.900E+02, 3.856E+02, 5.537E-01, 4.432E+02, 4.454E+00, 4.909E+02, 6.820E+00, 5.669E+02, 3.839E+01, 6.548E+02, 1.218E+02, 7.640E+02, 5.365E+01
 5.000E+02, 3.858E+02, 5.314E-01, 4.434E+02, 4.212E+00, 4.910E+02, 7.052E+00, 5.670E+02, 4.169E+01, 6.549E+02, 1.159E+02, 7.640E+02, 4.985E+01
 5.100E+02, 3.860E+02, 5.090E-01, 4.436E+02, 3.981E+00, 4.912E+02, 7.313E+00, 5.672E+02, 4.529E+01, 6.550E+02, 1.096E+02, 7.641E+02, 4.671E+01
 5.200E+02, 3.862E+02, 4.867E-01, 4.438E+02, 3.931E+00, 4.913E+02, 7.604E+00, 5.673E+02, 4.928E+01, 6.551E+02, 1.025E+02, 7.642E+02, 4.619E+01
 5.300E+02, 3.864E+02, 4.644E-01, 4.439E+02, 3.933E+00, 4.915E+02, 7.893E+00, 5.674E+02, 5.375E+01, 6.552E+02, 9.498E+01, 7.643E+02, 4.594E+01
 5.400E+02, 3.866E+02, 4.420E-01, 4.441E+02, 3.936E+00, 4.916E+02, 8.179E+00, 5.675E+02, 5.885E+01, 6.553E+02, 8.713E+01, 7.643E+02, 4.570E+01
 5.500E+02, 3.867E+02, 4.197E-01, 4.442E+02, 3.938E+00, 4.917E+02, 8.464E+00, 5.676E+02, 6.475E+01, 6.554E+02, 8.008E+01, 7.644E+02, 4.545E+01
 5.600E+02, 3.869E+02, 4.035E-01, 4.444E+02, 3.941E+00, 4.918E+02, 8.773E+00, 5.677E+02, 7.060E+01, 6.555E+02, 7.464E+01, 7.644E+02, 4.520E+01
 5.700E+02, 3.870E+02, 4.121E-01, 4.445E+02, 3.943E+00, 4.919E+02, 9.235E+00, 5.678E+02, 7.684E+01, 6.555E+02, 6.980E+01, 7.645E+02, 4.496E+01
 5.800E+02, 3.871E+02, 4.233E-01, 4.446E+02, 3.946E+00, 4.920E+02, 9.715E+00, 5.679E+02, 8.440E+01, 6.556E+02, 6.628E+01, 7.645E+02, 4.471E+01
 5.900E+02, 3.873E+02, 4.345E-01, 4.447E+02, 3.969E+00, 4.921E+02, 1.018E+01, 5.679E+02, 9.249E+01, 6.556E+02, 6.279E+01, 7.646E+02, 4.423E+01
 6.000E+02, 3.874E+02, 4.457E-01, 4.448E+02, 4.004E+00, 4.922E+02, 1.061E+01, 5.680E+02, 9.579E+01, 6.557E+02, 5.976E+01, 7.646E+02, 4.299E+01
 6.100E+02, 3.875E+02, 4.569E-01, 4.449E+02, 4.038E+00, 4.923E+02, 1.103E+01, 5.680E+02, 9.315E+01, 6.557E+02, 5.740E+01, 7.647E+02, 4.167E+01
 6.200E+02, 3.876E+02, 4.681E-01, 4.450E+02, 4.072E+00, 4.923E+02, 1.144E+01, 5.681E+02, 8.844E+01, 6.558E+02, 5.500E+01, 7.647E+02, 4.036E+01
 6.300E+02, 3.877E+02, 4.793E-01, 4.450E+02, 4.106E+00, 4.924E+02, 1.191E+01, 5.682E+02, 8.439E+01, 6.558E+02, 5.256E+01, 7.647E+02, 3.905E+01
 6.400E+02, 3.878E+02, 4.905E-01, 4.451E+02, 4.140E+00, 4.925E+02, 1.250E+01, 5.682E+02, 8.129E+01, 6.559E+02, 5.008E+01, 7.648E+02, 3.773E+01
 6.500E+02, 3.879E+02, 5.016E-01, 4.452E+02, 4.174E+00, 4.925E+02, 1.305E+01, 5.682E+02, 7.869E+01, 6.559E+02, 4.753E+01, 7.648E+02, 3.642E+01
 6.600E+02, 3.879E+02, 5.128E-01, 4.452E+02, 4.224E+00, 4.926E+02, 1.357E+01, 5.683E+02, 7.646E+01, 6.559E+02, 4.494E+01, 7.648E+02, 3.510E+01
 6.700E+02, 3.880E+02, 5.240E-01, 4.453E+02, 4.276E+00, 4.926E+02, 1.407E+01, 5.683E+02, 7.447E+01, 6.560E+02, 4.229E+01, 7.648E+02, 3.382E+01
 6.800E+02, 3.881E+02, 5.352E-01, 4.453E+02, 4.325E+00, 4.927E+02, 1.455E+01, 5.684E+02, 7.241E+01, 6.560E+02, 3.959E+01, 7.648E+02, 3.263E+01
 6.900E+02, 3.881E+02, 5.464E-01, 4.454E+02, 4.374E+00, 4.927E+02, 1.502E+01, 5.684E+02, 7.023E+01, 6.560E+02, 3.775E+01, 7.649E+02, 3.145E+01
 7.000E+02, 3.882E+02, 5.584E-01, 4.454E+02, 4.423E+00, 4.928E+02, 1.546E+01, 5.684E+02, 6.731E+01, 6.560E+02, 3.641E+01, 7.649E+02, 3.026E+01
 7.100E+02, 3.883E+02, 5.822E-01, 4.455E+02, 4.472E+00, 4.928E+02, 1.588E+01, 5.685E+02, 6.377E+01, 6.561E+02, 3.506E+01, 7.649E+02, 2.908E+01
 7.200E+02, 3.883E+02, 6.102E-01, 4.455E+02, 4.521E+00, 4.928E+02, 1.628E+01, 5.685E+02, 5.902E+01, 6.561E+02, 3.370E+01, 7.649E+02, 2.789E+01
 7.300E+02, 3.884E+02, 6.382E-01, 4.456E+02, 4.569E+00, 4.929E+02, 1.666E+01, 5.685E+02, 5.453E+01, 6.561E+02, 3.233E+01, 7.649E+02, 2.671E+01
 7.400E+02, 3.884E+02, 6.661E-01, 4.456E+02, 4.608E+00, 4.929E+02, 1.702E+01, 5.685E+02, 5.128E+01, 6.561E+02, 3.095E+01, 7.649E+02, 2.552E+01
 7.500E+02, 3.884E+02, 6.941E-01, 4.456E+02, 4.640E+00, 4.929E+02, 1.735E+01, 5.686E+02, 4.853E+01, 6.561E+02, 2.955E+01, 7.650E+02, 2.452E+01
 7.600E+02, 3.885E+02, 7.220E-01, 4.457E+02, 4.672E+00, 4.930E+02, 1.765E+01, 5.686E+02, 3.653E+01, 6.561E+02, 2.814E+01, 7.650E+02, 2.393E+01
 7.700E+02, 3.885E+02, 7.500E-01, 4.457E+02, 4.703E+00, 4.930E+02, 1.794E+01, 5.686E+02, 2.121E+01, 6.562E+02, 2.712E+01, 7.650E+02, 2.335E+01
 7.800E+02, 3.886E+02, 7.780E-01, 4.457E+02, 4.734E+00, 4.930E+02, 1.821E+01, 5.686E+02, 1.988E+01, 6.562E+02, 2.674E+01, 7.650E+02, 2.278E+01
 7.900E+02, 3.886E+02, 8.059E-01, 4.458E+02, 4.764E+00, 4.930E+02, 1.848E+01, 5.686E+02, 1.942E+01, 6.562E+02, 2.637E+01, 7.650E+02, 2.220E+01
 8.000E+02, 3.886E+02, 8.339E-01, 4.458E+02, 4.795E+00, 4.930E+02, 1.874E+01, 5.686E+02, 1.907E+01, 6.562E+02, 2.601E+01, 7.650E+02, 2.163E+01
 8.100E+02, 3.886E+02, 8.619E-01, 4.458E+02, 4.430E+00, 4.931E+02, 1.899E+01, 5.687E+02, 1.870E+01, 6.562E+02, 2.564E+01, 7.650E+02, 2.106E+01
 8.200E+02, 3.887E+02, 8.898E-01, 4.458E+02, 4.184E+00, 4.931E+02, 1.920E+01, 5.687E+02, 1.831E+01, 6.562E+02, 2.528E+01, 7.650E+02, 2.048E+01
 8.300E+02, 3.887E+02, 9.178E-01, 4.458E+02, 4.240E+00, 4.931E+02, 1.809E+01, 5.687E+02, 1.789E+01, 6.562E+02, 2.491E+01, 7.650E+02, 3.829E+00
 8.400E+02, 3.887E+02, 9.458E-01, 4.459E+02, 4.296E+00, 4.931E+02, 1.367E+01, 5.687E+02, 1.744E+01, 6.562E+02, 2.455E+01, 7.650E+02, 0.000E+00
 8.500E+02, 3.887E+02, 9.654E-01, 4.459E+02, 4.352E+00, 4.931E+02, 1.358E+01, 5.687E+02, 1.696E+01, 6.562E+02, 1.414E+01, 7.650E+02, 0.000E+00
 8.600E+02, 3.888E+02, 9.765E-01, 4.459E+02, 4.408E+00, 4.931E+02, 1.360E+01, 5.687E+02, 1.645E+01, 6.562E+02, 9.165E+00, 7.650E+02, 0.000E+00
 8.700E+02, 3.888E+02, 9.877E-01, 4.459E+02, 4.463E+00, 4.931E+02, 1.363E+01, 5.687E+02, 1.591E+01, 6.562E+02, 9.003E+00, 7.650E+02, 0.000E+00
 8.800E+02, 3.888E+02, 9.989E-01, 4.459E+02, 4.519E+00, 4.932E+02, 1.373E+01, 5.687E+02, 1.533E+01, 6.562E+02, 8.841E+00, 7.650E+02, 0.000E+00
 8.900E+02, 3.888E+02, 1.010E+00, 4.459E+02, 4.574E+00, 4.932E+02, 1.395E+01, 5.687E+02, 1.472E+01, 6.563E+02, 8.678E+00, 7.650E+02, 0.000E+00
 9.000E+02, 3.888E+02, 1.021E+00, 4.459E+02, 4.629E+00, 4.932E+02, 1.417E+01, 5.687E+02, 1.407E+01, 6.563E+02, 8.514E+00, 7.650E+02, 0.000E+00
 9.100E+02, 3.888E+02, 1.032E+00, 4.460E+02, 4.684E+00, 4.932E+02, 1.439E+01, 5.687E+02, 1.338E+01, 6.563E+02, 8.349E+00, 7.651E+02, 0.000E+00
 9.200E+02, 3.889E+02, 1.044E+00, 4.460E+02, 4.739E+00, 4.932E+02, 1.462E+01, 5.687E+02, 1.286E+01, 6.563E+02, 8.184E+00, 7.651E+02, 0.000E+00
 9.300E+02, 3.889E+02, 1.055E+00, 4.460E+02, 4.794E+00, 4.932E+02, 1.482E+01, 5.688E+02, 1.264E+01, 6.563E+02, 8.017E+00, 7.651E+02, 0.000E+00
 9.400E+02, 3.889E+02, 1.066E+00, 4.460E+02, 4.848E+00, 4.932E+02, 1.485E+01, 5.688E+02, 1.243E+01, 6.563E+02, 7.849E+00, 7.651E+02, 0.000E+00
 9.500E+02, 3.889E+02, 1.077E+00, 4.460E+02, 4.903E+00, 4.932E+02, 1.484E+01, 5.688E+02, 1.221E+01, 6.563E+02, 7.680E+00, 7.651E+02, 0.000E+00
 9.600E+02, 3.889E+02, 1.088E+00, 4.460E+02, 4.957E+00, 4.932E+02, 1.482E+01, 5.688E+02, 1.199E+01, 6.563E+02, 7.510E+00, 7.651E+02, 0.000E+00
 9.700E+02, 3.889E+02, 1.100E+00, 4.460E+02, 5.011E+00, 4.932E+02, 1.473E+01, 5.688E+02, 1.177E+01, 6.563E+02, 7.340E+00, 7.651E+02, 0.000E+00
 9.800E+02, 3.889E+02, 1.111E+00, 4.460E+02, 5.065E+00, 4.932E+02, 1.460E+01, 5.688E+02, 1.155E+01, 6.563E+02, 7.168E+00, 7.651E+02, 0.000E+00
 9.900E+02, 3.889E+02, 1.130E+00, 4.460E+02, 5.119E+00, 4.932E+02, 1.446E+01, 5.688E+02, 1.132E+01, 6.563E+02, 6.995E+00, 7.651E+02, 0.000E+00
 1.000E+03, 3.889E+02, 1.173E+00, 4.460E+02, 5.173E+00, 4.932E+02, 1.432E+01, 5.688E+02, 1.108E+01, 6.563E+02, 6.822E+00, 7.651E+02, 0.000E+00
 1.010E+03, 3.890E+02, 1.218E+00, 4.460E+02, 5.227E+00, 4.932E+02, 1.419E+01, 5.688E+02, 1.085E+01, 6.563E+02, 6.647E+00, 7.651E+02, 0.000E+00
 1.020E+03, 3.890E+02, 1.263E+00, 4.460E+02, 5.281E+00, 4.932E+02, 1.406E+01, 5.688E+02, 1.061E+01, 6.563E+02, 6.471E+00, 7.651E+02, 0.000E+00
 1.030E+03, 3.890E+02, 1.308E+00, 4.460E+02, 5.334E+00, 4.932E+02, 1.392E+01, 5.688E+02, 1.036E+01, 6.563E+02, 6.295E+00, 7.651E+02, 0.000E+00
 1.040E+03, 3.890E+02, 1.352E+00, 4.460E+02, 5.387E+00, 4.933E+02, 1.379E+01, 5.688E+02, 1.012E+01, 6.563E+02, 6.142E+00, 7.651E+02, 0.000E+00
 1.050E+03, 3.890E+02, 1.397E+00, 4.460E+02, 5.441E+00, 4.933E+02, 1.368E+01, 5.688E+02, 9.867E+00, 6.563E+02, 6.029E+00, 7.651E+02, 0.000E+00
 1.060E+03, 3.890E+02, 1.442E+00, 4.461E+02, 5.494E+00, 4.933E+02, 1.365E+01, 5.688E+02, 9.612E+00, 6.563E+02, 5.917E+00, 7.651E+02, 0.000E+00
 1.070E+03, 3.890E+02, 1.487E+00, 4.461E+02, 5.547E+00, 4.933E+02, 1.363E+01, 5.688E+02, 9.354E+00, 6.563E+02, 5.803E+00, 7.651E+02, 0.000E+00
 1.080E+03, 3.890E+02, 1.531E+00, 4.461E+02, 5.599E+00, 4.933E+02, 1.362E+01, 5.688E+02, 9.092E+00, 6.563E+02, 5.690E+00, 7.651E+02, 0.000E+00
 1.090E+03, 3.890E+02, 1.576E+00, 4.461E+02, 5.653E+00, 4.933E+02, 1.360E+01, 5.688E+02, 8.826E+00, 6.563E+02, 5.576E+00, 7.651E+02, 0.000E+00
 1.100E+03, 3.890E+02, 1.621E+00, 4.461E+02, 5.724E+00, 4.933E+02, 1.358E+01, 5.688E+02, 8.612E+00, 6.563E+02, 5.462E+00, 7.651E+02, 0.000E+00
 1.110E+03, 3.890E+02, 1.666E+00, 4.461E+02, 5.803E+00, 4.933E+02, 1.356E+01, 5.688E+02, 8.579E+00, 6.563E+02, 5.347E+00, 7.651E+02, 0.000E+00
 1.120E+03, 3.890E+02, 1.710E+00, 4.461E+02, 5.881E+00, 4.933E+02, 1.354E+01, 5.688E+02, 8.561E+00, 6.563E+02, 5.232E+00, 7.651E+02, 0.000E+00
 1.130E+03, 3.890E+02, 1.754E+00, 4.461E+02, 5.959E+00, 4.933E+02, 1.352E+01, 5.688E+02, 8.543E+00, 6.563E+02, 5.117E+00, 7.651E+02, 0.000E+00
 1.140E+03, 3.890E+02, 1.790E+00, 4.461E+02, 6.036E+00, 4.933E+02, 1.350E+01, 5.688E+02, 8.526E+00, 6.563E+02, 5.001E+00, 7.651E+02, 0.000E+00
 1.150E+03, 3.890E+02, 1.823E+00, 4.461E+02, 6.113E+00, 4.933E+02, 1.348E+01, 5.688E+02, 8.508E+00, 6.563E+02, 4.885E+00, 7.651E+02, 0.000E+00
 1.160E+03, 3.890E+02, 1.857E+00, 4.461E+02, 6.190E+00, 4.933E+02, 1.346E+01, 5.688E+02, 8.490E+00, 6.563E+02, 4.768E+00, 7.651E+02, 0.000E+00
 1.170E+03, 3.890E+02, 1.891E+00, 4.461E+02, 6.267E+00, 4.933E+02, 1.343E+01, 5.688E+02, 8.473E+00, 6.563E+02, 4.651E+00, 7.651E+02, 0.000E+00
 1.180E+03, 3.890E+02, 1.924E+00, 4.461E+02, 6.344E+00, 4.933E+02, 1.341E+01, 5.688E+02, 8.455E+00, 6.563E+02, 4.533E+00, 7.651E+02, 0.000E+00
 1.190E+03, 3.890E+02, 1.958E+00, 4.461E+02, 6.420E+00, 4.933E+02, 1.338E+01, 5.688E+02, 8.437E+00, 6.563E+02, 4.415E+00, 7.651E+02, 0.000E+00
 1.200E+03, 3.890E+02, 1.991E+00, 4.461E+02, 6.496E+00, 4.933E+02, 1.333E+01, 5.688E+02, 8.420E+00, 6.563E+02, 4.297E+00, 7.651E+02, 0.000E+00
 1.210E+03, 3.890E+02, 2.025E+00, 4.461E+02, 6.571E+00, 4.933E+02, 1.327E+01, 5.688E+02, 8.402E+00, 6.563E+02, 4.178E+00, 7.651E+02, 0.000E+00
 1.220E+03, 3.890E+02, 2.058E+00, 4.461E+02, 6.646E+00, 4.933E+02, 1.321E+01, 5.688E+02, 8.384E+00, 6.563E+02, 4.079E+00, 7.651E+02, 0.000E+00
 1.230E+03, 3.890E+02, 2.092E+00, 4.461E+02, 6.721E+00, 4.933E+02, 1.314E+01, 5.688E+02, 8.366E+00, 6.563E+02, 4.024E+00, 7.651E+02, 0.000E+00
 1.240E+03, 3.890E+02, 2.125E+00, 4.461E+02, 6.802E+00, 4.933E+02, 1.307E+01, 5.688E+02, 8.348E+00, 6.563E+02, 3.970E+00, 7.651E+02, 0.000E+00
 1.250E+03, 3.890E+02, 2.159E+00, 4.461E+02, 6.932E+00, 4.933E+02, 1.300E+01, 5.688E+02, 8.331E+00, 6.563E+02, 3.917E+00, 7.651E+02, 0.000E+00
 1.260E+03, 3.890E+02, 2.193E+00, 4.461E+02, 7.071E+00, 4.933E+02, 1.292E+01, 5.688E+02, 8.313E+00, 6.563E+02, 3.863E+00, 7.651E+02, 0.000E+00
 1.270E+03, 3.890E+02, 2.226E+00, 4.461E+02, 7.209E+00, 4.933E+02, 1.283E+01, 5.688E+02, 8.295E+00, 6.563E+02, 3.809E+00, 7.651E+02, 0.000E+00
 1.280E+03, 3.890E+02, 2.266E+00, 4.461E+02, 7.347E+00, 4.933E+02, 1.274E+01, 5.688E+02, 8.250E+00, 6.563E+02, 3.756E+00, 7.651E+02, 0.000E+00
 1.290E+03, 3.890E+02, 2.311E+00, 4.461E+02, 7.483E+00, 4.933E+02, 1.265E+01, 5.688E+02, 8.156E+00, 6.563E+02, 3.702E+00, 7.651E+02, 0.000E+00
 1.300E+03, 3.890E+02, 2.356E+00, 4.461E+02, 7.618E+00, 4.933E+02, 1.254E+01, 5.688E+02, 8.060E+00, 6.563E+02, 3.648E+00, 7.651E+02, 0.000E+00
