s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
 3.200E+02, 3.811E+02, 1.503E+00, 4.385E+02, 5.279E-01, 4.860E+02, 3.366E+00, 5.621E+02, 4.152E+00, 6.503E+02, 5.283E+00, 7.598E+02, 1.082E+00
 3.300E+02, 3.811E+02, 1.468E+00, 4.385E+02, 5.461E-01, 4.860E+02, 3.343E+00, 5.621E+02, 4.108E+00, 6.503E+02, 4.859E+00, 7.598E+02, 1.068E+00
 3.400E+02, 3.811E+02, 1.433E+00, 4.385E+02, 5.647E-01, 4.860E+02, 3.321E+00, 5.621E+02, 4.063E+00, 6.503E+02, 4.455E+00, 7.598E+02, 1.067E+00
 3.500E+02, 3.811E+02, 1.398E+00, 4.385E+02, 5.833E-01, 4.860E+02, 3.299E+00, 5.621E+02, 3.975E+00, 6.503E+02, 4.202E+00, 7.598E+02, 1.067E+00
 3.600E+02, 3.811E+02, 1.364E+00, 4.385E+02, 6.020E-01, 4.860E+02, 3.276E+00, 5.621E+02, 3.815E+00, 6.503E+02, 3.981E+00, 7.598E+02, 1.067E+00
 3.700E+02, 3.811E+02, 1.329E+00, 4.385E+02, 6.229E-01, 4.860E+02, 3.255E+00, 5.621E+02, 3.701E+00, 6.503E+02, 3.795E+00, 7.598E+02, 1.067E+00
 3.800E+02, 3.811E+02, 1.294E+00, 4.385E+02, 6.539E-01, 4.860E+02, 3.233E+00, 5.621E+02, 3.590E+00, 6.503E+02, 3.680E+00, 7.598E+02, 1.067E+00
 3.900E+02, 3.811E+02, 1.263E+00, 4.385E+02, 6.860E-01, 4.860E+02, 3.211E+00, 5.621E+02, 3.480E+00, 6.503E+02, 3.567E+00, 7.598E+02, 1.067E+00
 4.000E+02, 3.811E+02, 1.236E+00, 4.385E+02, 7.181E-01, 4.860E+02, 3.189E+00, 5.621E+02, 3.370E+00, 6.503E+02, 3.453E+00, 7.598E+02, 1.067E+00
 4.100E+02, 3.811E+02, 1.209E+00, 4.385E+02, 7.502E-01, 4.860E+02, 3.167E+00, 5.621E+02, 3.259E+00, 6.503E+02, 3.340E+00, 7.598E+02, 1.067E+00
 4.200E+02, 3.811E+02, 1.181E+00, 4.385E+02, 7.823E-01, 4.860E+02, 3.145E+00, 5.621E+02, 3.149E+00, 6.503E+02, 3.226E+00, 7.598E+02, 1.067E+00
 4.300E+02, 3.811E+02, 1.154E+00, 4.385E+02, 8.145E-01, 4.860E+02, 3.123E+00, 5.621E+02, 3.025E+00, 6.503E+02, 3.088E+00, 7.598E+02, 1.067E+00
 4.400E+02, 3.811E+02, 1.127E+00, 4.385E+02, 8.466E-01, 4.860E+02, 3.100E+00, 5.621E+02, 2.859E+00, 6.503E+02, 2.943E+00, 7.598E+02, 1.067E+00
 4.500E+02, 3.811E+02, 1.099E+00, 4.385E+02, 8.783E-01, 4.860E+02, 3.078E+00, 5.621E+02, 2.689E+00, 6.503E+02, 2.798E+00, 7.598E+02, 1.067E+00
 4.600E+02, 3.811E+02, 1.072E+00, 4.385E+02, 9.050E-01, 4.860E+02, 3.055E+00, 5.621E+02, 2.519E+00, 6.503E+02, 2.653E+00, 7.598E+02, 1.067E+00
 4.700E+02, 3.811E+02, 1.044E+00, 4.385E+02, 9.327E-01, 4.860E+02, 3.033E+00, 5.621E+02, 2.350E+00, 6.503E+02, 2.508E+00, 7.598E+02, 1.067E+00
 4.800E+02, 3.811E+02, 1.017E+00, 4.385E+02, 9.711E-01, 4.860E+02, 3.010E+00, 5.621E+02, 2.180E+00, 6.503E+02, 2.363E+00, 7.598E+02, 1.067E+00
 4.900E+02, 3.811E+02, 9.897E-01, 4.385E+02, 1.011E+00, 4.860E+02, 2.987E+00, 5.621E+02, 2.011E+00, 6.503E+02, 2.218E+00, 7.598E+02, 1.067E+00
 5.000E+02, 3.811E+02, 9.624E-01, 4.385E+02, 1.050E+00, 4.860E+02, 2.964E+00, 5.621E+02, 1.841E+00, 6.503E+02, 2.073E+00, 7.598E+02, 1.067E+00
 5.100E+02, 3.811E+02, 9.350E-01, 4.385E+02, 1.090E+00, 4.860E+02, 2.941E+00, 5.621E+02, 1.674E+00, 6.503E+02, 1.962E+00, 7.598E+02, 1.067E+00
 5.200E+02, 3.811E+02, 9.076E-01, 4.385E+02, 1.130E+00, 4.860E+02, 2.917E+00, 5.621E+02, 1.521E+00, 6.503E+02, 1.870E+00, 7.598E+02, 1.067E+00
 5.300E+02, 3.811E+02, 8.841E-01, 4.385E+02, 1.169E+00, 4.860E+02, 2.891E+00, 5.621E+02, 1.419E+00, 6.503E+02, 1.778E+00, 7.598E+02, 1.067E+00
 5.400E+02, 3.811E+02, 8.891E-01, 4.385E+02, 1.209E+00, 4.860E+02, 2.864E+00, 5.621E+02, 1.358E+00, 6.503E+02, 1.688E+00, 7.598E+02, 1.067E+00
 5.500E+02, 3.811E+02, 9.001E-01, 4.385E+02, 1.248E+00, 4.860E+02, 2.837E+00, 5.621E+02, 1.298E+00, 6.503E+02, 1.639E+00, 7.598E+02, 1.067E+00
 5.600E+02, 3.811E+02, 9.110E-01, 4.385E+02, 1.288E+00, 4.860E+02, 2.810E+00, 5.621E+02, 1.237E+00, 6.503E+02, 1.607E+00, 7.598E+02, 1.067E+00
 5.700E+02, 3.811E+02, 9.220E-01, 4.385E+02, 1.327E+00, 4.860E+02, 2.776E+00, 5.621E+02, 1.176E+00, 6.503E+02, 1.576E+00, 7.598E+02, 1.067E+00
 5.800E+02, 3.811E+02, 9.329E-01, 4.385E+02, 1.367E+00, 4.860E+02, 2.732E+00, 5.621E+02, 1.116E+00, 6.503E+02, 1.544E+00, 7.598E+02, 1.067E+00
 5.900E+02, 3.811E+02, 9.439E-01, 4.385E+02, 1.406E+00, 4.860E+02, 2.687E+00, 5.621E+02, 1.056E+00, 6.503E+02, 1.507E+00, 7.598E+02, 1.067E+00
 6.000E+02, 3.811E+02, 9.548E-01, 4.385E+02, 1.445E+00, 4.860E+02, 2.642E+00, 5.621E+02, 1.011E+00, 6.503E+02, 1.464E+00, 7.598E+02, 1.067E+00
 6.100E+02, 3.811E+02, 9.658E-01, 4.385E+02, 1.477E+00, 4.860E+02, 2.597E+00, 5.621E+02, 9.696E-01, 6.503E+02, 1.422E+00, 7.598E+02, 1.067E+00
 6.200E+02, 3.811E+02, 9.767E-01, 4.385E+02, 1.475E+00, 4.860E+02, 2.551E+00, 5.621E+02, 9.285E-01, 6.503E+02, 1.379E+00, 7.598E+02, 1.067E+00
 6.300E+02, 3.811E+02, 9.877E-01, 4.385E+02, 1.468E+00, 4.860E+02, 2.506E+00, 5.621E+02, 8.873E-01, 6.503E+02, 1.337E+00, 7.598E+02, 1.067E+00
 6.400E+02, 3.811E+02, 9.986E-01, 4.385E+02, 1.460E+00, 4.860E+02, 2.461E+00, 5.621E+02, 8.461E-01, 6.503E+02, 1.294E+00, 7.598E+02, 1.067E+00
 6.500E+02, 3.811E+02, 1.010E+00, 4.385E+02, 1.453E+00, 4.860E+02, 2.416E+00, 5.621E+02, 8.049E-01, 6.503E+02, 1.252E+00, 7.598E+02, 1.067E+00
 6.600E+02, 3.811E+02, 1.020E+00, 4.385E+02, 1.446E+00, 4.860E+02, 2.409E+00, 5.621E+02, 7.637E-01, 6.503E+02, 1.209E+00, 7.598E+02, 1.067E+00
 6.700E+02, 3.811E+02, 1.031E+00, 4.385E+02, 1.439E+00, 4.860E+02, 2.458E+00, 5.621E+02, 7.221E-01, 6.503E+02, 1.182E+00, 7.598E+02, 1.067E+00
 6.800E+02, 3.811E+02, 1.042E+00, 4.385E+02, 1.432E+00, 4.860E+02, 2.516E+00, 5.621E+02, 6.678E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 6.900E+02, 3.811E+02, 1.053E+00, 4.385E+02, 1.425E+00, 4.860E+02, 2.600E+00, 5.621E+02, 6.070E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.000E+02, 3.811E+02, 1.064E+00, 4.385E+02, 1.417E+00, 4.860E+02, 2.685E+00, 5.621E+02, 5.476E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.100E+02, 3.811E+02, 1.075E+00, 4.385E+02, 1.410E+00, 4.860E+02, 2.770E+00, 5.621E+02, 4.885E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.200E+02, 3.811E+02, 1.086E+00, 4.385E+02, 1.403E+00, 4.860E+02, 2.855E+00, 5.621E+02, 4.293E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.300E+02, 3.811E+02, 1.097E+00, 4.385E+02, 1.396E+00, 4.860E+02, 2.940E+00, 5.621E+02, 3.701E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.400E+02, 3.811E+02, 1.108E+00, 4.385E+02, 1.389E+00, 4.860E+02, 3.024E+00, 5.621E+02, 3.108E-01, 6.503E+02, 1.181E+00, 7.598E+02, 1.067E+00
 7.500E+02, 3.811E+02, 1.119E+00, 4.385E+02, 1.379E+00, 4.860E+02, 3.077E+00, 5.621E+02, 2.515E-01, 6.503E+02, 1.184E+00, 7.598E+02, 1.067E+00
 7.600E+02, 3.811E+02, 1.130E+00, 4.385E+02, 1.352E+00, 4.860E+02, 3.093E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.194E+00, 7.598E+02, 1.067E+00
 7.700E+02, 3.811E+02, 1.141E+00, 4.385E+02, 1.324E+00, 4.860E+02, 3.109E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.205E+00, 7.598E+02, 1.067E+00
 7.800E+02, 3.811E+02, 1.152E+00, 4.385E+02, 1.295E+00, 4.860E+02, 3.125E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.215E+00, 7.598E+02, 1.067E+00
 7.900E+02, 3.811E+02, 1.163E+00, 4.385E+02, 1.266E+00, 4.860E+02, 3.141E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.226E+00, 7.598E+02, 1.067E+00
 8.000E+02, 3.811E+02, 1.174E+00, 4.385E+02, 1.237E+00, 4.860E+02, 3.157E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.237E+00, 7.598E+02, 5.304E-01
 8.100E+02, 3.811E+02, 1.185E+00, 4.385E+02, 1.209E+00, 4.860E+02, 3.173E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.247E+00, 7.598E+02, 0.000E+00
 8.200E+02, 3.811E+02, 1.196E+00, 4.385E+02, 1.180E+00, 4.860E+02, 3.189E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.258E+00, 7.598E+02, 0.000E+00
 8.300E+02, 3.811E+02, 1.207E+00, 4.385E+02, 1.151E+00, 4.860E+02, 3.204E+00, 5.621E+02, 2.236E-01, 6.503E+02, 6.829E-01, 7.598E+02, 0.000E+00
 8.400E+02, 3.811E+02, 1.218E+00, 4.385E+02, 1.122E+00, 4.860E+02, 3.223E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 8.500E+02, 3.811E+02, 1.228E+00, 4.385E+02, 1.094E+00, 4.860E+02, 3.241E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 8.600E+02, 3.811E+02, 1.239E+00, 4.385E+02, 1.031E+00, 4.860E+02, 3.259E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 8.700E+02, 3.811E+02, 1.250E+00, 4.385E+02, 8.669E-01, 4.860E+02, 3.278E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 8.800E+02, 3.811E+02, 1.261E+00, 4.385E+02, 8.381E-01, 4.860E+02, 3.296E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 8.900E+02, 3.811E+02, 1.272E+00, 4.385E+02, 8.104E-01, 4.860E+02, 3.314E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.000E+02, 3.811E+02, 1.283E+00, 4.385E+02, 7.880E-01, 4.860E+02, 3.332E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.100E+02, 3.811E+02, 1.294E+00, 4.385E+02, 7.665E-01, 4.860E+02, 3.350E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.200E+02, 3.811E+02, 1.305E+00, 4.385E+02, 7.449E-01, 4.860E+02, 3.359E+00, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.300E+02, 3.811E+02, 1.316E+00, 4.385E+02, 7.233E-01, 4.860E+02, 6.776E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.400E+02, 3.811E+02, 1.327E+00, 4.385E+02, 7.017E-01, 4.860E+02, 6.563E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.500E+02, 3.811E+02, 1.338E+00, 4.385E+02, 6.801E-01, 4.860E+02, 6.414E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.600E+02, 3.811E+02, 1.349E+00, 4.385E+02, 6.585E-01, 4.860E+02, 6.265E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.700E+02, 3.811E+02, 1.357E+00, 4.385E+02, 6.369E-01, 4.860E+02, 6.116E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.800E+02, 3.811E+02, 1.358E+00, 4.385E+02, 6.152E-01, 4.860E+02, 5.966E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 9.900E+02, 3.811E+02, 1.358E+00, 4.385E+02, 5.936E-01, 4.860E+02, 5.817E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.000E+03, 3.811E+02, 1.358E+00, 4.385E+02, 5.720E-01, 4.860E+02, 5.703E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.010E+03, 3.811E+02, 1.358E+00, 4.385E+02, 5.503E-01, 4.860E+02, 5.646E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.020E+03, 3.811E+02, 1.358E+00, 4.385E+02, 5.287E-01, 4.860E+02, 5.590E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.030E+03, 3.811E+02, 1.358E+00, 4.385E+02, 5.080E-01, 4.860E+02, 5.534E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.040E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.927E-01, 4.860E+02, 5.478E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.050E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.782E-01, 4.860E+02, 5.422E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.060E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.638E-01, 4.860E+02, 5.366E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.070E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.493E-01, 4.860E+02, 5.310E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.080E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.348E-01, 4.860E+02, 5.254E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.090E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.204E-01, 4.860E+02, 5.198E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.100E+03, 3.811E+02, 1.358E+00, 4.385E+02, 4.059E-01, 4.860E+02, 5.141E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.110E+03, 3.811E+02, 1.358E+00, 4.385E+02, 3.914E-01, 4.860E+02, 5.085E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.120E+03, 3.811E+02, 1.392E+00, 4.385E+02, 3.769E-01, 4.860E+02, 5.029E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.130E+03, 3.811E+02, 1.452E+00, 4.385E+02, 3.625E-01, 4.860E+02, 4.973E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.140E+03, 3.811E+02, 1.512E+00, 4.385E+02, 3.480E-01, 4.860E+02, 4.917E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.150E+03, 3.811E+02, 1.572E+00, 4.385E+02, 3.335E-01, 4.860E+02, 4.860E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.160E+03, 3.811E+02, 1.632E+00, 4.385E+02, 3.190E-01, 4.860E+02, 4.797E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.170E+03, 3.811E+02, 1.693E+00, 4.385E+02, 3.035E-01, 4.860E+02, 4.722E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.180E+03, 3.811E+02, 1.753E+00, 4.385E+02, 2.825E-01, 4.860E+02, 4.647E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.190E+03, 3.811E+02, 1.813E+00, 4.385E+02, 2.607E-01, 4.860E+02, 4.572E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.200E+03, 3.811E+02, 1.873E+00, 4.385E+02, 2.390E-01, 4.860E+02, 4.497E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.210E+03, 3.811E+02, 1.933E+00, 4.385E+02, 2.172E-01, 4.860E+02, 4.422E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.220E+03, 3.811E+02, 1.993E+00, 4.385E+02, 1.954E-01, 4.860E+02, 4.347E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.230E+03, 3.811E+02, 2.054E+00, 4.385E+02, 1.736E-01, 4.860E+02, 4.272E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.240E+03, 3.811E+02, 2.114E+00, 4.385E+02, 1.518E-01, 4.860E+02, 4.197E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.250E+03, 3.811E+02, 2.174E+00, 4.385E+02, 1.300E-01, 4.860E+02, 4.122E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.260E+03, 3.811E+02, 2.230E+00, 4.385E+02, 1.081E-01, 4.860E+02, 4.047E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.270E+03, 3.811E+02, 2.253E+00, 4.385E+02, 8.629E-02, 4.860E+02, 3.972E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.280E+03, 3.811E+02, 2.269E+00, 4.385E+02, 6.445E-02, 4.860E+02, 3.896E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.290E+03, 3.811E+02, 2.285E+00, 4.385E+02, 4.260E-02, 4.860E+02, 3.821E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
 1.300E+03, 3.811E+02, 2.302E+00, 4.385E+02, 2.073E-02, 4.860E+02, 3.746E-01, 5.621E+02, 2.236E-01, 6.503E+02, 1.375E-01, 7.598E+02, 0.000E+00
