s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p70_035","HRRPUA-CONE_12p70_035","WALL TEMPERATURE-CONE_12p70_050","HRRPUA-CONE_12p70_050","WALL TEMPERATURE-CONE_12p70_075","HRRPUA-CONE_12p70_075"
 1.080E+03, 5.411E+02, 1.503E+02, 6.317E+02, 1.467E+01, 7.439E+02, 0.000E+00
 1.090E+03, 5.411E+02, 1.473E+02, 6.317E+02, 1.425E+01, 7.439E+02, 0.000E+00
 1.100E+03, 5.411E+02, 1.441E+02, 6.317E+02, 1.383E+01, 7.439E+02, 0.000E+00
 1.110E+03, 5.411E+02, 1.372E+02, 6.317E+02, 1.340E+01, 7.439E+02, 0.000E+00
 1.120E+03, 5.411E+02, 1.278E+02, 6.317E+02, 1.295E+01, 7.439E+02, 0.000E+00
 1.130E+03, 5.411E+02, 1.210E+02, 6.317E+02, 1.251E+01, 7.439E+02, 0.000E+00
 1.140E+03, 5.411E+02, 1.154E+02, 6.317E+02, 1.214E+01, 7.439E+02, 0.000E+00
 1.150E+03, 5.411E+02, 1.099E+02, 6.317E+02, 1.180E+01, 7.439E+02, 0.000E+00
 1.160E+03, 5.411E+02, 1.054E+02, 6.317E+02, 1.147E+01, 7.439E+02, 0.000E+00
 1.170E+03, 5.411E+02, 1.011E+02, 6.317E+02, 1.113E+01, 7.439E+02, 0.000E+00
 1.180E+03, 5.411E+02, 9.606E+01, 6.317E+02, 1.078E+01, 7.439E+02, 0.000E+00
 1.190E+03, 5.411E+02, 8.986E+01, 6.317E+02, 1.043E+01, 7.439E+02, 0.000E+00
 1.200E+03, 5.411E+02, 8.265E+01, 6.317E+02, 1.017E+01, 7.439E+02, 0.000E+00
 1.210E+03, 5.411E+02, 7.582E+01, 6.317E+02, 1.011E+01, 7.439E+02, 0.000E+00
 1.220E+03, 5.411E+02, 6.999E+01, 6.317E+02, 1.005E+01, 7.439E+02, 0.000E+00
 1.230E+03, 5.411E+02, 6.507E+01, 6.317E+02, 9.998E+00, 7.439E+02, 0.000E+00
 1.240E+03, 5.411E+02, 6.119E+01, 6.317E+02, 9.943E+00, 7.439E+02, 0.000E+00
 1.250E+03, 5.411E+02, 5.853E+01, 6.317E+02, 9.887E+00, 7.439E+02, 0.000E+00
 1.260E+03, 5.411E+02, 5.738E+01, 6.317E+02, 9.831E+00, 7.439E+02, 0.000E+00
 1.270E+03, 5.411E+02, 5.646E+01, 6.317E+02, 9.775E+00, 7.439E+02, 0.000E+00
 1.280E+03, 5.411E+02, 5.442E+01, 6.317E+02, 9.718E+00, 7.439E+02, 0.000E+00
 1.290E+03, 5.411E+02, 5.188E+01, 6.317E+02, 9.662E+00, 7.439E+02, 0.000E+00
 1.300E+03, 5.411E+02, 4.962E+01, 6.317E+02, 9.605E+00, 7.439E+02, 0.000E+00
 1.310E+03, 5.411E+02, 5.023E+01, 6.317E+02, 9.549E+00, 7.439E+02, 0.000E+00
 1.320E+03, 5.411E+02, 5.167E+01, 6.317E+02, 9.428E+00, 7.439E+02, 0.000E+00
 1.330E+03, 5.411E+02, 5.253E+01, 6.317E+02, 9.179E+00, 7.439E+02, 0.000E+00
 1.340E+03, 5.411E+02, 5.243E+01, 6.317E+02, 8.924E+00, 7.439E+02, 0.000E+00
 1.350E+03, 5.411E+02, 5.231E+01, 6.317E+02, 8.666E+00, 7.439E+02, 0.000E+00
 1.360E+03, 5.411E+02, 5.218E+01, 6.317E+02, 8.406E+00, 7.439E+02, 0.000E+00
 1.370E+03, 5.411E+02, 5.205E+01, 6.317E+02, 8.143E+00, 7.439E+02, 0.000E+00
 1.380E+03, 5.411E+02, 5.193E+01, 6.317E+02, 7.878E+00, 7.439E+02, 0.000E+00
 1.390E+03, 5.411E+02, 5.180E+01, 6.317E+02, 7.611E+00, 7.439E+02, 0.000E+00
