s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_14p29_025,HRRPUA-CONE_14p29_025,WALL TEMPERATURE-CONE_14p29_050,HRRPUA-CONE_14p29_050,WALL TEMPERATURE-CONE_14p29_075,HRRPUA-CONE_14p29_075
 1.700E+02, 4.941E+02, 4.563E+00, 6.578E+02, 3.905E-01, 7.667E+02, 0.000E+00
 1.720E+02, 4.942E+02, 3.645E+00, 6.579E+02, 4.013E-01, 7.667E+02, 0.000E+00
 1.740E+02, 4.943E+02, 2.726E+00, 6.579E+02, 4.120E-01, 7.668E+02, 0.000E+00
 1.760E+02, 4.944E+02, 1.842E+00, 6.580E+02, 4.228E-01, 7.668E+02, 0.000E+00
 1.780E+02, 4.944E+02, 1.515E+00, 6.580E+02, 4.335E-01, 7.669E+02, 0.000E+00
 1.800E+02, 4.945E+02, 1.390E+00, 6.581E+02, 4.443E-01, 7.669E+02, 0.000E+00
 1.820E+02, 4.946E+02, 1.267E+00, 6.582E+02, 4.550E-01, 7.669E+02, 0.000E+00
 1.840E+02, 4.947E+02, 1.143E+00, 6.582E+02, 4.633E-01, 7.670E+02, 0.000E+00
 1.860E+02, 4.947E+02, 1.020E+00, 6.583E+02, 4.686E-01, 7.670E+02, 0.000E+00
 1.880E+02, 4.948E+02, 8.965E-01, 6.583E+02, 4.740E-01, 7.671E+02, 0.000E+00
 1.900E+02, 4.949E+02, 7.731E-01, 6.584E+02, 4.794E-01, 7.671E+02, 0.000E+00
 1.920E+02, 4.949E+02, 6.497E-01, 6.584E+02, 4.848E-01, 7.672E+02, 0.000E+00
 1.940E+02, 4.950E+02, 5.264E-01, 6.585E+02, 4.902E-01, 7.672E+02, 0.000E+00
 1.960E+02, 4.950E+02, 4.030E-01, 6.585E+02, 4.955E-01, 7.672E+02, 0.000E+00
 1.980E+02, 4.951E+02, 2.797E-01, 6.585E+02, 5.009E-01, 7.673E+02, 0.000E+00
 2.000E+02, 4.952E+02, 1.567E-01, 6.586E+02, 5.063E-01, 7.673E+02, 0.000E+00
 2.020E+02, 4.952E+02, 1.007E-01, 6.586E+02, 5.117E-01, 7.674E+02, 0.000E+00
 2.040E+02, 4.953E+02, 9.507E-02, 6.587E+02, 5.170E-01, 7.674E+02, 0.000E+00
 2.060E+02, 4.953E+02, 8.947E-02, 6.587E+02, 5.224E-01, 7.674E+02, 0.000E+00
 2.080E+02, 4.954E+02, 8.387E-02, 6.588E+02, 5.278E-01, 7.675E+02, 0.000E+00
 2.100E+02, 4.954E+02, 7.828E-02, 6.588E+02, 5.182E-01, 7.675E+02, 0.000E+00
 2.120E+02, 4.955E+02, 7.268E-02, 6.588E+02, 4.788E-01, 7.675E+02, 0.000E+00
 2.140E+02, 4.955E+02, 6.708E-02, 6.589E+02, 4.385E-01, 7.676E+02, 0.000E+00
 2.160E+02, 4.956E+02, 6.148E-02, 6.589E+02, 3.981E-01, 7.676E+02, 0.000E+00
 2.180E+02, 4.956E+02, 5.588E-02, 6.590E+02, 3.578E-01, 7.676E+02, 0.000E+00
 2.200E+02, 4.957E+02, 5.028E-02, 6.590E+02, 3.174E-01, 7.677E+02, 0.000E+00
 2.220E+02, 4.957E+02, 4.469E-02, 6.590E+02, 2.770E-01, 7.677E+02, 0.000E+00
 2.240E+02, 4.958E+02, 3.909E-02, 6.591E+02, 2.365E-01, 7.677E+02, 0.000E+00
 2.260E+02, 4.958E+02, 3.349E-02, 6.591E+02, 1.961E-01, 7.678E+02, 0.000E+00
 2.280E+02, 4.959E+02, 2.789E-02, 6.591E+02, 1.556E-01, 7.678E+02, 0.000E+00
 2.300E+02, 4.959E+02, 2.229E-02, 6.592E+02, 1.151E-01, 7.678E+02, 0.000E+00
 2.320E+02, 4.960E+02, 1.669E-02, 6.592E+02, 7.460E-02, 7.678E+02, 0.000E+00
 2.340E+02, 4.960E+02, 1.109E-02, 6.592E+02, 3.407E-02, 7.679E+02, 0.000E+00
 2.360E+02, 4.961E+02, 5.494E-03, 6.593E+02, 2.347E-03, 7.679E+02, 0.000E+00
 2.380E+02, 4.961E+02, 1.028E-03, 6.593E+02, 0.000E+00, 7.679E+02, 0.000E+00
 2.400E+02, 4.961E+02, 2.852E-03, 6.593E+02, 0.000E+00, 7.679E+02, 0.000E+00
 2.420E+02, 4.962E+02, 5.651E-03, 6.594E+02, 0.000E+00, 7.680E+02, 0.000E+00
 2.440E+02, 4.962E+02, 8.451E-03, 6.594E+02, 0.000E+00, 7.680E+02, 0.000E+00
 2.460E+02, 4.963E+02, 1.125E-02, 6.594E+02, 0.000E+00, 7.680E+02, 0.000E+00
 2.480E+02, 4.963E+02, 1.405E-02, 6.595E+02, 0.000E+00, 7.680E+02, 0.000E+00
 2.500E+02, 4.963E+02, 1.685E-02, 6.595E+02, 0.000E+00, 7.681E+02, 0.000E+00
 2.520E+02, 4.964E+02, 1.965E-02, 6.595E+02, 0.000E+00, 7.681E+02, 0.000E+00
 2.540E+02, 4.964E+02, 2.245E-02, 6.595E+02, 0.000E+00, 7.681E+02, 0.000E+00
 2.560E+02, 4.964E+02, 2.525E-02, 6.596E+02, 0.000E+00, 7.681E+02, 0.000E+00
 2.580E+02, 4.965E+02, 2.805E-02, 6.596E+02, 0.000E+00, 7.682E+02, 0.000E+00
 2.600E+02, 4.965E+02, 3.085E-02, 6.596E+02, 0.000E+00, 7.682E+02, 0.000E+00
 2.620E+02, 4.965E+02, 3.365E-02, 6.596E+02, 0.000E+00, 7.682E+02, 0.000E+00
 2.640E+02, 4.966E+02, 3.645E-02, 6.597E+02, 0.000E+00, 7.682E+02, 0.000E+00
 2.660E+02, 4.966E+02, 3.925E-02, 6.597E+02, 0.000E+00, 7.682E+02, 0.000E+00
 2.680E+02, 4.966E+02, 4.205E-02, 6.597E+02, 0.000E+00, 7.683E+02, 0.000E+00
 2.700E+02, 4.967E+02, 4.485E-02, 6.597E+02, 0.000E+00, 7.683E+02, 0.000E+00
 2.720E+02, 4.967E+02, 4.765E-02, 6.598E+02, 0.000E+00, 7.683E+02, 0.000E+00
 2.740E+02, 4.967E+02, 5.045E-02, 6.598E+02, 0.000E+00, 7.683E+02, 0.000E+00
 2.760E+02, 4.968E+02, 5.454E-02, 6.598E+02, 0.000E+00, 7.683E+02, 0.000E+00
 2.780E+02, 4.968E+02, 6.014E-02, 6.598E+02, 0.000E+00, 7.684E+02, 0.000E+00
 2.800E+02, 4.968E+02, 6.574E-02, 6.599E+02, 0.000E+00, 7.684E+02, 0.000E+00
 2.820E+02, 4.968E+02, 7.134E-02, 6.599E+02, 0.000E+00, 7.684E+02, 0.000E+00
 2.840E+02, 4.969E+02, 7.694E-02, 6.599E+02, 0.000E+00, 7.684E+02, 0.000E+00
 2.860E+02, 4.969E+02, 8.254E-02, 6.599E+02, 0.000E+00, 7.684E+02, 0.000E+00
 2.880E+02, 4.969E+02, 8.814E-02, 6.599E+02, 0.000E+00, 7.685E+02, 0.000E+00
 2.900E+02, 4.970E+02, 9.374E-02, 6.600E+02, 0.000E+00, 7.685E+02, 0.000E+00
 2.920E+02, 4.970E+02, 9.934E-02, 6.600E+02, 0.000E+00, 7.685E+02, 0.000E+00
 2.940E+02, 4.970E+02, 1.049E-01, 6.600E+02, 0.000E+00, 7.685E+02, 0.000E+00
 2.960E+02, 4.970E+02, 1.105E-01, 6.600E+02, 0.000E+00, 7.685E+02, 0.000E+00
 2.980E+02, 4.971E+02, 1.161E-01, 6.600E+02, 0.000E+00, 7.685E+02, 0.000E+00
 3.000E+02, 4.971E+02, 1.217E-01, 6.601E+02, 0.000E+00, 7.685E+02, 0.000E+00
 3.020E+02, 4.971E+02, 1.273E-01, 6.601E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.040E+02, 4.971E+02, 1.329E-01, 6.601E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.060E+02, 4.971E+02, 1.385E-01, 6.601E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.080E+02, 4.972E+02, 1.441E-01, 6.601E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.100E+02, 4.972E+02, 1.497E-01, 6.601E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.120E+02, 4.972E+02, 1.542E-01, 6.602E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.140E+02, 4.972E+02, 1.483E-01, 6.602E+02, 0.000E+00, 7.686E+02, 0.000E+00
 3.160E+02, 4.973E+02, 1.399E-01, 6.602E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.180E+02, 4.973E+02, 1.315E-01, 6.602E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.200E+02, 4.973E+02, 1.230E-01, 6.602E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.220E+02, 4.973E+02, 1.146E-01, 6.602E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.240E+02, 4.973E+02, 1.062E-01, 6.602E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.260E+02, 4.974E+02, 9.785E-02, 6.603E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.280E+02, 4.974E+02, 8.944E-02, 6.603E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.300E+02, 4.974E+02, 8.104E-02, 6.603E+02, 0.000E+00, 7.687E+02, 0.000E+00
 3.320E+02, 4.974E+02, 7.264E-02, 6.603E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.340E+02, 4.974E+02, 6.424E-02, 6.603E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.360E+02, 4.974E+02, 5.584E-02, 6.603E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.380E+02, 4.975E+02, 4.744E-02, 6.603E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.400E+02, 4.975E+02, 3.904E-02, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.420E+02, 4.975E+02, 3.064E-02, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.440E+02, 4.975E+02, 2.224E-02, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.460E+02, 4.975E+02, 1.384E-02, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.480E+02, 4.975E+02, 5.433E-03, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
