s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 1.780E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.790E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.810E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.820E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.830E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.840E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.850E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.860E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.870E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.880E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.890E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.910E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.920E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.930E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.940E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.950E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.960E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.970E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.980E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.990E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.010E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.020E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.030E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.040E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.060E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.070E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.080E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.090E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.110E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.120E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.130E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.140E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.150E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.160E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.170E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.180E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.190E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.210E+02, 0.000E+00, 0.000E+00, 0.000E+00
