s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
 9.000E+01, 6.577E+02, 1.660E+02, 5.016E+02, 1.163E+02, 6.346E+02, 1.055E+02, 7.056E+02, 1.624E+02, 6.367E+02, 1.387E+02
 1.000E+02, 6.710E+02, 1.706E+02, 5.112E+02, 1.014E+02, 6.431E+02, 1.148E+02, 7.133E+02, 1.802E+02, 6.452E+02, 1.254E+02
 1.100E+02, 6.823E+02, 1.752E+02, 5.196E+02, 9.522E+01, 6.503E+02, 1.264E+02, 7.199E+02, 1.942E+02, 6.523E+02, 1.216E+02
 1.200E+02, 6.922E+02, 1.777E+02, 5.270E+02, 8.490E+01, 6.568E+02, 1.446E+02, 7.258E+02, 1.973E+02, 6.583E+02, 1.231E+02
 1.300E+02, 7.006E+02, 1.975E+02, 5.337E+02, 8.352E+01, 6.626E+02, 1.563E+02, 7.311E+02, 2.030E+02, 6.634E+02, 1.252E+02
 1.400E+02, 7.080E+02, 1.980E+02, 5.398E+02, 8.467E+01, 6.678E+02, 1.584E+02, 7.359E+02, 2.037E+02, 6.680E+02, 1.303E+02
 1.500E+02, 7.144E+02, 2.125E+02, 5.454E+02, 8.633E+01, 6.726E+02, 1.570E+02, 7.403E+02, 2.073E+02, 6.720E+02, 1.324E+02
 1.600E+02, 7.199E+02, 2.009E+02, 5.505E+02, 9.150E+01, 6.771E+02, 1.570E+02, 7.444E+02, 2.114E+02, 6.756E+02, 1.396E+02
 1.700E+02, 7.247E+02, 1.938E+02, 5.553E+02, 9.303E+01, 6.812E+02, 1.637E+02, 7.482E+02, 2.049E+02, 6.788E+02, 1.475E+02
 1.800E+02, 7.289E+02, 1.884E+02, 5.598E+02, 1.011E+02, 6.851E+02, 1.715E+02, 7.518E+02, 2.121E+02, 6.818E+02, 1.536E+02
 1.900E+02, 7.326E+02, 1.925E+02, 5.640E+02, 1.064E+02, 6.888E+02, 1.789E+02, 7.551E+02, 2.293E+02, 6.845E+02, 1.615E+02
 2.000E+02, 7.357E+02, 1.774E+02, 5.680E+02, 1.110E+02, 6.922E+02, 1.806E+02, 7.583E+02, 2.406E+02, 6.870E+02, 1.655E+02
 2.100E+02, 7.385E+02, 1.377E+02, 5.718E+02, 1.162E+02, 6.954E+02, 1.958E+02, 7.612E+02, 2.332E+02, 6.894E+02, 1.618E+02
 2.200E+02, 7.409E+02, 1.127E+02, 5.754E+02, 1.167E+02, 6.985E+02, 1.861E+02, 7.640E+02, 2.461E+02, 6.916E+02, 1.651E+02
 2.300E+02, 7.430E+02, 8.613E+01, 5.787E+02, 1.137E+02, 7.014E+02, 1.764E+02, 7.667E+02, 2.563E+02, 6.937E+02, 1.704E+02
 2.400E+02, 7.449E+02, 7.459E+01, 5.820E+02, 1.200E+02, 7.042E+02, 1.677E+02, 7.692E+02, 2.438E+02, 6.956E+02, 1.697E+02
 2.500E+02, 7.465E+02, 7.077E+01, 5.850E+02, 1.199E+02, 7.068E+02, 1.605E+02, 7.716E+02, 2.387E+02, 6.975E+02, 1.699E+02
 2.600E+02, 7.479E+02, 6.634E+01, 5.879E+02, 1.190E+02, 7.092E+02, 1.624E+02, 7.739E+02, 2.333E+02, 6.993E+02, 1.721E+02
 2.700E+02, 7.491E+02, 5.620E+01, 5.907E+02, 1.203E+02, 7.116E+02, 1.653E+02, 7.760E+02, 2.294E+02, 7.010E+02, 1.775E+02
 2.800E+02, 7.502E+02, 3.868E+01, 5.933E+02, 1.237E+02, 7.138E+02, 1.723E+02, 7.780E+02, 2.252E+02, 7.026E+02, 1.781E+02
 2.900E+02, 7.511E+02, 3.187E+00, 5.958E+02, 1.249E+02, 7.159E+02, 1.664E+02, 7.800E+02, 2.357E+02, 7.042E+02, 1.721E+02
 3.000E+02, 7.520E+02, 3.005E-01, 5.982E+02, 1.201E+02, 7.180E+02, 1.600E+02, 7.818E+02, 2.323E+02, 7.057E+02, 1.732E+02
 3.100E+02, 7.527E+02, 0.000E+00, 6.005E+02, 1.202E+02, 7.199E+02, 1.593E+02, 7.835E+02, 2.201E+02, 7.071E+02, 1.764E+02
 3.200E+02, 7.533E+02, 0.000E+00, 6.027E+02, 1.227E+02, 7.217E+02, 1.656E+02, 7.852E+02, 2.007E+02, 7.085E+02, 1.811E+02
 3.300E+02, 7.539E+02, 0.000E+00, 6.047E+02, 1.277E+02, 7.234E+02, 1.657E+02, 7.868E+02, 1.630E+02, 7.098E+02, 1.928E+02
 3.400E+02, 7.543E+02, 0.000E+00, 6.067E+02, 1.358E+02, 7.251E+02, 1.638E+02, 7.883E+02, 1.441E+02, 7.111E+02, 1.936E+02
 3.500E+02, 7.548E+02, 0.000E+00, 6.086E+02, 1.372E+02, 7.267E+02, 1.582E+02, 7.897E+02, 1.270E+02, 7.124E+02, 2.034E+02
 3.600E+02, 7.551E+02, 0.000E+00, 6.104E+02, 1.450E+02, 7.282E+02, 1.582E+02, 7.911E+02, 1.057E+02, 7.136E+02, 1.987E+02
 3.700E+02, 7.555E+02, 0.000E+00, 6.121E+02, 1.373E+02, 7.296E+02, 1.629E+02, 7.923E+02, 9.597E+01, 7.148E+02, 1.940E+02
 3.800E+02, 7.557E+02, 0.000E+00, 6.138E+02, 1.389E+02, 7.310E+02, 1.693E+02, 7.936E+02, 9.192E+01, 7.159E+02, 2.013E+02
 3.900E+02, 7.560E+02, 0.000E+00, 6.154E+02, 1.445E+02, 7.322E+02, 1.638E+02, 7.947E+02, 8.792E+01, 7.170E+02, 2.081E+02
 4.000E+02, 7.562E+02, 0.000E+00, 6.169E+02, 1.512E+02, 7.335E+02, 1.581E+02, 7.958E+02, 8.837E+01, 7.181E+02, 2.156E+02
 4.100E+02, 7.564E+02, 0.000E+00, 6.183E+02, 1.532E+02, 7.347E+02, 1.524E+02, 7.969E+02, 8.495E+01, 7.192E+02, 2.130E+02
 4.200E+02, 7.566E+02, 0.000E+00, 6.197E+02, 1.476E+02, 7.358E+02, 1.366E+02, 7.979E+02, 7.264E+01, 7.202E+02, 2.064E+02
 4.300E+02, 7.567E+02, 0.000E+00, 6.210E+02, 1.424E+02, 7.368E+02, 1.221E+02, 7.989E+02, 6.970E+01, 7.212E+02, 2.009E+02
 4.400E+02, 7.569E+02, 0.000E+00, 6.222E+02, 1.427E+02, 7.379E+02, 1.117E+02, 7.998E+02, 6.625E+01, 7.221E+02, 1.990E+02
 4.500E+02, 7.570E+02, 0.000E+00, 6.234E+02, 1.383E+02, 7.388E+02, 9.534E+01, 8.006E+02, 1.223E+01, 7.231E+02, 1.951E+02
 4.600E+02, 7.571E+02, 0.000E+00, 6.246E+02, 1.380E+02, 7.398E+02, 8.789E+01, 8.015E+02, 0.000E+00, 7.240E+02, 1.952E+02
 4.700E+02, 7.572E+02, 0.000E+00, 6.257E+02, 1.353E+02, 7.406E+02, 8.398E+01, 8.022E+02, 0.000E+00, 7.249E+02, 1.917E+02
 4.800E+02, 7.572E+02, 0.000E+00, 6.267E+02, 1.357E+02, 7.415E+02, 8.361E+01, 8.030E+02, 0.000E+00, 7.257E+02, 1.918E+02
 4.900E+02, 7.573E+02, 0.000E+00, 6.277E+02, 1.321E+02, 7.423E+02, 8.289E+01, 8.037E+02, 0.000E+00, 7.266E+02, 1.863E+02
 5.000E+02, 7.574E+02, 0.000E+00, 6.287E+02, 1.342E+02, 7.430E+02, 8.400E+01, 8.044E+02, 0.000E+00, 7.274E+02, 1.872E+02
 5.100E+02, 7.574E+02, 0.000E+00, 6.296E+02, 1.400E+02, 7.438E+02, 8.148E+01, 8.050E+02, 0.000E+00, 7.282E+02, 1.937E+02
 5.200E+02, 7.575E+02, 0.000E+00, 6.305E+02, 1.397E+02, 7.445E+02, 7.354E+01, 8.056E+02, 0.000E+00, 7.290E+02, 1.944E+02
 5.300E+02, 7.575E+02, 0.000E+00, 6.313E+02, 1.364E+02, 7.451E+02, 6.757E+01, 8.062E+02, 0.000E+00, 7.297E+02, 1.902E+02
 5.400E+02, 7.576E+02, 0.000E+00, 6.321E+02, 1.300E+02, 7.458E+02, 6.351E+01, 8.068E+02, 0.000E+00, 7.305E+02, 1.841E+02
 5.500E+02, 7.576E+02, 0.000E+00, 6.329E+02, 1.289E+02, 7.464E+02, 6.017E+01, 8.073E+02, 0.000E+00, 7.312E+02, 1.795E+02
 5.600E+02, 7.576E+02, 0.000E+00, 6.336E+02, 1.204E+02, 7.469E+02, 5.662E+01, 8.078E+02, 0.000E+00, 7.319E+02, 1.755E+02
 5.700E+02, 7.576E+02, 0.000E+00, 6.343E+02, 1.028E+02, 7.475E+02, 2.279E+01, 8.083E+02, 0.000E+00, 7.326E+02, 1.561E+02
 5.800E+02, 7.577E+02, 0.000E+00, 6.350E+02, 9.373E+01, 7.480E+02, 1.393E+01, 8.088E+02, 0.000E+00, 7.333E+02, 1.386E+02
 5.900E+02, 7.577E+02, 0.000E+00, 6.356E+02, 8.385E+01, 7.485E+02, 5.055E+00, 8.092E+02, 0.000E+00, 7.339E+02, 1.294E+02
 6.000E+02, 7.577E+02, 0.000E+00, 6.363E+02, 8.182E+01, 7.490E+02, 0.000E+00, 8.096E+02, 0.000E+00, 7.345E+02, 1.208E+02
 6.100E+02, 7.577E+02, 0.000E+00, 6.368E+02, 7.452E+01, 7.494E+02, 0.000E+00, 8.100E+02, 0.000E+00, 7.352E+02, 1.160E+02
 6.200E+02, 7.577E+02, 0.000E+00, 6.374E+02, 6.595E+01, 7.499E+02, 0.000E+00, 8.104E+02, 0.000E+00, 7.358E+02, 1.064E+02
 6.300E+02, 7.578E+02, 0.000E+00, 6.379E+02, 5.861E+01, 7.503E+02, 0.000E+00, 8.107E+02, 0.000E+00, 7.364E+02, 9.506E+01
 6.400E+02, 7.578E+02, 0.000E+00, 6.385E+02, 5.522E+01, 7.507E+02, 0.000E+00, 8.111E+02, 0.000E+00, 7.369E+02, 8.667E+01
 6.500E+02, 7.578E+02, 0.000E+00, 6.390E+02, 5.264E+01, 7.510E+02, 0.000E+00, 8.114E+02, 0.000E+00, 7.375E+02, 8.115E+01
 6.600E+02, 7.578E+02, 0.000E+00, 6.394E+02, 5.106E+01, 7.514E+02, 0.000E+00, 8.117E+02, 0.000E+00, 7.380E+02, 7.719E+01
 6.700E+02, 7.578E+02, 0.000E+00, 6.399E+02, 5.071E+01, 7.517E+02, 0.000E+00, 8.120E+02, 0.000E+00, 7.386E+02, 7.440E+01
 6.800E+02, 7.578E+02, 0.000E+00, 6.403E+02, 4.871E+01, 7.521E+02, 0.000E+00, 8.123E+02, 0.000E+00, 7.391E+02, 7.377E+01
 6.900E+02, 7.578E+02, 0.000E+00, 6.407E+02, 4.837E+01, 7.524E+02, 0.000E+00, 8.126E+02, 0.000E+00, 7.396E+02, 7.094E+01
 7.000E+02, 7.578E+02, 0.000E+00, 6.411E+02, 4.900E+01, 7.527E+02, 0.000E+00, 8.128E+02, 0.000E+00, 7.401E+02, 7.049E+01
 7.100E+02, 7.578E+02, 0.000E+00, 6.415E+02, 4.842E+01, 7.529E+02, 0.000E+00, 8.131E+02, 0.000E+00, 7.406E+02, 7.119E+01
 7.200E+02, 7.578E+02, 0.000E+00, 6.419E+02, 4.783E+01, 7.532E+02, 0.000E+00, 8.133E+02, 0.000E+00, 7.410E+02, 7.045E+01
 7.300E+02, 7.578E+02, 0.000E+00, 6.422E+02, 4.336E+01, 7.535E+02, 0.000E+00, 8.135E+02, 0.000E+00, 7.415E+02, 6.938E+01
 7.400E+02, 7.578E+02, 0.000E+00, 6.425E+02, 3.998E+01, 7.537E+02, 0.000E+00, 8.137E+02, 0.000E+00, 7.419E+02, 6.239E+01
 7.500E+02, 7.579E+02, 0.000E+00, 6.429E+02, 3.859E+01, 7.540E+02, 0.000E+00, 8.139E+02, 0.000E+00, 7.424E+02, 5.834E+01
 7.600E+02, 7.579E+02, 0.000E+00, 6.432E+02, 3.853E+01, 7.542E+02, 0.000E+00, 8.141E+02, 0.000E+00, 7.428E+02, 5.658E+01
 7.700E+02, 7.579E+02, 0.000E+00, 6.435E+02, 3.648E+01, 7.544E+02, 0.000E+00, 8.143E+02, 0.000E+00, 7.432E+02, 5.572E+01
 7.800E+02, 7.579E+02, 0.000E+00, 6.437E+02, 3.662E+01, 7.546E+02, 0.000E+00, 8.145E+02, 0.000E+00, 7.436E+02, 5.298E+01
 7.900E+02, 7.579E+02, 0.000E+00, 6.440E+02, 1.366E+01, 7.548E+02, 0.000E+00, 8.147E+02, 0.000E+00, 7.440E+02, 5.317E+01
 8.000E+02, 7.579E+02, 0.000E+00, 6.443E+02, 0.000E+00, 7.550E+02, 0.000E+00, 8.148E+02, 0.000E+00, 7.444E+02, 2.223E+01
 8.100E+02, 7.579E+02, 0.000E+00, 6.445E+02, 0.000E+00, 7.552E+02, 0.000E+00, 8.150E+02, 0.000E+00, 7.448E+02, 2.795E+00
 8.200E+02, 7.579E+02, 0.000E+00, 6.447E+02, 0.000E+00, 7.553E+02, 0.000E+00, 8.151E+02, 0.000E+00, 7.451E+02, 2.782E+00
 8.300E+02, 7.579E+02, 0.000E+00, 6.450E+02, 0.000E+00, 7.555E+02, 0.000E+00, 8.152E+02, 0.000E+00, 7.455E+02, 2.787E+00
 8.400E+02, 7.579E+02, 0.000E+00, 6.452E+02, 0.000E+00, 7.556E+02, 0.000E+00, 8.154E+02, 0.000E+00, 7.458E+02, 2.135E+00
 8.500E+02, 7.579E+02, 0.000E+00, 6.454E+02, 0.000E+00, 7.558E+02, 0.000E+00, 8.155E+02, 0.000E+00, 7.462E+02, 0.000E+00
 8.600E+02, 7.579E+02, 0.000E+00, 6.456E+02, 0.000E+00, 7.559E+02, 0.000E+00, 8.156E+02, 0.000E+00, 7.465E+02, 0.000E+00
 8.700E+02, 7.579E+02, 0.000E+00, 6.458E+02, 0.000E+00, 7.561E+02, 0.000E+00, 8.157E+02, 0.000E+00, 7.468E+02, 0.000E+00
 8.800E+02, 7.579E+02, 0.000E+00, 6.460E+02, 0.000E+00, 7.562E+02, 0.000E+00, 8.158E+02, 0.000E+00, 7.471E+02, 0.000E+00
 8.900E+02, 7.579E+02, 0.000E+00, 6.461E+02, 0.000E+00, 7.563E+02, 0.000E+00, 8.159E+02, 0.000E+00, 7.474E+02, 0.000E+00
 9.000E+02, 7.579E+02, 0.000E+00, 6.463E+02, 0.000E+00, 7.564E+02, 0.000E+00, 8.160E+02, 0.000E+00, 7.477E+02, 0.000E+00
 9.100E+02, 7.579E+02, 0.000E+00, 6.464E+02, 0.000E+00, 7.565E+02, 0.000E+00, 8.161E+02, 0.000E+00, 7.480E+02, 0.000E+00
 9.200E+02, 7.579E+02, 0.000E+00, 6.466E+02, 0.000E+00, 7.566E+02, 0.000E+00, 8.162E+02, 0.000E+00, 7.483E+02, 0.000E+00
 9.300E+02, 7.579E+02, 0.000E+00, 6.467E+02, 0.000E+00, 7.567E+02, 0.000E+00, 8.163E+02, 0.000E+00, 7.486E+02, 0.000E+00
 9.400E+02, 7.579E+02, 0.000E+00, 6.469E+02, 0.000E+00, 7.568E+02, 0.000E+00, 8.164E+02, 0.000E+00, 7.489E+02, 0.000E+00
 9.500E+02, 7.579E+02, 0.000E+00, 6.470E+02, 0.000E+00, 7.569E+02, 0.000E+00, 8.165E+02, 0.000E+00, 7.491E+02, 0.000E+00
 9.600E+02, 7.579E+02, 0.000E+00, 6.471E+02, 0.000E+00, 7.570E+02, 0.000E+00, 8.165E+02, 0.000E+00, 7.494E+02, 0.000E+00
 9.700E+02, 7.579E+02, 0.000E+00, 6.473E+02, 0.000E+00, 7.571E+02, 0.000E+00, 8.166E+02, 0.000E+00, 7.496E+02, 0.000E+00
 9.800E+02, 7.579E+02, 0.000E+00, 6.474E+02, 0.000E+00, 7.572E+02, 0.000E+00, 8.167E+02, 0.000E+00, 7.499E+02, 0.000E+00
 9.900E+02, 7.579E+02, 0.000E+00, 6.475E+02, 0.000E+00, 7.573E+02, 0.000E+00, 8.167E+02, 0.000E+00, 7.501E+02, 0.000E+00
 1.000E+03, 7.579E+02, 0.000E+00, 6.476E+02, 0.000E+00, 7.573E+02, 0.000E+00, 8.168E+02, 0.000E+00, 7.504E+02, 0.000E+00
 1.010E+03, 7.579E+02, 0.000E+00, 6.477E+02, 0.000E+00, 7.574E+02, 0.000E+00, 8.169E+02, 0.000E+00, 7.506E+02, 0.000E+00
 1.020E+03, 7.579E+02, 0.000E+00, 6.478E+02, 0.000E+00, 7.575E+02, 0.000E+00, 8.169E+02, 0.000E+00, 7.508E+02, 0.000E+00
 1.030E+03, 7.579E+02, 0.000E+00, 6.479E+02, 0.000E+00, 7.575E+02, 0.000E+00, 8.170E+02, 0.000E+00, 7.510E+02, 0.000E+00
 1.040E+03, 7.579E+02, 0.000E+00, 6.480E+02, 0.000E+00, 7.576E+02, 0.000E+00, 8.170E+02, 0.000E+00, 7.512E+02, 0.000E+00
 1.050E+03, 7.579E+02, 0.000E+00, 6.481E+02, 0.000E+00, 7.576E+02, 0.000E+00, 8.171E+02, 0.000E+00, 7.515E+02, 0.000E+00
 1.060E+03, 7.579E+02, 0.000E+00, 6.482E+02, 0.000E+00, 7.577E+02, 0.000E+00, 8.171E+02, 0.000E+00, 7.517E+02, 0.000E+00
 1.070E+03, 7.579E+02, 0.000E+00, 6.482E+02, 0.000E+00, 7.578E+02, 0.000E+00, 8.172E+02, 0.000E+00, 7.519E+02, 0.000E+00
 1.080E+03, 7.579E+02, 0.000E+00, 6.483E+02, 0.000E+00, 7.578E+02, 0.000E+00, 8.172E+02, 0.000E+00, 7.520E+02, 0.000E+00
 1.090E+03, 7.579E+02, 0.000E+00, 6.484E+02, 0.000E+00, 7.579E+02, 0.000E+00, 8.172E+02, 0.000E+00, 7.522E+02, 0.000E+00
 1.100E+03, 7.579E+02, 0.000E+00, 6.485E+02, 0.000E+00, 7.579E+02, 0.000E+00, 8.173E+02, 0.000E+00, 7.524E+02, 0.000E+00
 1.110E+03, 7.579E+02, 0.000E+00, 6.485E+02, 0.000E+00, 7.579E+02, 0.000E+00, 8.173E+02, 0.000E+00, 7.526E+02, 0.000E+00
 1.120E+03, 7.579E+02, 0.000E+00, 6.486E+02, 0.000E+00, 7.580E+02, 0.000E+00, 8.173E+02, 0.000E+00, 7.528E+02, 0.000E+00
 1.130E+03, 7.579E+02, 0.000E+00, 6.486E+02, 0.000E+00, 7.580E+02, 0.000E+00, 8.174E+02, 0.000E+00, 7.529E+02, 0.000E+00
 1.140E+03, 7.579E+02, 0.000E+00, 6.487E+02, 0.000E+00, 7.581E+02, 0.000E+00, 8.174E+02, 0.000E+00, 7.531E+02, 0.000E+00
 1.150E+03, 7.579E+02, 0.000E+00, 6.488E+02, 0.000E+00, 7.581E+02, 0.000E+00, 8.174E+02, 0.000E+00, 7.533E+02, 0.000E+00
 1.160E+03, 7.579E+02, 0.000E+00, 6.488E+02, 0.000E+00, 7.581E+02, 0.000E+00, 8.175E+02, 0.000E+00, 7.534E+02, 0.000E+00
 1.170E+03, 7.579E+02, 0.000E+00, 6.489E+02, 0.000E+00, 7.582E+02, 0.000E+00, 8.175E+02, 0.000E+00, 7.536E+02, 0.000E+00
 1.180E+03, 7.579E+02, 0.000E+00, 6.489E+02, 0.000E+00, 7.582E+02, 0.000E+00, 8.175E+02, 0.000E+00, 7.537E+02, 0.000E+00
 1.190E+03, 7.579E+02, 0.000E+00, 6.490E+02, 0.000E+00, 7.582E+02, 0.000E+00, 8.175E+02, 0.000E+00, 7.539E+02, 0.000E+00
 1.200E+03, 7.579E+02, 0.000E+00, 6.490E+02, 0.000E+00, 7.583E+02, 0.000E+00, 8.176E+02, 0.000E+00, 7.540E+02, 0.000E+00
 1.210E+03, 7.579E+02, 0.000E+00, 6.491E+02, 0.000E+00, 7.583E+02, 0.000E+00, 8.176E+02, 0.000E+00, 7.542E+02, 0.000E+00
 1.220E+03, 7.579E+02, 0.000E+00, 6.491E+02, 0.000E+00, 7.583E+02, 0.000E+00, 8.176E+02, 0.000E+00, 7.543E+02, 0.000E+00
 1.230E+03, 7.579E+02, 0.000E+00, 6.491E+02, 0.000E+00, 7.583E+02, 0.000E+00, 8.176E+02, 0.000E+00, 7.544E+02, 0.000E+00
 1.240E+03, 7.579E+02, 0.000E+00, 6.492E+02, 0.000E+00, 7.584E+02, 0.000E+00, 8.176E+02, 0.000E+00, 7.546E+02, 0.000E+00
 1.250E+03, 7.579E+02, 0.000E+00, 6.492E+02, 0.000E+00, 7.584E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.547E+02, 0.000E+00
 1.260E+03, 7.579E+02, 0.000E+00, 6.492E+02, 0.000E+00, 7.584E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.548E+02, 0.000E+00
 1.270E+03, 7.579E+02, 0.000E+00, 6.493E+02, 0.000E+00, 7.584E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.549E+02, 0.000E+00
 1.280E+03, 7.579E+02, 0.000E+00, 6.493E+02, 0.000E+00, 7.584E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.551E+02, 0.000E+00
 1.290E+03, 7.579E+02, 0.000E+00, 6.493E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.552E+02, 0.000E+00
 1.300E+03, 7.579E+02, 0.000E+00, 6.494E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.177E+02, 0.000E+00, 7.553E+02, 0.000E+00
 1.310E+03, 7.579E+02, 0.000E+00, 6.494E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.554E+02, 0.000E+00
 1.320E+03, 7.579E+02, 0.000E+00, 6.494E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.555E+02, 0.000E+00
 1.330E+03, 7.579E+02, 0.000E+00, 6.494E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.556E+02, 0.000E+00
 1.340E+03, 7.579E+02, 0.000E+00, 6.495E+02, 0.000E+00, 7.585E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.557E+02, 0.000E+00
 1.350E+03, 7.579E+02, 0.000E+00, 6.495E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.558E+02, 0.000E+00
 1.360E+03, 7.579E+02, 0.000E+00, 6.495E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.559E+02, 0.000E+00
 1.370E+03, 7.579E+02, 0.000E+00, 6.495E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.560E+02, 0.000E+00
 1.380E+03, 7.579E+02, 0.000E+00, 6.496E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.561E+02, 0.000E+00
 1.390E+03, 7.579E+02, 0.000E+00, 6.496E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.178E+02, 0.000E+00, 7.562E+02, 0.000E+00
 1.400E+03, 7.579E+02, 0.000E+00, 6.496E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.563E+02, 0.000E+00
 1.410E+03, 7.579E+02, 0.000E+00, 6.496E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.564E+02, 0.000E+00
 1.420E+03, 7.579E+02, 0.000E+00, 6.496E+02, 0.000E+00, 7.586E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.564E+02, 0.000E+00
 1.430E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.565E+02, 0.000E+00
 1.440E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.566E+02, 0.000E+00
 1.450E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.567E+02, 0.000E+00
 1.460E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.568E+02, 0.000E+00
 1.470E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.568E+02, 0.000E+00
 1.480E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.569E+02, 0.000E+00
 1.490E+03, 7.579E+02, 0.000E+00, 6.497E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.570E+02, 0.000E+00
 1.500E+03, 7.579E+02, 0.000E+00, 6.498E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.570E+02, 0.000E+00
 1.510E+03, 7.579E+02, 0.000E+00, 6.498E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.571E+02, 0.000E+00
 1.520E+03, 7.579E+02, 0.000E+00, 6.498E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.572E+02, 0.000E+00
 1.530E+03, 7.579E+02, 0.000E+00, 6.498E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.572E+02, 0.000E+00
 1.540E+03, 7.579E+02, 0.000E+00, 6.498E+02, 0.000E+00, 7.587E+02, 0.000E+00, 8.179E+02, 0.000E+00, 7.573E+02, 0.000E+00
