s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 7.900E+02, 5.634E+02, 6.696E+01, 6.516E+02, 2.039E+01, 7.610E+02, 0.000E+00
 8.000E+02, 5.634E+02, 6.295E+01, 6.516E+02, 1.976E+01, 7.610E+02, 0.000E+00
 8.100E+02, 5.634E+02, 5.917E+01, 6.516E+02, 1.923E+01, 7.610E+02, 0.000E+00
 8.200E+02, 5.634E+02, 5.598E+01, 6.516E+02, 1.879E+01, 7.610E+02, 0.000E+00
 8.300E+02, 5.634E+02, 5.282E+01, 6.516E+02, 1.836E+01, 7.610E+02, 0.000E+00
 8.400E+02, 5.634E+02, 4.967E+01, 6.516E+02, 1.792E+01, 7.610E+02, 0.000E+00
 8.500E+02, 5.634E+02, 4.652E+01, 6.516E+02, 1.748E+01, 7.610E+02, 0.000E+00
 8.600E+02, 5.634E+02, 4.355E+01, 6.516E+02, 1.705E+01, 7.610E+02, 0.000E+00
 8.700E+02, 5.634E+02, 4.131E+01, 6.516E+02, 1.661E+01, 7.610E+02, 0.000E+00
 8.800E+02, 5.634E+02, 3.916E+01, 6.516E+02, 1.617E+01, 7.610E+02, 0.000E+00
 8.900E+02, 5.634E+02, 3.700E+01, 6.516E+02, 7.916E+00, 7.610E+02, 0.000E+00
 9.000E+02, 5.634E+02, 3.485E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.100E+02, 5.634E+02, 3.270E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.200E+02, 5.634E+02, 3.055E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.300E+02, 5.634E+02, 2.845E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.400E+02, 5.634E+02, 2.684E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.500E+02, 5.634E+02, 2.535E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
