cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
 9.5000000E+000, 1.2238438E+003, 1.2449919E+003, 1.8153080E+000, 2.2400409E+002, 2.5407812E+002, 5.8023706E-001, 3.2811522E-002, 6.2549366E-002, 4.7539093E-002, 6.8657185E-002, 1.7540059E-001, 4.7539093E-002, 5.6550315E-001, 0.0000000E+000, 5.0000000E+000, 2.8367342E+001, 1.7526393E+001, 1.2385321E+001, 8.1768546E-001, 2.6276297E+001, 1.0106992E+000, 5.0000000E+000, 1.1901062E+003, 6.9888108E+002, 6.1403221E+002, 5.3524088E+002, 4.7810392E+002, 2.0495804E+002, 2.0789983E+002, 1.7735154E+002, 1.3692267E+002, 1.0488625E+002
 1.0500000E+001, 1.2301902E+003, 1.2510926E+003, 1.9725181E+000, 2.2899865E+002, 2.6139957E+002, 6.3486992E-001, 3.7518881E-002, 6.2805403E-002, 4.4391499E-002, 5.9334115E-002, 1.7282968E-001, 4.4391499E-002, 5.7872892E-001, 0.0000000E+000, 6.0000000E+000, 2.8367342E+001, 1.7526393E+001, 1.3761468E+001, 8.2460569E-001, 2.7401380E+001, 9.4658480E-001, 6.0000000E+000, 1.1318596E+003, 6.5420350E+002, 5.8885406E+002, 5.1762942E+002, 4.6781642E+002, 2.2927611E+002, 1.9987287E+002, 1.7329202E+002, 1.3291875E+002, 1.0325915E+002
 1.1500000E+001, 1.2307680E+003, 1.2509917E+003, 2.1122893E+000, 2.3715439E+002, 2.7215854E+002, 6.8916611E-001, 4.2675213E-002, 6.2674615E-002, 4.1232176E-002, 5.1275836E-002, 1.6947088E-001, 4.1232176E-002, 5.9143910E-001, 0.0000000E+000, 7.0000000E+000, 2.8849223E+001, 1.7019094E+001, 1.5137615E+001, 8.4579091E-001, 2.8526525E+001, 8.5164910E-001, 7.0000000E+000, 1.0614362E+003, 6.1040145E+002, 5.6126379E+002, 5.0138433E+002, 4.5620930E+002, 2.5351145E+002, 1.8697407E+002, 1.6943801E+002, 1.2925368E+002, 1.0118052E+002
 1.2500000E+001, 1.2250218E+003, 1.2440509E+003, 2.2342393E+000, 2.4781448E+002, 2.8549430E+002, 7.4799358E-001, 4.8277341E-002, 6.2126097E-002, 3.8136017E-002, 4.4399226E-002, 1.6533704E-001, 3.8136017E-002, 6.0358826E-001, 0.0000000E+000, 8.0000000E+000, 2.7442135E+001, 1.4977603E+001, 1.6513761E+001, 8.5366877E-001, 2.9651726E+001, 8.0124624E-001, 8.0000000E+000, 9.7913384E+002, 5.6609954E+002, 5.2904846E+002, 4.8525714E+002, 4.4101188E+002, 2.6924119E+002, 1.7562514E+002, 1.6115806E+002, 1.2649771E+002, 9.4154748E+001
 1.3500000E+001, 1.2148288E+003, 1.2321874E+003, 2.3403044E+000, 2.5987405E+002, 3.0041321E+002, 8.0154055E-001, 5.4029141E-002, 6.1301265E-002, 3.5173719E-002, 3.8547913E-002, 1.6078080E-001, 3.5173719E-002, 6.1499344E-001, 0.0000000E+000, 9.0000000E+000, 2.5878767E+001, 1.3637793E+001, 1.7889908E+001, 8.5767517E-001, 3.0776976E+001, 7.2645188E-001, 9.0000000E+000, 8.9481575E+002, 5.1872622E+002, 4.9988993E+002, 4.7042091E+002, 4.2724609E+002, 2.7636184E+002, 1.5742563E+002, 1.5016513E+002, 1.2613802E+002, 8.8326278E+001
 1.4500000E+001, 1.2005060E+003, 1.2158314E+003, 2.4305432E+000, 2.7301674E+002, 3.1630906E+002, 8.5625923E-001, 5.9838792E-002, 6.0205159E-002, 3.2457705E-002, 3.3567287E-002, 1.5592414E-001, 3.2457705E-002, 6.2554921E-001, 0.0000000E+000, 1.0000000E+001, 2.3999111E+001, 1.2218237E+001, 1.9266055E+001, 8.5458679E-001, 3.1902269E+001, 6.8600919E-001, 1.0000000E+001, 8.2095391E+002, 4.7260851E+002, 4.7259499E+002, 4.4989813E+002, 4.1276935E+002, 2.7895619E+002, 1.3900700E+002, 1.3904338E+002, 1.2017943E+002, 8.1942475E+001
 1.5500000E+001, 1.1833513E+003, 1.1964337E+003, 2.5063859E+000, 2.8755957E+002, 3.3332186E+002, 9.1025437E-001, 6.5627322E-002, 5.8934171E-002, 2.9920513E-002, 2.9329058E-002, 1.5089298E-001, 2.9920513E-002, 6.3537544E-001, 0.0000000E+000, 1.1000000E+001, 2.3999111E+001, 1.2218237E+001, 2.0642202E+001, 8.4923901E-001, 3.3027602E+001, 6.2593977E-001, 1.1000000E+001, 8.2095391E+002, 4.7260851E+002, 4.7259499E+002, 4.4989813E+002, 4.1276935E+002, 2.7895619E+002, 1.3900700E+002, 1.3904338E+002, 1.2017943E+002, 8.1942475E+001
 1.6500000E+001, 1.1639417E+003, 1.1746852E+003, 2.5687626E+000, 3.0123730E+002, 3.4900668E+002, 9.6511091E-001, 7.1399795E-002, 5.7518538E-002, 2.7536499E-002, 2.5672337E-002, 1.4572283E-001, 2.7536499E-002, 6.4461350E-001, 0.0000000E+000, 1.2000000E+001, 1.9785756E+001, 9.2643831E+000, 2.2018349E+001, 8.3611438E-001, 3.4152970E+001, 5.7299116E-001, 1.2000000E+001, 6.0983383E+002, 4.0640327E+002, 4.1431891E+002, 4.0837271E+002, 3.8804309E+002, 2.5458613E+002, 1.1727903E+002, 1.1093626E+002, 1.0433771E+002, 7.6095020E+001
 1.7500000E+001, 1.1436936E+003, 1.1521863E+003, 2.6205534E+000, 3.1405798E+002, 3.6336325E+002, 1.0186562E+000, 7.6990890E-002, 5.6053289E-002, 2.5312872E-002, 2.2528181E-002, 1.4061061E-001, 2.5312872E-002, 6.5319128E-001, 0.0000000E+000, 1.3000000E+001, 1.7510059E+001, 7.8051444E+000, 2.3394495E+001, 8.2976132E-001, 3.5278371E+001, 5.4309427E-001, 1.3000000E+001, 4.9345716E+002, 3.8075827E+002, 3.8545675E+002, 3.9003973E+002, 3.7750930E+002, 2.1337499E+002, 1.0811380E+002, 9.5991570E+001, 9.7039241E+001, 7.3325806E+001
 1.8500000E+001, 1.1221781E+003, 1.1285385E+003, 2.6640346E+000, 3.2619270E+002, 3.7649044E+002, 1.0672826E+000, 8.2533911E-002, 5.4502558E-002, 2.3218169E-002, 1.9724303E-002, 1.3545430E-001, 2.3218169E-002, 6.6134859E-001, 0.0000000E+000, 1.4000000E+001, 1.7510059E+001, 7.8051444E+000, 2.4770642E+001, 8.2393773E-001, 3.6403800E+001, 4.9990918E-001, 1.4000000E+001, 4.9345716E+002, 3.8075827E+002, 3.8545675E+002, 3.9003973E+002, 3.7750930E+002, 2.1337499E+002, 1.0811380E+002, 9.5991570E+001, 9.7039241E+001, 7.3325806E+001
 1.9500000E+001, 1.0993290E+003, 1.1037103E+003, 2.7021069E+000, 3.3691248E+002, 3.8765798E+002, 1.1083061E+000, 8.8038220E-002, 5.2865033E-002, 2.1239523E-002, 1.7290256E-002, 1.3023842E-001, 2.1239523E-002, 6.6908902E-001, 0.0000000E+000, 1.5000000E+001, 3.9849869E+000, 3.0171852E+000, 2.6146789E+001, 8.1349813E-001, 3.7529257E+001, 4.7592183E-001, 1.5000000E+001, 3.2417816E+002, 3.3872216E+002, 3.4474700E+002, 3.5774825E+002, 3.5699077E+002, 5.3934938E+001, 7.7272635E+001, 7.4769388E+001, 7.5013386E+001, 6.7158631E+001
 2.0500000E+001, 1.0754454E+003, 1.0778866E+003, 2.7311679E+000, 3.4684185E+002, 3.9786622E+002, 1.1515443E+000, 9.3474926E-002, 5.1168207E-002, 1.9368336E-002, 1.5167841E-002, 1.2500951E-001, 1.9368336E-002, 6.7644284E-001, 0.0000000E+000,NaN,NaN,NaN, 2.7522936E+001, 8.0843429E-001, 3.8654737E+001, 4.3993966E-001, 1.6000000E+001, 3.0115249E+002, 3.2347981E+002, 3.3158837E+002, 3.4274594E+002, 3.4590376E+002, 1.5681503E+001, 6.1580840E+001, 6.8880918E+001, 6.8601023E+001, 6.3460935E+001
 2.1500000E+001, 1.0513535E+003, 1.0519163E+003, 2.7595177E+000, 3.5507440E+002, 4.0617435E+002, 1.1843302E+000, 9.8720852E-002, 4.9460368E-002, 1.7643526E-002, 1.3336814E-002, 1.1990249E-001, 1.7643526E-002, 6.8329243E-001, 0.0000000E+000,NaN,NaN,NaN, 2.8899083E+001, 8.0318253E-001, 3.9780240E+001, 4.1973547E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2500000E+001, 1.0275452E+003, 1.0263182E+003, 2.7848309E+000, 3.6128534E+002, 4.1225651E+002, 1.2102717E+000, 1.0373301E-001, 4.7771101E-002, 1.6064406E-002, 1.1749527E-002, 1.1497585E-001, 1.6064406E-002, 6.8964170E-001, 0.0000000E+000,NaN,NaN,NaN, 3.0275229E+001, 7.9144574E-001, 4.0905762E+001, 3.8943467E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.3500000E+001, 1.0034304E+003, 1.0004180E+003, 2.8040318E+000, 3.6573112E+002, 4.1647282E+002, 1.2345856E+000, 1.0856450E-001, 4.6068019E-002, 1.4640590E-002, 1.0385933E-002, 1.1017462E-001, 1.4640590E-002, 6.9552575E-001, 0.0000000E+000,NaN,NaN,NaN, 3.1651376E+001, 7.8464875E-001, 4.2031304E+001, 3.7226136E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.4500000E+001, 9.7962544E+002, 9.7486382E+002, 2.8184808E+000, 3.6916810E+002, 4.1964738E+002, 1.2569024E+000, 1.1318373E-001, 4.4382583E-002, 1.3362061E-002, 9.1733048E-003, 1.0555188E-001, 1.3362061E-002, 7.0098437E-001, 0.0000000E+000,NaN,NaN,NaN, 3.3027523E+001, 7.6864884E-001, 4.3156863E+001, 3.4650614E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5500000E+001, 9.5659604E+002, 9.5020791E+002, 2.8184808E+000, 3.7183226E+002, 4.2190519E+002, 1.2569024E+000, 1.1756684E-001, 4.2749460E-002, 1.2197778E-002, 8.0769524E-003, 1.0114618E-001, 1.2197778E-002, 7.0606501E-001, 0.0000000E+000,NaN,NaN,NaN, 3.4403670E+001, 7.5957007E-001, 4.4282437E+001, 3.2306455E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.6500000E+001, 9.3461659E+002, 9.2688084E+002, 2.8368400E+000, 3.7322275E+002, 4.2264395E+002, 1.2956102E+000, 1.2172572E-001, 4.1199601E-002, 1.1085798E-002, 7.0746408E-003, 9.6957956E-002, 1.1085798E-002, 7.1087049E-001, 0.0000000E+000,NaN,NaN,NaN, 3.5779817E+001, 7.4278849E-001, 4.5408027E+001, 3.0972064E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7500000E+001, 9.1381887E+002, 9.0497295E+002, 2.8440823E+000, 3.7375800E+002, 4.2239701E+002, 1.3091000E+000, 1.2563148E-001, 3.9749813E-002, 1.0019185E-002, 6.1926185E-003, 9.3013769E-002, 1.0019185E-002, 7.1537395E-001, 0.0000000E+000,NaN,NaN,NaN, 3.7155963E+001, 7.2498868E-001, 4.6533630E+001, 2.8954046E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.8500000E+001, 8.9361491E+002, 8.8379790E+002, 2.8504488E+000, 3.7318952E+002, 4.2101512E+002, 1.3195741E+000, 1.2937400E-001, 3.8342892E-002, 9.0197369E-003, 5.3906792E-003, 8.9221279E-002, 9.0197369E-003, 7.1963168E-001, 0.0000000E+000,NaN,NaN,NaN, 3.8532110E+001, 7.1556031E-001, 4.7659246E+001, 2.7797625E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9500000E+001, 8.7343472E+002, 8.6274297E+002, 2.8541210E+000, 3.7138775E+002, 4.1827825E+002, 1.3286501E+000, 1.3299316E-001, 3.6943607E-002, 8.1024349E-003, 4.7103716E-003, 8.5524908E-002, 8.1024349E-003, 7.2362309E-001, 0.0000000E+000,NaN,NaN,NaN, 3.9908257E+001, 7.0592961E-001, 4.8784873E+001, 2.6049247E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.0500000E+001, 8.5319653E+002, 8.4172616E+002, 2.8555719E+000, 3.6918309E+002, 4.1501828E+002, 1.3354969E+000, 1.3651799E-001, 3.5546521E-002, 7.2606837E-003, 4.0923800E-003, 8.1907506E-002, 7.2606837E-003, 7.2741424E-001, 0.0000000E+000,NaN,NaN,NaN, 4.1284404E+001, 6.8676848E-001, 4.9910512E+001, 2.5041367E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1500000E+001, 8.3377777E+002, 8.2166462E+002, 2.8522278E+000, 3.6648051E+002, 4.1124044E+002, 1.3428015E+000, 1.3978360E-001, 3.4221931E-002, 6.5201857E-003, 3.5895782E-003, 7.8534516E-002, 6.5201857E-003, 7.3083000E-001, 0.0000000E+000,NaN,NaN,NaN, 4.2660550E+001, 6.7740738E-001, 5.1036160E+001, 2.3518165E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2500000E+001, 8.1490668E+002, 8.0227392E+002, 2.8485607E+000, 3.6325836E+002, 4.0692855E+002, 1.3502516E+000, 1.4291628E-001, 3.2932802E-002, 5.8359328E-003, 3.1396160E-003, 7.5287744E-002, 5.8359328E-003, 7.3405169E-001, 0.0000000E+000,NaN,NaN,NaN, 4.4036697E+001, 6.5884116E-001, 5.2161819E+001, 2.2112921E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3500000E+001, 7.9690536E+002, 7.8395428E+002, 2.8429187E+000, 3.5963612E+002, 4.0218600E+002, 1.3548674E+000, 1.4585367E-001, 3.1713864E-002, 5.2085157E-003, 2.7365583E-003, 7.2237060E-002, 5.2085157E-003, 7.3704182E-001, 0.0000000E+000,NaN,NaN,NaN, 4.5412844E+001, 6.4938917E-001, 5.3287486E+001, 2.1301761E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4500000E+001, 7.7875872E+002, 7.6559513E+002, 2.8330419E+000, 3.5485191E+002, 3.9620242E+002, 1.3619333E+000, 1.4869366E-001, 3.0519585E-002, 4.6224201E-003, 2.3831366E-003, 6.9276284E-002, 4.6224201E-003, 7.3988249E-001, 0.0000000E+000,NaN,NaN,NaN, 4.6788991E+001, 6.3969244E-001, 5.4413162E+001, 2.0068065E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.5500000E+001, 7.6199903E+002, 7.4878922E+002, 2.8330419E+000, 3.4997455E+002, 3.9012407E+002, 1.3619333E+000, 1.5135937E-001, 2.9377258E-002, 4.1101378E-003, 2.0513047E-003, 6.6492133E-002, 4.1101378E-003, 7.4249966E-001, 0.0000000E+000,NaN,NaN,NaN, 4.8165138E+001, 6.1951519E-001, 5.5538846E+001, 1.9352205E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.6500000E+001, 7.4513114E+002, 7.3189768E+002, 2.8273114E+000, 3.4397743E+002, 3.8279906E+002, 1.3654520E+000, 1.5395243E-001, 2.8249524E-002, 3.6358320E-003, 1.7544853E-003, 6.3774562E-002, 3.6358320E-003, 7.4499734E-001, 0.0000000E+000,NaN,NaN,NaN, 4.9541284E+001, 6.0912469E-001, 5.6664538E+001, 1.8264552E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E+001, 7.2887314E+002, 7.1578102E+002, 2.8058811E+000, 3.3777564E+002, 3.7530062E+002, 1.3711461E+000, 1.5637846E-001, 2.7181960E-002, 3.2120447E-003, 1.4872199E-003, 6.1226903E-002, 3.2120447E-003, 7.4730137E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0917431E+001, 5.9862233E-001, 5.7790236E+001, 1.7630264E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.8500000E+001, 7.1338948E+002, 7.0051343E+002, 2.8058811E+000, 3.3126318E+002, 3.6750871E+002, 1.3711461E+000, 1.5865989E-001, 2.6171986E-002, 2.8197687E-003, 1.2576942E-003, 5.8825156E-002, 2.8197687E-003, 7.4944573E-001, 0.0000000E+000,NaN,NaN,NaN, 5.2293578E+001, 5.7753560E-001, 5.8915941E+001, 1.6667577E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9500000E+001, 6.9851047E+002, 6.8591287E+002, 2.7949155E+000, 3.2419557E+002, 3.5912474E+002, 1.3742322E+000, 1.6079484E-001, 2.5204819E-002, 2.4882047E-003, 1.0602510E-003, 5.6568781E-002, 2.4882047E-003, 7.5139490E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3669725E+001, 5.6705945E-001, 6.0036656E+001, 1.6103450E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.0500000E+001, 6.8403539E+002, 6.7181957E+002, 2.7795608E+000, 3.1662224E+002, 3.5019797E+002, 1.3694914E+000, 1.6282971E-001, 2.4267246E-002, 2.1955389E-003, 8.9429303E-004, 5.4409827E-002, 2.1955389E-003, 7.5320784E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5045872E+001, 5.4644947E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1500000E+001, 6.7010211E+002, 6.5829021E+002, 2.7795608E+000, 3.0900531E+002, 3.4130319E+002, 1.3694914E+000, 1.6474768E-001, 2.3373642E-002, 1.9358732E-003, 7.4450850E-004, 5.2371176E-002, 1.9358732E-003, 7.5489125E-001, 0.0000000E+000,NaN,NaN,NaN, 5.6422018E+001, 5.3635308E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2500000E+001, 6.5644615E+002, 6.4503655E+002, 2.7745752E+000, 3.0091355E+002, 3.3200734E+002, 1.3588301E+000, 1.6661197E-001, 2.2500341E-002, 1.6871464E-003, 6.2175936E-004, 5.0383745E-002, 1.6871464E-003, 7.5650789E-001, 0.0000000E+000,NaN,NaN,NaN, 5.7798165E+001, 5.2638852E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3500000E+001, 6.4334976E+002, 6.3235998E+002, 2.7679482E+000, 2.9287133E+002, 3.2289678E+002, 1.3477213E+000, 1.6837354E-001, 2.1665880E-002, 1.4662955E-003, 5.1689434E-004, 4.8501310E-002, 1.4662955E-003, 7.5800978E-001, 0.0000000E+000,NaN,NaN,NaN, 5.9174312E+001, 5.0675566E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4500000E+001, 6.3106852E+002, 6.2050798E+002, 2.7616102E+000, 2.8478717E+002, 3.1384749E+002, 1.3366623E+000, 1.6999047E-001, 2.0891250E-002, 1.2752086E-003, 4.3907099E-004, 4.6767566E-002, 1.2752086E-003, 7.5936123E-001, 0.0000000E+000,NaN,NaN,NaN, 6.0550459E+001, 4.9704143E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5500000E+001, 6.1976203E+002, 6.0964526E+002, 2.7532490E+000, 2.7743439E+002, 3.0557530E+002, 1.3265282E+000, 1.7143224E-001, 2.0186870E-002, 1.1284652E-003, 3.7248682E-004, 4.5217791E-002, 1.1284652E-003, 7.6053368E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1926606E+001, 4.8738323E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6500000E+001, 6.0902699E+002, 5.9938103E+002, 2.7431019E+000, 2.7029187E+002, 2.9747471E+002, 1.3180840E+000, 1.7277922E-001, 1.9522167E-002, 1.0005984E-003, 3.2270380E-004, 4.3765771E-002, 1.0005984E-003, 7.6160894E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3302752E+001, 4.6825386E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7500000E+001, 5.9879791E+002, 5.8957267E+002, 2.7236728E+000, 2.6363504E+002, 2.8994537E+002, 1.2960315E+000, 1.7406111E-001, 1.8884651E-002, 8.8829089E-004, 2.7218854E-004, 4.2383381E-002, 8.8829089E-004, 7.6262209E-001, 0.0000000E+000,NaN,NaN,NaN, 6.4678899E+001, 4.5880456E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
