s,kg/m2/s,kW/m2,kW/m2,C,C
 8.6001008E+001, 1.7880039E-002, 2.2681313E+001, 1.8757446E-002, 6.3120119E+001, 6.5617770E+001
 8.8000976E+001, 1.7962606E-002, 2.2671820E+001, 1.8749595E-002, 6.3095682E+001, 6.5581896E+001
 9.0001033E+001, 1.8223432E-002, 2.3032113E+001, 1.9047557E-002, 6.3137747E+001, 6.5630197E+001
 9.2000385E+001, 1.8738574E-002, 2.3689463E+001, 1.9591186E-002, 6.3194279E+001, 6.5680356E+001
 9.4001079E+001, 1.8468224E-002, 2.3220839E+001, 1.9203634E-002, 6.3180819E+001, 6.5583967E+001
 9.6001547E+001, 1.7240510E-002, 2.1793890E+001, 1.8023547E-002, 6.2978945E+001, 6.5526586E+001
 9.8000096E+001, 1.8240439E-002, 2.2992553E+001, 1.9014842E-002, 6.3163358E+001, 6.5603094E+001
 1.0000182E+002, 1.8074096E-002, 2.2745323E+001, 1.8810382E-002, 6.3121905E+001, 6.5627457E+001
 1.0200047E+002, 1.8683938E-002, 2.3482330E+001, 1.9419887E-002, 6.3236881E+001, 6.5617382E+001
 1.0400093E+002, 1.8567452E-002, 2.3223256E+001, 1.9205633E-002, 6.3206046E+001, 6.5628805E+001
 1.0600083E+002, 1.8573520E-002, 2.3384819E+001, 1.9339246E-002, 6.3153996E+001, 6.5667946E+001
 1.0800088E+002, 1.8184269E-002, 2.2746968E+001, 1.8811742E-002, 6.3092544E+001, 6.5576559E+001
 1.1000050E+002, 1.8926613E-002, 2.3777737E+001, 1.9664189E-002, 6.3266122E+001, 6.5617114E+001
 1.1200136E+002, 1.9418633E-002, 2.4208698E+001, 2.0020594E-002, 6.3370639E+001, 6.5629665E+001
 1.1400100E+002, 1.9071668E-002, 2.3796553E+001, 1.9679749E-002, 6.3235153E+001, 6.5644358E+001
 1.1600100E+002, 1.8628167E-002, 2.3290912E+001, 1.9261584E-002, 6.3213879E+001, 6.5582955E+001
 1.1800115E+002, 1.8130462E-002, 2.2686572E+001, 1.8761795E-002, 6.3123229E+001, 6.5572365E+001
 1.2000000E+002, 1.8782895E-002, 2.3469275E+001, 1.9409091E-002, 6.3231167E+001, 6.5601856E+001
