cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.8391414E+001, 1.0569643E+003, 1.0443180E+003, 3.2225267E+000, 1.6431381E+002, 3.0529772E+002, 1.1390352E+000, 7.5646901E-002, 5.1075918E-002, 2.0518806E-002, 1.4418177E-002, 1.0523958E-001, 1.8116753E-002, 7.0574132E-001, 2.1431028E-002, 3.7454605E-003
 2.9396465E+001, 1.0475836E+003, 1.0328213E+003, 3.2576733E+000, 1.7041248E+002, 3.1186139E+002, 1.1720275E+000, 7.9211598E-002, 5.0331959E-002, 1.9425308E-002, 1.3301816E-002, 1.0255677E-001, 1.7146551E-002, 7.0921260E-001, 2.0289560E-002, 3.5704740E-003
 3.0401515E+001, 1.0376897E+003, 1.0209796E+003, 3.2910218E+000, 1.7649347E+002, 3.1794056E+002, 1.2001667E+000, 8.2723663E-002, 4.9557215E-002, 1.8382356E-002, 1.2272776E-002, 9.9908648E-002, 1.6221353E-002, 7.1253202E-001, 1.9200454E-002, 3.4026727E-003
 3.1406566E+001, 1.0272224E+003, 1.0087217E+003, 3.3209490E+000, 1.8197829E+002, 3.2305375E+002, 1.2283312E+000, 8.6199525E-002, 4.8740254E-002, 1.7393427E-002, 1.1322943E-002, 9.7284914E-002, 1.5344276E-002, 7.1570547E-001, 1.8168200E-002, 3.2425613E-003
 3.2411616E+001, 1.0160572E+003, 9.9570797E+002, 3.3475917E+000, 1.8688930E+002, 3.2757066E+002, 1.2542263E+000, 8.9695264E-002, 4.7860116E-002, 1.6450427E-002, 1.0437677E-002, 9.4644594E-002, 1.4508177E-002, 7.1877237E-001, 1.7184042E-002, 3.0886246E-003
 3.3416667E+001, 1.0046620E+003, 9.8234120E+002, 3.3719979E+000, 1.9135030E+002, 3.3196431E+002, 1.2767446E+000, 9.3156793E-002, 4.6944271E-002, 1.5556139E-002, 9.6106293E-003, 9.2029548E-002, 1.3715464E-002, 7.2171671E-001, 1.6250723E-002, 2.9416179E-003
 3.4421717E+001, 9.9336921E+002, 9.6900490E+002, 3.3926523E+000, 1.9555255E+002, 3.3639969E+002, 1.2973072E+000, 9.6585414E-002, 4.6007231E-002, 1.4696163E-002, 8.8319797E-003, 8.9437689E-002, 1.2953301E-002, 7.2456668E-001, 1.5351976E-002, 2.7993637E-003
 3.5426768E+001, 9.8183477E+002, 9.5552526E+002, 3.4110227E+000, 1.9948282E+002, 3.4023421E+002, 1.3163416E+000, 9.9924906E-002, 4.5071620E-002, 1.3877859E-002, 8.1087459E-003, 8.6911179E-002, 1.2228177E-002, 7.2728939E-001, 1.4496426E-002, 2.6633967E-003
 3.6431818E+001, 9.7065873E+002, 9.4251209E+002, 3.4246141E+000, 2.0330368E+002, 3.4401587E+002, 1.3371195E+000, 1.0318795E-001, 4.4154651E-002, 1.3079023E-002, 7.4201143E-003, 8.4439757E-002, 1.1520312E-002, 7.2993568E-001, 1.3660858E-002, 2.5305617E-003
 3.7436869E+001, 9.5951084E+002, 9.2966840E+002, 3.4347321E+000, 2.0714314E+002, 3.4768583E+002, 1.3608788E+000, 1.0637685E-001, 4.3255770E-002, 1.2297242E-002, 6.7806339E-003, 8.2018922E-002, 1.0827564E-002, 7.3249921E-001, 1.2842646E-002, 2.4004611E-003
 3.8441919E+001, 9.4825327E+002, 9.1690756E+002, 3.4449390E+000, 2.1061756E+002, 3.5079524E+002, 1.3790181E+000, 1.0947215E-001, 4.2365013E-002, 1.1553605E-002, 6.1895028E-003, 7.9667238E-002, 1.0168702E-002, 7.3494429E-001, 1.2064692E-002, 2.2762986E-003
 3.9446970E+001, 9.3664535E+002, 9.0396944E+002, 3.4552065E+000, 2.1367782E+002, 3.5311739E+002, 1.3929363E+000, 1.1252900E-001, 4.1459855E-002, 1.0841603E-002, 5.6366832E-003, 7.7343992E-002, 9.5379945E-003, 7.3730443E-001, 1.1319887E-002, 2.1567619E-003
 4.0452020E+001, 9.2459603E+002, 8.9072783E+002, 3.4643591E+000, 2.1636238E+002, 3.5462965E+002, 1.4042558E+000, 1.1556667E-001, 4.0541795E-002, 1.0149027E-002, 5.1217955E-003, 7.5032594E-002, 8.9245848E-003, 7.3960337E-001, 1.0594708E-002, 2.0399068E-003
 4.1457071E+001, 9.1238432E+002, 8.7731502E+002, 3.4710772E+000, 2.1880406E+002, 3.5578428E+002, 1.4142396E+000, 1.1854414E-001, 3.9621530E-002, 9.4873929E-003, 4.6481324E-003, 7.2765251E-002, 8.3386852E-003, 7.4180960E-001, 9.9024986E-003, 1.9278240E-003
 4.2462121E+001, 9.0048821E+002, 8.6428730E+002, 3.4737584E+000, 2.2106199E+002, 3.5684687E+002, 1.4270528E+000, 1.2136821E-001, 3.8742986E-002, 8.8638932E-003, 4.2140357E-003, 7.0613050E-002, 7.7865818E-003, 7.4388539E-001, 9.2500479E-003, 1.8220463E-003
 4.3467172E+001, 8.8887858E+002, 8.5172942E+002, 3.4741911E+000, 2.2294992E+002, 3.5745604E+002, 1.4410336E+000, 1.2403097E-001, 3.7904892E-002, 8.2842457E-003, 3.8193195E-003, 6.8582985E-002, 7.2733606E-003, 7.4582023E-001, 8.6437409E-003, 1.7234710E-003
 4.4472222E+001, 8.7746115E+002, 8.3941520E+002, 3.4758300E+000, 2.2455166E+002, 3.5787145E+002, 1.4493353E+000, 1.2657346E-001, 3.7095252E-002, 7.7381157E-003, 3.4618782E-003, 6.6642869E-002, 6.7898640E-003, 7.4764309E-001, 8.0722758E-003, 1.6303120E-003
 4.5477273E+001, 8.6617162E+002, 8.2741067E+002, 3.4769226E+000, 2.2590732E+002, 3.5789742E+002, 1.4549791E+000, 1.2901266E-001, 3.6311027E-002, 7.2197814E-003, 3.1363322E-003, 6.4779835E-002, 6.3310134E-003, 7.4937129E-001, 7.5295616E-003, 1.5416375E-003
 4.6482323E+001, 8.5463377E+002, 8.1539583E+002, 3.4765385E+000, 2.2696435E+002, 3.5724451E+002, 1.4595357E+000, 1.3141303E-001, 3.5520719E-002, 6.7264399E-003, 2.8349991E-003, 6.2946534E-002, 5.8943931E-003, 7.5103416E-001, 7.0130880E-003, 1.4566835E-003
 4.7487374E+001, 8.4302467E+002, 8.0350933E+002, 3.4753732E+000, 2.2778675E+002, 3.5616978E+002, 1.4633201E+000, 1.3375503E-001, 3.4734665E-002, 6.2584305E-003, 2.5576704E-003, 6.1157631E-002, 5.4802801E-003, 7.5262539E-001, 6.5230793E-003, 1.3756191E-003
 4.8492424E+001, 8.3146246E+002, 7.9184233E+002, 3.4725323E+000, 2.2835957E+002, 3.5463754E+002, 1.4661333E+000, 1.3603853E-001, 3.3960827E-002, 5.8078960E-003, 2.3026727E-003, 5.9412031E-002, 5.0816707E-003, 7.5415742E-001, 6.0510295E-003, 1.2973104E-003
 4.9497475E+001, 8.1992314E+002, 7.8019472E+002, 3.4690428E+000, 2.2868976E+002, 3.5288075E+002, 1.4668203E+000, 1.3829431E-001, 3.3183364E-002, 5.3741213E-003, 2.0679160E-003, 5.7686975E-002, 4.6979676E-003, 7.5564225E-001, 5.5963262E-003, 1.2214727E-003
 5.0502525E+001, 8.0844738E+002, 7.6861917E+002, 3.4519580E+000, 2.2871829E+002, 3.5095763E+002, 1.4743970E+000, 1.4051809E-001, 3.2408063E-002, 4.9540412E-003, 1.8495503E-003, 5.5985717E-002, 4.3264323E-003, 7.5708574E-001, 5.1558084E-003, 1.1477189E-003
 5.1507576E+001, 7.9669394E+002, 7.5688951E+002, 3.4402480E+000, 2.2816114E+002, 3.4832432E+002, 1.4791431E+000, 1.4273967E-001, 3.1623902E-002, 4.5418845E-003, 1.6512952E-003, 5.4284351E-002, 3.9619612E-003, 7.5850264E-001, 4.7237612E-003, 1.0750778E-003
 5.2512626E+001, 7.8471899E+002, 7.4510825E+002, 3.4293712E+000, 2.2700697E+002, 3.4488341E+002, 1.4796902E+000, 1.4492156E-001, 3.0833996E-002, 4.1550329E-003, 1.4757149E-003, 5.2613666E-002, 3.6199973E-003, 7.5985462E-001, 4.3188239E-003, 1.0063039E-003
 5.3517677E+001, 7.7245789E+002, 7.3317265E+002, 3.4163198E+000, 2.2510134E+002, 3.4059766E+002, 1.4794976E+000, 1.4706603E-001, 3.0024899E-002, 3.8062505E-003, 1.3202850E-003, 5.0974760E-002, 3.3119189E-003, 7.6112585E-001, 3.9546071E-003, 9.4320515E-004
 5.4522727E+001, 7.6016095E+002, 7.2120224E+002, 3.4008316E+000, 2.2264553E+002, 3.3602005E+002, 1.4799273E+000, 1.4920676E-001, 2.9197526E-002, 3.4765093E-003, 1.1794228E-003, 4.9339859E-002, 3.0208099E-003, 7.6235805E-001, 3.6103084E-003, 8.8276584E-004
