cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
 1.5500000E+001, 1.0678900E+003, 1.0720633E+003, 2.1719673E+000, 1.6080984E+002, 2.4709783E+002, 6.4085264E-001, 4.3165017E-002, 6.1633257E-002, 6.2394935E-002, 6.0779324E-002, 1.0403453E-001, 3.8970284E-002, 6.1334537E-001, 6.0780852E-002, 6.5488466E-003, 5.8333333E+001, 2.6524731E-001, 8.1800956E+001, 3.4387670E-001
 1.6500000E+001, 1.0691261E+003, 1.0711207E+003, 2.2696382E+000, 1.6309215E+002, 2.5573850E+002, 6.7872080E-001, 4.6856902E-002, 6.1590809E-002, 5.9870258E-002, 5.5505952E-002, 1.0245677E-001, 3.7392381E-002, 6.2128088E-001, 5.8536576E-002, 6.3083106E-003, 6.2222222E+001, 2.5800346E-001, 8.6037093E+001, 3.0170231E-001
 1.7500000E+001, 1.0698497E+003, 1.0696258E+003, 2.3603378E+000, 1.6574263E+002, 2.6446137E+002, 7.1485825E-001, 5.0423830E-002, 6.1491159E-002, 5.7442856E-002, 5.0767684E-002, 1.0087962E-001, 3.5875299E-002, 6.2868049E-001, 5.6351147E-002, 6.0740434E-003, 6.6111111E+001, 2.5289142E-001, 9.0273257E+001, 2.7170254E-001
 1.8500000E+001, 1.0706278E+003, 1.0682556E+003, 2.4449074E+000, 1.6900103E+002, 2.7353317E+002, 7.4887527E-001, 5.3808103E-002, 6.1408625E-002, 5.5065480E-002, 4.6542780E-002, 9.9348262E-002, 3.4389476E-002, 6.3559266E-001, 5.4173298E-002, 5.8405861E-003, 7.0000000E+001, 2.4988444E-001, 9.4509447E+001, 2.4545846E-001
 1.9500000E+001, 1.0709083E+003, 1.0666305E+003, 2.5241678E+000, 1.7265078E+002, 2.8206109E+002, 7.8053243E-001, 5.7027414E-002, 6.1330239E-002, 5.2754690E-002, 4.2758796E-002, 9.7860263E-002, 3.2945268E-002, 6.4205652E-001, 5.2029730E-002, 5.6107946E-003, 7.3888889E+001, 2.4765838E-001, 9.8745657E+001, 2.1830232E-001
 2.0500000E+001, 1.0703377E+003, 1.0643504E+003, 2.5986136E+000, 1.7691062E+002, 2.9028525E+002, 8.1044473E-001, 6.0239507E-002, 6.1211611E-002, 5.0443048E-002, 3.9296967E-002, 9.6330179E-002, 3.1500545E-002, 6.4828940E-001, 4.9856224E-002, 5.3777618E-003, 7.7777778E+001, 2.4859215E-001, 1.0298189E+002, 1.9805525E-001
 2.1500000E+001, 1.0693054E+003, 1.0617227E+003, 2.6691866E+000, 1.8133890E+002, 2.9807667E+002, 8.3702402E-001, 6.3443865E-002, 6.1033424E-002, 4.8163953E-002, 3.6136084E-002, 9.4759410E-002, 3.0076189E-002, 6.5426834E-001, 4.7694573E-002, 5.1459593E-003, 8.1666667E+001, 2.4407696E-001, 1.0721813E+002, 1.8014572E-001
 2.2500000E+001, 1.0670827E+003, 1.0577444E+003, 2.7345787E+000, 1.8601157E+002, 3.0579209E+002, 8.6145206E-001, 6.6756908E-002, 6.0721844E-002, 4.5917385E-002, 3.3239911E-002, 9.3074345E-002, 2.8672220E-002, 6.6006070E-001, 4.5549397E-002, 4.9158433E-003, 8.5555556E+001, 2.3765519E-001, 1.1145439E+002, 1.6232021E-001
 2.3500000E+001, 1.0632685E+003, 1.0520254E+003, 2.7945189E+000, 1.9083899E+002, 3.1320613E+002, 8.8507358E-001, 7.0243935E-002, 6.0202999E-002, 4.3744537E-002, 3.0619685E-002, 9.1226562E-002, 2.7314416E-002, 6.6563505E-001, 4.3465215E-002, 4.6921473E-003, 8.9444444E+001, 2.3020288E-001, 1.1569067E+002, 1.4400862E-001
 2.4500000E+001, 1.0580332E+003, 1.0446525E+003, 2.8482877E+000, 1.9595697E+002, 3.2083395E+002, 9.0979064E-001, 7.3837868E-002, 5.9524300E-002, 4.1653515E-002, 2.8223258E-002, 8.9268641E-002, 2.6007822E-002, 6.7099541E-001, 4.1451433E-002, 4.4759086E-003, 9.3333333E+001, 2.2277898E-001, 1.1992695E+002, 1.3182217E-001
 2.5500000E+001, 1.0515133E+003, 1.0359595E+003, 2.8954158E+000, 2.0129155E+002, 3.2823755E+002, 9.3666636E-001, 7.7437387E-002, 5.8763432E-002, 3.9636080E-002, 2.6027062E-002, 8.7273198E-002, 2.4747255E-002, 6.7613174E-001, 3.9500113E-002, 4.2663178E-003, 9.7222222E+001, 2.1590882E-001, 1.2416325E+002, 1.2029113E-001
 2.6500000E+001, 1.0435744E+003, 1.0259741E+003, 2.9368627E+000, 2.0657508E+002, 3.3471750E+002, 9.6386531E-001, 8.1030422E-002, 5.7928112E-002, 3.7697507E-002, 2.4009192E-002, 8.5251287E-002, 2.3536010E-002, 6.8104934E-001, 3.7618301E-002, 4.0641356E-003, 1.0111111E+002, 2.0967646E-001, 1.2839955E+002, 1.1037838E-001
 2.7500000E+001, 1.0347626E+003, 1.0152083E+003, 2.9733802E+000, 2.1212043E+002, 3.4088688E+002, 9.8963126E-001, 8.4495086E-002, 5.7106396E-002, 3.5837063E-002, 2.2135419E-002, 8.3290560E-002, 2.2373589E-002, 6.8572992E-001, 3.5804403E-002, 3.8692403E-003, 1.0500000E+002, 2.0674725E-001, 1.3263586E+002, 1.0144028E-001
 2.8500000E+001, 1.0256503E+003, 1.0042984E+003, 3.0059769E+000, 2.1766150E+002, 3.4669195E+002, 1.0137449E+000, 8.7895123E-002, 5.6287910E-002, 3.4006216E-002, 2.0406280E-002, 8.1350708E-002, 2.1229665E-002, 6.9025090E-001, 3.4009787E-002, 3.6764088E-003, 1.0888889E+002, 2.0104241E-001, 1.3687218E+002, 9.3631000E-002
 2.9500000E+001, 1.0162402E+003, 9.9333986E+002, 3.0356071E+000, 2.2280934E+002, 3.5167060E+002, 1.0378199E+000, 9.1213034E-002, 5.5482409E-002, 3.2211546E-002, 1.8805212E-002, 7.9445605E-002, 2.0108346E-002, 6.9461035E-001, 3.2246271E-002, 3.4869148E-003, 1.1277778E+002, 1.9526020E-001, 1.4110851E+002, 8.6226758E-002
 3.0500000E+001, 1.0068977E+003, 9.8246182E+002, 3.0631879E+000, 2.2719884E+002, 3.5613587E+002, 1.0613769E+000, 9.4312783E-002, 5.4729218E-002, 3.0524994E-002, 1.7361338E-002, 7.7658795E-002, 1.9054578E-002, 6.9865740E-001, 3.0585395E-002, 3.3084510E-003, 1.1666667E+002, 1.8923232E-001, 1.4534485E+002, 7.9498152E-002
 3.1500000E+001, 9.9827308E+002, 9.7224291E+002, 3.0895505E+000, 2.3127095E+002, 3.6067149E+002, 1.0826887E+000, 9.7178293E-002, 5.4043602E-002, 2.8953463E-002, 1.6010916E-002, 7.6010055E-002, 1.8072669E-002, 7.0242387E-001, 2.9036732E-002, 3.1420548E-003, 1.2055556E+002, 1.8295556E-001, 1.4958119E+002, 7.4171177E-002
 3.2500000E+001, 9.8993032E+002, 9.6242512E+002, 3.1149070E+000, 2.3539651E+002, 3.6503081E+002, 1.1011663E+000, 9.9892699E-002, 5.3390630E-002, 2.7462411E-002, 1.4767878E-002, 7.4443122E-002, 1.7141045E-002, 7.0596869E-001, 2.7563979E-002, 2.9838128E-003, 1.2444444E+002, 1.7650064E-001, 1.5381753E+002, 6.8510393E-002
 3.3500000E+001, 9.8201544E+002, 9.5322512E+002, 3.1387188E+000, 2.3969278E+002, 3.6931715E+002, 1.1188051E+000, 1.0248476E-001, 5.2770727E-002, 2.6030495E-002, 1.3593818E-002, 7.2945415E-002, 1.6246366E-002, 7.0935366E-001, 2.6147322E-002, 2.8316020E-003, 1.2833333E+002, 1.6997013E-001, 1.5805388E+002, 6.3327693E-002
 3.4500000E+001, 9.7302096E+002, 9.4299448E+002, 3.1604309E+000, 2.4389272E+002, 3.7303380E+002, 1.1365804E+000, 1.0508530E-001, 5.2096537E-002, 2.4648591E-002, 1.2522525E-002, 7.1423903E-002, 1.5382969E-002, 7.1261176E-001, 2.4774194E-002, 2.6840258E-003, 1.3222222E+002, 1.6346520E-001, 1.6229024E+002, 5.7429225E-002
 3.5500000E+001, 9.6461914E+002, 9.3344246E+002, 3.1825356E+000, 2.4733321E+002, 3.7630101E+002, 1.1530279E+000, 1.0769237E-001, 5.1388345E-002, 2.3295699E-002, 1.1520792E-002, 6.9886033E-002, 1.4537719E-002, 7.1578976E-001, 2.3426498E-002, 2.5391559E-003, 1.3611111E+002, 1.5708226E-001, 1.6652660E+002, 5.3185313E-002
 3.6500000E+001, 9.5650334E+002, 9.2419086E+002, 3.2057800E+000, 2.5018634E+002, 3.7925056E+002, 1.1658113E+000, 1.1015303E-001, 5.0718597E-002, 2.2014853E-002, 1.0603461E-002, 6.8430657E-002, 1.3737480E-002, 7.1877371E-001, 2.2151113E-002, 2.4020579E-003, 1.4000000E+002, 1.5091810E-001, 1.7076296E+002, 4.9274021E-002
 3.7500000E+001, 9.4859690E+002, 9.1529432E+002, 3.2267055E+000, 2.5251886E+002, 3.8159352E+002, 1.1774388E+000, 1.1250078E-001, 5.0073517E-002, 2.0798495E-002, 9.7435975E-003, 6.7039467E-002, 1.2977536E-002, 7.2160332E-001, 2.0942977E-002, 2.2721819E-003,NaN,NaN, 1.7499933E+002, 4.6912055E-002
 3.8500000E+001, 9.3950442E+002, 9.0552278E+002, 3.2449935E+000, 2.5445446E+002, 3.8264647E+002, 1.1877982E+000, 1.1491687E-001, 4.9328317E-002, 1.9646990E-002, 8.9522166E-003, 6.5587992E-002, 1.2258169E-002, 7.2433499E-001, 1.9797902E-002, 2.1490122E-003,NaN,NaN, 1.7923570E+002, 4.3525183E-002
 3.9500000E+001, 9.2936680E+002, 8.9487573E+002, 3.2609691E+000, 2.5635658E+002, 3.8304952E+002, 1.1972593E+000, 1.1739407E-001, 4.8498758E-002, 1.8547749E-002, 8.2130354E-003, 6.4084276E-002, 1.1571503E-002, 7.2699202E-001, 1.8701913E-002, 2.0310602E-003,NaN,NaN, 1.8347207E+002, 4.1738247E-002
 4.0500000E+001, 9.1898925E+002, 8.8398792E+002, 3.2756474E+000, 2.5817627E+002, 3.8339224E+002, 1.2053342E+000, 1.1980377E-001, 4.7661475E-002, 1.7513657E-002, 7.5393445E-003, 6.2612764E-002, 1.0925559E-002, 7.2950444E-001, 1.7669615E-002, 1.9199327E-003,NaN,NaN,NaN,NaN
 4.1500000E+001, 9.0869063E+002, 8.7319968E+002, 3.2890040E+000, 2.5950691E+002, 3.8328969E+002, 1.2130620E+000, 1.2212772E-001, 4.6830159E-002, 1.6542508E-002, 6.9324201E-003, 6.1185764E-002, 1.0318951E-002, 7.3186734E-001, 1.6698755E-002, 1.8153949E-003,NaN,NaN,NaN,NaN
 4.2500000E+001, 8.9857529E+002, 8.6260778E+002, 3.2995005E+000, 2.6077313E+002, 3.8309648E+002, 1.2215040E+000, 1.2431719E-001, 4.6034206E-002, 1.5644138E-002, 6.3710739E-003, 5.9838798E-002, 9.7578144E-003, 7.3406726E-001, 1.5801166E-002, 1.7187320E-003,NaN,NaN,NaN,NaN
 4.3500000E+001, 8.8869085E+002, 8.5231139E+002, 3.3073116E+000, 2.6164356E+002, 3.8256711E+002, 1.2297116E+000, 1.2646343E-001, 4.5247130E-002, 1.4766064E-002, 5.8567595E-003, 5.8513021E-002, 9.2093593E-003, 7.3619524E-001, 1.4921217E-002, 1.6239631E-003,NaN,NaN,NaN,NaN
 4.4500000E+001, 8.7913069E+002, 8.4232081E+002, 3.3120247E+000, 2.6208886E+002, 3.8189394E+002, 1.2391596E+000, 1.2856994E-001, 4.4442636E-002, 1.3946150E-002, 5.3768821E-003, 5.7205586E-002, 8.6972622E-003, 7.3821856E-001, 1.4099640E-002, 1.5354429E-003,NaN,NaN,NaN,NaN
 4.5500000E+001, 8.6934757E+002, 8.3217579E+002, 3.3148600E+000, 2.6231491E+002, 3.8091523E+002, 1.2482722E+000, 1.3068241E-001, 4.3642315E-002, 1.3107372E-002, 4.9293854E-003, 5.5890542E-002, 8.1733723E-003, 7.4024234E-001, 1.3254504E-002, 1.4443974E-003,NaN,NaN,NaN,NaN
 4.6500000E+001, 8.5949636E+002, 8.2207912E+002, 3.3186901E+000, 2.6263319E+002, 3.7984897E+002, 1.2553082E+000, 1.3276666E-001, 4.2824433E-002, 1.2316447E-002, 4.5115877E-003, 5.4587355E-002, 7.6793989E-003, 7.4218064E-001, 1.2458629E-002, 1.3586242E-003,NaN,NaN,NaN,NaN
 4.7500000E+001, 8.4940656E+002, 8.1196353E+002, 3.3248212E+000, 2.6297046E+002, 3.7838053E+002, 1.2596151E+000, 1.3480947E-001, 4.2028737E-002, 1.1530164E-002, 4.1133492E-003, 5.3309110E-002, 7.1883169E-003, 7.4408496E-001, 1.1665433E-002, 1.2731498E-003,NaN,NaN,NaN,NaN
 4.8500000E+001, 8.3932323E+002, 8.0199208E+002, 3.3304752E+000, 2.6359333E+002, 3.7704081E+002, 1.2627209E+000, 1.3679293E-001, 4.1238124E-002, 1.0788279E-002, 3.7506861E-003, 5.2063186E-002, 6.7249816E-003, 7.4589241E-001, 1.0917296E-002, 1.1925090E-003,NaN,NaN,NaN,NaN
 4.9500000E+001, 8.2938268E+002, 7.9225863E+002, 3.3358165E+000, 2.6489081E+002, 3.7612977E+002, 1.2653689E+000, 1.3866224E-001, 4.0502168E-002, 1.0076251E-002, 3.4057635E-003, 5.0890204E-002, 6.2802832E-003, 7.4761263E-001, 1.0198542E-002, 1.1150482E-003,NaN,NaN,NaN,NaN
 5.0500000E+001, 8.1985168E+002, 7.8304867E+002, 3.3413441E+000, 2.6641001E+002, 3.7529306E+002, 1.2668207E+000, 1.4043907E-001, 3.9790016E-002, 9.4146535E-003, 3.0939988E-003, 4.9771973E-002, 5.8670932E-003, 7.4921905E-001, 9.5298851E-003, 1.0429709E-003,NaN,NaN,NaN,NaN
 5.1500000E+001, 8.1056313E+002, 7.7417992E+002, 3.3459517E+000, 2.6721403E+002, 3.7384831E+002, 1.2686897E+000, 1.4218650E-001, 3.9103096E-002, 8.7422563E-003, 2.7967090E-003, 4.8672222E-002, 5.4471427E-003, 7.5081691E-001, 8.8493704E-003, 9.6963406E-004,NaN,NaN,NaN,NaN
 5.2500000E+001, 8.0157054E+002, 7.6559161E+002, 3.3495198E+000, 2.6745608E+002, 3.7212362E+002, 1.2702226E+000, 1.4387022E-001, 3.8420060E-002, 8.1209812E-003, 2.5320204E-003, 4.7607754E-002, 5.0591417E-003, 7.5231085E-001, 8.2222314E-003, 9.0202167E-004,NaN,NaN,NaN,NaN
 5.3500000E+001, 7.9237712E+002, 7.5681712E+002, 3.3519789E+000, 2.6705357E+002, 3.6977149E+002, 1.2711842E+000, 1.4555733E-001, 3.7710594E-002, 7.5308880E-003, 2.2881984E-003, 4.6536034E-002, 4.6906409E-003, 7.5375578E-001, 7.6268536E-003, 8.3780005E-004,NaN,NaN,NaN,NaN
 5.4500000E+001, 7.8324047E+002, 7.4810012E+002, 3.3547077E+000, 2.6598312E+002, 3.6680518E+002, 1.2708428E+000, 1.4722299E-001, 3.6963924E-002, 7.0102123E-003, 2.0769824E-003, 4.5469844E-002, 4.3655421E-003, 7.5509110E-001, 7.1027283E-003, 7.8119844E-004,NaN,NaN,NaN,NaN
 5.5500000E+001, 7.7392633E+002, 7.3911976E+002, 3.3567439E+000, 2.6410338E+002, 3.6322556E+002, 1.2695654E+000, 1.4881696E-001, 3.6240347E-002, 6.5213845E-003, 1.8934124E-003, 4.4446255E-002, 4.0603383E-003, 7.5634503E-001, 6.6088478E-003, 7.2785267E-004,NaN,NaN,NaN,NaN
 5.6500000E+001, 7.6512523E+002, 7.3050605E+002, 3.3577640E+000, 2.6228537E+002, 3.6008577E+002, 1.2677955E+000, 1.5026089E-001, 3.5573115E-002, 6.0944040E-003, 1.7342710E-003, 4.3517002E-002, 3.7937645E-003, 7.5745788E-001, 6.1785363E-003, 6.8135352E-004,NaN,NaN,NaN,NaN
 5.7500000E+001, 7.5640077E+002, 7.2203183E+002, 3.3590221E+000, 2.6056151E+002, 3.5697955E+002, 1.2650505E+000, 1.5161995E-001, 3.4940819E-002, 5.6991603E-003, 1.5828599E-003, 4.2642194E-002, 3.5470112E-003, 7.5849895E-001, 5.7794369E-003, 6.3822062E-004,NaN,NaN,NaN,NaN
 5.8500000E+001, 7.4785221E+002, 7.1385320E+002, 3.3614136E+000, 2.5896940E+002, 3.5382332E+002, 1.2620675E+000, 1.5297368E-001, 3.4293959E-002, 5.3283525E-003, 1.4426784E-003, 4.1767869E-002, 3.3155365E-003, 7.5950240E-001, 5.4041422E-003, 5.9763223E-004,NaN,NaN,NaN,NaN
 5.9500000E+001, 7.3913551E+002, 7.0566581E+002, 3.3637597E+000, 2.5740384E+002, 3.5055067E+002, 1.2602690E+000, 1.5431766E-001, 3.3661675E-002, 4.9444869E-003, 1.3088696E-003, 4.0900018E-002, 3.0758945E-003, 7.6051265E-001, 5.0132360E-003, 5.5537701E-004,NaN,NaN,NaN,NaN
 6.0500000E+001, 7.3040655E+002, 6.9766119E+002, 3.3645878E+000, 2.5578943E+002, 3.4708058E+002, 1.2601978E+000, 1.5569336E-001, 3.3002084E-002, 4.5668604E-003, 1.1859511E-003, 4.0008695E-002, 2.8401637E-003, 7.6151938E-001, 4.6291839E-003, 5.1384098E-004,NaN,NaN,NaN,NaN
 6.1500000E+001, 7.2147960E+002, 6.8955812E+002, 3.3657827E+000, 2.5445438E+002, 3.4355910E+002, 1.2595429E+000, 1.5701387E-001, 3.2353334E-002, 4.2260742E-003, 1.0743255E-003, 3.9150883E-002, 2.6274533E-003, 7.6245660E-001, 4.2835136E-003, 4.7642683E-004,NaN,NaN,NaN,NaN
 6.2500000E+001, 7.1280746E+002, 6.8154261E+002, 3.3669716E+000, 2.5346149E+002, 3.4034647E+002, 1.2561047E+000, 1.5829384E-001, 3.1707722E-002, 3.9191677E-003, 9.7225638E-004, 3.8317068E-002, 2.4359164E-003, 7.6333412E-001, 3.9718921E-003, 4.4266583E-004,NaN,NaN,NaN,NaN
 6.3500000E+001, 7.0415866E+002, 6.7335166E+002, 3.3666674E+000, 2.5206830E+002, 3.3699519E+002, 1.2512460E+000, 1.5951250E-001, 3.1068660E-002, 3.6614930E-003, 8.8163893E-004, 3.7520122E-002, 2.2751466E-003, 7.6412576E-001, 3.7113690E-003, 4.1438821E-004,NaN,NaN,NaN,NaN
 6.4500000E+001, 6.9599327E+002, 6.6560268E+002, 3.3643366E+000, 2.5055614E+002, 3.3368771E+002, 1.2482264E+000, 1.6066057E-001, 3.0461518E-002, 3.4249764E-003, 8.0237903E-004, 3.6768066E-002, 2.1275867E-003, 7.6486014E-001, 3.4722845E-003, 3.8842629E-004,NaN,NaN,NaN,NaN
 6.5500000E+001, 6.8827683E+002, 6.5831078E+002, 3.3617230E+000, 2.4901473E+002, 3.3052316E+002, 1.2462820E+000, 1.6173462E-001, 2.9895418E-002, 3.2000064E-003, 7.3252481E-004, 3.6064091E-002, 1.9872257E-003, 7.6554831E-001, 3.2445165E-003, 3.6369930E-004,NaN,NaN,NaN,NaN
 6.6500000E+001, 6.8066169E+002, 6.5137440E+002, 3.3608787E+000, 2.4734512E+002, 3.2694548E+002, 1.2426011E+000, 1.6273509E-001, 2.9366804E-002, 2.9926861E-003, 6.6592165E-004, 3.5408437E-002, 1.8578795E-003, 7.6618789E-001, 3.0346578E-003, 3.4091308E-004,NaN,NaN,NaN,NaN
 6.7500000E+001, 6.7267030E+002, 6.4420251E+002, 3.3611527E+000, 2.4559754E+002, 3.2310175E+002, 1.2378260E+000, 1.6379283E-001, 2.8786726E-002, 2.8027223E-003, 6.0507908E-004, 3.4712059E-002, 1.7394034E-003, 7.6682411E-001, 2.8420302E-003, 3.1994719E-004,NaN,NaN,NaN,NaN
 6.8500000E+001, 6.6426102E+002, 6.3666260E+002, 3.3610031E+000, 2.4336965E+002, 3.1866035E+002, 1.2335714E+000, 1.6487912E-001, 2.8184960E-002, 2.6160239E-003, 5.4497600E-004, 3.3996029E-002, 1.6229775E-003, 7.6746630E-001, 2.6524972E-003, 2.9930178E-004,NaN,NaN,NaN,NaN
 6.9500000E+001, 6.5611820E+002, 6.2927512E+002, 3.3600027E+000, 2.4044670E+002, 3.1382857E+002, 1.2288097E+000, 1.6597604E-001, 2.7575205E-002, 2.4291437E-003, 4.9120234E-004, 3.3271881E-002, 1.5064415E-003, 7.6810797E-001, 2.4632030E-003, 2.7867694E-004,NaN,NaN,NaN,NaN
 7.0500000E+001, 6.4867161E+002, 6.2251438E+002, 3.3591831E+000, 2.3742322E+002, 3.0911459E+002, 1.2228646E+000, 1.6698135E-001, 2.7025562E-002, 2.2438613E-003, 4.4417556E-004, 3.2608734E-002, 1.3908780E-003, 7.6871035E-001, 2.2751670E-003, 2.5821881E-004,NaN,NaN,NaN,NaN
 7.1500000E+001, 6.4153653E+002, 6.1607331E+002, 3.3590547E+000, 2.3422148E+002, 3.0436490E+002, 1.2161475E+000, 1.6794837E-001, 2.6495086E-002, 2.0675967E-003, 4.0204419E-004, 3.1970276E-002, 1.2809425E-003, 7.6928534E-001, 2.0958138E-003, 2.3870183E-004,NaN,NaN,NaN,NaN
