cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
 1.9345960E+001, 1.1856752E+003, 1.2043723E+003, 2.8555963E+000, 1.7666818E+002, 3.0441105E+002, 9.3769481E-001, 6.5855333E-002, 5.8978121E-002, 2.1161392E-002, 1.1111230E-002, 1.1118236E-001, 1.6597170E-002, 7.1096510E-001, 1.6715582E-003
 2.0351010E+001, 1.1748686E+003, 1.1900230E+003, 2.9283198E+000, 1.8291038E+002, 3.1408821E+002, 9.7968321E-001, 7.0184492E-002, 5.8013744E-002, 1.9717327E-002, 1.0021672E-002, 1.0794855E-001, 1.5464570E-002, 7.1478351E-001, 1.5573126E-003
 2.1356061E+001, 1.1620994E+003, 1.1736031E+003, 2.9945208E+000, 1.8944594E+002, 3.2328262E+002, 1.0151788E+000, 7.4605575E-002, 5.6917025E-002, 1.8349078E-002, 9.0431709E-003, 1.0464082E-001, 1.4391434E-002, 7.1845503E-001, 1.4490419E-003
 2.2361111E+001, 1.1476064E+003, 1.1552543E+003, 3.0517249E+000, 1.9643520E+002, 3.3261929E+002, 1.0503192E+000, 7.9122041E-002, 5.5693311E-002, 1.7050644E-002, 8.1599120E-003, 1.0125825E-001, 1.3373054E-002, 7.2199952E-001, 1.3462933E-003
 2.3366162E+001, 1.1315976E+003, 1.1351146E+003, 3.0997637E+000, 2.0384140E+002, 3.4234420E+002, 1.0856534E+000, 8.3695429E-002, 5.4355435E-002, 1.5832689E-002, 7.3616652E-003, 9.7832388E-002, 1.2417795E-002, 7.2540015E-001, 1.2499637E-003
 2.4371212E+001, 1.1142541E+003, 1.1133512E+003, 3.1367466E+000, 2.1120774E+002, 3.5202360E+002, 1.1258671E+000, 8.8333240E-002, 5.2904556E-002, 1.4691075E-002, 6.6348793E-003, 9.4359225E-002, 1.1522411E-002, 7.2867401E-001, 1.1596870E-003
 2.5376263E+001, 1.0964746E+003, 1.0912199E+003, 3.1654946E+000, 2.1823659E+002, 3.6091590E+002, 1.1667289E+000, 9.2895365E-002, 5.1427750E-002, 1.3616364E-002, 5.9712060E-003, 9.0941885E-002, 1.0679501E-002, 7.3179805E-001, 1.0746742E-003
 2.6381313E+001, 1.0785015E+003, 1.0691771E+003, 3.1875868E+000, 2.2493314E+002, 3.6881096E+002, 1.2052113E+000, 9.7311807E-002, 4.9961939E-002, 1.2610830E-002, 5.3687177E-003, 8.7632580E-002, 9.8908474E-003, 7.3475057E-001, 9.9517575E-004
 2.7386364E+001, 1.0604599E+003, 1.0473761E+003, 3.2041441E+000, 2.3121262E+002, 3.7567074E+002, 1.2445255E+000, 1.0154432E-001, 4.8518680E-002, 1.1685362E-002, 4.8254180E-003, 8.4461438E-002, 9.1649897E-003, 7.3750855E-001, 9.2205432E-004
 2.8391414E+001, 1.0427081E+003, 1.0261655E+003, 3.2173015E+000, 2.3689616E+002, 3.8155202E+002, 1.2806804E+000, 1.0555857E-001, 4.7127591E-002, 1.0829050E-002, 4.3348834E-003, 8.1453127E-002, 8.4933725E-003, 7.4008006E-001, 8.5435391E-004
 2.9396465E+001, 1.0253509E+003, 1.0056664E+003, 3.2299423E+000, 2.4210677E+002, 3.8662602E+002, 1.3111749E+000, 1.0937806E-001, 4.5792678E-002, 1.0023861E-002, 3.8910630E-003, 7.8588585E-002, 7.8618520E-003, 7.4249843E-001, 7.9064104E-004
 3.0401515E+001, 1.0083381E+003, 9.8587094E+002, 3.2400201E+000, 2.4673820E+002, 3.9067351E+002, 1.3379883E+000, 1.1302825E-001, 4.4504883E-002, 9.2650543E-003, 3.4875003E-003, 7.5849371E-002, 7.2667092E-003, 7.4478156E-001, 7.3057760E-004
 3.1406566E+001, 9.9162728E+002, 9.6678397E+002, 3.2509050E+000, 2.5055993E+002, 3.9351746E+002, 1.3596819E+000, 1.1651422E-001, 4.3260154E-002, 8.5541725E-003, 3.1227585E-003, 7.3232185E-002, 6.7091549E-003, 7.4693007E-001, 6.7431023E-004
 3.2411616E+001, 9.7501975E+002, 9.4807374E+002, 3.2613444E+000, 2.5347558E+002, 3.9520976E+002, 1.3756611E+000, 1.1989150E-001, 4.2040629E-002, 7.8776275E-003, 2.7918272E-003, 7.0694884E-002, 6.1785314E-003, 7.4898037E-001, 6.2073825E-004
 3.3416667E+001, 9.5844497E+002, 9.2964763E+002, 3.2698160E+000, 2.5555354E+002, 3.9587035E+002, 1.3915495E+000, 1.2316239E-001, 4.0842218E-002, 7.2388190E-003, 2.4923775E-003, 6.8236639E-002, 5.6775051E-003, 7.5093067E-001, 5.7015228E-004
 3.4421717E+001, 9.4187538E+002, 9.1139798E+002, 3.2738532E+000, 2.5679552E+002, 3.9569260E+002, 1.4074470E+000, 1.2638144E-001, 3.9642295E-002, 6.6297520E-003, 2.2215441E-003, 6.5816532E-002, 5.1998055E-003, 7.5280868E-001, 5.2193397E-004
 3.5426768E+001, 9.2515853E+002, 8.9322250E+002, 3.2765258E+000, 2.5706987E+002, 3.9423787E+002, 1.4208918E+000, 1.2949723E-001, 3.8460615E-002, 6.0598240E-003, 1.9811107E-003, 6.3473563E-002, 4.7528031E-003, 7.5458665E-001, 4.7687471E-004
 3.6431818E+001, 9.0851225E+002, 8.7527105E+002, 3.2752291E+000, 2.5669491E+002, 3.9201522E+002, 1.4348577E+000, 1.3252135E-001, 3.7292457E-002, 5.5283607E-003, 1.7617676E-003, 6.1200576E-002, 4.3359692E-003, 7.5627553E-001, 4.3491772E-004
 3.7436869E+001, 8.9206238E+002, 8.5779480E+002, 3.2728161E+000, 2.5590972E+002, 3.8915154E+002, 1.4468061E+000, 1.3542292E-001, 3.6148553E-002, 5.0424983E-003, 1.5626260E-003, 5.9021518E-002, 3.9549006E-003, 7.5785826E-001, 3.9656526E-004
 3.8441919E+001, 8.7585763E+002, 8.4073839E+002, 3.2719783E+000, 2.5452454E+002, 3.8562451E+002, 1.4505599E+000, 1.3822663E-001, 3.5028360E-002, 4.5883560E-003, 1.3788510E-003, 5.6916891E-002, 3.5987105E-003, 7.5936253E-001, 3.6071411E-004
 3.9446970E+001, 8.5968443E+002, 8.2385090E+002, 3.2692946E+000, 2.5247281E+002, 3.8152301E+002, 1.4529608E+000, 1.4097131E-001, 3.3917858E-002, 4.1576803E-003, 1.2102853E-003, 5.4856867E-002, 3.2609257E-003, 7.6080984E-001, 3.2672593E-004
 4.0452020E+001, 8.4353656E+002, 8.0712630E+002, 3.2628683E+000, 2.5004039E+002, 3.7711206E+002, 1.4560534E+000, 1.4364417E-001, 3.2820315E-002, 3.7543645E-003, 1.0594557E-003, 5.2851056E-002, 2.9445996E-003, 7.6218988E-001, 2.9492897E-004
 4.1457071E+001, 8.2767385E+002, 7.9082802E+002, 3.2546703E+000, 2.4743416E+002, 3.7248365E+002, 1.4566805E+000, 1.4619340E-001, 3.1753699E-002, 3.3901717E-003, 9.2707219E-004, 5.0939289E-002, 2.6589582E-003, 7.6347267E-001, 2.6622931E-004
 4.2462121E+001, 8.1249200E+002, 7.7527580E+002, 3.2463706E+000, 2.4445220E+002, 3.6760053E+002, 1.4544804E+000, 1.4858637E-001, 3.0741177E-002, 3.0596718E-003, 8.1145540E-004, 4.9145045E-002, 2.3997426E-003, 7.6465661E-001, 2.4017386E-004
 4.3467172E+001, 7.9780233E+002, 7.6041128E+002, 3.2367900E+000, 2.4097372E+002, 3.6223950E+002, 1.4547544E+000, 1.5084757E-001, 2.9773112E-002, 2.7587807E-003, 7.1061027E-004, 4.7449984E-002, 2.1637496E-003, 7.6575526E-001, 2.1646056E-004
 4.4472222E+001, 7.8363392E+002, 7.4621894E+002, 3.2295641E+000, 2.3718330E+002, 3.5657585E+002, 1.4489486E+000, 1.5297946E-001, 2.8848548E-002, 2.4874048E-003, 6.2180638E-004, 4.5852714E-002, 1.9509057E-003, 7.6677144E-001, 1.9509118E-004
 4.5477273E+001, 7.6975976E+002, 7.3247606E+002, 3.2238624E+000, 2.3305320E+002, 3.5050866E+002, 1.4405216E+000, 1.5502663E-001, 2.7949123E-002, 2.2387991E-003, 5.4308661E-004, 4.4319681E-002, 1.7559209E-003, 7.6772778E-001, 1.7552082E-004
 4.6482323E+001, 7.5635764E+002, 7.1927125E+002, 3.2159037E+000, 2.2868757E+002, 3.4433719E+002, 1.4332524E+000, 1.5698676E-001, 2.7082442E-002, 2.0062764E-003, 4.7210575E-004, 4.2851961E-002, 1.5735502E-003, 7.6863352E-001, 1.5720911E-004
 4.7487374E+001, 7.4346750E+002, 7.0660956E+002, 3.2058946E+000, 2.2421954E+002, 3.3819768E+002, 1.4274831E+000, 1.5884986E-001, 2.6256115E-002, 1.7875365E-003, 4.0894550E-004, 4.1456562E-002, 1.4019894E-003, 7.6948850E-001, 1.3997282E-004
 4.8492424E+001, 7.3082899E+002, 6.9430609E+002, 3.1947868E+000, 2.1966545E+002, 3.3191285E+002, 1.4217512E+000, 1.6063293E-001, 2.5457268E-002, 1.5863051E-003, 3.5428488E-004, 4.0121399E-002, 1.2441609E-003, 7.7029261E-001, 1.2414004E-004
 4.9497475E+001, 7.1833292E+002, 6.8222299E+002, 3.1848238E+000, 2.1492227E+002, 3.2525893E+002, 1.4137854E+000, 1.6235123E-001, 2.4671104E-002, 1.4096663E-003, 3.0770091E-004, 3.8836373E-002, 1.1056206E-003, 7.7104190E-001, 1.1026693E-004
 5.0502525E+001, 7.0579123E+002, 6.7028654E+002, 3.1622635E+000, 2.0992434E+002, 3.1806891E+002, 1.3991834E+000, 1.6403262E-001, 2.3891106E-002, 1.2481845E-003, 2.6593712E-004, 3.7580054E-002, 9.7896823E-004, 7.7175839E-001, 9.7604883E-005
 5.1507576E+001, 6.9320096E+002, 6.5842833E+002, 3.1487555E+000, 2.0458636E+002, 3.1041271E+002, 1.3925571E+000, 1.6568399E-001, 2.3116171E-002, 1.0988978E-003, 2.2868133E-004, 3.6346964E-002, 8.6188061E-004, 7.7244794E-001, 8.5904341E-005
 5.2512626E+001, 6.8042195E+002, 6.4656830E+002, 3.1344090E+000, 1.9885406E+002, 3.0220388E+002, 1.3874639E+000, 1.6731713E-001, 2.2339624E-002, 9.6206747E-004, 1.9525235E-004, 3.5128576E-002, 7.5456272E-004, 7.7311415E-001, 7.5190551E-005
 5.3517677E+001, 6.6786455E+002, 6.3501719E+002, 3.1171526E+000, 1.9318906E+002, 2.9395594E+002, 1.3819119E+000, 1.6888833E-001, 2.1585246E-002, 8.3815611E-004, 1.6556082E-004, 3.3957162E-002, 6.5737734E-004, 7.7374382E-001, 6.5488227E-005
 5.4522727E+001, 6.5577810E+002, 6.2399078E+002, 3.0993279E+000, 1.8771981E+002, 2.8583436E+002, 1.3764458E+000, 1.7037781E-001, 2.0863133E-002, 7.2803321E-004, 1.4028868E-004, 3.2847331E-002, 5.7100644E-004, 7.7432965E-001, 5.6870566E-005
 5.5527778E+001, 6.4414739E+002, 6.1342198E+002, 3.0794261E+000, 1.8220013E+002, 2.7762988E+002, 1.3717524E+000, 1.7178378E-001, 2.0172617E-002, 6.3349414E-004, 1.1969407E-004, 3.1800621E-002, 4.9685815E-004, 7.7486872E-001, 4.9482032E-005
 5.6532828E+001, 6.3287544E+002, 6.0324415E+002, 3.0626943E+000, 1.7657266E+002, 2.6936653E+002, 1.3647882E+000, 1.7312010E-001, 1.9510108E-002, 5.5024015E-004, 1.0208218E-004, 3.0806444E-002, 4.3156090E-004, 7.7537158E-001, 4.2972398E-005
 5.7537879E+001, 6.2216549E+002, 5.9364559E+002, 3.0480335E+000, 1.7095692E+002, 2.6123060E+002, 1.3508298E+000, 1.7437850E-001, 1.8882594E-002, 4.7575107E-004, 8.6325494E-005, 2.9870689E-002, 3.7313809E-004, 7.7583972E-001, 3.7136185E-005
 5.8542929E+001, 6.1174078E+002, 5.8435651E+002, 3.0344872E+000, 1.6543871E+002, 2.5322876E+002, 1.3367217E+000, 1.7559154E-001, 1.8276037E-002, 4.0568847E-004, 7.1927841E-005, 2.8968808E-002, 3.1818704E-004, 7.7628827E-001, 3.1628168E-005
 5.9547980E+001, 6.0158222E+002, 5.7532098E+002, 3.0212728E+000, 1.5991318E+002, 2.4536195E+002, 1.3220689E+000, 1.7676551E-001, 1.7688116E-002, 3.3875265E-004, 5.8920891E-005, 2.8095952E-002, 2.6568835E-004, 7.7672064E-001, 2.6352404E-005
 6.0553030E+001, 5.9191044E+002, 5.6679700E+002, 3.0108044E+000, 1.5429689E+002, 2.3755274E+002, 1.3051690E+000, 1.7786808E-001, 1.7133961E-002, 2.7799758E-004, 4.7430066E-005, 2.7276386E-002, 2.1803731E-004, 7.7712359E-001, 2.1573552E-005
 6.1558081E+001, 5.8272102E+002, 5.5878834E+002, 2.9989375E+000, 1.4866473E+002, 2.2982890E+002, 1.2882987E+000, 1.7889778E-001, 1.6611657E-002, 2.2644949E-004, 3.7374609E-005, 2.6511661E-002, 1.7760744E-004, 7.7749306E-001, 1.7538671E-005
 6.2563131E+001, 5.7394585E+002, 5.5120082E+002, 2.9894688E+000, 1.4311466E+002, 2.2213854E+002, 1.2714226E+000, 1.7986563E-001, 1.6115487E-002, 1.8358022E-004, 2.9580348E-005, 2.5793449E-002, 1.4398448E-004, 7.7783229E-001, 1.4191306E-005
 6.3568182E+001, 5.6550984E+002, 5.4395300E+002, 2.9795148E+000, 1.3779774E+002, 2.1458109E+002, 1.2532630E+000, 1.8077722E-001, 1.5641385E-002, 1.5047646E-004, 2.3887926E-005, 2.5117815E-002, 1.1802075E-004, 7.7814169E-001, 1.1616528E-005
 6.4573232E+001, 5.5718807E+002, 5.3680664E+002, 2.9703539E+000, 1.3262705E+002, 2.0709310E+002, 1.2352612E+000, 1.8165986E-001, 1.5176357E-002, 1.2488846E-004, 1.9572000E-005, 2.4464424E-002, 9.7951737E-005, 7.7843246E-001, 9.6320695E-006
 6.5578283E+001, 5.4916938E+002, 5.2982335E+002, 2.9566592E+000, 1.2769358E+002, 1.9998317E+002, 1.2220039E+000, 1.8250600E-001, 1.4725922E-002, 1.0539587E-004, 1.6121594E-005, 2.3838700E-002, 8.2663425E-005, 7.7870453E-001, 8.1243347E-006
 6.6583333E+001, 5.4149349E+002, 5.2303707E+002, 2.9415246E+000, 1.2308202E+002, 1.9340282E+002, 1.2095947E+000, 1.8331549E-001, 1.4291533E-002, 9.0517181E-005, 1.3284984E-005, 2.3240570E-002, 7.0993868E-005, 7.7895987E-001, 6.9740287E-006
 6.7588384E+001, 5.3405049E+002, 5.1642139E+002, 2.9253448E+000, 1.1879152E+002, 1.8714864E+002, 1.1965922E+000, 1.8409775E-001, 1.3869900E-002, 7.8137315E-005, 1.0933682E-005, 2.2662794E-002, 6.1284169E-005, 7.7920388E-001, 6.0170189E-006
 6.8593434E+001, 5.2699633E+002, 5.1013554E+002, 2.9091196E+000, 1.1476034E+002, 1.8119811E+002, 1.1837880E+000, 1.8483550E-001, 1.3471458E-002, 6.7335577E-005, 8.8445452E-006, 2.2118012E-002, 5.2812217E-005, 7.7943284E-001, 5.1838853E-006
 6.9598485E+001, 5.2048798E+002, 5.0434986E+002, 2.8925304E+000, 1.1093603E+002, 1.7560845E+002, 1.1711337E+000, 1.8551179E-001, 1.3106159E-002, 5.7480502E-005, 6.9780057E-006, 2.1618610E-002, 4.5082747E-005, 7.7964263E-001, 4.4229663E-006
 7.0603535E+001, 5.1427771E+002, 4.9887933E+002, 2.8763879E+000, 1.0724803E+002, 1.7015840E+002, 1.1575765E+000, 1.8614962E-001, 1.2761701E-002, 4.8096142E-005, 5.3290063E-006, 2.1147576E-002, 3.7722465E-005, 7.7984052E-001, 3.6963448E-006
 7.1608586E+001, 5.0814955E+002, 4.9350458E+002, 2.8606648E+000, 1.0377371E+002, 1.6487328E+002, 1.1436900E+000, 1.8677576E-001, 1.2423182E-002, 3.9266348E-005, 3.9731373E-006, 2.0685194E-002, 3.0797135E-005, 7.8003413E-001, 3.0108261E-006
 7.2613636E+001, 5.0217941E+002, 4.8827942E+002, 2.8445454E+000, 1.0049607E+002, 1.5981736E+002, 1.1319840E+000, 1.8738344E-001, 1.2094030E-002, 3.1329192E-005, 2.9771025E-006, 2.0236483E-002, 2.4571915E-005, 7.8022102E-001, 2.3957063E-006
 7.3618687E+001, 4.9646760E+002, 4.8326091E+002, 2.8277438E+000, 9.7300102E+001, 1.5492283E+002, 1.1219198E+000, 1.8796382E-001, 1.1778396E-002, 2.5124101E-005, 2.2773314E-006, 1.9808104E-002, 1.9705177E-005, 7.8039765E-001, 1.9180952E-006
 7.4623737E+001, 4.9114044E+002, 4.7855147E+002, 2.8127839E+000, 9.4133629E+001, 1.5017858E+002, 1.1112153E+000, 1.8850629E-001, 1.1482293E-002, 2.0502613E-005, 1.7762643E-006, 1.9407854E-002, 1.6080480E-005, 7.8056118E-001, 1.5637791E-006
 7.5628788E+001, 4.8626221E+002, 4.7424094E+002, 2.8009636E+000, 9.1064057E+001, 1.4569385E+002, 1.0967989E+000, 1.8899960E-001, 1.1212673E-002, 1.6684451E-005, 1.3880606E-006, 1.9043930E-002, 1.3085844E-005, 7.8070937E-001, 1.2708187E-006
 7.6633838E+001, 4.8173837E+002, 4.7024709E+002, 2.7878929E+000, 8.8171647E+001, 1.4154770E+002, 1.0842543E+000, 1.8945408E-001, 1.0964088E-002, 1.3362253E-005, 1.0868766E-006, 1.8708666E-002, 1.0480198E-005, 7.8084562E-001, 1.0154515E-006
 7.7638889E+001, 4.7750749E+002, 4.6650707E+002, 2.7758636E+000, 8.5511462E+001, 1.3770437E+002, 1.0715132E+000, 1.8987834E-001, 1.0731966E-002, 1.0329434E-005, 8.4443541E-007, 1.8395700E-002, 8.1015166E-006, 7.8097269E-001, 7.8252060E-007
 7.8643939E+001, 4.7341659E+002, 4.6289295E+002, 2.7628831E+000, 8.3053409E+001, 1.3404540E+002, 1.0603135E+000, 1.9028623E-001, 1.0508372E-002, 7.8804142E-006, 6.5488152E-007, 1.8094872E-002, 6.1807170E-006, 7.8109426E-001, 5.9525152E-007
 7.9648990E+001, 4.6937454E+002, 4.5933007E+002, 2.7482921E+000, 8.0753178E+001, 1.3048230E+002, 1.0505534E+000, 1.9068541E-001, 1.0289058E-002, 6.0274030E-006, 5.0674856E-007, 1.7800544E-002, 4.7273749E-006, 7.8121254E-001, 4.5422752E-007
 8.0654040E+001, 4.6542764E+002, 4.5583789E+002, 2.7335876E+000, 7.8547327E+001, 1.2705018E+002, 1.0399163E+000, 1.9107443E-001, 1.0074950E-002, 4.6352711E-006, 3.9139918E-007, 1.7513768E-002, 3.6355067E-006, 7.8132728E-001, 3.4868553E-007
 8.1659091E+001, 4.6161541E+002, 4.5243923E+002, 2.7194730E+000, 7.6338582E+001, 1.2371704E+002, 1.0302316E+000, 1.9145036E-001, 9.8678119E-003, 3.5476885E-006, 2.9955623E-007, 1.7236679E-002, 2.7825008E-006, 7.8143783E-001, 2.6647744E-007
 8.2664141E+001, 4.5788250E+002, 4.4909604E+002, 2.7052751E+000, 7.4092019E+001, 1.2036877E+002, 1.0217274E+000, 1.9181726E-001, 9.6654620E-003, 2.6866894E-006, 2.2667805E-007, 1.6966267E-002, 2.1072074E-006, 7.8154546E-001, 2.0155126E-007
 8.3669192E+001, 4.5424538E+002, 4.4583645E+002, 2.6917427E+000, 7.1895463E+001, 1.1703447E+002, 1.0124187E+000, 1.9217322E-001, 9.4689878E-003, 2.0270610E-006, 1.7149044E-007, 1.6703945E-002, 1.5898518E-006, 7.8164966E-001, 1.5191722E-007
 8.4674242E+001, 4.5070992E+002, 4.4268423E+002, 2.6790107E+000, 6.9803303E+001, 1.1378091E+002, 1.0008147E+000, 1.9251526E-001, 9.2800811E-003, 1.5193760E-006, 1.2908731E-007, 1.6451899E-002, 1.1916675E-006, 7.8174962E-001, 1.1377909E-007
 8.5679293E+001, 4.4720106E+002, 4.3956240E+002, 2.6647099E+000, 6.7791254E+001, 1.1054571E+002, 9.9126713E-001, 1.9285269E-001, 9.0936112E-003, 1.1347615E-006, 9.6615994E-008, 1.6203262E-002, 8.9000906E-007, 7.8184809E-001, 8.4920058E-008
 8.6684343E+001, 4.4374953E+002, 4.3648793E+002, 2.6510280E+000, 6.5793288E+001, 1.0728358E+002, 9.8112553E-001, 1.9318485E-001, 8.9099657E-003, 8.5437126E-007, 7.3532356E-008, 1.5958524E-002, 6.7009511E-007, 7.8194489E-001, 6.3902316E-008
 8.7689394E+001, 4.4053578E+002, 4.3363529E+002, 2.6366146E+000, 6.3882155E+001, 1.0415552E+002, 9.7200022E-001, 1.9349344E-001, 8.7392935E-003, 6.5992744E-007, 5.7394450E-008, 1.5731165E-002, 5.1759015E-007, 7.8203474E-001, 4.9338812E-008
 8.8694444E+001, 4.3741624E+002, 4.3086861E+002, 2.6219143E+000, 6.2046970E+001, 1.0111975E+002, 9.6543795E-001, 1.9379306E-001, 8.5735381E-003, 5.1898172E-007, 4.5845109E-008, 1.5510420E-002, 4.0704449E-007, 7.8212191E-001, 3.8788443E-008
 8.9699495E+001, 4.3451754E+002, 4.2827884E+002, 2.6085235E+000, 6.0374743E+001, 9.8332366E+001, 9.5891906E-001, 1.9407265E-001, 8.4188341E-003, 4.2013271E-007, 3.7735256E-008, 1.5304437E-002, 3.2951585E-007, 7.8220321E-001, 3.1393593E-008
 9.0704545E+001, 4.3178368E+002, 4.2581133E+002, 2.5962355E+000, 5.8825730E+001, 9.5796748E+001, 9.5367882E-001, 1.9433844E-001, 8.2717477E-003, 3.4222556E-007, 3.0999351E-008, 1.5108619E-002, 2.6841221E-007, 7.8228048E-001, 2.5568183E-008
