cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 4.6500000E+001, 1.2239825E+003, 1.5570133E+002, 3.7293103E+001, 5.3650090E+002, 2.3930611E+002, 4.4472366E+002, 1.5204942E+002, 4.2019912E+002, 1.1338426E+002, 3.9132650E+002, 7.1611933E+001, 3.8513996E+002, 5.9073025E+001, 1.5504000E+002, 4.6770000E+000, 3.5233828E-001, 1.8268727E+000, 1.7551786E+000, 1.6104613E+000, 1.0350000E+002, 8.4924730E-001
 4.8500000E+001, 1.2165517E+003, 1.6177005E+002, 3.9327586E+001, 5.0857430E+002, 2.2670887E+002, 4.2181319E+002, 1.3518850E+002, 4.0343846E+002, 1.0177469E+002, 3.7919333E+002, 6.5714883E+001, 3.7736036E+002, 5.7314163E+001, 1.5952000E+002, 4.8760000E+000, 3.2953763E-001, 1.7277492E+000, 1.6712985E+000, 1.5368089E+000, 1.0800000E+002, 8.3751780E-001
 5.0500000E+001, 1.2086018E+003, 1.6773080E+002, 4.1362069E+001, 4.6228118E+002, 1.9546180E+002, 4.0045000E+002, 1.2090476E+002, 3.8882668E+002, 8.9049000E+001, 3.6919651E+002, 6.2093057E+001, 3.6977552E+002, 5.4418090E+001, 1.6400000E+002, 5.0750000E+000, 3.0856398E-001, 1.6352330E+000, 1.5927019E+000, 1.4672479E+000, 1.1250000E+002, 8.1131570E-001
 5.2500000E+001, 1.2000540E+003, 1.7342927E+002, 4.3396552E+001, 4.1429422E+002, 1.5371172E+002, 3.8060372E+002, 1.0615876E+002, 3.7432570E+002, 7.9644522E+001, 3.6159496E+002, 5.8620367E+001, 3.6233109E+002, 5.0470221E+001, 1.6848000E+002, 5.2740000E+000, 2.7140313E-001, 1.4681615E+000, 1.4495816E+000, 1.3395025E+000, 1.1700000E+002, 7.9679962E-001
 5.4500000E+001, 1.1908753E+003, 1.7896392E+002, 4.5431034E+001, 3.6578372E+002, 1.0508209E+002, 3.6326758E+002, 9.0717272E+001, 3.6074073E+002, 7.1631570E+001, 3.5484612E+002, 5.4044825E+001, 3.5497746E+002, 4.7576683E+001, 1.7296000E+002, 5.4730000E+000, 2.5491759E-001, 1.3927906E+000, 1.3842564E+000, 1.2809119E+000, 1.2150000E+002, 7.8154544E-001
 5.6500000E+001, 1.1808917E+003, 1.8435317E+002, 4.7465517E+001, 3.3036505E+002, 5.4855995E+001, 3.4538031E+002, 6.8404066E+001, 3.4846264E+002, 6.2662481E+001, 3.4646235E+002, 4.7430771E+001, 3.4763152E+002, 4.5453266E+001, 1.7744000E+002, 5.6720000E+000, 2.3965725E-001, 1.3223823E+000, 1.3226092E+000, 1.2255952E+000, 1.2600000E+002, 7.6573156E-001
 5.8500000E+001, 1.1698156E+003, 1.8955470E+002, 4.9500000E+001, 3.1388250E+002, 2.3072773E+001, 3.2951219E+002, 5.0408265E+001, 3.3689174E+002, 5.2158694E+001, 3.3765902E+002, 4.2663943E+001, 3.4113558E+002, 4.3158605E+001, 1.8192000E+002, 5.8710000E+000, 2.2502455E-001, 1.2479115E+000, 1.2494557E+000, 1.1594319E+000, 1.3050000E+002, 7.4950836E-001
 6.0500000E+001, 1.1575155E+003, 1.9480584E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 2.1196993E-001, 1.1869608E+000, 1.1949507E+000, 1.1107445E+000, 1.3500000E+002, 7.3304925E-001
 6.2500000E+001, 1.1447377E+003, 1.9963881E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 1.9983248E-001, 1.1300604E+000, 1.1431984E+000, 1.0648078E+000, 1.3950000E+002, 7.1658079E-001
 6.4500000E+001, 1.1312472E+003, 2.0415488E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 1.8853380E-001, 1.0769577E+000, 1.0939684E+000, 1.0214720E+000, 1.4400000E+002, 6.9476927E-001
 6.6500000E+001, 1.1170375E+003, 2.0876146E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 1.7800370E-001, 1.0274156E+000, 1.0470554E+000, 9.8059095E-001, 1.4850000E+002, 6.6402898E-001
 6.8500000E+001, 1.1020913E+003, 2.1333163E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 1.5900172E-001, 9.3813155E-001, 9.5947438E-001, 9.0562224E-001, 1.5300000E+002, 6.4851320E-001
 7.0500000E+001, 1.0869211E+003, 2.1750945E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 1.5042094E-001, 8.9797749E-001, 9.1850723E-001, 8.7125538E-001, 1.5750000E+002, 6.3289688E-001
 7.2500000E+001, 1.0715929E+003, 2.2111450E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 1.4238979E-001, 8.6055787E-001, 8.7925478E-001, 8.3878459E-001, 1.6200000E+002, 6.1730077E-001
 7.4500000E+001, 1.0561344E+003, 2.2409941E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 1.3486592E-001, 8.2569102E-001, 8.4161281E-001, 8.0807660E-001, 1.6650000E+002, 6.0182539E-001
