cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
 1.1500000E+001, 1.2321977E+003, 1.7539384E+002, 1.5000000E+000, 1.2125665E+003, 2.0436805E+002, 9.6914215E+002, 2.7924284E+002, 6.9117212E+002, 2.1402174E+002, 5.2629277E+002, 1.2036331E+002, 4.6245489E+002, 7.5697001E+001, 1.0128000E+002, 2.2890000E+000, 7.9192085E-001, 3.6767649E+000, 3.1997306E+000, 2.6986787E+000, 4.9500000E+001, 8.9157784E-001
 1.2500000E+001, 1.2335677E+003, 1.7027337E+002, 2.5000000E+000, 1.1898153E+003, 2.1787128E+002, 9.4511965E+002, 2.7923550E+002, 6.8062674E+002, 2.1431242E+002, 5.2277032E+002, 1.1882482E+002, 4.6032410E+002, 7.4802634E+001, 1.0576000E+002, 2.4880000E+000, 7.2325092E-001, 3.4376289E+000, 3.0129936E+000, 2.5624722E+000, 5.4000000E+001, 9.0164828E-001
 1.3500000E+001, 1.2331451E+003, 1.6844743E+002, 3.5000000E+000, 1.1707448E+003, 2.3057804E+002, 9.1832561E+002, 2.7911474E+002, 6.6782113E+002, 2.1252012E+002, 5.1954790E+002, 1.1813536E+002, 4.5829252E+002, 7.4154868E+001, 1.1024000E+002, 2.6870000E+000, 6.6218841E-001, 3.2178751E+000, 2.8390811E+000, 2.4342187E+000, 5.8500000E+001, 9.0919567E-001
 1.4500000E+001, 1.2349102E+003, 1.7010362E+002, 4.5000000E+000, 1.1492640E+003, 2.3616892E+002, 8.8766445E+002, 2.7644853E+002, 6.5339422E+002, 2.1086324E+002, 5.1663167E+002, 1.1859153E+002, 4.5680124E+002, 7.4823952E+001, 1.1472000E+002, 2.8860000E+000, 6.0768433E-001, 3.0155117E+000, 2.6771649E+000, 2.3134283E+000, 6.3000000E+001, 9.0175484E-001
 1.5500000E+001, 1.2395403E+003, 1.7419076E+002, 5.5000000E+000, 1.1282255E+003, 2.4180580E+002, 8.6006669E+002, 2.7419652E+002, 6.4010987E+002, 2.0970552E+002, 5.1381265E+002, 1.2102115E+002, 4.5494983E+002, 7.5156841E+001, 1.1920000E+002, 3.0850000E+000, 5.5922226E-001, 2.8222415E+000, 2.5211325E+000, 2.1968469E+000, 6.7500000E+001, 8.9743153E-001
 1.6500000E+001, 1.2445401E+003, 1.7805556E+002, 6.5000000E+000, 1.1096200E+003, 2.4864653E+002, 8.2956862E+002, 2.7039700E+002, 6.2555162E+002, 2.0843543E+002, 5.1076609E+002, 1.2121532E+002, 4.5297425E+002, 7.5474339E+001, 1.2368000E+002, 3.2840000E+000, 5.1572343E-001, 2.6513959E+000, 2.3825480E+000, 2.0908374E+000, 7.2000000E+001, 8.7430727E-001
 1.7500000E+001, 1.2439895E+003, 1.8118574E+002, 7.5000000E+000, 1.0865269E+003, 2.4958112E+002, 7.9516390E+002, 2.6715150E+002, 6.0661216E+002, 2.0250398E+002, 5.0667738E+002, 1.2041267E+002, 4.5145149E+002, 7.6482859E+001, 1.2816000E+002, 3.4830000E+000, 4.4104641E-001, 2.3463209E+000, 2.1335516E+000, 1.8962241E+000, 7.6500000E+001, 8.5916316E-001
 1.8500000E+001, 1.2407724E+003, 1.8524553E+002, 8.5000000E+000, 1.0537918E+003, 2.5382224E+002, 7.6352199E+002, 2.6260870E+002, 5.8983416E+002, 1.9786463E+002, 4.9999786E+002, 1.1709535E+002, 4.4989428E+002, 7.7465880E+001, 1.3264000E+002, 3.6820000E+000, 4.0890395E-001, 2.2098856E+000, 2.0218168E+000, 1.8068265E+000, 8.1000000E+001, 8.4395572E-001
 1.9500000E+001, 1.2387882E+003, 1.9024435E+002, 9.5000000E+000, 1.0284267E+003, 2.6072996E+002, 7.3283750E+002, 2.5458548E+002, 5.7722520E+002, 1.9561874E+002, 4.9342438E+002, 1.1494358E+002, 4.4752451E+002, 7.7192731E+001, 1.3712000E+002, 3.8810000E+000, 3.7969596E-001, 2.0829350E+000, 1.9177576E+000, 1.7222307E+000, 8.5500000E+001, 8.2978801E-001
 2.0500000E+001, 1.2388401E+003, 1.9416326E+002, 1.0500000E+001, 1.0045836E+003, 2.6009684E+002, 7.0694589E+002, 2.4825676E+002, 5.6591657E+002, 1.9209729E+002, 4.8690503E+002, 1.1411205E+002, 4.4458972E+002, 7.6390924E+001, 1.4160000E+002, 4.0800000E+000, 3.5309342E-001, 1.9646710E+000, 1.8207849E+000, 1.6421278E+000, 9.0000000E+001, 8.1702254E-001
 2.1500000E+001, 1.2379093E+003, 1.9781752E+002, 1.1500000E+001, 9.7187505E+002, 2.5871562E+002, 6.8013113E+002, 2.4021495E+002, 5.5388695E+002, 1.8615139E+002, 4.8158268E+002, 1.1341527E+002, 4.4133489E+002, 7.5150803E+001, 1.4608000E+002, 4.2790000E+000, 3.2881161E-001, 1.8543889E+000, 1.7303394E+000, 1.5662432E+000, 9.4500000E+001, 8.0542169E-001
 2.2500000E+001, 1.2347088E+003, 2.0342982E+002, 1.2500000E+001, 9.4015271E+002, 2.5769591E+002, 6.4948832E+002, 2.3075693E+002, 5.4080682E+002, 1.7965353E+002, 4.7669526E+002, 1.1304352E+002, 4.3758198E+002, 7.4268449E+001, 1.5056000E+002, 4.4780000E+000, 3.0660258E-001, 1.7514646E+000, 1.6458925E+000, 1.4943341E+000, 9.9000000E+001, 7.9446516E-001
 2.3500000E+001, 1.2307310E+003, 2.0815641E+002, 1.3500000E+001, 9.1033874E+002, 2.5814241E+002, 6.2148833E+002, 2.2137048E+002, 5.2707035E+002, 1.7142399E+002, 4.7190816E+002, 1.1340613E+002, 4.3407886E+002, 7.4635569E+001, 1.5504000E+002, 4.6770000E+000, 2.8625063E-001, 1.6553442E+000, 1.5669463E+000, 1.4261849E+000, 1.0350000E+002, 7.8361396E-001
 2.4500000E+001, 1.2279475E+003, 2.1065086E+002, 1.4500000E+001, 8.8180045E+002, 2.6096942E+002, 6.0214647E+002, 2.1508515E+002, 5.1403472E+002, 1.6390490E+002, 4.6682689E+002, 1.1184893E+002, 4.3126458E+002, 7.4734506E+001, 1.5952000E+002, 4.8760000E+000, 2.6756630E-001, 1.5655334E+000, 1.4930345E+000, 1.3616042E+000, 1.0800000E+002, 7.6015831E-001
 2.5500000E+001, 1.2256288E+003, 2.1209535E+002, 1.5500000E+001, 8.6293670E+002, 2.6194608E+002, 5.8938588E+002, 2.0919833E+002, 5.0365504E+002, 1.6059560E+002, 4.6082486E+002, 1.0788907E+002, 4.2864357E+002, 7.4010778E+001, 1.6400000E+002, 5.0750000E+000, 2.5038344E-001, 1.4815898E+000, 1.4237226E+000, 1.3004204E+000, 1.1250000E+002, 7.4695912E-001
 2.6500000E+001, 1.2235131E+003, 2.1351930E+002, 1.6500000E+001, 8.4044241E+002, 2.6093615E+002, 5.7731991E+002, 2.0203688E+002, 4.9558485E+002, 1.5759988E+002, 4.5490406E+002, 1.0475291E+002, 4.2539557E+002, 7.2129529E+001, 1.6848000E+002, 5.2740000E+000, 2.1995328E-001, 1.3297482E+000, 1.2973201E+000, 1.1876320E+000, 1.1700000E+002, 7.3279217E-001
 2.7500000E+001, 1.2205149E+003, 2.1548323E+002, 1.7500000E+001, 8.1497994E+002, 2.6068500E+002, 5.6334872E+002, 1.9830723E+002, 4.8701600E+002, 1.5379544E+002, 4.4886083E+002, 1.0148273E+002, 4.2172478E+002, 6.8854544E+001, 1.7296000E+002, 5.4730000E+000, 2.0646163E-001, 1.2611617E+000, 1.2395187E+000, 1.1357488E+000, 1.2150000E+002, 7.1787425E-001
 2.8500000E+001, 1.2164850E+003, 2.1700249E+002, 1.8500000E+001, 7.9414434E+002, 2.6383067E+002, 5.5035219E+002, 1.9627862E+002, 4.7844516E+002, 1.4978800E+002, 4.4352362E+002, 9.9520723E+001, 4.1706105E+002, 6.4857793E+001, 1.7744000E+002, 5.6720000E+000, 1.9397911E-001, 1.1970548E+000, 1.1848944E+000, 1.0866993E+000, 1.2600000E+002, 7.0248678E-001
 2.9500000E+001, 1.2106224E+003, 2.1831319E+002, 1.9500000E+001, 7.7505222E+002, 2.6840812E+002, 5.3574434E+002, 1.9012494E+002, 4.7118583E+002, 1.4655017E+002, 4.3802510E+002, 9.7998308E+001, 4.1119194E+002, 6.1226392E+001, 1.8192000E+002, 5.8710000E+000, 1.8253451E-001, 1.1328577E+000, 1.1278527E+000, 1.0354739E+000, 1.3050000E+002, 6.8691415E-001
 3.0500000E+001, 1.2045907E+003, 2.1998269E+002, 2.0500000E+001, 7.5201235E+002, 2.6423324E+002, 5.2390699E+002, 1.8605849E+002, 4.6568986E+002, 1.4357058E+002, 4.3207256E+002, 9.5296206E+001, 4.0651864E+002, 5.8251677E+001, 1.8640000E+002, 6.0700000E+000, 1.7572460E-001, 1.0932549E+000, 1.0945695E+000, 1.0077778E+000, 1.3500000E+002, 6.7140734E-001
 3.1500000E+001, 1.1984798E+003, 2.2270523E+002, 2.1500000E+001, 7.2943356E+002, 2.6072823E+002, 5.1294757E+002, 1.8122939E+002, 4.5993934E+002, 1.4181101E+002, 4.2469472E+002, 8.9564626E+001, 4.0263825E+002, 5.6858961E+001, 1.9088000E+002, 6.2690000E+000, 1.6577359E-001, 1.0417958E+000, 1.0485291E+000, 9.6712780E-001, 1.3950000E+002, 6.5614531E-001
 3.2500000E+001, 1.1908876E+003, 2.2497649E+002, 2.2500000E+001, 7.0999235E+002, 2.6190738E+002, 5.0185680E+002, 1.7660249E+002, 4.5245240E+002, 1.3814303E+002, 4.1888451E+002, 8.4324416E+001, 3.9888945E+002, 5.5614964E+001, 1.9536000E+002, 6.4680000E+000, 1.5651000E-001, 9.9375087E-001, 1.0046396E+000, 9.2875096E-001, 1.4400000E+002, 6.2507715E-001
 3.3500000E+001, 1.1843337E+003, 2.2793480E+002, 2.3500000E+001, 6.9142993E+002, 2.6525358E+002, 4.9181793E+002, 1.7469700E+002, 4.4430794E+002, 1.3236727E+002, 4.1272265E+002, 7.7402793E+001, 3.9456311E+002, 5.2682760E+001, 1.9984000E+002, 6.6670000E+000, 1.4787638E-001, 9.4891009E-001, 9.6272902E-001, 8.9252390E-001, 1.4850000E+002, 6.1078019E-001
 3.4500000E+001, 1.1785586E+003, 2.3125173E+002, 2.4500000E+001, 6.7338827E+002, 2.6410298E+002, 4.8409338E+002, 1.7408022E+002, 4.3764005E+002, 1.2853236E+002, 4.0637809E+002, 7.3831778E+001, 3.9062796E+002, 5.0630105E+001, 2.0432000E+002, 6.8660000E+000, 1.3229758E-001, 8.6805584E-001, 8.8426218E-001, 8.2602596E-001, 1.5300000E+002, 5.9648147E-001
 3.5500000E+001, 1.1736174E+003, 2.3442165E+002, 2.5500000E+001, 6.6063335E+002, 2.6654656E+002, 4.7418031E+002, 1.7160547E+002, 4.3032443E+002, 1.2744572E+002, 4.0139024E+002, 7.3634405E+001, 3.8715051E+002, 5.0127051E+001, 2.0880000E+002, 7.0650000E+000, 1.2526346E-001, 8.3167397E-001, 8.4746226E-001, 7.9550951E-001, 1.5750000E+002, 5.8216529E-001
 3.6500000E+001, 1.1677142E+003, 2.3823460E+002, 2.6500000E+001, 6.5160419E+002, 2.6755564E+002, 4.6296609E+002, 1.6506552E+002, 4.2473822E+002, 1.2723940E+002, 3.9680806E+002, 7.2817914E+001, 3.8409282E+002, 5.0076910E+001, 2.1328000E+002, 7.2640000E+000, 1.1868064E-001, 7.9775826E-001, 8.1215046E-001, 7.6665275E-001, 1.6200000E+002, 5.6786348E-001
 3.7500000E+001, 1.1607670E+003, 2.4220937E+002, 2.7500000E+001, 6.4283736E+002, 2.6690855E+002, 4.4852370E+002, 1.5343621E+002, 4.1919747E+002, 1.2427599E+002, 3.9257009E+002, 7.2052596E+001, 3.8085155E+002, 5.0206164E+001, 2.1776000E+002, 7.4630000E+000, 1.1251440E-001, 7.6614568E-001, 7.7824444E-001, 7.3933628E-001, 1.6650000E+002, 5.5361498E-001
 3.8500000E+001, 1.1535222E+003, 2.4600028E+002, 2.8500000E+001, 6.3601107E+002, 2.6763426E+002, 4.3639902E+002, 1.4334995E+002, 4.1248623E+002, 1.2330155E+002, 3.8767036E+002, 7.1231104E+001, 3.7660636E+002, 4.9349069E+001, 2.2224000E+002, 7.6620000E+000, 1.0673318E-001, 7.3668103E-001, 7.4567440E-001, 7.1344331E-001, 1.7100000E+002, 5.3944647E-001
 3.9500000E+001, 1.1460599E+003, 2.4908511E+002, 2.9500000E+001, 6.2030086E+002, 2.6759525E+002, 4.2650213E+002, 1.3707787E+002, 4.0524893E+002, 1.2359763E+002, 3.8239216E+002, 7.0181242E+001, 3.7278635E+002, 4.8831224E+001, 2.2672000E+002, 7.8610000E+000, 1.0130827E-001, 7.0921650E-001, 7.1438150E-001, 6.8886068E-001, 1.7550000E+002, 5.2538864E-001
 4.0500000E+001, 1.1387786E+003, 2.5161216E+002, 3.0500000E+001, 6.0904207E+002, 2.7074661E+002, 4.1833327E+002, 1.3241136E+002, 3.9827191E+002, 1.2133457E+002, 3.7746206E+002, 6.9015950E+001, 3.6906778E+002, 4.8207855E+001, 2.3120000E+002, 8.0600000E+000, 9.6213364E-002, 6.8361138E-001, 6.8431621E-001, 6.6547933E-001, 1.8000000E+002, 5.1148806E-001
 4.1500000E+001, 1.1319955E+003, 2.5383269E+002, 3.1500000E+001, 6.0002179E+002, 2.7450984E+002, 4.0814064E+002, 1.2429311E+002, 3.9213141E+002, 1.1597801E+002, 3.7267887E+002, 6.7442515E+001, 3.6578808E+002, 4.7804138E+001, 2.3568000E+002, 8.2590000E+000, 9.1424301E-002, 6.5973196E-001, 6.5543672E-001, 6.4319506E-001,NaN,NaN
 4.2500000E+001, 1.1252024E+003, 2.5585723E+002, 3.2500000E+001, 5.8551556E+002, 2.7791131E+002, 3.9851724E+002, 1.1799977E+002, 3.8518665E+002, 1.0778361E+002, 3.6742548E+002, 6.5361785E+001, 3.6255758E+002, 4.7392981E+001, 2.4016000E+002, 8.4580000E+000, 8.2677967E-002, 6.1664984E-001, 6.0109749E-001, 6.0152855E-001,NaN,NaN
 4.3500000E+001, 1.1177618E+003, 2.5806474E+002, 3.3500000E+001, 5.7372385E+002, 2.8362022E+002, 3.9049221E+002, 1.1409776E+002, 3.7763312E+002, 1.0142253E+002, 3.6250897E+002, 6.3545292E+001, 3.5921188E+002, 4.6527311E+001, 2.4464000E+002, 8.6570000E+000, 7.8682382E-002, 5.9721368E-001, 5.7558016E-001, 5.8196710E-001,NaN,NaN
 4.4500000E+001, 1.1097807E+003, 2.6043081E+002, 3.4500000E+001, 5.5969402E+002, 2.7754956E+002, 3.8413984E+002, 1.1064583E+002, 3.7018940E+002, 9.5952814E+001, 3.5901786E+002, 6.3374148E+001, 3.5618015E+002, 4.5268713E+001, 2.4912000E+002, 8.8560000E+000, 7.4915376E-002, 5.7903608E-001, 5.5113141E-001, 5.6314536E-001,NaN,NaN
 4.5500000E+001, 1.1022462E+003, 2.6206511E+002, 3.5500000E+001, 5.3983259E+002, 2.7364227E+002, 3.7906203E+002, 1.0589501E+002, 3.6297494E+002, 8.5225602E+001, 3.5579779E+002, 6.3195255E+001, 3.5347098E+002, 4.4390543E+001, 2.5360000E+002, 9.0550000E+000, 7.4837605E-002, 5.8217074E-001, 5.4651222E-001, 5.6287369E-001,NaN,NaN
 4.6500000E+001, 1.0941939E+003, 2.6350627E+002, 3.6500000E+001, 5.0961491E+002, 2.6425839E+002, 3.7350313E+002, 1.0101646E+002, 3.5707931E+002, 7.3505696E+001, 3.5253721E+002, 6.3100548E+001, 3.5094761E+002, 4.3143870E+001, 2.5808000E+002, 9.2540000E+000, 7.1419981E-002, 5.6593091E-001, 5.2401136E-001, 5.4501571E-001,NaN,NaN
 4.7500000E+001, 1.0857435E+003, 2.6521162E+002, 3.7500000E+001, 4.7381017E+002, 2.5005944E+002, 3.6782499E+002, 9.8765969E+001, 3.5233775E+002, 6.7807510E+001, 3.4944079E+002, 6.1938371E+001, 3.4798290E+002, 4.1941113E+001, 2.6256000E+002, 9.4530000E+000, 6.8185252E-002, 5.5062236E-001, 5.0248771E-001, 5.2767448E-001,NaN,NaN
 4.8500000E+001, 1.0783032E+003, 2.6604622E+002, 3.8500000E+001, 4.4759559E+002, 2.3304565E+002, 3.6300965E+002, 9.7335602E+001, 3.4839218E+002, 6.4460287E+001, 3.4608905E+002, 5.9059137E+001, 3.4500689E+002, 4.1109605E+001, 2.6704000E+002, 9.6520000E+000, 6.5121589E-002, 5.3616607E-001, 4.8192274E-001, 5.1080325E-001,NaN,NaN
 4.9500000E+001, 1.0714972E+003, 2.6648824E+002, 3.9500000E+001, 4.2962594E+002, 2.2277917E+002, 3.5775073E+002, 9.0898609E+001, 3.4531908E+002, 6.2069331E+001, 3.4313118E+002, 5.5748320E+001, 3.4275984E+002, 4.0166094E+001, 2.7152000E+002, 9.8510000E+000, 6.2218047E-002, 5.2248869E-001, 4.6229752E-001, 4.9436201E-001,NaN,NaN
 5.0500000E+001, 1.0650988E+003, 2.6706845E+002, 4.0500000E+001, 4.0830427E+002, 2.0659222E+002, 3.5140510E+002, 8.4788212E+001, 3.4097290E+002, 5.8407642E+001, 3.3904891E+002, 5.0822799E+001, 3.4077897E+002, 3.9306092E+001, 2.7600000E+002, 1.0050000E+001, 5.6852444E-002, 4.9720390E-001, 4.2578616E-001, 4.6264105E-001,NaN,NaN
 5.1500000E+001, 1.0587525E+003, 2.6800208E+002, 4.1500000E+001, 3.7368685E+002, 1.6176188E+002, 3.4633284E+002, 8.2960344E+001, 3.3632380E+002, 5.5054694E+001, 3.3579512E+002, 4.8490952E+001, 3.3893288E+002, 3.8226594E+001, 2.8048000E+002, 1.0249000E+001, 5.4372684E-002, 4.8547573E-001, 4.0885729E-001, 4.4731173E-001,NaN,NaN
 5.2500000E+001, 1.0521555E+003, 2.6969300E+002, 4.2500000E+001, 3.4651679E+002, 1.1703177E+002, 3.3910669E+002, 7.9911511E+001, 3.3158217E+002, 5.1928765E+001, 3.3321491E+002, 4.8132874E+001, 3.3679666E+002, 3.6984276E+001, 2.8496000E+002, 1.0448000E+001, 5.2017485E-002, 4.7428428E-001, 3.9278240E-001, 4.3231219E-001,NaN,NaN
 5.3500000E+001, 1.0448921E+003, 2.7182580E+002, 4.3500000E+001, 3.3300877E+002, 1.0132424E+002, 3.3347887E+002, 7.6007948E+001, 3.2744136E+002, 4.8632556E+001, 3.3099113E+002, 4.7310015E+001, 3.3450897E+002, 3.5984033E+001, 2.8944000E+002, 1.0647000E+001, 4.9779357E-002, 4.6358042E-001, 3.7753709E-001, 4.1763005E-001,NaN,NaN
 5.4500000E+001, 1.0374255E+003, 2.7374022E+002, 4.4500000E+001, 3.2613685E+002, 9.7172153E+001, 3.3030476E+002, 7.2301839E+001, 3.2392000E+002, 4.6405493E+001, 3.2811861E+002, 4.4476641E+001, 3.3242838E+002, 3.5232142E+001, 2.9392000E+002, 1.0846000E+001, 4.7651586E-002, 4.5331927E-001, 3.6309582E-001, 4.0325699E-001,NaN,NaN
 5.5500000E+001, 1.0293810E+003, 2.7487892E+002, 4.5500000E+001, 3.2057772E+002, 8.7086940E+001, 3.2781685E+002, 6.8085422E+001, 3.2078742E+002, 4.4145108E+001, 3.2488011E+002, 4.0698022E+001, 3.3005355E+002, 3.3810109E+001, 2.9840000E+002, 1.1045000E+001, 4.5627669E-002, 4.4345975E-001, 3.4943191E-001, 3.8918828E-001,NaN,NaN
 5.6500000E+001, 1.0204335E+003, 2.7579296E+002, 4.6500000E+001, 3.1611476E+002, 6.6823417E+001, 3.2615831E+002, 6.5457164E+001, 3.1844223E+002, 4.1727620E+001, 3.2225698E+002, 3.8407212E+001, 3.2792748E+002, 3.2978632E+001, 3.0288000E+002, 1.1244000E+001, 4.3789492E-002, 4.3358334E-001, 3.3449633E-001, 3.7467683E-001,NaN,NaN
 5.7500000E+001, 1.0109965E+003, 2.7676371E+002, 4.7500000E+001, 3.1225956E+002, 3.7552592E+001, 3.2411813E+002, 6.3901949E+001, 3.1734157E+002, 4.1024163E+001, 3.2052223E+002, 3.7013612E+001, 3.2557932E+002, 3.2073024E+001, 3.0736000E+002, 1.1443000E+001, 4.1945124E-002, 4.2447930E-001, 3.2228670E-001, 3.6123331E-001,NaN,NaN
 5.8500000E+001, 1.0013481E+003, 2.7763329E+002, 4.8500000E+001, 3.0895402E+002, 9.6498570E+000, 3.2266969E+002, 6.3208969E+001, 3.1683843E+002, 4.1313871E+001, 3.1884281E+002, 3.4888238E+001, 3.2326465E+002, 3.0684014E+001, 3.1184000E+002, 1.1642000E+001, 4.0188660E-002, 4.1567215E-001, 3.1077024E-001, 3.4809213E-001,NaN,NaN
 5.9500000E+001, 9.9067212E+002, 2.7822332E+002, 4.9500000E+001, 3.0766970E+002, 1.0680100E+000, 3.2064752E+002, 5.9386804E+001, 3.1627271E+002, 4.0946050E+001, 3.1655646E+002, 3.1205069E+001, 3.2146588E+002, 2.9381358E+001, 3.1632000E+002, 1.1841000E+001, 3.6919880E-002, 3.9883814E-001, 2.8969880E-001, 3.2273364E-001,NaN,NaN
 6.0500000E+001, 9.8067817E+002, 2.7872105E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 3.7806665E-002, 4.0294786E-001, 2.9539104E-001, 3.2231663E-001,NaN,NaN
 6.1500000E+001, 9.7079938E+002, 2.7883428E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 3.6305498E-002, 3.9460269E-001, 2.8616391E-001, 3.1020846E-001,NaN,NaN
 6.2500000E+001, 9.6148070E+002, 2.7881999E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 3.4870485E-002, 3.8643916E-001, 2.7747320E-001, 2.9843879E-001,NaN,NaN
 6.3500000E+001, 9.5310265E+002, 2.7863508E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 3.3498113E-002, 3.7844266E-001, 2.6929035E-001, 2.8701383E-001,NaN,NaN
 6.4500000E+001, 9.4535739E+002, 2.7841733E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 3.2185067E-002, 3.7060039E-001, 2.6158734E-001, 2.7593908E-001,NaN,NaN
