cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
 4.7500000E+000, 1.0260102E+003, 1.0367883E+003, 7.6321004E-001, 2.8618855E+002, 3.1498270E+002, 2.3694041E-001, 9.4001319E-003, 5.3713472E-002, 5.1590611E-002, 2.3729778E-001, 1.6114403E-001, 5.1590611E-002, 4.3526336E-001, 0.0000000E+000, 5.0000000E+000, 2.2027157E+001, 1.5557902E+001, 6.0267857E+000, 1.0517081E+000, 2.1488016E+001, 1.7864403E+000, 5.0000000E-001, 9.5159365E+002, 1.0393362E+003, 8.2010592E+002, 6.5168020E+002, 5.4998236E+002, 2.0277725E+002, 2.0353787E+002, 2.0116726E+002, 1.5690337E+002, 1.1337895E+002
 5.2500000E+000, 1.0571382E+003, 1.0692779E+003, 8.8401725E-001, 2.8988866E+002, 3.2064266E+002, 2.5716706E-001, 1.0202174E-002, 5.5611754E-002, 5.1291222E-002, 2.1847610E-001, 1.6470550E-001, 5.1291222E-002, 4.4842203E-001, 0.0000000E+000, 6.0000000E+000, 2.2816037E+001, 1.5498080E+001, 6.6964286E+000, 1.0599443E+000, 2.2080750E+001, 1.7088230E+000, 1.0000000E+000, 1.0497618E+003, 9.6485600E+002, 7.8267389E+002, 6.3001497E+002, 5.3867142E+002, 2.2104382E+002, 2.0101338E+002, 1.8912354E+002, 1.4733860E+002, 1.1012166E+002
 5.7500000E+000, 1.0835058E+003, 1.0966490E+003, 1.0038465E+000, 2.9004638E+002, 3.2240575E+002, 2.7683654E-001, 1.1228471E-002, 5.7215227E-002, 5.0818607E-002, 2.0198502E-001, 1.6749852E-001, 5.0818607E-002, 4.6043555E-001, 0.0000000E+000, 7.0000000E+000, 2.5549668E+001, 1.5350324E+001, 7.3660714E+000, 1.0477535E+000, 2.2673517E+001, 1.5947871E+000, 1.5000000E+000, 1.0924847E+003, 9.1984209E+002, 7.6144344E+002, 6.1884248E+002, 5.3250049E+002, 2.2286170E+002, 1.9751338E+002, 1.8309766E+002, 1.4372689E+002, 1.0908638E+002
 6.2500000E+000, 1.1058416E+003, 1.1197163E+003, 1.1207516E+000, 2.8883313E+002, 3.2281331E+002, 2.9714191E-001, 1.2429232E-002, 5.8553644E-002, 5.0284183E-002, 1.8725983E-001, 1.6969495E-001, 5.0284183E-002, 4.7149397E-001, 0.0000000E+000, 8.0000000E+000, 3.0023098E+001, 1.4652416E+001, 8.0357143E+000, 9.8631384E-001, 2.3266315E+001, 1.4918165E+000, 2.0000000E+000, 1.1138036E+003, 8.7074074E+002, 7.3678722E+002, 6.0682336E+002, 5.2690135E+002, 2.0664715E+002, 1.9510640E+002, 1.7738164E+002, 1.4153764E+002, 1.0880447E+002
 6.7500000E+000, 1.1255993E+003, 1.1400918E+003, 1.2345388E+000, 2.8756133E+002, 3.2322685E+002, 3.1849047E-001, 1.3732670E-002, 5.9715847E-002, 4.9652369E-002, 1.7404749E-001, 1.7143771E-001, 4.9652369E-002, 4.8176155E-001, 0.0000000E+000, 9.0000000E+000, 3.0544119E+001, 1.3799100E+001, 8.7053571E+000, 9.4945277E-001, 2.3859140E+001, 1.4326682E+000, 2.5000000E+000, 1.1389414E+003, 8.2034842E+002, 7.0652216E+002, 5.9323310E+002, 5.1873651E+002, 1.9509502E+002, 1.8883548E+002, 1.6978826E+002, 1.3952168E+002, 1.0763321E+002
 7.2500000E+000, 1.1440366E+003, 1.1591380E+003, 1.3456723E+000, 2.8676006E+002, 3.2419605E+002, 3.4010185E-001, 1.5044502E-002, 6.0803875E-002, 4.8903886E-002, 1.6200834E-001, 1.7291248E-001, 4.8903886E-002, 4.9142303E-001, 0.0000000E+000, 1.0000000E+001, 2.9743607E+001, 1.2843635E+001, 9.3750000E+000, 9.1505515E-001, 2.4451992E+001, 1.3448771E+000, 3.0000000E+000, 1.1851098E+003, 7.6459628E+002, 6.7442991E+002, 5.7782763E+002, 5.0854951E+002, 1.8509453E+002, 1.8090639E+002, 1.6050998E+002, 1.3547915E+002, 1.0473596E+002
 7.7500000E+000, 1.1616026E+003, 1.1773537E+003, 1.4540233E+000, 2.8524150E+002, 3.2419179E+002, 3.6105593E-001, 1.6366244E-002, 6.1827277E-002, 4.8054500E-002, 1.5097531E-001, 1.7415458E-001, 4.8054500E-002, 5.0056759E-001, 0.0000000E+000, 1.1000000E+001, 2.9018974E+001, 1.2362104E+001, 1.0044643E+001, 8.6479752E-001, 2.5044868E+001, 1.2939507E+000, 3.5000000E+000, 1.1851098E+003, 7.6459628E+002, 6.7442991E+002, 5.7782763E+002, 5.0854951E+002, 1.8509453E+002, 1.8090639E+002, 1.6050998E+002, 1.3547915E+002, 1.0473596E+002
 8.2500000E+000, 1.1773509E+003, 1.1936033E+003, 1.5587497E+000, 2.8220822E+002, 3.2254951E+002, 3.8183792E-001, 1.7822241E-002, 6.2721980E-002, 4.7119177E-002, 1.4083641E-001, 1.7505147E-001, 4.7119177E-002, 5.0932955E-001, 0.0000000E+000, 1.2000000E+001, 2.4853311E+001, 1.0753258E+001, 1.0714286E+001, 8.5133427E-001, 2.5637767E+001, 1.2183942E+000, 4.0000000E+000, 1.2514086E+003, 6.6425146E+002, 6.1696785E+002, 5.4395838E+002, 4.8986416E+002, 1.8736250E+002, 1.7328348E+002, 1.4503884E+002, 1.2092643E+002, 9.5350006E+001
 8.7500000E+000, 1.1909450E+003, 1.2073406E+003, 1.6593968E+000, 2.7813863E+002, 3.2031718E+002, 4.0324879E-001, 1.9470174E-002, 6.3452164E-002, 4.6118203E-002, 1.3152732E-001, 1.7555206E-001, 4.6118203E-002, 5.1776188E-001, 0.0000000E+000, 1.3000000E+001, 2.0724276E+001, 9.3493445E+000, 1.1383929E+001, 8.4564084E-001, 2.6230687E+001, 1.1491354E+000, 4.5000000E+000, 1.2629428E+003, 6.2293516E+002, 5.9060215E+002, 5.2564897E+002, 4.8138127E+002, 1.9499333E+002, 1.6806067E+002, 1.3913934E+002, 1.1065388E+002, 9.0865732E+001
 9.2500000E+000, 1.2021707E+003, 1.2183419E+003, 1.6593968E+000, 2.7385574E+002, 3.1844415E+002, 4.0324879E-001, 2.1354266E-002, 6.4008769E-002, 4.5032262E-002, 1.2300968E-001, 1.7561930E-001, 4.5032262E-002, 5.2594346E-001, 0.0000000E+000, 1.4000000E+001, 1.8390338E+001, 8.5546590E+000, 1.2053571E+001, 8.5388996E-001, 2.6823627E+001, 1.1086337E+000, 5.0000000E+000, 1.2601742E+003, 5.8509547E+002, 5.6359190E+002, 5.0781370E+002, 4.7252071E+002, 1.9583252E+002, 1.5862169E+002, 1.3231935E+002, 1.0220094E+002, 8.6351075E+001
 9.7500000E+000, 1.2109482E+003, 1.2266310E+003, 1.8459822E+000, 2.7039976E+002, 3.1776765E+002, 4.5201136E-001, 2.3425337E-002, 6.4393902E-002, 4.3926521E-002, 1.1518162E-001, 1.7532232E-001, 4.3926521E-002, 5.3382377E-001, 0.0000000E+000, 1.5000000E+001, 6.0051266E+000, 3.6177298E+000, 1.2723214E+001, 8.6519472E-001, 2.7416584E+001, 1.0482460E+000, 5.5000000E+000, 1.2396416E+003, 5.5353934E+002, 5.3731795E+002, 4.9224944E+002, 4.6287741E+002, 1.9746915E+002, 1.4975598E+002, 1.2550477E+002, 9.4978290E+001, 8.1797211E+001
 1.0250000E+001, 1.2178338E+003, 1.2328745E+003, 1.9314966E+000, 2.6881362E+002, 3.1909669E+002, 4.8107550E-001, 2.5580253E-002, 6.4673762E-002, 4.2800028E-002, 1.0796685E-001, 1.7479250E-001, 4.2800028E-002, 5.4138659E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3392857E+001, 8.7930994E-001, 2.8009560E+001, 1.0126783E+000, 6.0000000E+000, 1.2060662E+003, 5.2647411E+002, 5.1728215E+002, 4.7997926E+002, 4.5442551E+002, 2.0756661E+002, 1.4178465E+002, 1.2156230E+002, 9.1087416E+001, 7.7819998E+001
 1.0750000E+001, 1.2239459E+003, 1.2383164E+003, 2.0124067E+000, 2.6908530E+002, 3.2222978E+002, 5.1094810E-001, 2.7746592E-002, 6.4890289E-002, 4.1671724E-002, 1.0125527E-001, 1.7413264E-001, 4.1671724E-002, 5.4863176E-001, 0.0000000E+000,NaN,NaN,NaN, 1.4062500E+001, 9.1028508E-001, 2.8602551E+001, 9.5962755E-001, 6.5000000E+000, 1.1656843E+003, 5.0608034E+002, 4.9899753E+002, 4.6807982E+002, 4.4561663E+002, 2.1583459E+002, 1.3727147E+002, 1.1722825E+002, 8.8160432E+001, 7.3418107E+001
 1.1250000E+001, 1.2287971E+003, 1.2424201E+003, 2.0884631E+000, 2.6948795E+002, 3.2539174E+002, 5.4096277E-001, 3.0027151E-002, 6.4992798E-002, 4.0549508E-002, 9.4956391E-002, 1.7324985E-001, 4.0549508E-002, 5.5567480E-001, 0.0000000E+000,NaN,NaN,NaN, 1.4732143E+001, 9.2471659E-001, 2.9195557E+001, 9.1037344E-001, 7.0000000E+000, 1.1130118E+003, 4.9220674E+002, 4.8200455E+002, 4.5531490E+002, 4.3617538E+002, 2.3005234E+002, 1.3367188E+002, 1.1470414E+002, 8.4972084E+001, 6.9795114E+001
 1.1750000E+001, 1.2322866E+003, 1.2451164E+003, 2.1593290E+000, 2.7010332E+002, 3.2862045E+002, 5.7478001E-001, 3.2442049E-002, 6.4993077E-002, 3.9400679E-002, 8.9031768E-002, 1.7213540E-001, 3.9400679E-002, 5.6259635E-001, 0.0000000E+000,NaN,NaN,NaN, 1.5401786E+001, 9.4038348E-001, 2.9788578E+001, 8.8128395E-001, 7.5000000E+000, 1.0570829E+003, 4.8077157E+002, 4.6680448E+002, 4.4312411E+002, 4.2648215E+002, 2.4095899E+002, 1.3147067E+002, 1.1088793E+002, 8.0331660E+001, 6.6430451E+001
 1.2250000E+001, 1.2332997E+003, 1.2452120E+003, 2.2256294E+000, 2.7067298E+002, 3.3147944E+002, 6.0978878E-001, 3.5092750E-002, 6.4839067E-002, 3.8221250E-002, 8.3467330E-002, 1.7068156E-001, 3.8221250E-002, 5.6947679E-001, 0.0000000E+000,NaN,NaN,NaN, 1.6071429E+001, 9.5652732E-001, 3.0381612E+001, 8.3758758E-001, 8.0000000E+000, 9.9722290E+002, 4.7018902E+002, 4.5201223E+002, 4.3154277E+002, 4.1755002E+002, 2.4421187E+002, 1.2917837E+002, 1.0618919E+002, 7.5724990E+001, 6.3191974E+001
 1.2750000E+001, 1.2326690E+003, 1.2434875E+003, 2.2887178E+000, 2.7178664E+002, 3.3488811E+002, 6.4217387E-001, 3.7845404E-002, 6.4579965E-002, 3.7056148E-002, 7.8256546E-002, 1.6903098E-001, 3.7056148E-002, 5.7617481E-001, 0.0000000E+000,NaN,NaN,NaN, 1.6741071E+001, 9.6015439E-001, 3.0974659E+001, 8.1165726E-001, 8.5000000E+000, 9.3332915E+002, 4.6089944E+002, 4.3743589E+002, 4.2105057E+002, 4.0973042E+002, 2.4217171E+002, 1.2845262E+002, 1.0080191E+002, 7.3898256E+001, 6.0839158E+001
 1.3250000E+001, 1.2317030E+003, 1.2413002E+003, 2.3476743E+000, 2.7370779E+002, 3.3936212E+002, 6.7469712E-001, 4.0556051E-002, 6.4298415E-002, 3.5904924E-002, 7.3373201E-002, 1.6734812E-001, 3.5904924E-002, 5.8261437E-001, 0.0000000E+000,NaN,NaN,NaN, 1.7410714E+001, 9.6087999E-001, 3.1567718E+001, 7.7274359E-001, 9.0000000E+000, 8.7528429E+002, 4.5308220E+002, 4.2475907E+002, 4.1187685E+002, 4.0305295E+002, 2.4443789E+002, 1.2586094E+002, 9.7298181E+001, 7.2986428E+001, 5.8992953E+001
 1.3750000E+001, 1.2308413E+003, 1.2391159E+003, 2.4039523E+000, 2.7606026E+002, 3.4459410E+002, 7.0527387E-001, 4.3188914E-002, 6.4007430E-002, 3.4788156E-002, 6.8774842E-002, 1.6567947E-001, 3.4788156E-002, 5.8877304E-001, 0.0000000E+000,NaN,NaN,NaN, 1.8080357E+001, 9.5481476E-001, 3.2160788E+001, 7.3642211E-001, 9.5000000E+000, 8.3123758E+002, 4.4695370E+002, 4.1355455E+002, 4.0301603E+002, 3.9580895E+002, 2.4747799E+002, 1.2372366E+002, 9.4971735E+001, 7.1146381E+001, 5.6573471E+001
 1.4250000E+001, 1.2301916E+003, 1.2372499E+003, 2.4574876E+000, 2.7886937E+002, 3.5008234E+002, 7.3325669E-001, 4.5739000E-002, 6.3726215E-002, 3.3672701E-002, 6.4480919E-002, 1.6403043E-001, 3.3672701E-002, 5.9467804E-001, 0.0000000E+000,NaN,NaN,NaN, 1.8750000E+001, 9.4888150E-001, 3.2753869E+001, 7.1476195E-001, 1.0000000E+001, 7.9272514E+002, 4.4025557E+002, 4.0575836E+002, 3.9392675E+002, 3.8784142E+002, 2.5238642E+002, 1.2153215E+002, 9.4697906E+001, 6.8184875E+001, 5.4198056E+001
 1.4750000E+001, 1.2287159E+003, 1.2346139E+003, 2.5071943E+000, 2.8178946E+002, 3.5526897E+002, 7.5989461E-001, 4.8296080E-002, 6.3407660E-002, 3.2556401E-002, 6.0481329E-002, 1.6230496E-001, 3.2556401E-002, 6.0039717E-001, 0.0000000E+000,NaN,NaN,NaN, 1.9419643E+001, 9.4167781E-001, 3.3346960E+001, 6.8224439E-001, 1.0500000E+001, 7.5470004E+002, 4.3144951E+002, 3.9999957E+002, 3.8573921E+002, 3.8029655E+002, 2.6048837E+002, 1.1896006E+002, 9.4838461E+001, 6.5305958E+001, 5.2175902E+001
 1.5250000E+001, 1.2269580E+003, 1.2316777E+003, 2.5071943E+000, 2.8425983E+002, 3.5985879E+002, 7.5989461E-001, 5.0867941E-002, 6.3058956E-002, 3.1421395E-002, 5.6763902E-002, 1.6049975E-001, 3.1421395E-002, 6.0596666E-001, 0.0000000E+000,NaN,NaN,NaN, 2.0089286E+001, 9.2547922E-001, 3.3940060E+001, 6.6272798E-001, 1.1000000E+001, 7.5470004E+002, 4.3144951E+002, 3.9999957E+002, 3.8573921E+002, 3.8029655E+002, 2.6048837E+002, 1.1896006E+002, 9.4838461E+001, 6.5305958E+001, 5.2175902E+001
 1.5750000E+001, 1.2239989E+003, 1.2273500E+003, 2.5539498E+000, 2.8625103E+002, 3.6402116E+002, 7.8655322E-001, 5.3482792E-002, 6.2645633E-002, 3.0297686E-002, 5.3345882E-002, 1.5857572E-001, 3.0297686E-002, 6.1135460E-001, 0.0000000E+000,NaN,NaN,NaN, 2.0758929E+001, 9.1740545E-001, 3.4533170E+001, 6.3349812E-001, 1.1500000E+001, 7.2886342E+002, 4.1646609E+002, 3.8951979E+002, 3.7025325E+002, 3.6677880E+002, 2.9704173E+002, 1.1431121E+002, 9.0945120E+001, 6.1500361E+001, 4.9021256E+001
 1.6250000E+001, 1.2201589E+003, 1.2219974E+003, 2.5973766E+000, 2.8871904E+002, 3.6868196E+002, 8.1252206E-001, 5.6075986E-002, 6.2193135E-002, 2.9202746E-002, 5.0230245E-002, 1.5660090E-001, 2.9202746E-002, 6.1649425E-001, 0.0000000E+000,NaN,NaN,NaN, 2.1428571E+001, 9.0985706E-001, 3.5126288E+001, 6.0600586E-001, 1.2000000E+001, 7.2870884E+002, 4.1020043E+002, 3.8126120E+002, 3.6409466E+002, 3.5939054E+002, 3.2566228E+002, 1.1113787E+002, 8.5301382E+001, 6.1281755E+001, 4.6345378E+001
 1.6750000E+001, 1.2155181E+003, 1.2158125E+003, 2.6386196E+000, 2.9154616E+002, 3.7351792E+002, 8.3585691E-001, 5.8593661E-002, 6.1713876E-002, 2.8169820E-002, 4.7404204E-002, 1.5463301E-001, 2.8169820E-002, 6.2131561E-001, 0.0000000E+000,NaN,NaN,NaN, 2.2098214E+001, 8.9733679E-001, 3.5719414E+001, 5.8945654E-001, 1.2500000E+001, 7.0480802E+002, 4.0267609E+002, 3.7270350E+002, 3.5807443E+002, 3.5280049E+002, 3.3698337E+002, 1.0733723E+002, 8.0042035E+001, 6.0786341E+001, 4.4307471E+001
 1.7250000E+001, 1.2104705E+003, 1.2092807E+003, 2.6774313E+000, 2.9470897E+002, 3.7848680E+002, 8.5772651E-001, 6.1006362E-002, 6.1224515E-002, 2.7207487E-002, 4.4822179E-002, 1.5271395E-001, 2.7207487E-002, 6.2581802E-001, 0.0000000E+000,NaN,NaN,NaN, 2.2767857E+001, 8.9261896E-001, 3.6312548E+001, 5.6457857E-001, 1.3000000E+001, 6.3661537E+002, 3.9533341E+002, 3.6504530E+002, 3.5219375E+002, 3.4728496E+002, 3.1833735E+002, 1.0389084E+002, 7.7535382E+001, 5.8982561E+001, 4.3044999E+001
 1.7750000E+001, 1.2052759E+003, 1.2027090E+003, 2.7139376E+000, 2.9778891E+002, 3.8310023E+002, 8.7805115E-001, 6.3304802E-002, 6.0741132E-002, 2.6306367E-002, 4.2435017E-002, 1.5086669E-001, 2.6306367E-002, 6.3003963E-001, 0.0000000E+000,NaN,NaN,NaN, 2.3437500E+001, 8.8894381E-001, 3.6905690E+001, 5.4954890E-001, 1.3500000E+001, 6.3661537E+002, 3.9533341E+002, 3.6504530E+002, 3.5219375E+002, 3.4728496E+002, 3.1833735E+002, 1.0389084E+002, 7.7535382E+001, 5.8982561E+001, 4.3044999E+001
 1.8250000E+001, 1.1996310E+003, 1.1957847E+003, 2.7484271E+000, 3.0092643E+002, 3.8737646E+002, 8.9729717E-001, 6.5566668E-002, 6.0228176E-002, 2.5465887E-002, 4.0182467E-002, 1.4901999E-001, 2.5465887E-002, 6.3407092E-001, 0.0000000E+000,NaN,NaN,NaN, 2.4107143E+001, 8.8433712E-001, 3.7498839E+001, 5.2694116E-001, 1.4000000E+001, 5.1751136E+002, 3.8859510E+002, 3.5800200E+002, 3.4713716E+002, 3.4265410E+002, 2.6118144E+002, 1.0107735E+002, 7.5954426E+001, 5.6142496E+001, 4.1494858E+001
 1.8750000E+001, 1.1932294E+003, 1.1880587E+003, 2.7803861E+000, 3.0388406E+002, 3.9130757E+002, 9.1631649E-001, 6.7862768E-002, 5.9661174E-002, 2.4664689E-002, 3.8042727E-002, 1.4710398E-001, 2.4664689E-002, 6.3799997E-001, 0.0000000E+000,NaN,NaN,NaN, 2.4776786E+001, 8.8310604E-001, 3.8091994E+001, 4.9264358E-001, 1.4500000E+001, 3.9282904E+002, 3.8200031E+002, 3.5258766E+002, 3.4183667E+002, 3.3927801E+002, 1.7269003E+002, 9.9693245E+001, 7.5353506E+001, 5.2993966E+001, 4.1016167E+001
 1.9250000E+001, 1.1859956E+003, 1.1794289E+003, 2.8102977E+000, 3.0688402E+002, 3.9526063E+002, 9.3427453E-001, 7.0221749E-002, 5.9031810E-002, 2.3893366E-002, 3.5996957E-002, 1.4509284E-001, 2.3893366E-002, 6.4186991E-001, 0.0000000E+000,NaN,NaN,NaN, 2.5446429E+001, 8.8235506E-001, 3.8685156E+001, 4.8014662E-001, 1.5000000E+001, 2.9828861E+002, 3.7041764E+002, 3.4456862E+002, 3.3268759E+002, 3.3289914E+002, 4.7033150E+000, 9.5952439E+001, 7.1326363E+001, 4.9787261E+001, 3.9834660E+001
 1.9750000E+001, 1.1787044E+003, 1.1707925E+003, 2.8380379E+000, 3.1060096E+002, 3.9986613E+002, 9.5170116E-001, 7.2546751E-002, 5.8400375E-002, 2.3144416E-002, 3.4022137E-002, 1.4309945E-001, 2.3144416E-002, 6.4564246E-001, 0.0000000E+000,NaN,NaN,NaN, 2.6116071E+001, 8.8156108E-001, 3.9278324E+001, 4.6130635E-001, 1.5500000E+001, 2.9629430E+002, 3.6509100E+002, 3.4050904E+002, 3.2933778E+002, 3.2976987E+002, 1.0983478E+000, 9.3904568E+001, 6.7585171E+001, 4.9053071E+001, 3.8006956E+001
 2.0250000E+001, 1.1719429E+003, 1.1627260E+003, 2.8639456E+000, 3.1451661E+002, 4.0471851E+002, 9.6929775E-001, 7.4791315E-002, 5.7797812E-002, 2.2409750E-002, 3.2111576E-002, 1.4117754E-001, 2.2409750E-002, 6.4930226E-001, 0.0000000E+000,NaN,NaN,NaN, 2.6785714E+001, 8.8116112E-001, 3.9871497E+001, 4.4986747E-001, 1.6000000E+001, 2.9560101E+002, 3.6038424E+002, 3.3745680E+002, 3.2658631E+002, 3.2748074E+002, 7.9081627E-001, 9.1455261E+001, 6.4341014E+001, 4.7560451E+001, 3.6778456E+001
 2.0750000E+001, 1.1653458E+003, 1.1548874E+003, 2.8874436E+000, 3.1845203E+002, 4.0946224E+002, 9.8893017E-001, 7.7025353E-002, 5.7204178E-002, 2.1659395E-002, 3.0250618E-002, 1.3925770E-001, 2.1659395E-002, 6.5294336E-001, 0.0000000E+000,NaN,NaN,NaN, 2.7455357E+001, 8.8053580E-001, 4.0464677E+001, 4.3260524E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
