cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
 1.9000000E+001, 1.2167630E+003, 1.2373701E+003, 3.1188743E+000, 1.5463193E+002, 1.7133593E+002, 5.0248415E-001, 4.4507844E-002, 6.7440702E-002, 3.6502357E-002, 2.4334374E-002, 1.7439478E-001, 3.6502357E-002, 6.1631759E-001, 0.0000000E+000, 5.0000000E+000, 3.3613957E+001, 2.4935391E+001, 2.2881356E+001, 8.6572435E-001, 3.6936908E+001, 5.2589069E-001, 1.4000000E+001, 4.1163190E+002, 3.0764868E+002, 3.1497487E+002, 3.1986002E+002, 3.2584154E+002, 7.3815900E+001, 2.4170739E+001, 3.8032216E+001, 4.0082277E+001, 4.4761240E+001
 2.1000000E+001, 1.2034459E+003, 1.2232088E+003, 3.2813526E+000, 1.7947997E+002, 1.9836970E+002, 5.7388005E-001, 5.2455376E-002, 6.6130846E-002, 3.2105726E-002, 1.9207828E-002, 1.6744795E-001, 3.2105726E-002, 6.3054655E-001, 0.0000000E+000, 6.0000000E+000, 3.3613957E+001, 2.4935391E+001, 2.5423729E+001, 8.4499211E-001, 3.9247104E+001, 5.2589069E-001, 1.6000000E+001, 3.1002794E+002, 2.9793539E+002, 3.0069920E+002, 3.0332905E+002, 3.0871993E+002, 1.1846540E+001, 1.4850913E+001, 2.1829139E+001, 2.6756348E+001, 3.3743518E+001
 2.3000000E+001, 1.2034459E+003, 1.2232088E+003, 3.4116730E+000, 1.7947997E+002, 1.9836970E+002, 6.5404922E-001, 5.2455376E-002, 6.6130846E-002, 3.2105726E-002, 1.9207828E-002, 1.6744795E-001, 3.2105726E-002, 6.3054655E-001, 0.0000000E+000, 7.0000000E+000, 2.8795384E+001, 2.0487067E+001, 2.7966102E+001, 8.3158165E-001, 4.1557389E+001, 4.1233453E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E+001, 1.1650310E+003, 1.1823593E+003, 3.5137008E+000, 2.2704871E+002, 2.4991076E+002, 7.4451155E-001, 6.9098440E-002, 6.2555839E-002, 2.3750321E-002, 1.1519759E-002, 1.5207300E-001, 2.3750321E-002, 6.5725232E-001, 0.0000000E+000, 8.0000000E+000, 2.1310642E+001, 1.4658242E+001, 3.0508475E+001, 8.1672038E-001, 4.3867750E+001, 3.7786417E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7000000E+001, 1.1392064E+003, 1.1549847E+003, 3.5900576E+000, 2.4807157E+002, 2.7253458E+002, 8.3311461E-001, 7.7732876E-002, 6.0277427E-002, 1.9919808E-002, 8.7380275E-003, 1.4374631E-001, 1.9919808E-002, 6.6966574E-001, 0.0000000E+000, 9.0000000E+000, 2.1310642E+001, 1.4658242E+001, 3.3050847E+001, 7.8355308E-001, 4.6178175E+001, 3.2956362E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9000000E+001, 1.1093237E+003, 1.1233107E+003, 3.6484686E+000, 2.6587871E+002, 2.9182574E+002, 9.1071475E-001, 8.6448084E-002, 5.7730052E-002, 1.6370584E-002, 6.5262793E-003, 1.3515964E-001, 1.6370584E-002, 6.8139478E-001, 0.0000000E+000, 1.0000000E+001, 1.4280512E+001, 9.6944566E+000, 3.5593220E+001, 7.6661421E-001, 4.8488654E+001, 2.8913496E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1000000E+001, 1.0764549E+003, 1.0885971E+003, 3.6818359E+000, 2.8085456E+002, 3.0783420E+002, 9.8977710E-001, 9.5024932E-002, 5.4994792E-002, 1.3190565E-002, 4.7990300E-003, 1.2656208E-001, 1.3190565E-002, 6.9223804E-001, 0.0000000E+000, 1.1000000E+001, 1.4280512E+001, 9.6944566E+000, 3.8135593E+001, 7.4776914E-001, 5.0799181E+001, 2.6763339E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3000000E+001, 1.0764549E+003, 1.0885971E+003, 3.7000147E+000, 2.8085456E+002, 3.0783420E+002, 1.0620397E+000, 9.5024932E-002, 5.4994792E-002, 1.3190565E-002, 4.7990300E-003, 1.2656208E-001, 1.3190565E-002, 6.9223804E-001, 0.0000000E+000, 1.2000000E+001, 8.9591587E+000, 6.1663053E+000, 4.0677966E+001, 7.2826547E-001, 5.3109749E+001, 2.3691033E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4980000E+001, 1.0388862E+003, 1.0490307E+003, 3.6967183E+000, 2.9238463E+002, 3.1983953E+002, 1.1359921E+000, 1.0346571E-001, 5.2039023E-002, 1.0448844E-002, 3.4903087E-003, 1.1795724E-001, 1.0448844E-002, 7.0215003E-001, 0.0000000E+000, 1.3000000E+001, 8.9591587E+000, 6.1663053E+000, 4.3220339E+001, 6.8751870E-001, 5.5420353E+001, 2.2028521E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7000000E+001, 1.0013264E+003, 1.0094934E+003, 3.6891648E+000, 2.9940977E+002, 3.2719452E+002, 1.2022057E+000, 1.1146903E-001, 4.9028355E-002, 8.1646776E-003, 2.5106483E-003, 1.0969482E-001, 8.1646776E-003, 7.1096780E-001, 0.0000000E+000, 1.4000000E+001, 8.9591587E+000, 6.1663053E+000, 4.5762712E+001, 6.6653029E-001, 5.7730989E+001, 1.9649493E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9000000E+001, 9.6280160E+002, 9.6904049E+002, 3.6721269E+000, 3.0186676E+002, 3.2971518E+002, 1.2468582E+000, 1.1905763E-001, 4.6001827E-002, 6.2605271E-003, 1.7921289E-003, 1.0177613E-001, 6.2605271E-003, 7.1885124E-001, 0.0000000E+000, 1.5000000E+001, 5.6857871E+000, 4.1473363E+000, 4.8305085E+001, 6.4531827E-001, 6.0031662E+001, 1.8342580E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1000000E+001, 8.8728956E+002, 8.9026849E+002, 3.6499640E+000, 2.9547143E+002, 3.2246919E+002, 1.2826226E+000, 1.3265656E-001, 4.0138778E-002, 3.5463719E-003, 9.0018315E-004, 8.7399196E-002, 3.5463719E-003, 7.3181254E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0847458E+001, 6.2405530E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3000000E+001, 8.8728956E+002, 8.9026849E+002, 3.6227050E+000, 2.9547143E+002, 3.2246919E+002, 1.3082778E+000, 1.3265656E-001, 4.0138778E-002, 3.5463719E-003, 9.0018315E-004, 8.7399196E-002, 3.5463719E-003, 7.3181254E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3389831E+001, 5.8198618E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5000000E+001, 8.5063037E+002, 8.5226580E+002, 3.5939287E+000, 2.8809706E+002, 3.1426370E+002, 1.3216851E+000, 1.3875714E-001, 3.7334101E-002, 2.6106616E-003, 6.3409018E-004, 8.0880320E-002, 2.6106616E-003, 7.3717303E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5932203E+001, 5.6134368E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7000000E+001, 8.1604895E+002, 8.1658941E+002, 3.5634201E+000, 2.7911878E+002, 3.0431617E+002, 1.3242250E+000, 1.4429476E-001, 3.4698273E-002, 1.9094180E-003, 4.4813879E-004, 7.4930074E-002, 1.9094180E-003, 7.4180992E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8474576E+001, 5.4098950E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9000000E+001, 7.8360918E+002, 7.8328256E+002, 3.5320844E+000, 2.6911887E+002, 2.9320307E+002, 1.3259053E+000, 1.4921938E-001, 3.2289248E-002, 1.3939663E-003, 3.1713077E-004, 6.9615922E-002, 1.3939663E-003, 7.4577039E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1016949E+001, 5.0115380E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1000000E+001, 7.5309434E+002, 7.5208676E+002, 3.4979597E+000, 2.5788637E+002, 2.8081489E+002, 1.3275903E+000, 1.5370571E-001, 3.0043173E-002, 1.0100706E-003, 2.2484250E-004, 6.4756871E-002, 1.0100706E-003, 7.4924926E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3559322E+001, 4.8174016E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3000000E+001, 6.9764169E+002, 6.9580936E+002, 3.4653470E+000, 2.3420251E+002, 2.5481741E+002, 1.3244850E+000, 1.6144016E-001, 2.6059585E-002, 5.3586806E-004, 1.1339167E-004, 5.6343451E-002, 5.3586806E-004, 7.5497167E-001, 0.0000000E+000,NaN,NaN,NaN, 6.6101695E+001, 4.6274848E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5000000E+001, 6.9764169E+002, 6.9580936E+002, 3.4294582E+000, 2.3420251E+002, 2.5481741E+002, 1.3158402E+000, 1.6144016E-001, 2.6059585E-002, 5.3586806E-004, 1.1339167E-004, 5.6343451E-002, 5.3586806E-004, 7.5497167E-001, 0.0000000E+000,NaN,NaN,NaN, 6.8644068E+001, 4.4422184E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7000000E+001, 6.7292894E+002, 6.7080678E+002, 3.3946615E+000, 2.2194631E+002, 2.4147166E+002, 1.3044350E+000, 1.6475489E-001, 2.4316754E-002, 3.9275888E-004, 8.0257604E-005, 5.2726233E-002, 3.9275888E-004, 7.5733635E-001, 0.0000000E+000,NaN,NaN,NaN, 7.1186441E+001, 4.0871389E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9000000E+001, 6.4985593E+002, 6.4757401E+002, 3.3538428E+000, 2.0959417E+002, 2.2800938E+002, 1.2945068E+000, 1.6778928E-001, 2.2707171E-002, 2.8532532E-004, 5.7306177E-005, 4.9410035E-002, 2.8532532E-004, 7.5946556E-001, 0.0000000E+000,NaN,NaN,NaN, 7.3728814E+001, 3.9182091E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.1000000E+001, 6.2907054E+002, 6.2671909E+002, 3.3134470E+000, 1.9828885E+002, 2.1570404E+002, 1.2848859E+000, 1.7047656E-001, 2.1272090E-002, 2.0654076E-004, 4.0377933E-005, 4.6470186E-002, 2.0654076E-004, 7.6132770E-001, 0.0000000E+000,NaN,NaN,NaN, 7.6271186E+001, 3.7433349E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3000000E+001, 6.0967072E+002, 6.0729307E+002, 3.2659506E+000, 1.8734507E+002, 2.0383397E+002, 1.2791355E+000, 1.7293092E-001, 1.9953870E-002, 1.4717726E-004, 2.8611950E-005, 4.3782598E-002, 1.4717726E-004, 7.6300965E-001, 0.0000000E+000,NaN,NaN,NaN, 7.8813559E+001, 3.5868812E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.5000000E+001, 5.9173099E+002, 5.8938274E+002, 3.2220552E+000, 1.7691314E+002, 1.9258276E+002, 1.2719706E+000, 1.7517037E-001, 1.8744239E-002, 1.0467715E-004, 2.0071115E-005, 4.1328253E-002, 1.0467715E-004, 7.6452772E-001, 0.0000000E+000,NaN,NaN,NaN, 8.1355932E+001, 3.2909978E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7000000E+001, 5.7464727E+002, 5.7240263E+002, 3.1740670E+000, 1.6611534E+002, 1.8097940E+002, 1.2628613E+000, 1.7725831E-001, 1.7611710E-002, 7.3027313E-005, 1.4173670E-005, 3.9038403E-002, 7.3027313E-005, 7.6593135E-001, 0.0000000E+000,NaN,NaN,NaN, 8.3898305E+001, 3.1513519E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.9000000E+001, 5.5866464E+002, 5.5659099E+002, 3.1259323E+000, 1.5616834E+002, 1.7016416E+002, 1.2578924E+000, 1.7919382E-001, 1.6557638E-002, 5.0936224E-005, 9.8683141E-006, 3.6914476E-002, 5.0936224E-005, 7.6722233E-001, 0.0000000E+000,NaN,NaN,NaN, 8.6440678E+001, 3.0171617E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1000000E+001, 5.4374719E+002, 5.4185473E+002, 3.0737423E+000, 1.4681775E+002, 1.5997387E+002, 1.2540228E+000, 1.8096117E-001, 1.5592509E-002, 3.5233910E-005, 6.9409144E-006, 3.4974243E-002, 3.5233910E-005, 7.6839467E-001, 0.0000000E+000,NaN,NaN,NaN, 8.8983051E+001, 2.8883083E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.3000000E+001, 5.3007618E+002, 5.2834388E+002, 3.0315209E+000, 1.3817234E+002, 1.5052010E+002, 1.2414414E+000, 1.8257417E-001, 1.4709695E-002, 2.4275752E-005, 4.8448252E-006, 3.3202860E-002, 2.4275752E-005, 7.6945987E-001, 0.0000000E+000,NaN,NaN,NaN, 9.1525424E+001, 2.6459711E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.4980000E+001, 5.1762663E+002, 5.1605263E+002, 2.9905211E+000, 1.3027420E+002, 1.4180113E+002, 1.2261463E+000, 1.8399764E-001, 1.3929196E-002, 1.7033769E-005, 3.4506540E-006, 3.1639195E-002, 1.7033769E-005, 7.7039645E-001, 0.0000000E+000,NaN,NaN,NaN, 9.4067797E+001, 2.5321788E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.7000000E+001, 4.9709899E+002, 4.9580416E+002, 2.9583803E+000, 1.1754351E+002, 1.2768095E+002, 1.2105262E+000, 1.8634199E-001, 1.2641618E-002, 8.7918248E-006, 1.8134832E-006, 2.9063308E-002, 8.7918248E-006, 7.7193369E-001, 0.0000000E+000,NaN,NaN,NaN, 9.6610169E+001, 2.4231057E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9000000E+001, 4.9709899E+002, 4.9580416E+002, 2.9233314E+000, 1.1754351E+002, 1.2768095E+002, 1.1955101E+000, 1.8634199E-001, 1.2641618E-002, 8.7918248E-006, 1.8134832E-006, 2.9063308E-002, 8.7918248E-006, 7.7193369E-001, 0.0000000E+000,NaN,NaN,NaN, 9.9152542E+001, 2.2185555E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.1000000E+001, 4.8083523E+002, 4.7975252E+002, 2.8940693E+000, 1.0745867E+002, 1.1654084E+002, 1.1862717E+000, 1.8816746E-001, 1.1637565E-002, 4.8563773E-006, 1.0064443E-006, 2.7057097E-002, 4.8563773E-006, 7.7312716E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0169492E+002, 2.1228770E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3000000E+001, 4.8083523E+002, 4.7975252E+002, 2.8654344E+000, 1.0745867E+002, 1.1654084E+002, 1.1752717E+000, 1.8816746E-001, 1.1637565E-002, 4.8563773E-006, 1.0064443E-006, 2.7057097E-002, 4.8563773E-006, 7.7312716E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0423729E+002, 2.0314439E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.5000000E+001, 4.7367930E+002, 4.7269419E+002, 2.8427068E+000, 1.0280804E+002, 1.1144946E+002, 1.1584406E+000, 1.8896484E-001, 1.1198698E-002, 3.6234956E-006, 7.5678967E-007, 2.6180674E-002, 3.6234956E-006, 7.7364778E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0677966E+002, 1.9440314E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7000000E+001, 4.6019620E+002, 4.5937488E+002, 2.8177021E+000, 9.4256048E+001, 1.0216459E+002, 1.1408720E+000, 1.9045105E-001, 1.0380312E-002, 2.0151739E-006, 4.2226271E-007, 2.4547030E-002, 2.0151739E-006, 7.7461716E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0932203E+002, 1.7798358E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.9000000E+001, 4.6019620E+002, 4.5937488E+002, 2.7899062E+000, 9.4256048E+001, 1.0216459E+002, 1.1290257E+000, 1.9045105E-001, 1.0380312E-002, 2.0151739E-006, 4.2226271E-007, 2.4547030E-002, 2.0151739E-006, 7.7461716E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1186441E+002, 1.7027862E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1000000E+001, 4.5352377E+002, 4.5278350E+002, 2.7604273E+000, 8.9988870E+001, 9.7509915E+001, 1.1137921E+000, 1.9118197E-001, 9.9776704E-003, 1.4873592E-006, 3.0861479E-007, 2.3743546E-002, 1.4873592E-006, 7.7509353E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1440678E+002, 1.6299315E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.3000000E+001, 4.4718747E+002, 4.4651998E+002, 2.7353668E+000, 8.5853294E+001, 9.3004662E+001, 1.0947112E+000, 1.9187820E-001, 9.5940914E-003, 1.0660026E-006, 2.2331269E-007, 2.2978183E-002, 1.0660026E-006, 7.7554717E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1694915E+002, 1.5597150E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.5000000E+001, 4.3610057E+002, 4.3549153E+002, 2.7086784E+000, 7.8915366E+001, 8.5480740E+001, 1.0738659E+000, 1.9309438E-001, 8.9239211E-003, 5.5861909E-007, 1.1883386E-007, 2.1641204E-002, 5.5861909E-007, 7.7633926E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1949153E+002, 1.4204580E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.7000000E+001, 4.3610057E+002, 4.3549153E+002, 2.6855362E+000, 7.8915366E+001, 8.5480740E+001, 1.0565979E+000, 1.9309438E-001, 8.9239211E-003, 5.5861909E-007, 1.1883386E-007, 2.1641204E-002, 5.5861909E-007, 7.7633926E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2203390E+002, 1.3557368E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.9000000E+001, 4.3116223E+002, 4.3058759E+002, 2.6575399E+000, 7.5917634E+001, 8.2251516E+001, 1.0426198E+000, 1.9363123E-001, 8.6280492E-003, 4.1343654E-007, 8.8555643E-008, 2.1051023E-002, 4.1343654E-007, 7.7668879E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2457627E+002, 1.2937242E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2711864E+002, 1.1769645E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2966102E+002, 1.1219305E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3220339E+002, 1.0689352E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
