cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
 3.4500000E+001, 1.1667500E+003, 1.4161183E+002, 2.5086207E+001, 8.2237729E+002, 2.6730938E+002, 5.9537078E+002, 2.0515394E+002, 5.4080649E+002, 1.6583926E+002, 5.0427340E+002, 1.4278585E+002, 4.7594127E+002, 1.1207456E+002, 1.2816000E+002, 3.4830000E+000, 7.5825712E-001, 2.9486496E+000, 2.8464147E+000, 2.6409651E+000, 7.6500000E+001, 1.1121377E+000
 3.6500000E+001, 1.1727665E+003, 1.4042919E+002, 2.7120690E+001, 7.8572039E+002, 2.7124560E+002, 5.6114017E+002, 1.9128006E+002, 5.1735986E+002, 1.5577624E+002, 4.8749621E+002, 1.3498232E+002, 4.6427297E+002, 1.0852278E+002, 1.3264000E+002, 3.6820000E+000, 7.0525394E-001, 2.7779151E+000, 2.6927290E+000, 2.5060667E+000, 8.1000000E+001, 1.0992714E+000
 3.8500000E+001, 1.1777180E+003, 1.4043269E+002, 2.9155172E+001, 7.4237959E+002, 2.6725540E+002, 5.3122406E+002, 1.7960282E+002, 4.9511382E+002, 1.4393443E+002, 4.6988854E+002, 1.2467704E+002, 4.5201178E+002, 1.0522056E+002, 1.3712000E+002, 3.8810000E+000, 6.5685430E-001, 2.6195449E+000, 2.5498000E+000, 2.3795900E+000, 8.5500000E+001, 1.0859279E+000
 4.0500000E+001, 1.1819091E+003, 1.4160155E+002, 3.1189655E+001, 6.8098415E+002, 2.5100094E+002, 5.0192326E+002, 1.6535656E+002, 4.7420493E+002, 1.3439961E+002, 4.5381322E+002, 1.1444910E+002, 4.4170470E+002, 1.0220921E+002, 1.4160000E+002, 4.0800000E+000, 6.1843769E-001, 2.4781078E+000, 2.4219847E+000, 2.2678965E+000, 9.0000000E+001, 1.0727844E+000
 4.2500000E+001, 1.1854174E+003, 1.4332714E+002, 3.3224138E+001, 6.3277503E+002, 2.4452178E+002, 4.7879313E+002, 1.5359271E+002, 4.5574181E+002, 1.2640753E+002, 4.4108303E+002, 1.0700813E+002, 4.3177175E+002, 9.7725125E+001, 1.4608000E+002, 4.2790000E+000, 5.7767237E-001, 2.3416996E+000, 2.2982844E+000, 2.1567366E+000, 9.4500000E+001, 1.0601855E+000
 4.4500000E+001, 1.1881297E+003, 1.4510006E+002, 3.5258621E+001, 5.9301077E+002, 2.4361685E+002, 4.5854416E+002, 1.4150447E+002, 4.3686335E+002, 1.1913537E+002, 4.2890037E+002, 1.0169396E+002, 4.2058846E+002, 9.1555511E+001, 1.5056000E+002, 4.4780000E+000, 5.4022308E-001, 2.2147006E+000, 2.1828077E+000, 2.0522800E+000, 9.9000000E+001, 1.0481532E+000
 4.6500000E+001, 1.1897641E+003, 1.4727007E+002, 3.7293103E+001, 5.4842081E+002, 2.3320404E+002, 4.3798643E+002, 1.2956258E+002, 4.1897013E+002, 1.1067139E+002, 4.1757215E+002, 9.8100262E+001, 4.0876759E+002, 8.2669671E+001, 1.5504000E+002, 4.6770000E+000, 5.0575972E-001, 2.0963399E+000, 2.0748483E+000, 1.9540550E+000, 1.0350000E+002, 1.0363797E+000
 4.8500000E+001, 1.1897946E+003, 1.5025911E+002, 3.9327586E+001, 5.0117816E+002, 2.1169427E+002, 4.1807981E+002, 1.2001932E+002, 4.0165414E+002, 9.7434827E+001, 4.0527052E+002, 9.3711510E+001, 3.9813652E+002, 7.7636683E+001, 1.5952000E+002, 4.8760000E+000, 4.7399120E-001, 1.9859311E+000, 1.9737621E+000, 1.8616351E+000, 1.0800000E+002, 1.0243085E+000
 5.0500000E+001, 1.1888893E+003, 1.5393159E+002, 4.1362069E+001, 4.5885705E+002, 1.8549644E+002, 4.0089634E+002, 1.1140293E+002, 3.8534668E+002, 8.8900904E+001, 3.9326419E+002, 8.8096642E+001, 3.8976515E+002, 7.4754164E+001, 1.6400000E+002, 5.0750000E+000, 4.4466030E-001, 1.8828608E+000, 1.8789620E+000, 1.7746336E+000, 1.1250000E+002, 9.9725421E-001
 5.2500000E+001, 1.1872499E+003, 1.5788427E+002, 4.3396552E+001, 4.1741065E+002, 1.4248386E+002, 3.8489091E+002, 1.0136856E+002, 3.7269826E+002, 8.4213204E+001, 3.8339550E+002, 8.3787121E+001, 3.8136137E+002, 7.1172806E+001, 1.6848000E+002, 5.2740000E+000, 3.9242441E-001, 1.6965896E+000, 1.7061327E+000, 1.6155053E+000, 1.1700000E+002, 9.8193227E-001
 5.4500000E+001, 1.1848362E+003, 1.6232264E+002, 4.5431034E+001, 3.7048935E+002, 1.0460544E+002, 3.6892225E+002, 9.4883301E+001, 3.6182260E+002, 7.8380586E+001, 3.7428352E+002, 8.0029714E+001, 3.7275359E+002, 6.6961139E+001, 1.7296000E+002, 5.4730000E+000, 3.6913667E-001, 1.6124443E+000, 1.6271775E+000, 1.5427575E+000, 1.2150000E+002, 9.6567268E-001
 5.6500000E+001, 1.1816525E+003, 1.6653847E+002, 4.7465517E+001, 3.3128025E+002, 5.0618416E+001, 3.5199220E+002, 8.0552773E+001, 3.5108549E+002, 6.9483181E+001, 3.6487762E+002, 7.4638891E+001, 3.6430966E+002, 6.4198590E+001, 1.7744000E+002, 5.6720000E+000, 3.4751402E-001, 1.5337345E+000, 1.5526496E+000, 1.4741783E+000, 1.2600000E+002, 9.4882812E-001
 5.8500000E+001, 1.1775872E+003, 1.7044281E+002, 4.9500000E+001, 3.1301275E+002, 1.3953619E+001, 3.3708998E+002, 6.7369770E+001, 3.4147623E+002, 6.3128901E+001, 3.5577713E+002, 6.9189487E+001, 3.5488653E+002, 6.0706124E+001, 1.8192000E+002, 5.8710000E+000, 3.2836918E-001, 1.4580163E+000, 1.4698396E+000, 1.3982045E+000, 1.3050000E+002, 9.3157149E-001
 6.0500000E+001, 1.1722756E+003, 1.7428183E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 3.0967155E-001, 1.3892633E+000, 1.4037812E+000, 1.3378047E+000, 1.3500000E+002, 9.1386571E-001
 6.2500000E+001, 1.1661689E+003, 1.7785880E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 2.9224334E-001, 1.3249038E+000, 1.3411229E+000, 1.2808075E+000, 1.3950000E+002, 8.9571859E-001
 6.4500000E+001, 1.1589283E+003, 1.8135871E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 2.7598057E-001, 1.2646459E+000, 1.2816076E+000, 1.2270003E+000, 1.4400000E+002, 8.6759925E-001
 6.6500000E+001, 1.1507035E+003, 1.8487028E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 2.6078945E-001, 1.2082179E+000, 1.2250055E+000, 1.1761807E+000, 1.4850000E+002, 8.3201578E-001
 6.8500000E+001, 1.1411331E+003, 1.8841741E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 2.3329116E-001, 1.1058525E+000, 1.1197452E+000, 1.0827398E+000, 1.5300000E+002, 8.1367530E-001
 7.0500000E+001, 1.1309334E+003, 1.9192363E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 2.2083768E-001, 1.0594544E+000, 1.0707441E+000, 1.0397572E+000, 1.5750000E+002, 7.9517923E-001
 7.2500000E+001, 1.1204970E+003, 1.9515865E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 2.0916174E-001, 1.0159619E+000, 1.0239658E+000, 9.9903899E-001, 1.6200000E+002, 7.7673201E-001
 7.4500000E+001, 1.1098933E+003, 1.9806873E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 1.9820576E-001, 9.7517773E-001, 9.7928413E-001, 9.6042418E-001, 1.6650000E+002, 7.5843699E-001
 7.6500000E+001, 1.0992103E+003, 2.0093974E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 1.8791742E-001, 9.3691617E-001, 9.3658714E-001, 9.2375961E-001, 1.7100000E+002, 7.4032248E-001
 7.8500000E+001, 1.0886308E+003, 2.0376877E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 1.7824887E-001, 9.0100230E-001, 8.9577575E-001, 8.8890002E-001, 1.7550000E+002, 7.2237547E-001
 8.0500000E+001, 1.0782449E+003, 2.0635094E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 1.7507460E-001, 8.8765788E-001, 8.7724998E-001, 8.7536837E-001, 1.8000000E+002, 7.0456331E-001
 8.2500000E+001, 1.0678052E+003, 2.0901995E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 1.6643701E-001, 8.5630045E-001, 8.4039868E-001, 8.4397363E-001,NaN,NaN
 8.4500000E+001, 1.0573087E+003, 2.1186993E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 1.5060274E-001, 7.9886506E-001, 7.7136217E-001, 7.8513387E-001,NaN,NaN
 8.6500000E+001, 1.0469190E+003, 2.1472311E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 1.4334264E-001, 7.7253047E-001, 7.3906099E-001, 7.5748061E-001,NaN,NaN
 8.8500000E+001, 1.0362582E+003, 2.1732285E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 1.3648245E-001, 7.4762736E-001, 7.0816861E-001, 7.3088045E-001,NaN,NaN
 9.0500000E+001, 1.0250823E+003, 2.1968600E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 1.2999620E-001, 7.2404756E-001, 6.7863774E-001, 7.0525054E-001,NaN,NaN
 9.2500000E+001, 1.0133674E+003, 2.2193948E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 1.2385993E-001, 7.0169043E-001, 6.5042381E-001, 6.8051623E-001,NaN,NaN
 9.4500000E+001, 1.0008630E+003, 2.2406100E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 1.1805146E-001, 6.8046232E-001, 6.2348423E-001, 6.5661101E-001,NaN,NaN
 9.6500000E+001, 9.8805710E+002, 2.2622328E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 1.1255019E-001, 6.6027638E-001, 5.9777792E-001, 6.3347603E-001,NaN,NaN
 9.8500000E+001, 9.7511137E+002, 2.2826685E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 1.0733707E-001, 6.4105208E-001, 5.7326470E-001, 6.1105978E-001,NaN,NaN
 1.0050000E+002, 9.6207372E+002, 2.2997196E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 9.7705576E-002, 6.0519575E-001, 5.2766035E-001, 5.6821196E-001,NaN,NaN
 1.0250000E+002, 9.4895202E+002, 2.3135129E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 9.3255471E-002, 5.8843126E-001, 5.0649148E-001, 5.4771001E-001,NaN,NaN
 1.0450000E+002, 9.3565612E+002, 2.3243466E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 8.9029843E-002, 5.7236286E-001, 4.8635998E-001, 5.2778507E-001,NaN,NaN
 1.0650000E+002, 9.2230007E+002, 2.3321681E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 8.5015511E-002, 5.5693672E-001, 4.6722726E-001, 5.0841507E-001,NaN,NaN
 1.0850000E+002, 9.0870975E+002, 2.3392472E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 8.1200235E-002, 5.4210342E-001, 4.4905491E-001, 4.8958217E-001,NaN,NaN
 1.1050000E+002, 8.9478590E+002, 2.3441383E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 7.7572617E-002, 5.2781766E-001, 4.3180459E-001, 4.7127217E-001,NaN,NaN
 1.1250000E+002, 8.8063678E+002, 2.3480329E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 7.5039811E-002, 5.1580972E-001, 4.1367984E-001, 4.5332215E-001,NaN,NaN
 1.1450000E+002, 8.6688656E+002, 2.3495893E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0736000E+002, 1.1443000E+001, 7.1720475E-002, 5.0253334E-001, 3.9818095E-001, 4.3606725E-001,NaN,NaN
 1.1650000E+002, 8.5353133E+002, 2.3458823E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1184000E+002, 1.1642000E+001, 6.8560419E-002, 4.8968759E-001, 3.8348928E-001, 4.1930328E-001,NaN,NaN
 1.1850000E+002, 8.4058919E+002, 2.3386189E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1632000E+002, 1.1841000E+001, 6.2684354E-002, 4.6516519E-001, 3.5638107E-001, 3.8723133E-001,NaN,NaN
 1.2050000E+002, 8.2804499E+002, 2.3309198E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 6.4678867E-002, 4.7481101E-001, 3.7093883E-001, 3.9452625E-001,NaN,NaN
 1.2250000E+002, 8.1615275E+002, 2.3228453E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 6.1972129E-002, 4.6298072E-001, 3.5890498E-001, 3.7948966E-001,NaN,NaN
 1.2450000E+002, 8.0462564E+002, 2.3130159E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 5.9386489E-002, 4.5143938E-001, 3.4747868E-001, 3.6491982E-001,NaN,NaN
 1.2650000E+002, 7.9352610E+002, 2.2979775E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 5.6915966E-002, 4.4017039E-001, 3.3662837E-001, 3.5081601E-001,NaN,NaN
 1.2850000E+002, 7.8247554E+002, 2.2755871E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 5.4554945E-002, 4.2915894E-001, 3.2632338E-001, 3.3717705E-001,NaN,NaN
 1.3050000E+002, 7.7147802E+002, 2.2482545E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4320000E+002, 1.3035000E+001, 5.2298088E-002, 4.1839177E-001, 3.1653398E-001, 3.2400112E-001,NaN,NaN
 1.3250000E+002, 7.6076833E+002, 2.2204000E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4768000E+002, 1.3234000E+001, 5.0140395E-002, 4.0785710E-001, 3.0723142E-001, 3.1128564E-001,NaN,NaN
 1.3450000E+002, 7.5061211E+002, 2.1944024E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5216000E+002, 1.3433000E+001, 4.6103702E-002, 3.8744449E-001, 2.8997729E-001, 2.8722171E-001,NaN,NaN
 1.3650000E+002, 7.4086710E+002, 2.1685859E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5664000E+002, 1.3632000E+001, 4.4215897E-002, 3.7754898E-001, 2.8197368E-001, 2.7586388E-001,NaN,NaN
 1.3850000E+002, 7.3146086E+002, 2.1413879E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6112000E+002, 1.3831000E+001, 4.2409629E-002, 3.6785066E-001, 2.7435288E-001, 2.6494774E-001,NaN,NaN
 1.4050000E+002, 7.2207443E+002, 2.1131075E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6560000E+002, 1.4030000E+001, 4.0681012E-002, 3.5834310E-001, 2.6709167E-001, 2.5446631E-001,NaN,NaN
 1.4250000E+002, 7.1264430E+002, 2.0834042E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7008000E+002, 1.4229000E+001, 3.9026343E-002, 3.4902059E-001, 2.6016793E-001, 2.4441175E-001,NaN,NaN
 1.4450000E+002, 7.0306855E+002, 2.0517953E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7456000E+002, 1.4428000E+001, 3.7442101E-002, 3.3987812E-001, 2.5356067E-001, 2.3477541E-001,NaN,NaN
 1.4650000E+002, 6.9369902E+002, 2.0196463E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7904000E+002, 1.4627000E+001, 3.5924918E-002, 3.3091124E-001, 2.4724996E-001, 2.2554792E-001,NaN,NaN
 1.4850000E+002, 6.8474780E+002, 1.9885364E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.8352000E+002, 1.4826000E+001, 3.4471639E-002, 3.2211603E-001, 2.4121692E-001, 2.1671923E-001,NaN,NaN
 1.5050000E+002, 6.7599542E+002, 1.9588713E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.8800000E+002, 1.5025000E+001, 3.1744960E-002, 3.0502724E-001, 2.2991375E-001, 2.0021517E-001,NaN,NaN
 1.5250000E+002, 6.6756521E+002, 1.9294565E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.9248000E+002, 1.5224000E+001, 3.0465965E-002, 2.9672784E-001, 2.2461095E-001, 1.9251709E-001,NaN,NaN
 1.5450000E+002, 6.5951880E+002, 1.9010752E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.9696000E+002, 1.5423000E+001, 2.9239697E-002, 2.8858839E-001, 2.1952052E-001, 1.8517257E-001,NaN,NaN
 1.5650000E+002, 6.5195326E+002, 1.8728876E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.0144000E+002, 1.5622000E+001, 2.8063687E-002, 2.8060669E-001, 2.1462845E-001, 1.7816940E-001,NaN,NaN
