cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 3.6500000E+001, 9.5886798E+002, 9.0366533E+002, 3.2388355E+000, 1.7233098E+002, 3.9529692E+002, 1.4264878E+000, 1.2325367E-001, 3.9974079E-002, 1.1172189E-002, 6.6186815E-003, 7.9992494E-002, 8.7940117E-003, 7.2886350E-001, 1.1603588E-002, 5.2992472E-004
 3.7500000E+001, 9.4520699E+002, 8.8807672E+002, 3.2568385E+000, 1.7297168E+002, 3.9473513E+002, 1.4371688E+000, 1.2612715E-001, 3.9061593E-002, 1.0345315E-002, 5.9628197E-003, 7.7477435E-002, 8.1418196E-003, 7.3161649E-001, 1.0748120E-002, 5.0407503E-004
 3.8500000E+001, 9.3155455E+002, 8.7276526E+002, 3.2568385E+000, 1.7315471E+002, 3.9347592E+002, 1.4371688E+000, 1.2887371E-001, 3.8159254E-002, 9.5855914E-003, 5.3782792E-003, 7.5069451E-002, 7.5426339E-003, 7.3418360E-001, 9.9619937E-003, 4.7989285E-004
 3.9500000E+001, 9.1777911E+002, 8.5763995E+002, 3.2639826E+000, 1.7316589E+002, 3.9178684E+002, 1.4392229E+000, 1.3153106E-001, 3.7262672E-002, 8.8729736E-003, 4.8557827E-003, 7.2734462E-002, 6.9806333E-003, 7.3661197E-001, 9.2231992E-003, 4.5683811E-004
 4.0500000E+001, 9.0392777E+002, 8.4260800E+002, 3.2706621E+000, 1.7293255E+002, 3.8969658E+002, 1.4409420E+000, 1.3413382E-001, 3.6358226E-002, 8.2018158E-003, 4.3800514E-003, 7.0444121E-002, 6.4513694E-003, 7.3893490E-001, 8.5265254E-003, 4.3469928E-004
 4.1500000E+001, 8.8996041E+002, 8.2772411E+002, 3.2706621E+000, 1.7247207E+002, 3.8725452E+002, 1.4409420E+000, 1.3669436E-001, 3.5455584E-002, 7.5527972E-003, 3.9423211E-003, 6.8186683E-002, 5.9395825E-003, 7.4118640E-001, 7.8511809E-003, 4.1306020E-004
 4.2500000E+001, 8.7574761E+002, 8.1282125E+002, 3.2718147E+000, 1.7164200E+002, 3.8421855E+002, 1.4380489E+000, 1.3923622E-001, 3.4537976E-002, 6.9292980E-003, 3.5454438E-003, 6.5941303E-002, 5.4479525E-003, 7.4337172E-001, 7.2018965E-003, 3.9191677E-004
 4.3500000E+001, 8.6130481E+002, 7.9789403E+002, 3.2704175E+000, 1.7065292E+002, 3.8068694E+002, 1.4354962E+000, 1.4174125E-001, 3.3605852E-002, 6.3439227E-003, 3.1876540E-003, 6.3725935E-002, 4.9864298E-003, 7.4546907E-001, 6.5925960E-003, 3.7160075E-004
 4.4500000E+001, 8.4636760E+002, 7.8269944E+002, 3.2678465E+000, 1.6941229E+002, 3.7647205E+002, 1.4329660E+000, 1.4421314E-001, 3.2642983E-002, 5.8148393E-003, 2.8627723E-003, 6.1540840E-002, 4.5693683E-003, 7.4746361E-001, 6.0433079E-003, 3.5247716E-004
 4.5500000E+001, 8.3141212E+002, 7.6772163E+002, 3.2635640E+000, 1.6809443E+002, 3.7201097E+002, 1.4304105E+000, 1.4660412E-001, 3.1687509E-002, 5.3299345E-003, 2.5665153E-003, 5.9427354E-002, 4.1871798E-003, 7.4934967E-001, 5.5396892E-003, 3.3446909E-004
 4.6500000E+001, 8.1671512E+002, 7.5331488E+002, 3.2575513E+000, 1.6661767E+002, 3.6723397E+002, 1.4286059E+000, 1.4886633E-001, 3.0767835E-002, 4.8878994E-003, 2.3024938E-003, 5.7426796E-002, 3.8388120E-003, 7.5110372E-001, 5.0803493E-003, 3.1772339E-004
 4.7500000E+001, 8.0257145E+002, 7.3969545E+002, 3.2442076E+000, 1.6513296E+002, 3.6233025E+002, 1.4199693E+000, 1.5097055E-001, 2.9898505E-002, 4.4917672E-003, 2.0701134E-003, 5.5565406E-002, 3.5266502E-003, 7.5270896E-001, 4.6684958E-003, 3.0241020E-004
 4.8500000E+001, 7.8904266E+002, 7.2676880E+002, 3.2442076E+000, 1.6367286E+002, 3.5760048E+002, 1.4199693E+000, 1.5295923E-001, 2.9073780E-002, 4.1200741E-003, 1.8581586E-003, 5.3805122E-002, 3.2337530E-003, 7.5421769E-001, 4.2815716E-003, 2.8796890E-004
 4.9500000E+001, 7.7587895E+002, 7.1428428E+002, 3.2382803E+000, 1.6216995E+002, 3.5285525E+002, 1.4122485E+000, 1.5487544E-001, 2.8275472E-002, 3.7649522E-003, 1.6635715E-003, 5.2107569E-002, 2.9539208E-003, 7.5566133E-001, 3.9120268E-003, 2.7410547E-004
 5.0500000E+001, 7.6286783E+002, 7.0211368E+002, 3.2205941E+000, 1.6028354E+002, 3.4764984E+002, 1.3973309E+000, 1.5672357E-001, 2.7495468E-002, 3.4329759E-003, 1.4878801E-003, 5.0469424E-002, 2.6923492E-003, 7.5703336E-001, 3.5667071E-003, 2.6092416E-004
 5.1500000E+001, 7.4997828E+002, 6.9019335E+002, 3.2082207E+000, 1.5788523E+002, 3.4187200E+002, 1.3915106E+000, 1.5851638E-001, 2.6730142E-002, 3.1200702E-003, 1.3273924E-003, 4.8879618E-002, 2.4458238E-003, 7.5834701E-001, 3.2414470E-003, 2.4830055E-004
 5.2500000E+001, 7.3679972E+002, 6.7831069E+002, 3.1961353E+000, 1.5532138E+002, 3.3540159E+002, 1.3841152E+000, 1.6028000E-001, 2.5962689E-002, 2.8284318E-003, 1.1808988E-003, 4.7315650E-002, 2.2160898E-003, 7.5961288E-001, 2.9384820E-003, 2.3617785E-004
 5.3500000E+001, 7.2339916E+002, 6.6649097E+002, 3.1817100E+000, 1.5291915E+002, 3.2832512E+002, 1.3791427E+000, 1.6199283E-001, 2.5191262E-002, 2.5750528E-003, 1.0524718E-003, 4.5797967E-002, 2.0165631E-003, 7.6079852E-001, 2.6760262E-003, 2.2497093E-004
 5.4500000E+001, 7.1022655E+002, 6.5496012E+002, 3.1696007E+000, 1.5082283E+002, 3.2127838E+002, 1.3725032E+000, 1.6363178E-001, 2.4430604E-002, 2.3591025E-003, 9.3669251E-004, 4.4347839E-002, 1.8465782E-003, 7.6189773E-001, 2.4527658E-003, 2.1475166E-004
 5.5500000E+001, 6.9769969E+002, 6.4401972E+002, 3.1590657E+000, 1.4877857E+002, 3.1475180E+002, 1.3612731E+000, 1.6518405E-001, 2.3706082E-002, 2.1594667E-003, 8.2780724E-004, 4.2974886E-002, 1.6894494E-003, 7.6293267E-001, 2.2454877E-003, 2.0514644E-004
 5.6500000E+001, 6.8585741E+002, 6.3386614E+002, 3.1590657E+000, 1.4665644E+002, 3.0843691E+002, 1.3612731E+000, 1.6664482E-001, 2.3033810E-002, 1.9602183E-003, 7.2333816E-004, 4.1681776E-002, 1.5325919E-003, 7.6392103E-001, 2.0374330E-003, 1.9586744E-004
 5.7500000E+001, 6.7452195E+002, 6.2434085E+002, 3.1497754E+000, 1.4460122E+002, 3.0213898E+002, 1.3481972E+000, 1.6803481E-001, 2.2404331E-002, 1.7579359E-003, 6.2510227E-004, 4.0449456E-002, 1.3733110E-003, 7.6487525E-001, 1.8255479E-003, 1.8677937E-004
 5.8500000E+001, 6.6357868E+002, 6.1524424E+002, 3.1273040E+000, 1.4239418E+002, 2.9571107E+002, 1.3261432E+000, 1.6937230E-001, 2.1805983E-002, 1.5536196E-003, 5.3509010E-004, 3.9261584E-002, 1.2124037E-003, 7.6580141E-001, 1.6113883E-003, 1.7784136E-004
 5.9500000E+001, 6.5265632E+002, 6.0620966E+002, 3.1273040E+000, 1.3956070E+002, 2.8861834E+002, 1.3261432E+000, 1.7069311E-001, 2.1208594E-002, 1.3588050E-003, 4.5296860E-004, 3.8088146E-002, 1.0589972E-003, 7.6670340E-001, 1.4074862E-003, 1.6914509E-004
 6.0500000E+001, 6.4153166E+002, 5.9704989E+002, 3.0981506E+000, 1.3598543E+002, 2.8071949E+002, 1.3097603E+000, 1.7200700E-001, 2.0598544E-002, 1.1826496E-003, 3.8268250E-004, 3.6920990E-002, 9.2032994E-004, 7.6757257E-001, 1.2236574E-003, 1.6083088E-004
 6.1500000E+001, 6.3047500E+002, 5.8798882E+002, 3.0840687E+000, 1.3204161E+002, 2.7247938E+002, 1.3029327E+000, 1.7328223E-001, 1.9990666E-002, 1.0290105E-003, 3.2780209E-004, 3.5787903E-002, 7.9943720E-004, 7.6838712E-001, 1.0639030E-003, 1.5309089E-004
 6.2500000E+001, 6.1960249E+002, 5.7915107E+002, 3.0718460E+000, 1.2774753E+002, 2.6393617E+002, 1.2917934E+000, 1.7450016E-001, 1.9391740E-002, 9.0325146E-004, 2.8546857E-004, 3.4706537E-002, 7.0054918E-004, 7.6913407E-001, 9.3382525E-004, 1.4610005E-004
 6.3500000E+001, 6.0897782E+002, 5.7056009E+002, 3.0612586E+000, 1.2352055E+002, 2.5544921E+002, 1.2775614E+000, 1.7566513E-001, 1.8805365E-002, 7.9862624E-004, 2.5075132E-004, 3.3673135E-002, 6.1833744E-004, 7.6982659E-001, 8.2566819E-004, 1.3970518E-004
 6.4500000E+001, 5.9899181E+002, 5.6242541E+002, 3.0494340E+000, 1.1961331E+002, 2.4759212E+002, 1.2637770E+000, 1.7675229E-001, 1.8252035E-002, 7.0813173E-004, 2.2067589E-004, 3.2709236E-002, 5.4725970E-004, 7.7046307E-001, 7.3204274E-004, 1.3387099E-004
 6.5500000E+001, 5.8971141E+002, 5.5479277E+002, 3.0494340E+000, 1.1610720E+002, 2.4039753E+002, 1.2637770E+000, 1.7775036E-001, 1.7735281E-002, 6.3522473E-004, 1.9687707E-004, 3.1824926E-002, 4.9004268E-004, 7.7103310E-001, 6.5675149E-004, 1.2870818E-004
 6.6500000E+001, 5.8078652E+002, 5.4745775E+002, 3.0254846E+000, 1.1270755E+002, 2.3335488E+002, 1.2365801E+000, 1.7869215E-001, 1.7238794E-002, 5.7674031E-004, 1.7811758E-004, 3.0991118E-002, 4.4419852E-004, 7.7155662E-001, 5.9655735E-004, 1.2403178E-004
 6.7500000E+001, 5.7222474E+002, 5.4032945E+002, 3.0254846E+000, 1.0962636E+002, 2.2664802E+002, 1.2365801E+000, 1.7959429E-001, 1.6757194E-002, 5.2769629E-004, 1.6275225E-004, 3.0192826E-002, 4.0579748E-004, 7.7204830E-001, 5.4630319E-004, 1.1968706E-004
 6.8500000E+001, 5.6404450E+002, 5.3345751E+002, 3.0105258E+000, 1.0680195E+002, 2.2031873E+002, 1.2264789E+000, 1.8045911E-001, 1.6293339E-002, 4.8328174E-004, 1.4843986E-004, 2.9427811E-002, 3.7103957E-004, 7.7251637E-001, 5.0085357E-004, 1.1557298E-004
 6.9500000E+001, 5.5607344E+002, 5.2675702E+002, 2.9752495E+000, 1.0409975E+002, 2.1430654E+002, 1.2120340E+000, 1.8130024E-001, 1.5839865E-002, 4.4288790E-004, 1.3486061E-004, 2.8684059E-002, 3.3944904E-004, 7.7296816E-001, 4.5943997E-004, 1.1162380E-004
 7.0500000E+001, 5.4860759E+002, 5.2045959E+002, 2.9569352E+000, 1.0169925E+002, 2.0881615E+002, 1.2076491E+000, 1.8208521E-001, 1.5414845E-002, 4.0744541E-004, 1.2196298E-004, 2.7990287E-002, 3.1174870E-004, 7.7338737E-001, 4.2298088E-004, 1.0797987E-004
 7.1500000E+001, 5.4191562E+002, 5.1481998E+002, 2.9431588E+000, 9.9765005E+001, 2.0407932E+002, 1.2035456E+000, 1.8277799E-001, 1.5037737E-002, 3.7871235E-004, 1.0998776E-004, 2.7378441E-002, 2.8931363E-004, 7.7375482E-001, 3.9328172E-004, 1.0481076E-004
 7.2500000E+001, 5.3600369E+002, 5.0986768E+002, 2.9314507E+000, 9.8075592E+001, 2.0001175E+002, 1.1996433E+000, 1.8337952E-001, 1.4710311E-002, 3.5390609E-004, 9.8557578E-005, 2.6847399E-002, 2.6994588E-004, 7.7407443E-001, 3.6748369E-004, 1.0206108E-004
 7.3500000E+001, 5.3064336E+002, 5.0539439E+002, 2.9214208E+000, 9.6430002E+001, 1.9637244E+002, 1.1954434E+000, 1.8392121E-001, 1.4417492E-002, 3.2934257E-004, 8.6445656E-005, 2.6369237E-002, 2.5074693E-004, 7.7436604E-001, 3.4172304E-004, 9.9541297E-005
 7.4500000E+001, 5.2555193E+002, 5.0109657E+002, 2.9123903E+000, 9.4774750E+001, 1.9302561E+002, 1.1902141E+000, 1.8444492E-001, 1.4135647E-002, 3.0421988E-004, 7.3691054E-005, 2.5906972E-002, 2.3109928E-004, 7.7465026E-001, 3.1532320E-004, 9.7079552E-005
 7.5500000E+001, 5.2043893E+002, 4.9683510E+002, 2.9123903E+000, 9.2906541E+001, 1.8943329E+002, 1.1902141E+000, 1.8496661E-001, 1.3855254E-002, 2.7866742E-004, 6.1497651E-005, 2.5446320E-002, 2.1111138E-004, 7.7493365E-001, 2.8851774E-004, 9.4616475E-005
 7.6500000E+001, 5.1529005E+002, 4.9252632E+002, 2.9042685E+000, 9.0938727E+001, 1.8570821E+002, 1.1838087E+000, 1.8549431E-001, 1.3572912E-002, 2.5110712E-004, 5.0148743E-005, 2.4979956E-002, 1.8953963E-004, 7.7522158E-001, 2.5961673E-004, 9.2090603E-005
 7.7500000E+001, 5.1012313E+002, 4.8821190E+002, 2.8859005E+000, 8.8782824E+001, 1.8169908E+002, 1.1691414E+000, 1.8602539E-001, 1.3290178E-002, 2.2137388E-004, 4.0447370E-005, 2.4510016E-002, 1.6625266E-004, 7.7551247E-001, 2.2840084E-004, 8.9506132E-005
 7.8500000E+001, 5.0498256E+002, 4.8389451E+002, 2.8859005E+000, 8.6558547E+001, 1.7746882E+002, 1.1691414E+000, 1.8656255E-001, 1.3006021E-002, 1.8889459E-004, 3.1948448E-005, 2.4034149E-002, 1.4079870E-004, 7.7580854E-001, 1.9424434E-004, 8.6842627E-005
 7.9500000E+001, 4.9990337E+002, 4.7966843E+002, 2.8751944E+000, 8.4176182E+001, 1.7290988E+002, 1.1617956E+000, 1.8708994E-001, 1.2725057E-002, 1.5921645E-004, 2.4954098E-005, 2.3566960E-002, 1.1755406E-004, 7.7609577E-001, 1.6321802E-004, 8.4271148E-005
