cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
 1.4314151E+002, 6.6134774E+002, 2.6330603E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4710377E+002, 6.4542391E+002, 2.5354448E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5106604E+002, 6.2979124E+002, 2.4348536E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5502830E+002, 6.1515565E+002, 2.3416240E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5899057E+002, 6.0107677E+002, 2.2501479E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6295283E+002, 5.8721146E+002, 2.1560226E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6691509E+002, 5.7395243E+002, 2.0661118E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7087736E+002, 5.6108352E+002, 1.9611316E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7483962E+002, 5.4935664E+002, 1.8600555E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7880189E+002, 5.3851722E+002, 1.7595893E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8276415E+002, 5.2894168E+002, 1.6731030E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8672642E+002, 5.2015007E+002, 1.5897713E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9068868E+002, 5.1193107E+002, 1.5179866E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9465094E+002, 5.0452371E+002, 1.4482317E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9861321E+002, 4.9711389E+002, 1.3766315E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0257547E+002, 4.9055730E+002, 1.3063662E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0653774E+002, 4.8364551E+002, 1.2379135E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1050000E+002, 4.7801455E+002, 1.1794349E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
