cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
 6.7500000E+000, 7.8818940E+002, 7.8687468E+002, 4.8191329E-001, 1.2582055E+002, 1.4982052E+002, 1.9633151E-001, 2.6969595E-003, 5.2716139E-002, 5.8844691E-002, 3.3408942E-001, 9.1780620E-002, 3.6755198E-002, 4.0833854E-001, 4.5232952E-002, 4.8713632E-003, 5.0555556E+001, 3.1360559E-001, 7.3328788E+001, 5.2268517E-001
 7.2500000E+000, 8.0206188E+002, 8.0102976E+002, 5.5509694E-001, 1.3058735E+002, 1.5632576E+002, 2.0789562E-001, 2.5569216E-003, 5.3891292E-002, 5.9615789E-002, 3.2278876E-001, 9.3478023E-002, 3.7236627E-002, 4.1545989E-001, 4.6276884E-002, 4.9840168E-003, 5.4444444E+001, 2.9902201E-001, 7.7564853E+001, 4.6482157E-001
 7.7500000E+000, 8.1604183E+002, 8.1526693E+002, 6.3520559E-001, 1.3552199E+002, 1.6332872E+002, 2.2013239E-001, 2.4586520E-003, 5.5043118E-002, 6.0312699E-002, 3.1180770E-001, 9.5105003E-002, 3.7671699E-002, 4.2245273E-001, 4.7264179E-002, 5.0905949E-003, 5.8333333E+001, 2.7997342E-001, 8.1800956E+001, 4.0936859E-001
 8.2500000E+000, 8.2966590E+002, 8.2915824E+002, 7.1992211E-001, 1.4057266E+002, 1.7069302E+002, 2.3285382E-001, 2.3843274E-003, 5.6167726E-002, 6.0927669E-002, 3.0129600E-001, 9.6652253E-002, 3.8055569E-002, 4.2921287E-001, 4.8173019E-002, 5.1887514E-003, 6.2222222E+001, 2.6701221E-001, 8.6037093E+001, 3.6273830E-001
 8.7500000E+000, 8.4296025E+002, 8.4278859E+002, 8.0787086E-001, 1.4563731E+002, 1.7813035E+002, 2.4580996E-001, 2.3435369E-003, 5.7293286E-002, 6.1422896E-002, 2.9119018E-001, 9.8124858E-002, 3.8364600E-002, 4.3583183E-001, 4.8964758E-002, 5.2743543E-003, 6.6111111E+001, 2.6332692E-001, 9.0273257E+001, 3.1599471E-001
 9.2500000E+000, 8.5602828E+002, 8.5622491E+002, 8.9732815E-001, 1.5033747E+002, 1.8516248E+002, 2.5857281E-001, 2.3589799E-003, 5.8394774E-002, 6.1829244E-002, 2.8141035E-001, 9.9517202E-002, 3.8618092E-002, 4.4233954E-001, 4.9676004E-002, 5.3513178E-003, 7.0000000E+001, 2.6530032E-001, 9.4509447E+001, 2.8203115E-001
 9.7500000E+000, 8.6919413E+002, 8.6979181E+002, 9.8670377E-001, 1.5528073E+002, 1.9257306E+002, 2.7114591E-001, 2.4876949E-003, 5.9462175E-002, 6.2123470E-002, 2.7186559E-001, 1.0080533E-001, 3.8801523E-002, 4.4884749E-001, 5.0281049E-002, 5.4168816E-003, 7.3888889E+001, 2.7007388E-001, 9.8745657E+001, 2.5325343E-001
 1.0250000E+001, 8.8155837E+002, 8.8248329E+002, 1.0748819E+000, 1.5810447E+002, 1.9761760E+002, 2.8369784E-001, 2.8120998E-003, 6.0421876E-002, 6.2317768E-002, 2.6262221E-001, 1.0192294E-001, 3.8922545E-002, 4.5532402E-001, 5.0785412E-002, 5.4715927E-003, 7.7777778E+001, 2.7066454E-001, 1.0298189E+002, 2.2776908E-001
 1.0750000E+001, 8.9331665E+002, 8.9424735E+002, 1.1616064E+000, 1.5985542E+002, 2.0217391E+002, 2.9635749E-001, 3.1496908E-003, 6.1359560E-002, 6.2473403E-002, 2.5365592E-001, 1.0299354E-001, 3.9019413E-002, 4.6165183E-001, 5.1255264E-002, 5.5225935E-003, 8.1666667E+001, 2.6540047E-001, 1.0721813E+002, 2.0581296E-001
 1.1250000E+001, 9.0484606E+002, 9.0576975E+002, 1.2471957E+000, 1.6057386E+002, 2.0569063E+002, 3.0831012E-001, 3.5162322E-003, 6.2263221E-002, 6.2603652E-002, 2.4491243E-001, 1.0401354E-001, 3.9100428E-002, 4.6786014E-001, 5.1705784E-002, 5.5715066E-003, 8.5555556E+001, 2.5365481E-001, 1.1145439E+002, 1.8705948E-001
 1.1750000E+001, 9.1636573E+002, 9.1731732E+002, 1.3314414E+000, 1.6094526E+002, 2.0887778E+002, 3.1988697E-001, 3.8338767E-003, 6.3208082E-002, 6.2685942E-002, 2.3634186E-001, 1.0504438E-001, 3.9151452E-002, 4.7398228E-001, 5.2116933E-002, 5.6162247E-003, 8.9444444E+001, 2.3873734E-001, 1.1569067E+002, 1.6443153E-001
 1.2250000E+001, 9.2811116E+002, 9.2921109E+002, 1.4143117E+000, 1.6182909E+002, 2.1252131E+002, 3.3186205E-001, 4.1056322E-003, 6.4190458E-002, 6.2711995E-002, 2.2799540E-001, 1.0607705E-001, 3.9167311E-002, 4.7999226E-001, 5.2476963E-002, 5.6554851E-003, 9.3333333E+001, 2.2455682E-001, 1.1992695E+002, 1.5034330E-001
 1.2750000E+001, 9.3997112E+002, 9.4135776E+002, 1.4959387E+000, 1.6253910E+002, 2.1568799E+002, 3.4419049E-001, 4.3886953E-003, 6.5148995E-002, 6.2706712E-002, 2.1991279E-001, 1.0706545E-001, 3.9163595E-002, 4.8585395E-001, 5.2808531E-002, 5.6916836E-003, 9.7222222E+001, 2.1372176E-001, 1.2416325E+002, 1.3825361E-001
 1.3250000E+001, 9.5169321E+002, 9.5351969E+002, 1.5763326E+000, 1.6293043E+002, 2.1811666E+002, 3.5646899E-001, 4.6857461E-003, 6.6088467E-002, 6.2659900E-002, 2.1209635E-001, 1.0800806E-001, 3.9133932E-002, 4.9157824E-001, 5.3097240E-002, 5.7232776E-003, 1.0111111E+002, 2.0661851E-001, 1.2839955E+002, 1.2781799E-001
 1.3750000E+001, 9.6331068E+002, 9.6562872E+002, 1.6553283E+000, 1.6321515E+002, 2.2033421E+002, 3.6846211E-001, 5.0101571E-003, 6.7006383E-002, 6.2567642E-002, 2.0451842E-001, 1.0890010E-001, 3.9075875E-002, 4.9719402E-001, 5.3337743E-002, 5.7496930E-003, 1.0500000E+002, 2.0287191E-001, 1.3263586E+002, 1.1542307E-001
 1.4250000E+001, 9.7470981E+002, 9.7743920E+002, 1.7325940E+000, 1.6328061E+002, 2.2255346E+002, 3.8024842E-001, 5.3516573E-003, 6.7905863E-002, 6.2425638E-002, 1.9722671E-001, 1.0974181E-001, 3.8986734E-002, 5.0266854E-001, 5.3522332E-002, 5.7701037E-003, 1.0888889E+002, 1.9828831E-001, 1.3687218E+002, 1.0461909E-001
 1.4750000E+001, 9.8645623E+002, 9.8949929E+002, 1.8081916E+000, 1.6347488E+002, 2.2545873E+002, 3.9230301E-001, 5.7240054E-003, 6.8789755E-002, 6.2225971E-002, 1.9017323E-001, 1.1053137E-001, 3.8861561E-002, 5.0804984E-001, 5.3644170E-002, 5.7837779E-003, 1.1277778E+002, 1.9266461E-001, 1.4110851E+002, 9.7747556E-002
 1.5250000E+001, 9.9751094E+002, 1.0008271E+003, 1.8816040E+000, 1.6330783E+002, 2.2801402E+002, 4.0527653E-001, 6.1542905E-003, 6.9630028E-002, 6.1993892E-002, 1.8330519E-001, 1.1125657E-001, 3.8716149E-002, 5.1335655E-001, 5.3731845E-002, 5.7937680E-003, 1.1666667E+002, 1.8530261E-001, 1.4534485E+002, 8.8288176E-002
 1.5750000E+001, 1.0083552E+003, 1.0118914E+003, 1.9529539E+000, 1.6325346E+002, 2.3082382E+002, 4.1910032E-001, 6.6207717E-003, 7.0449112E-002, 6.1714250E-002, 1.7664097E-001, 1.1193040E-001, 3.8541019E-002, 5.1858502E-001, 5.3765275E-002, 5.7979311E-003, 1.2055556E+002, 1.7550906E-001, 1.4958119E+002, 8.2898464E-002
 1.6250000E+001, 1.0187901E+003, 1.0225738E+003, 2.0226663E+000, 1.6297580E+002, 2.3329640E+002, 4.3335437E-001, 7.1567950E-003, 7.1233957E-002, 6.1370700E-002, 1.7019128E-001, 1.1252970E-001, 3.8325962E-002, 5.2375803E-001, 5.3727617E-002, 5.7944532E-003, 1.2444444E+002, 1.6434064E-001, 1.5381753E+002, 7.8160364E-002
 1.6750000E+001, 1.0289321E+003, 1.0329913E+003, 2.0904369E+000, 1.6257353E+002, 2.3551916E+002, 4.4764361E-001, 7.7607586E-003, 7.1955437E-002, 6.1012232E-002, 1.6393464E-001, 1.1305568E-001, 3.8101608E-002, 5.2883477E-001, 5.3669590E-002, 5.7887584E-003, 1.2833333E+002, 1.5298818E-001, 1.5805388E+002, 7.0564854E-002
 1.7250000E+001, 1.0390560E+003, 1.0433592E+003, 2.1562553E+000, 1.6230736E+002, 2.3810725E+002, 4.6207088E-001, 8.4116681E-003, 7.2663588E-002, 6.0584471E-002, 1.5787901E-001, 1.1352474E-001, 3.7833952E-002, 5.3386374E-001, 5.3533823E-002, 5.7747196E-003, 1.3222222E+002, 1.4255659E-001, 1.6229024E+002, 6.5138725E-002
 1.7750000E+001, 1.0489905E+003, 1.0535199E+003, 2.2202919E+000, 1.6168306E+002, 2.4043576E+002, 4.7694874E-001, 9.1379026E-003, 7.3333231E-002, 6.0098651E-002, 1.5201236E-001, 1.1391872E-001, 3.7530026E-002, 5.3885088E-001, 5.3332322E-002, 5.7536104E-003, 1.3611111E+002, 1.3365828E-001, 1.6652660E+002, 6.1932068E-002
 1.8250000E+001, 1.0585475E+003, 1.0632988E+003, 2.2828488E+000, 1.6049965E+002, 2.4215258E+002, 4.9152428E-001, 9.9616333E-003, 7.3921258E-002, 5.9597639E-002, 1.4632736E-001, 1.1422102E-001, 3.7216640E-002, 5.4376071E-001, 5.3109809E-002, 5.7302039E-003, 1.4000000E+002, 1.2804007E-001, 1.7076296E+002, 5.5844358E-002
 1.8750000E+001, 1.0678049E+003, 1.0727427E+003, 2.3440043E+000, 1.5919127E+002, 2.4385762E+002, 5.0550759E-001, 1.0803876E-002, 7.4498057E-002, 5.9059442E-002, 1.4081088E-001, 1.1448846E-001, 3.6880018E-002, 5.4859934E-001, 5.2843414E-002, 5.7020849E-003,NaN,NaN, 1.7499933E+002, 5.3327120E-002
 1.9250000E+001, 1.0767101E+003, 1.0817829E+003, 2.4034987E+000, 1.5807530E+002, 2.4593102E+002, 5.1959045E-001, 1.1707694E-002, 7.5030017E-002, 5.8486566E-002, 1.3548189E-001, 1.1468892E-001, 3.6521741E-002, 5.5336580E-001, 5.2533613E-002, 5.6692862E-003,NaN,NaN, 1.7923570E+002, 5.1079679E-002
 1.9750000E+001, 1.0855659E+003, 1.0907186E+003, 2.4611547E+000, 1.5747086E+002, 2.4880629E+002, 5.3470126E-001, 1.2668922E-002, 7.5528173E-002, 5.7873132E-002, 1.3031065E-001, 1.1482993E-001, 3.6138130E-002, 5.5808641E-001, 5.2176470E-002, 5.6313908E-003,NaN,NaN, 1.8347207E+002, 4.7828402E-002
 2.0250000E+001, 1.0940212E+003, 1.0992439E+003, 2.5170440E+000, 1.5694489E+002, 2.5165762E+002, 5.5051366E-001, 1.3750590E-002, 7.5946631E-002, 5.7225331E-002, 1.2528960E-001, 1.1486948E-001, 3.5733074E-002, 5.6278205E-001, 5.1779356E-002, 5.5891646E-003,NaN,NaN,NaN,NaN
 2.0750000E+001, 1.1020381E+003, 1.1072029E+003, 2.5710993E+000, 1.5618282E+002, 2.5441945E+002, 5.6632576E-001, 1.4939343E-002, 7.6288282E-002, 5.6548705E-002, 1.2043569E-001, 1.1481382E-001, 3.5310036E-002, 5.6742960E-001, 5.1345845E-002, 5.5429925E-003,NaN,NaN,NaN,NaN
 2.1250000E+001, 1.1095815E+003, 1.1144933E+003, 2.6231479E+000, 1.5525202E+002, 2.5745519E+002, 5.8203398E-001, 1.6209600E-002, 7.6581097E-002, 5.5825480E-002, 1.1575918E-001, 1.1467988E-001, 3.4857895E-002, 5.7203279E-001, 5.0856061E-002, 5.4907577E-003,NaN,NaN,NaN,NaN
 2.1750000E+001, 1.1164606E+003, 1.1209685E+003, 2.6731926E+000, 1.5430831E+002, 2.6070803E+002, 5.9751888E-001, 1.7520475E-002, 7.6837890E-002, 5.5072226E-002, 1.1128597E-001, 1.1449057E-001, 3.4387001E-002, 5.7653977E-001, 5.0324492E-002, 5.4340186E-003,NaN,NaN,NaN,NaN
 2.2250000E+001, 1.1229313E+003, 1.1269942E+003, 2.7216226E+000, 1.5358577E+002, 2.6417035E+002, 6.1203354E-001, 1.8836190E-002, 7.7074888E-002, 5.4301647E-002, 1.0701200E-001, 1.1426996E-001, 3.3905287E-002, 5.8092628E-001, 4.9763958E-002, 5.3741591E-003,NaN,NaN,NaN,NaN
 2.2750000E+001, 1.1292838E+003, 1.1328748E+003, 2.7688360E+000, 1.5308140E+002, 2.6792998E+002, 6.2579839E-001, 2.0121335E-002, 7.7299830E-002, 5.3540943E-002, 1.0292190E-001, 1.1404261E-001, 3.3429750E-002, 5.8515977E-001, 4.9204141E-002, 5.3143662E-003,NaN,NaN,NaN,NaN
 2.3250000E+001, 1.1352267E+003, 1.1383989E+003, 2.8152250E+000, 1.5236530E+002, 2.7116339E+002, 6.3912348E-001, 2.1389561E-002, 7.7502976E-002, 5.2796893E-002, 9.8986605E-002, 1.1380312E-001, 3.2964633E-002, 5.8925811E-001, 4.8654793E-002, 5.2556812E-003,NaN,NaN,NaN,NaN
 2.3750000E+001, 1.1406498E+003, 1.1434571E+003, 2.8610294E+000, 1.5118053E+002, 2.7356364E+002, 6.5184833E-001, 2.2669279E-002, 7.7665874E-002, 5.2068373E-002, 9.5205677E-002, 1.1353235E-001, 3.2509238E-002, 5.9323303E-001, 4.8113855E-002, 5.1978731E-003,NaN,NaN,NaN,NaN
 2.4250000E+001, 1.1458111E+003, 1.1482968E+003, 2.9063000E+000, 1.4987175E+002, 2.7568719E+002, 6.6400537E-001, 2.3972047E-002, 7.7810717E-002, 5.1315849E-002, 9.1556607E-002, 1.1322818E-001, 3.2038849E-002, 5.9714952E-001, 4.7541259E-002, 5.1366574E-003,NaN,NaN,NaN,NaN
 2.4750000E+001, 1.1504069E+003, 1.1525521E+003, 2.9506863E+000, 1.4850683E+002, 2.7761664E+002, 6.7608700E-001, 2.5349816E-002, 7.7915756E-002, 5.0521381E-002, 8.8030106E-002, 1.1285785E-001, 3.1542261E-002, 6.0105308E-001, 4.6919809E-002, 5.0701784E-003,NaN,NaN,NaN,NaN
 2.5250000E+001, 1.1544004E+003, 1.1561111E+003, 2.9936953E+000, 1.4729093E+002, 2.7968619E+002, 6.8857840E-001, 2.6807796E-002, 7.7960760E-002, 4.9709157E-002, 8.4628095E-002, 1.1241607E-001, 3.1034603E-002, 6.0491677E-001, 4.6274156E-002, 5.0010690E-003,NaN,NaN,NaN,NaN
 2.5750000E+001, 1.1580434E+003, 1.1592513E+003, 3.0351555E+000, 1.4633417E+002, 2.8205045E+002, 7.0149167E-001, 2.8319223E-002, 7.7971930E-002, 4.8869443E-002, 8.1340488E-002, 1.1192305E-001, 3.0509778E-002, 6.0874926E-001, 4.5594363E-002, 4.9282773E-003,NaN,NaN,NaN,NaN
 2.6250000E+001, 1.1614647E+003, 1.1620768E+003, 3.0750852E+000, 1.4542219E+002, 2.8466272E+002, 7.1453654E-001, 2.9852375E-002, 7.7954018E-002, 4.8025904E-002, 7.8172240E-002, 1.1139812E-001, 2.9982574E-002, 6.1250885E-001, 4.4904501E-002, 4.8543872E-003,NaN,NaN,NaN,NaN
 2.6750000E+001, 1.1647423E+003, 1.1646161E+003, 3.1137200E+000, 1.4452540E+002, 2.8764921E+002, 7.2717539E-001, 3.1346707E-002, 7.7943842E-002, 4.7186074E-002, 7.5117343E-002, 1.1088272E-001, 2.9457686E-002, 6.1616968E-001, 4.4211920E-002, 4.7802077E-003,NaN,NaN,NaN,NaN
 2.7250000E+001, 1.1677804E+003, 1.1669111E+003, 3.1512465E+000, 1.4393190E+002, 2.9083776E+002, 7.3894290E-001, 3.2851560E-002, 7.7894369E-002, 4.6367921E-002, 7.2185337E-002, 1.1034092E-001, 2.8946362E-002, 6.1972219E-001, 4.3535403E-002, 4.7077268E-003,NaN,NaN,NaN,NaN
 2.7750000E+001, 1.1704245E+003, 1.1688390E+003, 3.1875535E+000, 1.4368910E+002, 2.9401513E+002, 7.4997755E-001, 3.4373687E-002, 7.7811003E-002, 4.5556042E-002, 6.9379555E-002, 1.0976861E-001, 2.8438974E-002, 6.2318387E-001, 4.2858614E-002, 4.6351952E-003,NaN,NaN,NaN,NaN
 2.8250000E+001, 1.1723849E+003, 1.1701133E+003, 3.2224148E+000, 1.4377410E+002, 2.9696495E+002, 7.6046095E-001, 3.5946946E-002, 7.7675706E-002, 4.4744377E-002, 6.6694223E-002, 1.0914404E-001, 2.7931743E-002, 6.2657779E-001, 4.2175331E-002, 4.5619361E-003,NaN,NaN,NaN,NaN
 2.8750000E+001, 1.1737463E+003, 1.1706696E+003, 3.2554635E+000, 1.4438093E+002, 3.0025625E+002, 7.7086031E-001, 3.7585242E-002, 7.7482835E-002, 4.3931832E-002, 6.4107839E-002, 1.0846101E-001, 2.7423987E-002, 6.2992547E-001, 4.1485391E-002, 4.4879297E-003,NaN,NaN,NaN,NaN
 2.9250000E+001, 1.1747767E+003, 1.1706761E+003, 3.2865370E+000, 1.4533672E+002, 3.0418742E+002, 7.8220455E-001, 3.9240035E-002, 7.7264997E-002, 4.3123254E-002, 6.1599533E-002, 1.0775515E-001, 2.6918720E-002, 6.3321895E-001, 4.0795429E-002, 4.4139060E-003,NaN,NaN,NaN,NaN
 2.9750000E+001, 1.1758566E+003, 1.1706178E+003, 3.3162116E+000, 1.4631273E+002, 3.0838828E+002, 7.9428903E-001, 4.0883570E-002, 7.7036658E-002, 4.2325494E-002, 5.9167291E-002, 1.0704515E-001, 2.6420220E-002, 6.3644199E-001, 4.0112709E-002, 4.3406511E-003,NaN,NaN,NaN,NaN
 3.0250000E+001, 1.1766902E+003, 1.1703190E+003, 3.3448371E+000, 1.4704300E+002, 3.1226024E+002, 8.0680958E-001, 4.2570515E-002, 7.6764420E-002, 4.1532358E-002, 5.6814720E-002, 1.0629382E-001, 2.5924628E-002, 6.3961855E-001, 3.9430358E-002, 4.2674100E-003,NaN,NaN,NaN,NaN
 3.0750000E+001, 1.1771637E+003, 1.1695545E+003, 3.3721605E+000, 1.4768989E+002, 3.1614482E+002, 8.1992628E-001, 4.4260891E-002, 7.6484729E-002, 4.0731261E-002, 5.4536340E-002, 1.0552982E-001, 2.5424065E-002, 6.4275253E-001, 3.8736267E-002, 4.1929041E-003,NaN,NaN,NaN,NaN
 3.1250000E+001, 1.1773855E+003, 1.1684494E+003, 3.3983158E+000, 1.4842989E+002, 3.2024258E+002, 8.3305376E-001, 4.5975869E-002, 7.6184385E-002, 3.9918830E-002, 5.2340104E-002, 1.0473785E-001, 2.4916426E-002, 6.4584967E-001, 3.8025393E-002, 4.1165845E-003,NaN,NaN,NaN,NaN
 3.1750000E+001, 1.1773864E+003, 1.1670946E+003, 3.4231712E+000, 1.4898701E+002, 3.2418190E+002, 8.4621185E-001, 4.7715288E-002, 7.5856525E-002, 3.9105463E-002, 5.0225384E-002, 1.0391747E-001, 2.4408214E-002, 6.4889855E-001, 3.7309112E-002, 4.0396677E-003,NaN,NaN,NaN,NaN
 3.2250000E+001, 1.1771446E+003, 1.1654691E+003, 3.4469880E+000, 1.4953583E+002, 3.2802918E+002, 8.5918112E-001, 4.9446966E-002, 7.5516388E-002, 3.8302925E-002, 4.8182373E-002, 1.0309121E-001, 2.3906776E-002, 6.5188133E-001, 3.6599992E-002, 3.9635103E-003,NaN,NaN,NaN,NaN
 3.2750000E+001, 1.1770209E+003, 1.1640315E+003, 3.4702391E+000, 1.5024394E+002, 3.3176457E+002, 8.7115829E-001, 5.1109936E-002, 7.5204013E-002, 3.7514659E-002, 4.6203965E-002, 1.0230121E-001, 2.3414245E-002, 6.5477741E-001, 3.5902465E-002, 3.8886094E-003,NaN,NaN,NaN,NaN
 3.3250000E+001, 1.1768106E+003, 1.1626705E+003, 3.4933531E+000, 1.5119574E+002, 3.3513601E+002, 8.8136904E-001, 5.2714905E-002, 7.4918852E-002, 3.6729542E-002, 4.4296027E-002, 1.0154004E-001, 2.2923671E-002, 6.5759905E-001, 3.5203950E-002, 3.8136151E-003,NaN,NaN,NaN,NaN
 3.3750000E+001, 1.1764763E+003, 1.1612818E+003, 3.5159567E+000, 1.5232944E+002, 3.3839019E+002, 8.9038523E-001, 5.4273043E-002, 7.4662757E-002, 3.5936482E-002, 4.2445191E-002, 1.0080276E-001, 2.2428120E-002, 6.6037233E-001, 3.4493399E-002, 3.7373440E-003,NaN,NaN,NaN,NaN
 3.4250000E+001, 1.1762152E+003, 1.1601544E+003, 3.5379878E+000, 1.5373010E+002, 3.4149490E+002, 8.9899452E-001, 5.5840517E-002, 7.4395493E-002, 3.5133866E-002, 4.0674144E-002, 1.0004809E-001, 2.1926602E-002, 6.6310297E-001, 3.3767911E-002, 3.6594617E-003,NaN,NaN,NaN,NaN
 3.4750000E+001, 1.1753862E+003, 1.1583466E+003, 3.5592791E+000, 1.5526936E+002, 3.4456833E+002, 9.0758383E-001, 5.7472911E-002, 7.4087256E-002, 3.4307244E-002, 3.8996281E-002, 9.9237283E-002, 2.1410097E-002, 6.6581766E-001, 3.3012623E-002, 3.5783585E-003,NaN,NaN,NaN,NaN
 3.5250000E+001, 1.1743559E+003, 1.1564119E+003, 3.5807709E+000, 1.5677973E+002, 3.4738241E+002, 9.1562577E-001, 5.9007886E-002, 7.3805756E-002, 3.3518082E-002, 3.7416564E-002, 9.8475884E-002, 2.0916993E-002, 6.6838522E-001, 3.2290600E-002, 3.5008345E-003,NaN,NaN,NaN,NaN
 3.5750000E+001, 1.1734988E+003, 1.1546254E+003, 3.6023750E+000, 1.5823641E+002, 3.5046254E+002, 9.2259380E-001, 6.0511420E-002, 7.3519760E-002, 3.2751559E-002, 3.5910539E-002, 9.7723651E-002, 2.0438040E-002, 6.7086341E-001, 3.1587177E-002, 3.4253001E-003,NaN,NaN,NaN,NaN
