s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 9.601E+01, 3.674E+01, 6.390E+01, 6.533E+01, 6.541E+01, 6.167E+01, 3.259E+01, 3.675E+01, 5.940E+01, 5.821E+01, 5.761E+01, 5.807E+01, 3.485E+01, 3.144E+01, 4.954E+01, 4.918E+01, 4.912E+01, 4.845E+01, 3.585E+01, 3.190E+01, 5.205E+01, 5.029E+01, 4.861E+01, 4.684E+01, 3.774E+01, 0.000E+00
 1.000E+02, 3.781E+01, 6.253E+01, 6.162E+01, 5.987E+01, 5.872E+01, 3.448E+01, 3.760E+01, 6.203E+01, 6.163E+01, 5.889E+01, 5.618E+01, 3.420E+01, 3.199E+01, 4.994E+01, 5.079E+01, 5.243E+01, 5.061E+01, 3.783E+01, 3.273E+01, 5.416E+01, 5.292E+01, 5.095E+01, 4.926E+01, 3.762E+01, 0.000E+00
 1.040E+02, 3.869E+01, 6.321E+01, 6.287E+01, 6.213E+01, 5.860E+01, 3.386E+01, 3.862E+01, 6.221E+01, 6.283E+01, 6.326E+01, 6.153E+01, 3.522E+01, 3.252E+01, 5.347E+01, 5.433E+01, 5.390E+01, 5.216E+01, 4.055E+01, 3.346E+01, 5.379E+01, 5.377E+01, 5.255E+01, 5.174E+01, 3.967E+01, 0.000E+00
 1.080E+02, 3.967E+01, 6.782E+01, 6.617E+01, 6.335E+01, 6.246E+01, 3.785E+01, 3.945E+01, 6.410E+01, 6.494E+01, 6.539E+01, 6.300E+01, 3.639E+01, 3.308E+01, 5.320E+01, 5.408E+01, 5.553E+01, 5.404E+01, 4.070E+01, 3.390E+01, 5.277E+01, 5.380E+01, 5.462E+01, 5.336E+01, 4.133E+01, 0.000E+00
 1.120E+02, 4.070E+01, 6.749E+01, 6.597E+01, 6.632E+01, 6.463E+01, 3.908E+01, 4.034E+01, 6.732E+01, 6.709E+01, 6.651E+01, 6.422E+01, 3.790E+01, 3.374E+01, 5.571E+01, 5.608E+01, 5.558E+01, 5.288E+01, 3.903E+01, 3.451E+01, 5.529E+01, 5.567E+01, 5.642E+01, 5.394E+01, 4.230E+01, 0.000E+00
 1.160E+02, 4.158E+01, 6.784E+01, 6.879E+01, 6.913E+01, 6.607E+01, 3.951E+01, 4.127E+01, 6.909E+01, 6.866E+01, 6.841E+01, 6.453E+01, 3.962E+01, 3.456E+01, 5.568E+01, 5.679E+01, 5.861E+01, 5.709E+01, 4.398E+01, 3.531E+01, 5.672E+01, 5.694E+01, 5.683E+01, 5.555E+01, 4.594E+01, 0.000E+00
 1.200E+02, 4.257E+01, 6.926E+01, 7.242E+01, 7.318E+01, 7.204E+01, 4.080E+01, 4.223E+01, 7.033E+01, 7.109E+01, 7.182E+01, 6.862E+01, 3.879E+01, 3.553E+01, 5.900E+01, 6.004E+01, 6.047E+01, 5.792E+01, 4.277E+01, 3.633E+01, 5.880E+01, 5.931E+01, 5.987E+01, 5.860E+01, 4.650E+01, 0.000E+00
 1.240E+02, 4.334E+01, 7.155E+01, 7.286E+01, 7.199E+01, 6.944E+01, 4.275E+01, 4.323E+01, 7.232E+01, 7.371E+01, 7.290E+01, 7.184E+01, 4.317E+01, 3.642E+01, 6.053E+01, 6.145E+01, 6.262E+01, 6.087E+01, 4.427E+01, 3.717E+01, 5.687E+01, 5.846E+01, 5.970E+01, 5.856E+01, 4.749E+01, 0.000E+00
 1.280E+02, 4.424E+01, 7.058E+01, 7.344E+01, 7.619E+01, 7.099E+01, 4.306E+01, 4.410E+01, 7.502E+01, 7.736E+01, 7.921E+01, 7.599E+01, 4.369E+01, 3.732E+01, 6.419E+01, 6.471E+01, 6.386E+01, 6.181E+01, 4.785E+01, 3.780E+01, 6.138E+01, 6.062E+01, 5.979E+01, 5.940E+01, 4.958E+01, 0.000E+00
 1.320E+02, 4.511E+01, 7.055E+01, 7.078E+01, 7.086E+01, 7.619E+01, 4.514E+01, 4.508E+01, 7.508E+01, 7.832E+01, 7.889E+01, 7.295E+01, 4.311E+01, 3.815E+01, 6.261E+01, 6.446E+01, 6.487E+01, 6.338E+01, 4.707E+01, 3.876E+01, 6.593E+01, 6.430E+01, 6.251E+01, 6.081E+01, 5.212E+01, 0.000E+00
 1.360E+02, 4.601E+01, 7.511E+01, 7.636E+01, 7.732E+01, 7.959E+01, 4.643E+01, 4.595E+01, 7.769E+01, 7.553E+01, 7.509E+01, 7.777E+01, 4.496E+01, 3.890E+01, 6.316E+01, 6.474E+01, 6.612E+01, 6.435E+01, 5.199E+01, 3.964E+01, 6.612E+01, 6.656E+01, 6.529E+01, 6.274E+01, 5.329E+01, 0.000E+00
 1.400E+02, 4.708E+01, 7.854E+01, 7.909E+01, 7.870E+01, 7.754E+01, 4.888E+01, 4.700E+01, 7.840E+01, 8.025E+01, 7.972E+01, 7.577E+01, 4.425E+01, 3.989E+01, 6.550E+01, 6.519E+01, 6.604E+01, 6.599E+01, 5.342E+01, 4.045E+01, 6.609E+01, 6.699E+01, 6.691E+01, 6.612E+01, 5.378E+01, 0.000E+00
 1.440E+02, 4.812E+01, 8.218E+01, 8.189E+01, 8.149E+01, 8.199E+01, 4.911E+01, 4.813E+01, 8.060E+01, 8.258E+01, 8.301E+01, 8.117E+01, 5.078E+01, 4.086E+01, 6.931E+01, 6.949E+01, 6.869E+01, 6.778E+01, 5.105E+01, 4.110E+01, 6.620E+01, 6.583E+01, 6.547E+01, 6.626E+01, 5.336E+01, 0.000E+00
 1.480E+02, 4.911E+01, 8.102E+01, 8.355E+01, 8.420E+01, 8.170E+01, 4.640E+01, 4.932E+01, 8.133E+01, 8.119E+01, 8.081E+01, 7.651E+01, 5.134E+01, 4.162E+01, 6.602E+01, 6.745E+01, 7.127E+01, 6.885E+01, 5.627E+01, 4.184E+01, 6.691E+01, 6.781E+01, 6.986E+01, 6.892E+01, 5.753E+01, 0.000E+00
 1.520E+02, 5.003E+01, 8.175E+01, 8.113E+01, 8.072E+01, 8.140E+01, 4.905E+01, 5.055E+01, 8.210E+01, 8.350E+01, 8.531E+01, 8.335E+01, 5.189E+01, 4.251E+01, 6.885E+01, 7.017E+01, 7.161E+01, 7.061E+01, 5.614E+01, 4.246E+01, 6.833E+01, 7.015E+01, 6.996E+01, 7.101E+01, 6.091E+01, 0.000E+00
 1.560E+02, 5.116E+01, 8.297E+01, 8.319E+01, 8.160E+01, 8.209E+01, 5.171E+01, 5.186E+01, 8.264E+01, 8.097E+01, 8.284E+01, 8.587E+01, 5.204E+01, 4.335E+01, 7.095E+01, 7.266E+01, 7.316E+01, 7.102E+01, 5.867E+01, 4.343E+01, 6.847E+01, 6.955E+01, 7.065E+01, 7.098E+01, 6.120E+01, 0.000E+00
 1.600E+02, 5.225E+01, 8.420E+01, 8.414E+01, 8.468E+01, 8.540E+01, 5.430E+01, 5.310E+01, 8.471E+01, 8.386E+01, 8.421E+01, 8.341E+01, 5.343E+01, 4.419E+01, 7.392E+01, 7.353E+01, 7.171E+01, 7.183E+01, 5.979E+01, 4.429E+01, 6.955E+01, 7.180E+01, 7.453E+01, 7.313E+01, 6.071E+01, 0.000E+00
