s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
 8.1000391E+002, 1.8008755E+002, 1.8011082E+002, 1.8011136E+002, 1.8011153E+002, 1.8011249E+002, 1.8011223E+002, 1.8011395E+002, 1.8011313E+002, 1.8011342E+002, 1.8008843E+002
 8.4000143E+002, 1.7989877E+002, 1.7992184E+002, 1.7992251E+002, 1.7992256E+002, 1.7992364E+002, 1.7992342E+002, 1.7992518E+002, 1.7992409E+002, 1.7992452E+002, 1.7989957E+002
 8.7000345E+002, 1.7975140E+002, 1.7977465E+002, 1.7977516E+002, 1.7977521E+002, 1.7977630E+002, 1.7977617E+002, 1.7977775E+002, 1.7977690E+002, 1.7977724E+002, 1.7975225E+002
 9.0000097E+002, 1.8004995E+002, 1.8007352E+002, 1.8007376E+002, 1.8007392E+002, 1.8007491E+002, 1.8007469E+002, 1.8007641E+002, 1.8007553E+002, 1.8007581E+002, 1.8005077E+002
 9.3000298E+002, 1.9257316E+002, 1.9259811E+002, 1.9259872E+002, 1.9259880E+002, 1.9259966E+002, 1.9259954E+002, 1.9260127E+002, 1.9260025E+002, 1.9260071E+002, 1.9257389E+002
 9.6000051E+002, 2.0419465E+002, 2.0422096E+002, 2.0422162E+002, 2.0422180E+002, 2.0422285E+002, 2.0422253E+002, 2.0422455E+002, 2.0422354E+002, 2.0422387E+002, 2.0419539E+002
 9.9000252E+002, 2.0539526E+002, 2.0542128E+002, 2.0542240E+002, 2.0542256E+002, 2.0542357E+002, 2.0542338E+002, 2.0542527E+002, 2.0542414E+002, 2.0542462E+002, 2.0539599E+002
 1.0200000E+003, 2.0531554E+002, 2.0534210E+002, 2.0534248E+002, 2.0534278E+002, 2.0534391E+002, 2.0534359E+002, 2.0534556E+002, 2.0534442E+002, 2.0534476E+002, 2.0531624E+002
 1.0500021E+003, 2.0560051E+002, 2.0562687E+002, 2.0562767E+002, 2.0562780E+002, 2.0562888E+002, 2.0562863E+002, 2.0563052E+002, 2.0562948E+002, 2.0562985E+002, 2.0560115E+002
 1.0800041E+003, 2.0533955E+002, 2.0536603E+002, 2.0536683E+002, 2.0536678E+002, 2.0536792E+002, 2.0536760E+002, 2.0536952E+002, 2.0536842E+002, 2.0536889E+002, 2.0534031E+002
 1.1100016E+003, 2.0501587E+002, 2.0504225E+002, 2.0504318E+002, 2.0504327E+002, 2.0504442E+002, 2.0504403E+002, 2.0504601E+002, 2.0504482E+002, 2.0504529E+002, 2.0501666E+002
 1.1400036E+003, 2.0524222E+002, 2.0526819E+002, 2.0526945E+002, 2.0526946E+002, 2.0527042E+002, 2.0527024E+002, 2.0527214E+002, 2.0527113E+002, 2.0527147E+002, 2.0524284E+002
 1.1700011E+003, 2.0569946E+002, 2.0572603E+002, 2.0572676E+002, 2.0572681E+002, 2.0572795E+002, 2.0572753E+002, 2.0572952E+002, 2.0572831E+002, 2.0572878E+002, 2.0570013E+002
 1.2000032E+003, 2.0562194E+002, 2.0564806E+002, 2.0564927E+002, 2.0564924E+002, 2.0565030E+002, 2.0565008E+002, 2.0565199E+002, 2.0565102E+002, 2.0565123E+002, 2.0562265E+002
 1.2300007E+003, 2.1761938E+002, 2.1764684E+002, 2.1764822E+002, 2.1764837E+002, 2.1764941E+002, 2.1764899E+002, 2.1765102E+002, 2.1764986E+002, 2.1765032E+002, 2.1762006E+002
 1.2600027E+003, 2.2885172E+002, 2.2888077E+002, 2.2888203E+002, 2.2888200E+002, 2.2888327E+002, 2.2888305E+002, 2.2888501E+002, 2.2888382E+002, 2.2888408E+002, 2.2885225E+002
 1.2900002E+003, 2.2999151E+002, 2.3002088E+002, 2.3002157E+002, 2.3002193E+002, 2.3002303E+002, 2.3002276E+002, 2.3002485E+002, 2.3002362E+002, 2.3002396E+002, 2.2999202E+002
 1.3200022E+003, 2.2977761E+002, 2.2980699E+002, 2.2980790E+002, 2.2980790E+002, 2.2980917E+002, 2.2980884E+002, 2.2981103E+002, 2.2980982E+002, 2.2981021E+002, 2.2977814E+002
 1.3500043E+003, 2.2981484E+002, 2.2984401E+002, 2.2984517E+002, 2.2984519E+002, 2.2984633E+002, 2.2984604E+002, 2.2984818E+002, 2.2984692E+002, 2.2984727E+002, 2.2981537E+002
 1.3800018E+003, 2.2960328E+002, 2.2963248E+002, 2.2963364E+002, 2.2963364E+002, 2.2963480E+002, 2.2963450E+002, 2.2963654E+002, 2.2963534E+002, 2.2963569E+002, 2.2960379E+002
 1.4100038E+003, 2.2936977E+002, 2.2939859E+002, 2.2939993E+002, 2.2940008E+002, 2.2940119E+002, 2.2940091E+002, 2.2940300E+002, 2.2940185E+002, 2.2940217E+002, 2.2937025E+002
 1.4400013E+003, 2.2938509E+002, 2.2941421E+002, 2.2941523E+002, 2.2941532E+002, 2.2941654E+002, 2.2941619E+002, 2.2941840E+002, 2.2941710E+002, 2.2941740E+002, 2.2938562E+002
 1.4700033E+003, 2.2963705E+002, 2.2966602E+002, 2.2966723E+002, 2.2966744E+002, 2.2966855E+002, 2.2966828E+002, 2.2967042E+002, 2.2966927E+002, 2.2966956E+002, 2.2963756E+002
 1.5000009E+003, 2.2967622E+002, 2.2970554E+002, 2.2970640E+002, 2.2970639E+002, 2.2970776E+002, 2.2970735E+002, 2.2970948E+002, 2.2970827E+002, 2.2970864E+002, 2.2967675E+002
 1.5300029E+003, 2.4181919E+002, 2.4185024E+002, 2.4185083E+002, 2.4185081E+002, 2.4185215E+002, 2.4185174E+002, 2.4185393E+002, 2.4185261E+002, 2.4185314E+002, 2.4181949E+002
 1.5600004E+003, 2.5182086E+002, 2.5185286E+002, 2.5185392E+002, 2.5185384E+002, 2.5185515E+002, 2.5185472E+002, 2.5185701E+002, 2.5185560E+002, 2.5185606E+002, 2.5182096E+002
 1.5900024E+003, 2.5218264E+002, 2.5221502E+002, 2.5221550E+002, 2.5221573E+002, 2.5221707E+002, 2.5221660E+002, 2.5221890E+002, 2.5221757E+002, 2.5221808E+002, 2.5218283E+002
 1.6200044E+003, 2.5255546E+002, 2.5258760E+002, 2.5258842E+002, 2.5258843E+002, 2.5258976E+002, 2.5258937E+002, 2.5259172E+002, 2.5259043E+002, 2.5259078E+002, 2.5255559E+002
 1.6500020E+003, 2.5272292E+002, 2.5275462E+002, 2.5275575E+002, 2.5275604E+002, 2.5275732E+002, 2.5275690E+002, 2.5275924E+002, 2.5275790E+002, 2.5275827E+002, 2.5272314E+002
 1.6800040E+003, 2.5264174E+002, 2.5267397E+002, 2.5267443E+002, 2.5267455E+002, 2.5267599E+002, 2.5267564E+002, 2.5267793E+002, 2.5267659E+002, 2.5267695E+002, 2.5264192E+002
 1.7100015E+003, 2.5267999E+002, 2.5271213E+002, 2.5271296E+002, 2.5271268E+002, 2.5271414E+002, 2.5271387E+002, 2.5271624E+002, 2.5271475E+002, 2.5271523E+002, 2.5268000E+002
 1.7400035E+003, 2.5232993E+002, 2.5236181E+002, 2.5236309E+002, 2.5236300E+002, 2.5236427E+002, 2.5236381E+002, 2.5236608E+002, 2.5236474E+002, 2.5236530E+002, 2.5233013E+002
 1.7700010E+003, 2.5257001E+002, 2.5260231E+002, 2.5260301E+002, 2.5260314E+002, 2.5260432E+002, 2.5260401E+002, 2.5260637E+002, 2.5260491E+002, 2.5260537E+002, 2.5257018E+002
 1.8000031E+003, 2.5265954E+002, 2.5269178E+002, 2.5269238E+002, 2.5269251E+002, 2.5269391E+002, 2.5269355E+002, 2.5269584E+002, 2.5269450E+002, 2.5269488E+002, 2.5265974E+002
 1.8300006E+003, 2.6276615E+002, 2.6280583E+002, 2.6280047E+002, 2.6280046E+002, 2.6280190E+002, 2.6280141E+002, 2.6280391E+002, 2.6280254E+002, 2.6280293E+002, 2.6276630E+002
 1.8600026E+003, 2.7057399E+002, 2.7061500E+002, 2.7060910E+002, 2.7060941E+002, 2.7061083E+002, 2.7061046E+002, 2.7061292E+002, 2.7061149E+002, 2.7061187E+002, 2.7057423E+002
 1.8900001E+003, 2.7101880E+002, 2.7105985E+002, 2.7105421E+002, 2.7105422E+002, 2.7105574E+002, 2.7105540E+002, 2.7105782E+002, 2.7105630E+002, 2.7105673E+002, 2.7101901E+002
 1.9200021E+003, 2.7118824E+002, 2.7123020E+002, 2.7122309E+002, 2.7122383E+002, 2.7122519E+002, 2.7122463E+002, 2.7122718E+002, 2.7122573E+002, 2.7122625E+002, 2.7118840E+002
 1.9500041E+003, 2.7136259E+002, 2.7140388E+002, 2.7139788E+002, 2.7139803E+002, 2.7139946E+002, 2.7139905E+002, 2.7140156E+002, 2.7140013E+002, 2.7140057E+002, 2.7136275E+002
 1.9800017E+003, 2.7170069E+002, 2.7174163E+002, 2.7173560E+002, 2.7173625E+002, 2.7173764E+002, 2.7173722E+002, 2.7173962E+002, 2.7173821E+002, 2.7173869E+002, 2.7170085E+002
 2.0100037E+003, 2.7149429E+002, 2.7153572E+002, 2.7152954E+002, 2.7152975E+002, 2.7153118E+002, 2.7153067E+002, 2.7153327E+002, 2.7153185E+002, 2.7153222E+002, 2.7149442E+002
 2.0400012E+003, 2.7169505E+002, 2.7173534E+002, 2.7172981E+002, 2.7173053E+002, 2.7173203E+002, 2.7173153E+002, 2.7173407E+002, 2.7173237E+002, 2.7173301E+002, 2.7169519E+002
 2.0700032E+003, 2.7164529E+002, 2.7168616E+002, 2.7168017E+002, 2.7168059E+002, 2.7168206E+002, 2.7168175E+002, 2.7168429E+002, 2.7168293E+002, 2.7168334E+002, 2.7164537E+002
 2.1000007E+003, 2.7107322E+002, 2.7111483E+002, 2.7110770E+002, 2.7110860E+002, 2.7110998E+002, 2.7110946E+002, 2.7111199E+002, 2.7111059E+002, 2.7111116E+002, 2.7107331E+002
 2.1300028E+003, 2.8163630E+002, 2.8169992E+002, 2.8167207E+002, 2.8167312E+002, 2.8167475E+002, 2.8167422E+002, 2.8167675E+002, 2.8167519E+002, 2.8167561E+002, 2.8163646E+002
 2.1600003E+003, 2.8833359E+002, 2.8840396E+002, 2.8837027E+002, 2.8837082E+002, 2.8837254E+002, 2.8837237E+002, 2.8837512E+002, 2.8837361E+002, 2.8837403E+002, 2.8833385E+002
 2.1900023E+003, 2.8917317E+002, 2.8924442E+002, 2.8921030E+002, 2.8921109E+002, 2.8921258E+002, 2.8921222E+002, 2.8921493E+002, 2.8921320E+002, 2.8921376E+002, 2.8917344E+002
 2.2200043E+003, 2.8907665E+002, 2.8914692E+002, 2.8911347E+002, 2.8911453E+002, 2.8911593E+002, 2.8911556E+002, 2.8911826E+002, 2.8911665E+002, 2.8911704E+002, 2.8907680E+002
 2.2500018E+003, 2.8825766E+002, 2.8832771E+002, 2.8829460E+002, 2.8829543E+002, 2.8829692E+002, 2.8829638E+002, 2.8829919E+002, 2.8829756E+002, 2.8829808E+002, 2.8825794E+002
 2.2800039E+003, 2.8862990E+002, 2.8870016E+002, 2.8866709E+002, 2.8866773E+002, 2.8866933E+002, 2.8866898E+002, 2.8867163E+002, 2.8867020E+002, 2.8867064E+002, 2.8863031E+002
 2.3100014E+003, 2.8848431E+002, 2.8855541E+002, 2.8852112E+002, 2.8852221E+002, 2.8852367E+002, 2.8852310E+002, 2.8852606E+002, 2.8852441E+002, 2.8852490E+002, 2.8848462E+002
 2.3400034E+003, 2.8863600E+002, 2.8870642E+002, 2.8867302E+002, 2.8867394E+002, 2.8867556E+002, 2.8867499E+002, 2.8867766E+002, 2.8867614E+002, 2.8867652E+002, 2.8863638E+002
 2.3700009E+003, 2.8867084E+002, 2.8874232E+002, 2.8870827E+002, 2.8870898E+002, 2.8871039E+002, 2.8870980E+002, 2.8871268E+002, 2.8871116E+002, 2.8871152E+002, 2.8867124E+002
 2.4000029E+003, 2.8891891E+002, 2.8898954E+002, 2.8895589E+002, 2.8895657E+002, 2.8895825E+002, 2.8895801E+002, 2.8896061E+002, 2.8895888E+002, 2.8895944E+002, 2.8891925E+002
 2.4300005E+003, 2.9987971E+002, 2.9993598E+002, 2.9991848E+002, 2.9991882E+002, 2.9992032E+002, 2.9991997E+002, 2.9992277E+002, 2.9992118E+002, 2.9992162E+002, 2.9987991E+002
 2.4600025E+003, 3.0900409E+002, 3.0906969E+002, 3.0904398E+002, 3.0904479E+002, 3.0904642E+002, 3.0904574E+002, 3.0904866E+002, 3.0904696E+002, 3.0904755E+002, 3.0900442E+002
 2.4900000E+003, 3.0879978E+002, 3.0886029E+002, 3.0883967E+002, 3.0884057E+002, 3.0884193E+002, 3.0884140E+002, 3.0884437E+002, 3.0884265E+002, 3.0884331E+002, 3.0880003E+002
 2.5200020E+003, 3.0922520E+002, 3.0928766E+002, 3.0926506E+002, 3.0926594E+002, 3.0926753E+002, 3.0926697E+002, 3.0926994E+002, 3.0926819E+002, 3.0926878E+002, 3.0922559E+002
 2.5500040E+003, 3.0850962E+002, 3.0856013E+002, 3.0854917E+002, 3.0854996E+002, 3.0855151E+002, 3.0855106E+002, 3.0855391E+002, 3.0855225E+002, 3.0855283E+002, 3.0850979E+002
 2.5800016E+003, 3.0890653E+002, 3.0895511E+002, 3.0894625E+002, 3.0894734E+002, 3.0894863E+002, 3.0894812E+002, 3.0895099E+002, 3.0894945E+002, 3.0894983E+002, 3.0890676E+002
 2.6100036E+003, 3.0869960E+002, 3.0875095E+002, 3.0873930E+002, 3.0873998E+002, 3.0874178E+002, 3.0874115E+002, 3.0874407E+002, 3.0874230E+002, 3.0874279E+002, 3.0869974E+002
 2.6400011E+003, 3.0923912E+002, 3.0930314E+002, 3.0927913E+002, 3.0927983E+002, 3.0928129E+002, 3.0928073E+002, 3.0928356E+002, 3.0928199E+002, 3.0928233E+002, 3.0923931E+002
 2.6700031E+003, 3.1000418E+002, 3.1007035E+002, 3.1004403E+002, 3.1004500E+002, 3.1004649E+002, 3.1004596E+002, 3.1004881E+002, 3.1004712E+002, 3.1004753E+002, 3.1000446E+002
 2.7000006E+003, 3.0885877E+002, 3.0891570E+002, 3.0889837E+002, 3.0889928E+002, 3.0890080E+002, 3.0890025E+002, 3.0890319E+002, 3.0890155E+002, 3.0890216E+002, 3.0885904E+002
 2.7300027E+003, 3.1887475E+002, 3.1894386E+002, 3.1892171E+002, 3.1891703E+002, 3.1891861E+002, 3.1891813E+002, 3.1892101E+002, 3.1891906E+002, 3.1891976E+002, 3.1887524E+002
 2.7600002E+003, 3.2443650E+002, 3.2451054E+002, 3.2448452E+002, 3.2447937E+002, 3.2448091E+002, 3.2448067E+002, 3.2448377E+002, 3.2448186E+002, 3.2448239E+002, 3.2443715E+002
 2.7900022E+003, 3.2440907E+002, 3.2448411E+002, 3.2445706E+002, 3.2445179E+002, 3.2445348E+002, 3.2445311E+002, 3.2445613E+002, 3.2445439E+002, 3.2445483E+002, 3.2440962E+002
 2.8200042E+003, 3.2490475E+002, 3.2497986E+002, 3.2495274E+002, 3.2494739E+002, 3.2494885E+002, 3.2494884E+002, 3.2495185E+002, 3.2495004E+002, 3.2495067E+002, 3.2490529E+002
 2.8500017E+003, 3.2524663E+002, 3.2532093E+002, 3.2529447E+002, 3.2528872E+002, 3.2529059E+002, 3.2529048E+002, 3.2529362E+002, 3.2529179E+002, 3.2529228E+002, 3.2524705E+002
 2.8800038E+003, 3.2483643E+002, 3.2491156E+002, 3.2488406E+002, 3.2487905E+002, 3.2488067E+002, 3.2488039E+002, 3.2488344E+002, 3.2488189E+002, 3.2488236E+002, 3.2483696E+002
 2.9100013E+003, 3.2459432E+002, 3.2466002E+002, 3.2464195E+002, 3.2463664E+002, 3.2463876E+002, 3.2463844E+002, 3.2464155E+002, 3.2463965E+002, 3.2464030E+002, 3.2459494E+002
 2.9400033E+003, 3.2519584E+002, 3.2527193E+002, 3.2524340E+002, 3.2523840E+002, 3.2524000E+002, 3.2523981E+002, 3.2524296E+002, 3.2524122E+002, 3.2524174E+002, 3.2519643E+002
 2.9700008E+003, 3.2499662E+002, 3.2507271E+002, 3.2504454E+002, 3.2503914E+002, 3.2504099E+002, 3.2504078E+002, 3.2504373E+002, 3.2504197E+002, 3.2504260E+002, 3.2499721E+002
 3.0000028E+003, 3.2530778E+002, 3.2538204E+002, 3.2535562E+002, 3.2535025E+002, 3.2535187E+002, 3.2535172E+002, 3.2535484E+002, 3.2535287E+002, 3.2535355E+002, 3.2530827E+002
 3.0300004E+003, 3.3425990E+002, 3.3433877E+002, 3.3432373E+002, 3.3430327E+002, 3.3430549E+002, 3.3430523E+002, 3.3430850E+002, 3.3430680E+002, 3.3430732E+002, 3.3426060E+002
 3.0600024E+003, 3.3957127E+002, 3.3965446E+002, 3.3963995E+002, 3.3961540E+002, 3.3961770E+002, 3.3961758E+002, 3.3962078E+002, 3.3961903E+002, 3.3961974E+002, 3.3957215E+002
 3.0900044E+003, 3.3967279E+002, 3.3975460E+002, 3.3974126E+002, 3.3971658E+002, 3.3971891E+002, 3.3971892E+002, 3.3972226E+002, 3.3972038E+002, 3.3972083E+002, 3.3967347E+002
 3.1200019E+003, 3.4004520E+002, 3.4012284E+002, 3.4011423E+002, 3.4008929E+002, 3.4009171E+002, 3.4009143E+002, 3.4009463E+002, 3.4009280E+002, 3.4009344E+002, 3.4004604E+002
 3.1500039E+003, 3.3986603E+002, 3.3994816E+002, 3.3993352E+002, 3.3990959E+002, 3.3991235E+002, 3.3991220E+002, 3.3991544E+002, 3.3991369E+002, 3.3991430E+002, 3.3986677E+002
 3.1800014E+003, 3.3958951E+002, 3.3967091E+002, 3.3965817E+002, 3.3963359E+002, 3.3963576E+002, 3.3963550E+002, 3.3963878E+002, 3.3963699E+002, 3.3963761E+002, 3.3959028E+002
 3.2100035E+003, 3.3968606E+002, 3.3976663E+002, 3.3975450E+002, 3.3972983E+002, 3.3973239E+002, 3.3973232E+002, 3.3973562E+002, 3.3973373E+002, 3.3973431E+002, 3.3968688E+002
 3.2400010E+003, 3.3930295E+002, 3.3938444E+002, 3.3937135E+002, 3.3934679E+002, 3.3934917E+002, 3.3934901E+002, 3.3935237E+002, 3.3935049E+002, 3.3935101E+002, 3.3930366E+002
 3.2700030E+003, 3.3959505E+002, 3.3967452E+002, 3.3966240E+002, 3.3963845E+002, 3.3964128E+002, 3.3964121E+002, 3.3964444E+002, 3.3964237E+002, 3.3964292E+002, 3.3959578E+002
 3.3000005E+003, 3.3959045E+002, 3.3966863E+002, 3.3965997E+002, 3.3963419E+002, 3.3963661E+002, 3.3963654E+002, 3.3963975E+002, 3.3963805E+002, 3.3963853E+002, 3.3959113E+002
 3.3300025E+003, 3.4851175E+002, 3.4859552E+002, 3.4857099E+002, 3.4855682E+002, 3.4855930E+002, 3.4855889E+002, 3.4856224E+002, 3.4856038E+002, 3.4856107E+002, 3.4851253E+002
 3.3600001E+003, 3.5436045E+002, 3.5444491E+002, 3.5442631E+002, 3.5440597E+002, 3.5440899E+002, 3.5440885E+002, 3.5441213E+002, 3.5441013E+002, 3.5441074E+002, 3.5436127E+002
 3.3900021E+003, 3.5467078E+002, 3.5475854E+002, 3.5473227E+002, 3.5471632E+002, 3.5471941E+002, 3.5471909E+002, 3.5472252E+002, 3.5472049E+002, 3.5472107E+002, 3.5467165E+002
 3.4200041E+003, 3.5385417E+002, 3.5393987E+002, 3.5391789E+002, 3.5389964E+002, 3.5390249E+002, 3.5390238E+002, 3.5390577E+002, 3.5390384E+002, 3.5390445E+002, 3.5385495E+002
 3.4500016E+003, 3.5395240E+002, 3.5403646E+002, 3.5401541E+002, 3.5399769E+002, 3.5400085E+002, 3.5400056E+002, 3.5400404E+002, 3.5400203E+002, 3.5400267E+002, 3.5395328E+002
 3.4800036E+003, 3.5420763E+002, 3.5429384E+002, 3.5427077E+002, 3.5425301E+002, 3.5425605E+002, 3.5425591E+002, 3.5425923E+002, 3.5425722E+002, 3.5425797E+002, 3.5420835E+002
 3.5100012E+003, 3.5442722E+002, 3.5451259E+002, 3.5449075E+002, 3.5447291E+002, 3.5447561E+002, 3.5447546E+002, 3.5447879E+002, 3.5447688E+002, 3.5447740E+002, 3.5442797E+002
 3.5400032E+003, 3.5430212E+002, 3.5438533E+002, 3.5436390E+002, 3.5434743E+002, 3.5435057E+002, 3.5435026E+002, 3.5435365E+002, 3.5435174E+002, 3.5435238E+002, 3.5430288E+002
 3.5700007E+003, 3.5455686E+002, 3.5464113E+002, 3.5461967E+002, 3.5460255E+002, 3.5460522E+002, 3.5460498E+002, 3.5460835E+002, 3.5460655E+002, 3.5460721E+002, 3.5455761E+002
 3.6000027E+003, 3.5506192E+002, 3.5514639E+002, 3.5512439E+002, 3.5510765E+002, 3.5511071E+002, 3.5511031E+002, 3.5511370E+002, 3.5511175E+002, 3.5511231E+002, 3.5506279E+002
 3.6300002E+003, 3.6419678E+002, 3.6428356E+002, 3.6426413E+002, 3.6424789E+002, 3.6424821E+002, 3.6424653E+002, 3.6425006E+002, 3.6424818E+002, 3.6424863E+002, 3.6419778E+002
 3.6600023E+003, 3.6842067E+002, 3.6850748E+002, 3.6848747E+002, 3.6847291E+002, 3.6847354E+002, 3.6847076E+002, 3.6847417E+002, 3.6847201E+002, 3.6847297E+002, 3.6842172E+002
 3.6900043E+003, 3.6812513E+002, 3.6821173E+002, 3.6819393E+002, 3.6817739E+002, 3.6817636E+002, 3.6817504E+002, 3.6817852E+002, 3.6817680E+002, 3.6817736E+002, 3.6812607E+002
 3.7200018E+003, 3.6911618E+002, 3.6920216E+002, 3.6918332E+002, 3.6916882E+002, 3.6916900E+002, 3.6916641E+002, 3.6916961E+002, 3.6916782E+002, 3.6916866E+002, 3.6911718E+002
