s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa,Pa
 6.0000488E+002, 0.0000000E+000, 0.0000000E+000, 4.8167460E-001,-1.9580252E+000, 1.3331671E+000, 0.0000000E+000,-4.4995343E-008, 0.0000000E+000,-1.1280985E-001,-1.4318350E-001, 7.2272749E-005,-1.6744056E+000,-1.3319618E+000
 6.3000452E+002, 0.0000000E+000, 0.0000000E+000, 4.8270888E-001,-2.0897745E+000, 1.4449781E+000, 0.0000000E+000,-8.1588509E-008, 0.0000000E+000,-1.5099953E-001,-1.6208765E-001, 9.1369528E-003,-1.6743469E+000,-1.3359537E+000
 6.6000519E+002, 0.0000000E+000, 0.0000000E+000, 4.8325944E-001,-2.2679904E+000, 1.6291461E+000, 0.0000000E+000, 1.7027864E-007, 0.0000000E+000,-1.1657311E-001,-1.5558475E-001, 7.1998729E-007,-1.6742929E+000,-1.3276693E+000
 6.9000250E+002, 0.0000000E+000, 0.0000000E+000, 4.8536629E-001,-2.3100328E+000, 1.6636497E+000, 0.0000000E+000, 2.0819154E-007, 0.0000000E+000,-1.9271330E-001,-1.6101662E-001, 1.9226035E-006,-1.6742461E+000,-1.3175428E+000
 7.2000226E+002, 0.0000000E+000, 0.0000000E+000, 4.8597612E-001,-2.2805695E+000, 1.7147996E+000, 0.0000000E+000, 3.0024934E-008, 0.0000000E+000,-4.5749275E-002,-7.9793771E-002, 2.9882488E-006,-1.6742054E+000,-1.3160868E+000
 7.5000439E+002, 0.0000000E+000, 0.0000000E+000, 4.8533497E-001,-2.2623732E+000, 1.6690695E+000, 0.0000000E+000,-3.3401016E-009, 0.0000000E+000,-9.1092012E-002,-1.0796876E-001,-2.0221503E-006,-1.6741695E+000,-1.3162647E+000
 7.8000482E+002, 0.0000000E+000, 0.0000000E+000, 4.8621659E-001,-2.2054002E+000, 1.6283775E+000, 0.0000000E+000,-1.3485352E-007, 0.0000000E+000,-1.0406182E-001,-9.0806225E-002, 8.4923394E-007,-1.6741374E+000,-1.3228428E+000
 8.1000513E+002, 0.0000000E+000, 0.0000000E+000, 4.8725165E-001,-2.2137883E+000, 1.6253536E+000, 0.0000000E+000,-2.0286347E-007, 0.0000000E+000,-9.8426351E-002,-1.0118323E-001,-2.9172953E-007,-1.6741103E+000,-1.3327394E+000
 8.4000214E+002, 0.0000000E+000, 0.0000000E+000, 4.8757860E-001,-2.2192338E+000, 1.6324025E+000, 0.0000000E+000, 1.1874748E-007, 0.0000000E+000,-5.2146195E-002,-9.9252570E-002,-9.4468054E-007,-1.6740857E+000,-1.3269562E+000
 8.7000116E+002, 0.0000000E+000, 0.0000000E+000, 4.8658862E-001,-2.2255379E+000, 1.6448079E+000, 0.0000000E+000, 2.6565800E-009, 0.0000000E+000,-6.1674795E-002,-9.4141351E-002, 1.3218379E-006,-1.6740635E+000,-1.3268323E+000
 9.0000208E+002, 0.0000000E+000, 0.0000000E+000, 4.8637793E-001,-2.2062394E+000, 1.6516270E+000, 0.0000000E+000, 1.5426451E-007, 0.0000000E+000,-8.2671901E-002,-6.8234389E-002, 4.4551987E-006,-1.6740451E+000,-1.3193255E+000
 9.3000128E+002, 0.0000000E+000, 0.0000000E+000, 4.8723744E-001,-2.3300908E+000, 1.7580358E+000, 0.0000000E+000, 2.0801500E-007, 0.0000000E+000,-7.4503980E-002,-8.4817305E-002, 8.6424337E-003,-1.6740277E+000,-1.3091893E+000
 9.6000165E+002, 0.0000000E+000, 0.0000000E+000, 4.8679422E-001,-2.4699543E+000, 1.9235782E+000, 0.0000000E+000, 5.6877657E-007, 0.0000000E+000,-4.9696621E-002,-5.9581329E-002, 1.7273634E-007,-1.6740098E+000,-1.2814744E+000
 9.9000354E+002, 0.0000000E+000, 0.0000000E+000, 4.8428586E-001,-2.4509858E+000, 1.9342032E+000, 0.0000000E+000, 4.1713332E-007, 0.0000000E+000,-1.5028326E-002,-3.2496310E-002,-1.8191785E-006,-1.6739955E+000,-1.2611459E+000
 1.0200034E+003, 0.0000000E+000, 0.0000000E+000, 4.8200273E-001,-2.4660869E+000, 1.9128066E+000, 0.0000000E+000, 2.3812554E-007, 0.0000000E+000,-3.4430283E-002,-7.1277276E-002, 5.9214344E-007,-1.6739810E+000,-1.2495445E+000
 1.0500034E+003, 0.0000000E+000, 0.0000000E+000, 4.7983254E-001,-2.4256946E+000, 1.9369188E+000, 0.0000000E+000,-1.5592595E-007, 0.0000000E+000, 3.7738904E-002,-8.9434613E-003,-5.6671795E-007,-1.6739688E+000,-1.2571423E+000
 1.0800050E+003, 0.0000000E+000, 0.0000000E+000, 4.7659635E-001,-2.4757914E+000, 1.9222992E+000, 0.0000000E+000,-3.6853981E-008, 0.0000000E+000,-1.6389450E-002,-7.6895896E-002,-1.1406997E-006,-1.6739568E+000,-1.2589477E+000
 1.1100029E+003, 0.0000000E+000, 0.0000000E+000, 4.7606031E-001,-2.4962082E+000, 1.9192850E+000, 0.0000000E+000,-3.0375976E-007, 0.0000000E+000,-8.8786519E-002,-1.0086318E-001, 1.0752035E-006,-1.6739465E+000,-1.2737501E+000
 1.1400035E+003, 0.0000000E+000, 0.0000000E+000, 4.7467139E-001,-2.4531918E+000, 1.9422943E+000, 0.0000000E+000,-4.4701680E-007, 0.0000000E+000, 1.1222813E-002,-3.6226560E-002,-1.1760108E-006,-1.6739363E+000,-1.2955362E+000
 1.1700024E+003, 0.0000000E+000, 0.0000000E+000, 4.7284595E-001,-2.4572701E+000, 1.9580669E+000, 0.0000000E+000,-1.7330310E-008, 0.0000000E+000,-1.1406787E-002,-2.6357325E-002,-1.3571559E-006,-1.6739269E+000,-1.2963918E+000
 1.2000027E+003, 0.0000000E+000, 0.0000000E+000, 4.7160242E-001,-2.4575826E+000, 1.9025359E+000, 0.0000000E+000, 2.7387641E-007, 0.0000000E+000,-4.1351107E-002,-8.3443974E-002, 2.8433226E-006,-1.6739191E+000,-1.2830487E+000
 1.2300045E+003, 0.0000000E+000, 0.0000000E+000, 4.7232228E-001,-2.5991839E+000, 1.9665281E+000, 0.0000000E+000, 7.6047063E-008, 0.0000000E+000,-1.1393556E-001,-1.6033345E-001, 9.0860032E-003,-1.6739106E+000,-1.2793375E+000
 1.2600012E+003, 0.0000000E+000, 0.0000000E+000, 4.7352795E-001,-2.6816235E+000, 2.0670617E+000, 0.0000000E+000, 2.3462384E-007, 0.0000000E+000,-1.2212534E-001,-1.4103368E-001,-4.5090312E-006,-1.6739030E+000,-1.2679046E+000
 1.2900028E+003, 0.0000000E+000, 0.0000000E+000, 4.7410579E-001,-2.7317754E+000, 2.1292272E+000, 0.0000000E+000, 8.1431165E-008, 0.0000000E+000,-7.0983506E-002,-1.2844226E-001, 1.3556222E-006,-1.6738936E+000,-1.2639385E+000
 1.3200048E+003, 0.0000000E+000, 0.0000000E+000, 4.7590165E-001,-2.6651096E+000, 2.0662764E+000, 0.0000000E+000,-8.1283140E-008, 0.0000000E+000,-1.4255950E-001,-1.2293168E-001,-2.8602245E-007,-1.6738866E+000,-1.2679109E+000
 1.3500013E+003, 0.0000000E+000, 0.0000000E+000, 4.7701251E-001,-2.6775485E+000, 2.1008737E+000, 0.0000000E+000, 5.8683775E-008, 0.0000000E+000,-6.5368620E-002,-9.9662223E-002,-6.8483038E-007,-1.6738803E+000,-1.2650476E+000
 1.3800033E+003, 0.0000000E+000, 0.0000000E+000, 4.7669138E-001,-2.6865445E+000, 2.1058140E+000, 0.0000000E+000, 2.8924674E-007, 0.0000000E+000,-7.0317781E-002,-1.0403884E-001,-7.5082520E-007,-1.6738743E+000,-1.2509428E+000
 1.4100052E+003, 0.0000000E+000, 0.0000000E+000, 4.7615114E-001,-2.6478290E+000, 2.0914401E+000, 0.0000000E+000, 2.6763599E-007, 0.0000000E+000,-2.8512310E-002,-8.0237435E-002, 8.7546830E-007,-1.6738673E+000,-1.2379051E+000
 1.4400050E+003, 0.0000000E+000, 0.0000000E+000, 4.7623233E-001,-2.6577433E+000, 2.0819796E+000, 0.0000000E+000, 4.1335050E-007, 0.0000000E+000,-8.1402311E-002,-9.9530980E-002,-1.3953826E-006,-1.6738608E+000,-1.2177605E+000
 1.4700032E+003, 0.0000000E+000, 0.0000000E+000, 4.7711344E-001,-2.6122835E+000, 2.0591583E+000, 0.0000000E+000, 4.0073808E-007, 0.0000000E+000,-8.7246498E-002,-7.6011363E-002,-9.6460478E-007,-1.6738545E+000,-1.1982414E+000
 1.5000020E+003, 0.0000000E+000, 0.0000000E+000, 4.7563593E-001,-2.6469531E+000, 2.1253823E+000, 0.0000000E+000, 4.3593018E-007, 0.0000000E+000, 1.3308047E-002,-4.5934413E-002,-2.0073581E-007,-1.6738473E+000,-1.1770001E+000
 1.5300035E+003, 0.0000000E+000, 0.0000000E+000, 4.7590345E-001,-2.7103748E+000, 2.0531185E+000, 0.0000000E+000, 1.1824576E-007, 0.0000000E+000,-1.6068958E-001,-1.8135267E-001, 9.4261649E-003,-1.6738437E+000,-1.1712286E+000
 1.5600051E+003, 0.0000000E+000, 0.0000000E+000, 4.8347562E-001,-2.8178316E+000, 2.0567402E+000, 0.0000000E+000, 1.4034931E-007, 0.0000000E+000,-2.9746374E-001,-2.7761568E-001,-9.7305949E-007,-1.6738353E+000,-1.1643859E+000
 1.5900012E+003, 0.0000000E+000, 0.0000000E+000, 4.9131527E-001,-2.8420523E+000, 2.1061959E+000, 0.0000000E+000, 1.1292475E-007, 0.0000000E+000,-2.6256634E-001,-2.4454098E-001, 2.6047008E-008,-1.6738295E+000,-1.1588895E+000
 1.6200028E+003, 0.0000000E+000, 0.0000000E+000, 4.9555776E-001,-2.8154445E+000, 2.1122331E+000, 0.0000000E+000, 6.6877669E-007, 0.0000000E+000,-1.7177725E-001,-2.0765290E-001, 2.7471532E-007,-1.6738233E+000,-1.1263052E+000
 1.6500043E+003, 0.0000000E+000, 0.0000000E+000, 5.0046547E-001,-2.8081078E+000, 2.1134250E+000, 0.0000000E+000, 5.2371161E-007, 0.0000000E+000,-1.7263965E-001,-1.9421688E-001, 7.1527339E-009,-1.6738165E+000,-1.1007680E+000
 1.6800001E+003, 0.0000000E+000, 0.0000000E+000, 5.0157100E-001,-2.6859350E+000, 2.0867679E+000, 0.0000000E+000, 3.3187457E-007, 0.0000000E+000,-3.0991441E-002,-9.7595740E-002,-1.5540590E-006,-1.6738129E+000,-1.0846024E+000
 1.7100015E+003, 0.0000000E+000, 0.0000000E+000, 5.0218423E-001,-2.6881383E+000, 2.1095623E+000, 0.0000000E+000, 6.4960553E-007, 0.0000000E+000,-6.0223902E-002,-7.6391112E-002,-2.8625323E-007,-1.6738084E+000,-1.0529502E+000
 1.7400056E+003, 0.0000000E+000, 0.0000000E+000, 5.0024005E-001,-2.6320753E+000, 2.1544792E+000, 0.0000000E+000, 6.7679424E-007, 0.0000000E+000, 6.7876573E-002, 2.2644606E-002,-1.0515738E-006,-1.6738035E+000,-1.0199518E+000
 1.7700046E+003, 0.0000000E+000, 0.0000000E+000, 4.9715720E-001,-2.6927774E+000, 2.1069684E+000, 0.0000000E+000, 6.2028318E-007, 0.0000000E+000,-5.1913512E-002,-8.8651194E-002, 9.6325341E-007,-1.6737975E+000,-9.8972407E-001
 1.8000034E+003, 0.0000000E+000, 0.0000000E+000, 4.9562254E-001,-2.5973768E+000, 2.1261746E+000, 0.0000000E+000, 1.3230364E-007, 0.0000000E+000, 6.0304033E-002, 2.4420438E-002,-1.2435716E-006,-1.6737936E+000,-9.8327135E-001
 1.8300035E+003, 0.0000000E+000, 0.0000000E+000, 4.9251282E-001,-2.7656130E+000, 2.1928611E+000, 0.0000000E+000, 4.7372074E-007, 0.0000000E+000,-7.2014292E-002,-8.0238603E-002, 9.2537783E-003,-1.6737896E+000,-9.6018334E-001
 1.8600024E+003, 0.0000000E+000, 0.0000000E+000, 4.9257154E-001,-2.8076306E+000, 2.2426286E+000, 0.0000000E+000, 6.4771307E-007, 0.0000000E+000,-9.4276767E-003,-7.2429805E-002, 1.1583256E-008,-1.6737834E+000,-9.2862979E-001
 1.8900004E+003, 0.0000000E+000, 0.0000000E+000, 4.9019709E-001,-2.7596757E+000, 2.2813799E+000, 0.0000000E+000, 6.4644977E-007, 0.0000000E+000, 3.4214354E-002, 1.1902006E-002,-6.2025335E-007,-1.6737765E+000,-8.9712557E-001
 1.9200037E+003, 0.0000000E+000, 0.0000000E+000, 4.8967741E-001,-2.7911581E+000, 2.2291521E+000, 0.0000000E+000, 6.0222405E-007, 0.0000000E+000,-9.4708596E-002,-7.2327937E-002,-2.5145406E-006,-1.6737736E+000,-8.6775903E-001
 1.9500012E+003, 0.0000000E+000, 0.0000000E+000, 4.9045164E-001,-2.8840287E+000, 2.2860945E+000, 0.0000000E+000,-1.6361798E-007, 0.0000000E+000,-9.5512704E-002,-1.0748271E-001, 2.4284951E-006,-1.6737694E+000,-8.7575078E-001
 1.9800044E+003, 0.0000000E+000, 0.0000000E+000, 4.9078868E-001,-2.8559951E+000, 2.2891016E+000, 0.0000000E+000, 2.6621694E-007, 0.0000000E+000,-5.0017139E-002,-7.6104580E-002,-9.4080566E-008,-1.6737642E+000,-8.6276771E-001
 2.0100050E+003, 0.0000000E+000, 0.0000000E+000, 4.8796352E-001,-2.8020991E+000, 2.2897282E+000, 0.0000000E+000, 2.6436749E-008, 0.0000000E+000, 7.8696627E-002,-2.4407294E-002, 8.9738329E-007,-1.6737603E+000,-8.6148572E-001
 2.0400050E+003, 0.0000000E+000, 0.0000000E+000, 4.8440913E-001,-2.8058067E+000, 2.2619356E+000, 0.0000000E+000,-1.8303307E-007, 0.0000000E+000,-1.9209286E-002,-5.9462195E-002,-8.9053592E-007,-1.6737559E+000,-8.7039702E-001
 2.0700024E+003, 0.0000000E+000, 0.0000000E+000, 4.8513873E-001,-2.7998409E+000, 2.2838767E+000, 0.0000000E+000,-2.9632354E-007, 0.0000000E+000, 2.2933662E-004,-3.0825756E-002, 2.4836027E-007,-1.6737508E+000,-8.8484360E-001
 2.1000000E+003, 0.0000000E+000, 0.0000000E+000, 4.7872500E-001,-2.7952556E+000, 2.3731878E+000, 0.0000000E+000,-6.4772932E-007, 0.0000000E+000, 8.5323312E-002, 5.6656548E-002, 7.0487993E-007,-1.6737455E+000,-9.1640479E-001
 2.1300032E+003, 0.0000000E+000, 0.0000000E+000, 4.7596591E-001,-2.9071196E+000, 2.3897971E+000, 0.0000000E+000,-7.9162822E-008, 0.0000000E+000,-1.1578919E-003,-4.1356602E-002, 9.4763150E-003,-1.6737425E+000,-9.2027634E-001
 2.1600007E+003, 0.0000000E+000, 0.0000000E+000, 4.6888577E-001,-2.9416259E+000, 2.6411068E+000, 0.0000000E+000,-3.7127928E-008, 0.0000000E+000, 2.1611358E-001, 1.6836668E-001, 2.5363700E-007,-1.6737375E+000,-9.2208103E-001
 2.1900037E+003, 0.0000000E+000, 0.0000000E+000, 4.6067245E-001,-2.9684813E+000, 2.5028422E+000, 0.0000000E+000, 6.1568826E-008, 0.0000000E+000, 6.2248058E-002,-4.9665930E-003,-1.7478520E-006,-1.6737316E+000,-9.1908407E-001
 2.2200012E+003, 0.0000000E+000, 0.0000000E+000, 4.5871884E-001,-3.0824491E+000, 2.5362442E+000, 0.0000000E+000, 2.5385547E-007, 0.0000000E+000,-7.0349022E-003,-8.7485810E-002, 5.0579841E-007,-1.6737268E+000,-9.0671083E-001
 2.2500044E+003, 0.0000000E+000, 0.0000000E+000, 4.5468221E-001,-3.0899347E+000, 2.6066979E+000, 0.0000000E+000, 4.3696337E-007, 0.0000000E+000, 2.6264032E-002,-2.8554081E-002,-8.7728676E-007,-1.6737216E+000,-8.8542191E-001
 2.2800020E+003, 0.0000000E+000, 0.0000000E+000, 4.5595771E-001,-3.0343581E+000, 2.4236182E+000, 0.0000000E+000, 2.6397977E-007, 0.0000000E+000,-1.2085482E-001,-1.5478192E-001,-8.6982600E-007,-1.6737187E+000,-8.7255473E-001
 2.3100051E+003, 0.0000000E+000, 0.0000000E+000, 4.5924774E-001,-3.0178849E+000, 2.4270585E+000, 0.0000000E+000,-2.7312346E-007, 0.0000000E+000,-1.5307576E-001,-1.3157889E-001, 2.9643248E-007,-1.6737142E+000,-8.8587537E-001
 2.3400024E+003, 0.0000000E+000, 0.0000000E+000, 4.5971439E-001,-3.0101158E+000, 2.4973932E+000, 0.0000000E+000, 5.4325688E-008, 0.0000000E+000,-2.8327795E-002,-5.3008159E-002,-1.3365005E-007,-1.6737088E+000,-8.8323258E-001
 2.3700000E+003, 0.0000000E+000, 0.0000000E+000, 4.5895227E-001,-3.0598476E+000, 2.5934179E+000, 0.0000000E+000, 6.0952744E-007, 0.0000000E+000,-8.4695680E-003,-7.4768621E-003, 1.7538416E-007,-1.6737043E+000,-8.5352944E-001
 2.4000032E+003, 0.0000000E+000, 0.0000000E+000, 4.5662395E-001,-2.9744983E+000, 2.5051673E+000, 0.0000000E+000, 5.5729440E-007, 0.0000000E+000,-3.7424230E-002,-1.2706536E-002, 3.5708046E-004,-1.6737017E+000,-8.2635728E-001
 2.4300007E+003, 0.0000000E+000, 0.0000000E+000, 4.5663645E-001,-3.1167623E+000, 2.5483155E+000, 0.0000000E+000, 1.8844708E-006, 0.0000000E+000,-4.1806043E-002,-1.1180847E-001, 9.1092393E-003,-1.6736994E+000,-7.3453731E-001
 2.4600037E+003, 0.0000000E+000, 0.0000000E+000, 4.5538311E-001,-3.2091356E+000, 2.6340182E+000, 0.0000000E+000, 1.8325215E-006, 0.0000000E+000,-5.8882098E-002,-1.1973248E-001,-1.0044652E-006,-1.6736931E+000,-6.4520572E-001
 2.4900012E+003, 0.0000000E+000, 0.0000000E+000, 4.5434866E-001,-3.1413220E+000, 2.6498647E+000, 0.0000000E+000, 1.7213012E-006, 0.0000000E+000,-2.8246929E-002,-3.7106916E-002,-1.2537785E-006,-1.6736870E+000,-5.6131955E-001
 2.5200044E+003, 0.0000000E+000, 0.0000000E+000, 4.5473376E-001,-3.0816023E+000, 2.5609270E+000, 0.0000000E+000, 7.9231691E-007, 0.0000000E+000,-1.4617231E-002,-6.5940685E-002, 1.9547394E-008,-1.6736827E+000,-5.2269173E-001
 2.5500020E+003, 0.0000000E+000, 0.0000000E+000, 4.5253595E-001,-3.1698230E+000, 2.6377151E+000, 0.0000000E+000, 8.6769801E-007, 0.0000000E+000,-3.0920727E-002,-7.9571074E-002, 3.0835695E-006,-1.6736795E+000,-4.8042496E-001
 2.5800024E+003, 0.0000000E+000, 0.0000000E+000, 4.5153844E-001,-3.1016810E+000, 2.6404048E+000, 0.0000000E+000, 1.0327807E-006, 0.0000000E+000,-6.2435584E-003,-9.7367450E-003,-1.7511228E-006,-1.6736744E+000,-4.3008653E-001
 2.6100017E+003, 0.0000000E+000, 0.0000000E+000, 4.4813137E-001,-3.1339624E+000, 2.6574014E+000, 0.0000000E+000, 1.0902957E-006, 0.0000000E+000,-1.7940971E-003,-2.8428528E-002, 9.0893506E-007,-1.6736698E+000,-3.7694753E-001
 2.6400010E+003, 0.0000000E+000, 0.0000000E+000, 4.4763390E-001,-3.0647015E+000, 2.5361553E+000, 0.0000000E+000, 1.2293316E-006, 0.0000000E+000,-2.8959259E-002,-8.0911069E-002,-2.5512437E-007,-1.6736659E+000,-3.1704467E-001
 2.6700002E+003, 0.0000000E+000, 0.0000000E+000, 4.5007422E-001,-3.1285456E+000, 2.4932923E+000, 0.0000000E+000, 1.4638429E-006, 0.0000000E+000,-1.4211169E-001,-1.8517762E-001, 5.1286948E-008,-1.6736638E+000,-2.4569486E-001
 2.7000051E+003, 0.0000000E+000, 0.0000000E+000, 4.5309163E-001,-3.1104967E+000, 2.5631409E+000, 0.0000000E+000, 1.5890197E-006, 0.0000000E+000,-7.0308963E-002,-9.4262523E-002, 2.4403093E-004,-1.6736623E+000,-1.6824253E-001
 2.7300044E+003, 0.0000000E+000, 0.0000000E+000, 4.4847241E-001,-3.1785237E+000, 2.7628064E+000, 0.0000000E+000, 9.8212024E-007, 0.0000000E+000, 7.8698936E-002, 3.2756153E-002, 9.1172207E-003,-1.6736594E+000,-1.2035917E-001
 2.7600037E+003, 0.0000000E+000, 0.0000000E+000, 4.4072123E-001,-3.1689781E+000, 2.8224135E+000, 0.0000000E+000, 5.3065577E-007, 0.0000000E+000, 1.6922546E-001, 9.4157123E-002,-1.5871536E-006,-1.6736568E+000,-9.4517890E-002
 2.7900029E+003, 0.0000000E+000, 0.0000000E+000, 4.3527674E-001,-3.2051239E+000, 2.7802515E+000, 0.0000000E+000, 5.5485303E-007, 0.0000000E+000, 5.9582601E-002, 1.0404888E-002, 1.1330026E-006,-1.6736536E+000,-6.7464969E-002
 2.8200034E+003, 0.0000000E+000, 0.0000000E+000, 4.3281216E-001,-3.2802537E+000, 2.8111315E+000, 0.0000000E+000, 6.4823400E-007, 0.0000000E+000,-6.5479629E-003,-3.6309398E-002, 7.5040133E-007,-1.6736471E+000,-3.5872694E-002
 2.8500042E+003, 0.0000000E+000, 0.0000000E+000, 4.2995893E-001,-3.2646817E+000, 2.7683292E+000, 0.0000000E+000,-1.5371376E-007, 0.0000000E+000,-2.0778859E-002,-6.6393745E-002,-1.3149293E-006,-1.6736438E+000,-4.3365695E-002
 2.8800012E+003, 0.0000000E+000, 0.0000000E+000, 4.2886090E-001,-3.2764610E+000, 2.7937267E+000, 0.0000000E+000,-1.6547659E-007, 0.0000000E+000,-1.9727410E-002,-5.3873643E-002, 8.2849484E-007,-1.6736401E+000,-5.1433765E-002
 2.9100049E+003, 0.0000000E+000, 0.0000000E+000, 4.3019948E-001,-3.2851412E+000, 2.6710638E+000, 0.0000000E+000, 7.9788484E-007, 0.0000000E+000,-7.2136111E-002,-1.8387714E-001, 2.1718462E-006,-1.6736376E+000,-1.2546629E-002
