m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
NaN,NaN, 1.4485207E+000, 6.8427613E-002
NaN,NaN, 1.4585799E+000, 6.6921120E-002
NaN,NaN, 1.4686391E+000, 6.5422701E-002
NaN,NaN, 1.4786982E+000, 6.3929026E-002
NaN,NaN, 1.4887574E+000, 6.2441148E-002
NaN,NaN, 1.4988166E+000, 6.0958581E-002
NaN,NaN, 1.5088757E+000, 5.9481777E-002
NaN,NaN, 1.5189349E+000, 5.8012757E-002
NaN,NaN, 1.5289941E+000, 5.6552761E-002
NaN,NaN, 1.5390533E+000, 5.5102405E-002
NaN,NaN, 1.5491124E+000, 5.3661382E-002
NaN,NaN, 1.5591716E+000, 5.2230411E-002
NaN,NaN, 1.5692308E+000, 5.0810616E-002
NaN,NaN, 1.5792899E+000, 4.9402022E-002
NaN,NaN, 1.5893491E+000, 4.8003911E-002
NaN,NaN, 1.5994083E+000, 4.6616288E-002
NaN,NaN, 1.6094675E+000, 4.5240112E-002
NaN,NaN, 1.6195266E+000, 4.3876630E-002
NaN,NaN, 1.6295858E+000, 4.2527082E-002
NaN,NaN, 1.6396450E+000, 4.1193279E-002
NaN,NaN, 1.6497041E+000, 3.9878004E-002
NaN,NaN, 1.6597633E+000, 3.8581756E-002
NaN,NaN, 1.6698225E+000, 3.7304191E-002
NaN,NaN, 1.6798817E+000, 3.6043495E-002
NaN,NaN, 1.6899408E+000, 3.4800473E-002
NaN,NaN, 1.7000000E+000, 3.2374027E-002
