s,kg/m2,kW
Time,"null","null"
 2.2953410E+002, 3.0174155E+001, 1.0001350E+000
 2.3102853E+002, 3.0165731E+001, 1.0006229E+000
 2.3251960E+002, 3.0157273E+001, 9.8915121E-001
 2.3403769E+002, 3.0148719E+001, 9.8797152E-001
 2.3553031E+002, 3.0140300E+001, 1.0074193E+000
 2.3702770E+002, 3.0131959E+001, 9.6486115E-001
 2.3853229E+002, 3.0123773E+001, 9.7904923E-001
 2.4001175E+002, 3.0115683E+001, 9.3864894E-001
 2.4153937E+002, 3.0107641E+001, 9.5706263E-001
 2.4300344E+002, 3.0099757E+001, 9.4893169E-001
 2.4452171E+002, 3.0091950E+001, 9.5760573E-001
 2.4602811E+002, 3.0083973E+001, 9.4787378E-001
 2.4752551E+002, 3.0076092E+001, 9.3477756E-001
 2.4901855E+002, 3.0068292E+001, 9.5067844E-001
 2.5056243E+002, 3.0060358E+001, 9.3654941E-001
 2.5207871E+002, 3.0052359E+001, 9.2648852E-001
 2.5355997E+002, 3.0044480E+001, 9.4265655E-001
 2.5501040E+002, 3.0036753E+001, 9.3294012E-001
 2.5654902E+002, 3.0028817E+001, 9.3266378E-001
 2.5801360E+002, 3.0020864E+001, 9.3441674E-001
 2.5950598E+002, 3.0013178E+001, 9.3456724E-001
 2.6105424E+002, 3.0005177E+001, 9.0291892E-001
 2.6254308E+002, 2.9997173E+001, 9.1163330E-001
 2.6400154E+002, 2.9989382E+001, 9.1954529E-001
 2.6553324E+002, 2.9981415E+001, 9.1274847E-001
 2.6706843E+002, 2.9973232E+001, 9.0582367E-001
 2.6850063E+002, 2.9965412E+001, 9.2078163E-001
 2.7002676E+002, 2.9957739E+001, 9.2488966E-001
 2.7150040E+002, 2.9949907E+001, 9.0766796E-001
 2.7301453E+002, 2.9942033E+001, 8.9148438E-001
 2.7454428E+002, 2.9934086E+001, 8.8117006E-001
 2.7601468E+002, 2.9926330E+001, 8.7312061E-001
 2.7755067E+002, 2.9918728E+001, 8.7484190E-001
 2.7906216E+002, 2.9911051E+001, 8.6299869E-001
 2.8050513E+002, 2.9903757E+001, 8.9037521E-001
 2.8205936E+002, 2.9896361E+001, 8.6968774E-001
 2.8350544E+002, 2.9888867E+001, 8.7431117E-001
 2.8503002E+002, 2.9881548E+001, 8.9495962E-001
 2.8650103E+002, 2.9874174E+001, 8.8676183E-001
 2.8803316E+002, 2.9866704E+001, 8.7796817E-001
