s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
 1.2000203E+001, 2.0069177E-001, 1.1281899E+000, 1.1438690E+000, 2.5922521E-001, 4.8431614E+001, 3.4993026E+001, 3.1318684E+001, 2.9816397E+001, 3.0129076E+001, 2.9498511E+001, 2.9316634E+001, 2.7179485E+001, 2.5549635E+001, 2.4119775E+001, 2.2261362E+001, 1.9721213E+001, 1.8506934E+001, 1.8134489E+001, 1.7497274E+001, 1.6559326E+001, 1.5269769E+001, 1.3673589E+001, 1.1679034E+001, 1.0621371E+001, 9.1561812E+000, 8.0066244E+000, 6.9040728E+000, 6.2836447E+000, 5.5128415E+000, 4.4926323E+000, 3.4106627E+000, 2.9035970E+000, 2.6011106E+000, 2.3321556E+000, 2.0189905E+000, 1.7238717E+000, 1.4114391E+000, 1.0705408E+000, 8.2703301E-001, 5.9339083E-001, 3.8514944E-001, 1.8376385E-001, 1.0731370E-001, 7.2004739E-002, 5.3246323E-002, 3.3525968E-002, 2.3822611E-002, 1.7715029E-002, 1.3826814E-002, 1.0054899E-002, 7.8953607E-003, 6.4494587E-003, 4.7834463E-003
 1.3000422E+001, 1.9728132E-001, 1.1314793E+000, 1.1505337E+000, 1.1214831E+000, 4.8773098E+001, 3.5593637E+001, 2.9199924E+001, 2.7032427E+001, 2.6503191E+001, 2.5278655E+001, 2.3003873E+001, 2.0457554E+001, 1.9724689E+001, 1.9137009E+001, 1.8186757E+001, 1.6812243E+001, 1.6089737E+001, 1.5440626E+001, 1.4725137E+001, 1.4008830E+001, 1.3079296E+001, 1.2104836E+001, 1.1488842E+001, 1.0492990E+001, 9.2815041E+000, 8.0772655E+000, 7.3951708E+000, 7.0427094E+000, 6.6193683E+000, 6.0427083E+000, 5.3162292E+000, 4.5334180E+000, 3.8610706E+000, 3.2982319E+000, 2.2411564E+000, 1.4737677E+000, 9.3815206E-001, 4.9270809E-001, 2.4841259E-001, 1.2998852E-001, 8.5820847E-002, 5.1211527E-002, 3.9487093E-002, 3.0616856E-002, 1.8432962E-002, 8.6002208E-003, 5.9797627E-003, 4.5955264E-003, 3.5135225E-003, 2.4715449E-003, 1.8956740E-003, 1.4509421E-003, 9.5204441E-004
 1.4000445E+001, 1.9397788E-001, 1.0874238E+000, 1.1298495E+000, 3.1244426E-001, 4.6946363E+001, 3.6692407E+001, 3.3322993E+001, 3.1744899E+001, 3.0713589E+001, 3.0463839E+001, 3.0333632E+001, 2.9507876E+001, 2.9232737E+001, 2.8087101E+001, 2.6225075E+001, 2.4392785E+001, 2.2749340E+001, 2.1193484E+001, 2.0153716E+001, 1.8177408E+001, 1.6538883E+001, 1.5424160E+001, 1.4582529E+001, 1.3603807E+001, 1.2311668E+001, 1.0592420E+001, 8.9472803E+000, 7.8711399E+000, 6.9642851E+000, 6.1443735E+000, 5.1428890E+000, 4.5092949E+000, 4.0424236E+000, 3.4420420E+000, 2.7573506E+000, 2.4534595E+000, 2.3166314E+000, 2.2997919E+000, 2.2039003E+000, 2.1400424E+000, 2.0258082E+000, 1.7234671E+000, 1.3579926E+000, 1.0775465E+000, 9.0209885E-001, 6.4191673E-001, 5.4308918E-001, 4.5439860E-001, 3.5329363E-001, 2.7427365E-001, 2.1763453E-001, 1.5210624E-001, 8.3578162E-002
 1.5000404E+001, 1.9079088E-001, 1.0536385E+000, 1.0955324E+000, 3.1121675E-001, 4.5622620E+001, 3.6575419E+001, 3.4713883E+001, 3.5364517E+001, 3.5669422E+001, 3.4907784E+001, 3.3343039E+001, 3.0285361E+001, 2.9303216E+001, 2.7715003E+001, 2.6305968E+001, 2.3712328E+001, 2.1738302E+001, 2.0865427E+001, 1.9916579E+001, 1.8660553E+001, 1.7074873E+001, 1.5530149E+001, 1.3172376E+001, 1.1406597E+001, 1.0116595E+001, 9.0066199E+000, 7.7935961E+000, 6.8021279E+000, 5.8931664E+000, 5.0890245E+000, 4.3852248E+000, 3.8946609E+000, 3.3506445E+000, 3.0145152E+000, 2.6664250E+000, 2.3524889E+000, 2.0218025E+000, 1.6931885E+000, 1.4864577E+000, 1.1966207E+000, 9.2551005E-001, 5.7148146E-001, 3.3784290E-001, 1.6272896E-001, 6.4355969E-002, 2.4277821E-002, 1.3732039E-002, 8.3935658E-003, 5.6849232E-003, 3.5641339E-003, 2.6686066E-003, 2.0962932E-003, 1.5011570E-003
 1.6000297E+001, 1.8769946E-001, 1.0352770E+000, 1.0796013E+000, 4.5899478E-001, 4.5073326E+001, 3.4088081E+001, 3.0750286E+001, 2.9687242E+001, 2.9564276E+001, 2.9955618E+001, 2.9579237E+001, 2.7414902E+001, 2.6873916E+001, 2.6672976E+001, 2.6782366E+001, 2.6431904E+001, 2.4860294E+001, 2.3133533E+001, 2.2028636E+001, 1.9347665E+001, 1.7488086E+001, 1.6157763E+001, 1.4513751E+001, 1.3476933E+001, 1.2276004E+001, 1.0924335E+001, 9.1195078E+000, 7.7547668E+000, 6.5746116E+000, 5.5678573E+000, 4.3084129E+000, 3.6395629E+000, 3.0655221E+000, 2.7762024E+000, 2.3152640E+000, 2.1449447E+000, 1.7608614E+000, 1.3086546E+000, 1.0395629E+000, 8.0505703E-001, 6.4105364E-001, 5.2114128E-001, 4.6226134E-001, 3.9619361E-001, 2.5063546E-001, 1.0749162E-001, 5.9133979E-002, 3.1983336E-002, 1.9021891E-002, 1.1041489E-002, 7.9528848E-003, 5.9183343E-003, 4.2126528E-003
 1.7000493E+001, 1.8471409E-001, 9.8751015E-001, 1.0371546E+000, 1.0446350E+000, 4.4718155E+001, 3.3420811E+001, 2.9467515E+001, 2.8093148E+001, 2.8013708E+001, 2.8101411E+001, 2.7928730E+001, 2.6677844E+001, 2.6623098E+001, 2.6411750E+001, 2.6155910E+001, 2.4926455E+001, 2.4600146E+001, 2.3882419E+001, 2.3379542E+001, 2.0983452E+001, 1.9132633E+001, 1.7733603E+001, 1.6171605E+001, 1.5071913E+001, 1.3818242E+001, 1.2274689E+001, 1.0752591E+001, 9.7802749E+000, 8.6810037E+000, 7.4498473E+000, 5.8579788E+000, 4.9876265E+000, 4.3010568E+000, 3.7762718E+000, 3.3732009E+000, 3.0092547E+000, 2.5915691E+000, 2.3146421E+000, 2.1384818E+000, 1.9159470E+000, 1.7608710E+000, 1.5250962E+000, 1.3414710E+000, 1.1591627E+000, 9.3300810E-001, 6.9362742E-001, 5.3898817E-001, 3.8270688E-001, 2.5010313E-001, 1.2681014E-001, 7.5122108E-002, 4.5261238E-002, 2.3449038E-002
 1.8000312E+001, 1.8181458E-001, 9.8613108E-001, 1.0051476E+000, 5.7233418E-001, 4.2999524E+001, 3.3679780E+001, 2.9233096E+001, 2.8499036E+001, 2.7967759E+001, 2.8060722E+001, 2.7774373E+001, 2.6398302E+001, 2.5039683E+001, 2.3860035E+001, 2.2135684E+001, 2.0084238E+001, 1.9220442E+001, 1.9114826E+001, 1.8256638E+001, 1.6297885E+001, 1.4714624E+001, 1.3550562E+001, 1.2115928E+001, 1.1427088E+001, 1.1206320E+001, 1.0387521E+001, 8.5283743E+000, 7.1203589E+000, 6.0019086E+000, 5.1167835E+000, 4.4353679E+000, 4.2074346E+000, 3.9316555E+000, 3.6427491E+000, 3.2792994E+000, 2.9691945E+000, 2.7164661E+000, 2.5414120E+000, 2.2771380E+000, 2.0187352E+000, 1.6783196E+000, 1.1406339E+000, 8.0819485E-001, 5.2307878E-001, 3.2739423E-001, 1.8579826E-001, 1.2034701E-001, 7.2001075E-002, 4.2726723E-002, 2.3497675E-002, 1.5592679E-002, 1.0681803E-002, 7.0293311E-003
 1.9000073E+001, 1.7901315E-001, 9.2716136E-001, 9.6315466E-001, 1.2103372E-001, 4.2399875E+001, 3.4176387E+001, 3.1402969E+001, 3.1021002E+001, 3.1030155E+001, 3.0685692E+001, 2.9535829E+001, 2.8337956E+001, 2.8592591E+001, 2.8237357E+001, 2.6688485E+001, 2.3721856E+001, 2.1382800E+001, 1.9317787E+001, 1.7083731E+001, 1.4675619E+001, 1.2795470E+001, 1.1130597E+001, 9.5664078E+000, 8.7640162E+000, 7.9615144E+000, 7.0825912E+000, 6.1069443E+000, 5.7183174E+000, 5.5401480E+000, 5.5098589E+000, 5.2366182E+000, 5.0651923E+000, 4.7707118E+000, 4.3753042E+000, 3.5565967E+000, 2.7828206E+000, 2.1554519E+000, 1.8613827E+000, 1.7420573E+000, 1.6117857E+000, 1.4447635E+000, 1.1689589E+000, 1.0237645E+000, 9.1046337E-001, 7.6616220E-001, 5.9108165E-001, 4.5809848E-001, 3.5066588E-001, 2.7546301E-001, 1.4921551E-001, 5.1232873E-002, 1.6869895E-002, 5.0088535E-003
 2.0000053E+001, 1.7840583E-001, 9.2047429E-001, 9.5359240E-001, 3.0149802E-001, 4.1533721E+001, 3.4198633E+001, 3.2463024E+001, 3.2058993E+001, 3.0664260E+001, 2.9274304E+001, 2.8193465E+001, 2.6100932E+001, 2.5511432E+001, 2.5487148E+001, 2.5446220E+001, 2.5460869E+001, 2.4233770E+001, 2.3110283E+001, 2.2513646E+001, 2.1038673E+001, 1.9818380E+001, 1.8572810E+001, 1.6821855E+001, 1.6017757E+001, 1.5455601E+001, 1.4633078E+001, 1.3256027E+001, 1.2142231E+001, 1.0975809E+001, 1.0060900E+001, 8.8484113E+000, 7.5023792E+000, 6.1682722E+000, 5.1670671E+000, 4.5523054E+000, 4.3510604E+000, 4.1349117E+000, 3.3726504E+000, 2.7268741E+000, 2.1214400E+000, 1.5630082E+000, 9.1510512E-001, 5.7341273E-001, 3.6678081E-001, 2.4066284E-001, 1.4595528E-001, 9.2139478E-002, 5.2310381E-002, 2.5620155E-002, 1.1197155E-002, 6.3444497E-003, 3.6600822E-003, 2.0132525E-003
 2.1000590E+001, 1.7838935E-001, 8.7248574E-001, 9.1364558E-001, 3.4041107E-001, 4.2261831E+001, 3.1145125E+001, 2.6626276E+001, 2.5234732E+001, 2.4421682E+001, 2.3900172E+001, 2.3407558E+001, 2.1789081E+001, 2.1873446E+001, 2.1439167E+001, 2.1031217E+001, 2.0496022E+001, 1.9465577E+001, 1.8174147E+001, 1.6749987E+001, 1.5257625E+001, 1.4304501E+001, 1.3126370E+001, 1.2317733E+001, 1.1934777E+001, 1.1685309E+001, 1.1308288E+001, 1.1038872E+001, 1.0481163E+001, 9.2253172E+000, 8.1788078E+000, 6.9557156E+000, 6.5257044E+000, 5.9485256E+000, 5.0034143E+000, 3.7599446E+000, 2.9049598E+000, 2.1633570E+000, 1.6613126E+000, 1.4970074E+000, 1.2406629E+000, 1.0108624E+000, 7.4464109E-001, 5.0752944E-001, 3.5175595E-001, 2.5848585E-001, 1.7512014E-001, 1.2327509E-001, 7.8298785E-002, 4.2082085E-002, 1.8932154E-002, 1.1512944E-002, 7.2868648E-003, 3.7442981E-003
 2.2000368E+001, 1.7837284E-001, 8.8674961E-001, 9.0419852E-001, 1.2862656E+000, 4.0950731E+001, 3.0772104E+001, 2.5776478E+001, 2.4472748E+001, 2.4516418E+001, 2.4447338E+001, 2.4422633E+001, 2.2965100E+001, 2.2274194E+001, 2.1674369E+001, 2.1004554E+001, 1.9420450E+001, 1.8500013E+001, 1.7446244E+001, 1.6980925E+001, 1.6809776E+001, 1.6496093E+001, 1.6559842E+001, 1.6633109E+001, 1.5964023E+001, 1.4749566E+001, 1.3354211E+001, 1.2326113E+001, 1.2003311E+001, 1.1719365E+001, 1.0894007E+001, 9.4814560E+000, 8.6016489E+000, 8.1355006E+000, 7.6409441E+000, 6.5487946E+000, 5.5403340E+000, 4.4524714E+000, 2.7467373E+000, 1.9534411E+000, 1.5014656E+000, 8.7891936E-001, 3.6513842E-001, 2.1003427E-001, 1.3358680E-001, 8.0347870E-002, 4.3021240E-002, 2.9776449E-002, 2.1995593E-002, 1.6822321E-002, 1.2273730E-002, 9.6257937E-003, 7.9227656E-003, 6.1064479E-003
 2.3000520E+001, 1.7835637E-001, 8.7380809E-001, 9.1299708E-001, 7.1936760E-001, 4.1532915E+001, 3.1667188E+001, 2.7442109E+001, 2.6857659E+001, 2.7120457E+001, 2.7279387E+001, 2.6763400E+001, 2.4615421E+001, 2.3836047E+001, 2.2720513E+001, 2.1226682E+001, 2.0468861E+001, 2.1002201E+001, 2.1388605E+001, 2.0601243E+001, 1.9770314E+001, 1.9516021E+001, 1.9654845E+001, 1.9451266E+001, 1.9050326E+001, 1.8814500E+001, 1.7953548E+001, 1.6332496E+001, 1.4777090E+001, 1.3139041E+001, 1.1187981E+001, 8.9324419E+000, 7.7920328E+000, 6.4052118E+000, 5.3450935E+000, 4.2034502E+000, 3.6248965E+000, 3.1585710E+000, 2.6136760E+000, 2.3010308E+000, 2.0670439E+000, 2.0533668E+000, 2.0007746E+000, 1.9555719E+000, 1.8395500E+000, 1.6761756E+000, 1.4515670E+000, 1.2456479E+000, 1.0419701E+000, 8.3140881E-001, 5.9867434E-001, 4.5447834E-001, 3.5384776E-001, 2.4403507E-001
