s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 1.700E+02, 9.750E+02, 9.053E+02, 7.451E+02, 5.746E+02, 1.214E+02, 1.262E+02, 1.420E+02, 2.128E+02, 4.530E+02, 1.981E+02, 1.412E+02, 1.275E+02, 1.232E+02, 1.018E+02, 7.425E+01, 9.255E+01, 6.476E+01, 7.953E+01, 3.425E+01, 6.977E+01, 9.195E+01, 1.009E+02, 7.939E+01
 1.800E+02, 9.813E+02, 9.146E+02, 7.617E+02, 5.828E+02, 1.226E+02, 1.275E+02, 1.439E+02, 2.138E+02, 4.553E+02, 2.063E+02, 1.448E+02, 1.298E+02, 1.243E+02, 1.055E+02, 7.594E+01, 9.599E+01, 6.660E+01, 8.195E+01, 3.489E+01, 7.194E+01, 9.543E+01, 1.046E+02, 8.171E+01
 1.900E+02, 9.852E+02, 9.224E+02, 7.778E+02, 6.073E+02, 1.252E+02, 1.290E+02, 1.440E+02, 2.123E+02, 4.723E+02, 2.150E+02, 1.491E+02, 1.326E+02, 1.272E+02, 1.089E+02, 7.743E+01, 9.927E+01, 6.845E+01, 8.410E+01, 3.554E+01, 7.387E+01, 9.912E+01, 1.084E+02, 8.406E+01
 2.000E+02, 9.884E+02, 9.226E+02, 7.773E+02, 6.003E+02, 1.279E+02, 1.327E+02, 1.494E+02, 2.219E+02, 4.706E+02, 2.123E+02, 1.472E+02, 1.313E+02, 1.269E+02, 1.125E+02, 7.962E+01, 1.028E+02, 7.003E+01, 8.610E+01, 3.611E+01, 7.559E+01, 1.027E+02, 1.121E+02, 8.597E+01
 2.100E+02, 9.916E+02, 9.393E+02, 7.981E+02, 6.061E+02, 1.304E+02, 1.348E+02, 1.509E+02, 2.268E+02, 4.747E+02, 2.143E+02, 1.468E+02, 1.306E+02, 1.262E+02, 1.157E+02, 8.026E+01, 1.058E+02, 7.125E+01, 8.819E+01, 3.675E+01, 7.740E+01, 1.061E+02, 1.157E+02, 8.814E+01
 2.200E+02, 9.870E+02, 9.282E+02, 7.872E+02, 6.062E+02, 1.306E+02, 1.362E+02, 1.541E+02, 2.284E+02, 4.804E+02, 2.164E+02, 1.488E+02, 1.331E+02, 1.284E+02, 1.186E+02, 8.149E+01, 1.087E+02, 7.199E+01, 8.957E+01, 3.732E+01, 7.856E+01, 1.092E+02, 1.188E+02, 9.000E+01
 2.300E+02, 9.808E+02, 9.182E+02, 7.724E+02, 5.984E+02, 1.284E+02, 1.337E+02, 1.514E+02, 2.271E+02, 4.780E+02, 2.180E+02, 1.509E+02, 1.335E+02, 1.286E+02, 1.214E+02, 8.284E+01, 1.113E+02, 7.244E+01, 9.136E+01, 3.779E+01, 8.016E+01, 1.117E+02, 1.214E+02, 9.157E+01
 2.400E+02, 9.840E+02, 9.280E+02, 7.943E+02, 6.191E+02, 1.296E+02, 1.343E+02, 1.509E+02, 2.274E+02, 4.910E+02, 2.193E+02, 1.518E+02, 1.333E+02, 1.281E+02, 1.241E+02, 8.347E+01, 1.140E+02, 7.359E+01, 9.297E+01, 3.829E+01, 8.159E+01, 1.142E+02, 1.239E+02, 9.313E+01
 2.500E+02, 9.847E+02, 9.260E+02, 7.835E+02, 6.165E+02, 1.306E+02, 1.347E+02, 1.526E+02, 2.318E+02, 4.904E+02, 2.191E+02, 1.516E+02, 1.343E+02, 1.286E+02, 1.267E+02, 8.488E+01, 1.165E+02, 7.429E+01, 9.462E+01, 3.882E+01, 8.301E+01, 1.167E+02, 1.264E+02, 9.485E+01
 2.600E+02, 9.787E+02, 9.079E+02, 7.574E+02, 5.867E+02, 1.305E+02, 1.350E+02, 1.538E+02, 2.308E+02, 4.755E+02, 2.208E+02, 1.515E+02, 1.337E+02, 1.285E+02, 1.288E+02, 8.506E+01, 1.186E+02, 7.578E+01, 9.564E+01, 3.942E+01, 8.380E+01, 1.191E+02, 1.289E+02, 9.638E+01
 2.700E+02, 9.706E+02, 8.869E+02, 7.194E+02, 5.412E+02, 1.282E+02, 1.336E+02, 1.519E+02, 2.252E+02, 4.498E+02, 2.138E+02, 1.489E+02, 1.307E+02, 1.261E+02, 1.307E+02, 8.595E+01, 1.205E+02, 7.572E+01, 9.652E+01, 3.984E+01, 8.453E+01, 1.209E+02, 1.308E+02, 9.754E+01
 2.800E+02, 9.729E+02, 8.841E+02, 7.065E+02, 5.325E+02, 1.249E+02, 1.299E+02, 1.493E+02, 2.231E+02, 4.429E+02, 2.086E+02, 1.487E+02, 1.315E+02, 1.264E+02, 1.323E+02, 8.649E+01, 1.221E+02, 7.567E+01, 9.692E+01, 4.009E+01, 8.483E+01, 1.221E+02, 1.320E+02, 9.795E+01
 2.900E+02, 9.730E+02, 9.100E+02, 7.432E+02, 5.632E+02, 1.240E+02, 1.293E+02, 1.460E+02, 2.210E+02, 4.535E+02, 2.057E+02, 1.453E+02, 1.295E+02, 1.244E+02, 1.334E+02, 8.590E+01, 1.232E+02, 7.616E+01, 9.663E+01, 4.031E+01, 8.453E+01, 1.234E+02, 1.332E+02, 9.790E+01
 3.000E+02, 9.449E+02, 8.468E+02, 6.720E+02, 5.100E+02, 1.195E+02, 1.237E+02, 1.391E+02, 2.072E+02, 4.238E+02, 1.958E+02, 1.390E+02, 1.248E+02, 1.205E+02, 1.333E+02, 8.429E+01, 1.232E+02, 7.429E+01, 9.593E+01, 4.037E+01, 8.376E+01, 1.235E+02, 1.333E+02, 9.693E+01
 3.100E+02, 8.284E+02, 6.843E+02, 5.236E+02, 4.008E+02, 1.114E+02, 1.138E+02, 1.258E+02, 1.801E+02, 3.549E+02, 1.671E+02, 1.230E+02, 1.137E+02, 1.115E+02, 1.310E+02, 7.833E+01, 1.211E+02, 6.967E+01, 9.115E+01, 3.966E+01, 7.961E+01, 1.213E+02, 1.308E+02, 9.210E+01
 3.200E+02, 5.200E+02, 4.186E+02, 3.262E+02, 2.579E+02, 9.699E+01, 9.741E+01, 1.040E+02, 1.332E+02, 2.617E+02, 1.264E+02, 1.003E+02, 9.639E+01, 9.648E+01, 1.253E+02, 6.912E+01, 1.164E+02, 6.202E+01, 8.340E+01, 3.807E+01, 7.336E+01, 1.165E+02, 1.253E+02, 8.420E+01
 3.300E+02, 3.196E+02, 2.582E+02, 2.052E+02, 1.674E+02, 8.277E+01, 8.215E+01, 8.291E+01, 9.905E+01, 1.944E+02, 9.210E+01, 7.749E+01, 7.994E+01, 8.249E+01, 1.194E+02, 6.377E+01, 1.113E+02, 5.765E+01, 7.861E+01, 3.707E+01, 6.945E+01, 1.115E+02, 1.194E+02, 7.930E+01
 3.400E+02, 2.132E+02, 1.736E+02, 1.413E+02, 1.193E+02, 7.272E+01, 7.077E+01, 6.638E+01, 7.603E+01, 1.458E+02, 7.056E+01, 6.145E+01, 6.459E+01, 7.274E+01, 1.142E+02, 6.029E+01, 1.069E+02, 5.530E+01, 7.529E+01, 3.642E+01, 6.673E+01, 1.070E+02, 1.141E+02, 7.592E+01
 3.500E+02, 1.475E+02, 1.199E+02, 9.909E+01, 8.605E+01, 6.446E+01, 5.889E+01, 5.394E+01, 6.027E+01, 1.119E+02, 5.682E+01, 5.063E+01, 5.352E+01, 6.249E+01, 1.095E+02, 5.825E+01, 1.028E+02, 5.321E+01, 7.267E+01, 3.590E+01, 6.457E+01, 1.029E+02, 1.094E+02, 7.324E+01
 3.600E+02, 1.073E+02, 8.699E+01, 7.320E+01, 6.550E+01, 5.551E+01, 4.940E+01, 4.580E+01, 4.972E+01, 9.014E+01, 4.781E+01, 4.350E+01, 4.546E+01, 5.226E+01, 1.052E+02, 5.577E+01, 9.907E+01, 5.140E+01, 7.049E+01, 3.547E+01, 6.277E+01, 9.917E+01, 1.051E+02, 7.102E+01
 3.700E+02, 8.331E+01, 6.740E+01, 5.791E+01, 5.325E+01, 4.744E+01, 4.268E+01, 4.011E+01, 4.314E+01, 7.536E+01, 4.175E+01, 3.869E+01, 4.025E+01, 4.511E+01, 1.013E+02, 5.448E+01, 9.566E+01, 5.004E+01, 6.863E+01, 3.510E+01, 6.123E+01, 9.576E+01, 1.012E+02, 6.913E+01
 3.801E+02, 6.918E+01, 5.580E+01, 4.841E+01, 4.504E+01, 4.122E+01, 3.787E+01, 3.628E+01, 3.891E+01, 6.358E+01, 3.775E+01, 3.542E+01, 3.642E+01, 3.984E+01, 9.769E+01, 5.311E+01, 9.251E+01, 4.887E+01, 6.699E+01, 3.477E+01, 5.987E+01, 9.261E+01, 9.762E+01, 6.746E+01
 3.900E+02, 6.119E+01, 4.908E+01, 4.272E+01, 3.993E+01, 3.688E+01, 3.470E+01, 3.384E+01, 3.613E+01, 5.483E+01, 3.534E+01, 3.329E+01, 3.376E+01, 3.608E+01, 9.437E+01, 5.196E+01, 8.958E+01, 4.796E+01, 6.553E+01, 3.447E+01, 5.866E+01, 8.967E+01, 9.429E+01, 6.597E+01
 4.000E+02, 5.677E+01, 4.614E+01, 4.042E+01, 3.745E+01, 3.391E+01, 3.245E+01, 3.210E+01, 3.435E+01, 4.948E+01, 3.389E+01, 3.195E+01, 3.193E+01, 3.345E+01, 9.128E+01, 5.071E+01, 8.687E+01, 4.716E+01, 6.422E+01, 3.419E+01, 5.757E+01, 8.692E+01, 9.120E+01, 6.462E+01
 4.100E+02, 5.457E+01, 4.489E+01, 3.983E+01, 3.699E+01, 3.184E+01, 3.105E+01, 3.107E+01, 3.304E+01, 4.686E+01, 3.268E+01, 3.105E+01, 3.075E+01, 3.170E+01, 8.840E+01, 4.967E+01, 8.433E+01, 4.632E+01, 6.303E+01, 3.393E+01, 5.658E+01, 8.435E+01, 8.832E+01, 6.341E+01
 4.200E+02, 5.248E+01, 4.301E+01, 3.826E+01, 3.556E+01, 3.045E+01, 3.002E+01, 3.027E+01, 3.214E+01, 4.418E+01, 3.166E+01, 3.002E+01, 2.972E+01, 3.042E+01, 8.570E+01, 4.872E+01, 8.192E+01, 4.543E+01, 6.193E+01, 3.369E+01, 5.566E+01, 8.196E+01, 8.563E+01, 6.229E+01
 4.300E+02, 5.141E+01, 4.194E+01, 3.699E+01, 3.421E+01, 2.942E+01, 2.924E+01, 2.958E+01, 3.145E+01, 4.165E+01, 3.108E+01, 2.939E+01, 2.899E+01, 2.941E+01, 8.317E+01, 4.801E+01, 7.967E+01, 4.470E+01, 6.090E+01, 3.346E+01, 5.482E+01, 7.971E+01, 8.311E+01, 6.127E+01
 4.400E+02, 5.161E+01, 4.199E+01, 3.646E+01, 3.329E+01, 2.876E+01, 2.873E+01, 2.916E+01, 3.092E+01, 3.983E+01, 3.080E+01, 2.899E+01, 2.847E+01, 2.871E+01, 8.079E+01, 4.716E+01, 7.754E+01, 4.409E+01, 5.996E+01, 3.324E+01, 5.404E+01, 7.758E+01, 8.073E+01, 6.031E+01
 4.500E+02, 5.132E+01, 4.180E+01, 3.595E+01, 3.270E+01, 2.823E+01, 2.831E+01, 2.892E+01, 3.067E+01, 3.871E+01, 3.059E+01, 2.866E+01, 2.809E+01, 2.818E+01, 7.854E+01, 4.606E+01, 7.554E+01, 4.338E+01, 5.909E+01, 3.303E+01, 5.331E+01, 7.557E+01, 7.848E+01, 5.942E+01
 4.600E+02, 5.257E+01, 4.301E+01, 3.692E+01, 3.352E+01, 2.795E+01, 2.816E+01, 2.897E+01, 3.075E+01, 3.838E+01, 3.067E+01, 2.860E+01, 2.780E+01, 2.777E+01, 7.642E+01, 4.549E+01, 7.362E+01, 4.276E+01, 5.828E+01, 3.283E+01, 5.264E+01, 7.367E+01, 7.636E+01, 5.861E+01
 4.700E+02, 5.276E+01, 4.341E+01, 3.754E+01, 3.405E+01, 2.771E+01, 2.797E+01, 2.864E+01, 3.029E+01, 3.782E+01, 3.027E+01, 2.847E+01, 2.769E+01, 2.752E+01, 7.441E+01, 4.481E+01, 7.181E+01, 4.216E+01, 5.752E+01, 3.265E+01, 5.201E+01, 7.186E+01, 7.436E+01, 5.784E+01
 4.801E+02, 5.352E+01, 4.418E+01, 3.868E+01, 3.531E+01, 2.733E+01, 2.754E+01, 2.826E+01, 3.022E+01, 3.790E+01, 3.011E+01, 2.827E+01, 2.743E+01, 2.726E+01, 7.252E+01, 4.401E+01, 7.011E+01, 4.157E+01, 5.681E+01, 3.247E+01, 5.142E+01, 7.015E+01, 7.246E+01, 5.712E+01
 4.900E+02, 5.333E+01, 4.318E+01, 3.778E+01, 3.482E+01, 2.710E+01, 2.739E+01, 2.823E+01, 3.019E+01, 3.767E+01, 3.023E+01, 2.820E+01, 2.727E+01, 2.701E+01, 7.071E+01, 4.349E+01, 6.848E+01, 4.112E+01, 5.614E+01, 3.230E+01, 5.086E+01, 6.851E+01, 7.065E+01, 5.644E+01
 5.000E+02, 5.351E+01, 4.312E+01, 3.727E+01, 3.398E+01, 2.693E+01, 2.724E+01, 2.809E+01, 2.998E+01, 3.705E+01, 3.026E+01, 2.829E+01, 2.728E+01, 2.697E+01, 6.899E+01, 4.294E+01, 6.692E+01, 4.064E+01, 5.552E+01, 3.215E+01, 5.034E+01, 6.695E+01, 6.894E+01, 5.581E+01
