s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 1.520E+03, 3.871E-02, 1.003E-01, 7.158E-06, 4.402E-08, 1.522E-06, 7.772E-02, 3.717E-02, 9.737E-02, 3.668E-03, 3.303E-04, 7.944E-04, 7.982E-02, 7.427E+01, 1.046E+02, 8.335E+02, 1.012E+03, 3.633E+02, 8.232E+02, 5.632E+02, 9.997E+02, 7.602E+02, 8.479E+02, 9.191E+02, 1.851E+02, 2.000E+01, 9.280E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.049E+03, 9.443E+02, 2.000E+01, 2.000E+01, 9.102E+02, 7.097E+02, 7.290E+02, 5.055E+02, 3.749E+01, 2.925E+02, 2.000E+01, 2.399E+02, 2.000E+01, 2.004E+02,-8.894E-06,-5.468E+00, 1.451E-06,-2.816E+00,-7.555E-01, 6.447E-07, 7.316E-01, 7.673E-07, 1.118E+00
 1.600E+03, 3.489E-02, 1.025E-01, 5.997E-05, 8.923E-07, 1.279E-05, 7.938E-02, 4.415E-02, 9.301E-02, 3.893E-03, 3.160E-04, 8.479E-04, 7.694E-02, 7.345E+01, 1.028E+02, 8.340E+02, 1.005E+03, 3.663E+02, 8.199E+02, 5.540E+02, 9.533E+02, 7.576E+02, 8.434E+02, 9.203E+02, 1.855E+02, 2.000E+01, 9.245E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.040E+03, 9.387E+02, 2.000E+01, 2.000E+01, 8.996E+02, 7.328E+02, 7.479E+02, 5.124E+02, 3.974E+01, 2.987E+02, 2.000E+01, 2.409E+02, 2.000E+01, 1.988E+02,-9.458E-06,-5.369E+00, 5.836E-06,-2.715E+00,-7.208E-01, 2.204E-06, 7.713E-01, 2.139E-06, 1.167E+00
 1.680E+03, 4.750E-02, 9.507E-02, 3.480E-07, 7.797E-10, 7.394E-08, 7.396E-02, 4.296E-02, 9.300E-02, 4.591E-03, 2.903E-04, 9.963E-04, 7.775E-02, 7.134E+01, 1.002E+02, 8.233E+02, 1.013E+03, 3.581E+02, 8.175E+02, 5.376E+02, 9.633E+02, 7.493E+02, 8.353E+02, 9.139E+02, 1.852E+02, 2.000E+01, 9.364E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.053E+03, 9.472E+02, 2.000E+01, 2.000E+01, 8.850E+02, 6.976E+02, 7.162E+02, 4.954E+02, 3.321E+01, 2.822E+02, 2.000E+01, 2.322E+02, 2.000E+01, 1.921E+02,-6.266E-06,-5.409E+00,-1.613E-06,-2.684E+00,-6.812E-01, 1.140E-06, 7.434E-01, 1.283E-06, 1.150E+00
 1.760E+03, 4.498E-02, 9.656E-02, 5.549E-07, 1.678E-09, 1.179E-07, 7.504E-02, 4.448E-02, 9.191E-02, 4.769E-03, 3.540E-04, 1.039E-03, 7.716E-02, 7.199E+01, 9.933E+01, 8.305E+02, 1.003E+03, 3.486E+02, 8.284E+02, 5.203E+02, 9.729E+02, 7.513E+02, 8.328E+02, 9.161E+02, 1.843E+02, 2.000E+01, 9.381E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.047E+03, 9.405E+02, 2.000E+01, 2.000E+01, 8.531E+02, 6.990E+02, 7.150E+02, 4.924E+02, 3.802E+01, 2.834E+02, 2.000E+01, 2.325E+02, 2.000E+01, 1.920E+02, 5.116E-07,-5.444E+00, 8.562E-06,-2.594E+00,-5.757E-01, 1.352E-06, 7.499E-01, 1.369E-06, 1.135E+00
 1.840E+03, 4.328E-02, 9.757E-02, 1.362E-07, 4.503E-10, 2.893E-08, 7.576E-02, 4.292E-02, 9.252E-02, 5.071E-03, 3.905E-04, 1.102E-03, 7.793E-02, 7.179E+01, 1.006E+02, 8.256E+02, 1.020E+03, 3.730E+02, 8.153E+02, 5.249E+02, 9.745E+02, 7.506E+02, 8.360E+02, 9.197E+02, 1.839E+02, 2.000E+01, 9.369E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.066E+03, 9.558E+02, 2.000E+01, 2.000E+01, 9.107E+02, 7.155E+02, 7.298E+02, 5.166E+02, 3.355E+01, 2.848E+02, 2.000E+01, 2.348E+02, 2.000E+01, 1.935E+02,-2.052E-06,-5.386E+00, 4.290E-06,-2.728E+00,-7.121E-01, 1.477E-06, 7.244E-01, 1.648E-06, 1.133E+00
 1.920E+03, 4.060E-02, 9.916E-02, 7.731E-07, 1.005E-08, 1.642E-07, 7.691E-02, 3.945E-02, 9.401E-02, 5.624E-03, 2.977E-04, 1.225E-03, 7.970E-02, 7.209E+01, 1.003E+02, 8.287E+02, 1.019E+03, 3.580E+02, 8.214E+02, 5.097E+02, 9.843E+02, 7.517E+02, 8.361E+02, 9.212E+02, 1.837E+02, 2.000E+01, 9.411E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.023E+03, 9.282E+02, 2.000E+01, 2.000E+01, 8.836E+02, 6.905E+02, 7.096E+02, 4.804E+02, 3.544E+01, 2.843E+02, 2.000E+01, 2.340E+02, 2.000E+01, 1.928E+02, 2.691E-06,-5.435E+00, 1.636E-06,-2.743E+00,-5.841E-01, 2.201E-07, 7.484E-01, 3.002E-07, 1.133E+00
 2.000E+03, 3.927E-02, 9.994E-02, 2.114E-06, 1.520E-08, 4.490E-07, 7.748E-02, 3.798E-02, 9.444E-02, 6.005E-03, 6.844E-04, 1.306E-03, 8.035E-02, 7.684E+01, 1.117E+02, 8.435E+02, 1.031E+03, 3.676E+02, 8.397E+02, 5.690E+02, 9.929E+02, 7.691E+02, 8.666E+02, 9.447E+02, 1.837E+02, 2.000E+01, 9.679E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.090E+03, 9.824E+02, 2.000E+01, 2.000E+01, 9.671E+02, 8.394E+02, 8.232E+02, 5.695E+02, 4.975E+01, 3.268E+02, 2.000E+01, 2.613E+02, 2.000E+01, 2.146E+02, 9.989E-06,-5.572E+00, 1.441E-06,-2.969E+00,-8.744E-01, 1.568E-06, 6.974E-01, 1.496E-06, 1.121E+00
 2.080E+03, 2.441E-02, 1.087E-01, 8.169E-07, 7.094E-09, 1.736E-07, 8.384E-02, 2.239E-02, 1.003E-01, 9.277E-03, 9.719E-04, 2.009E-03, 8.832E-02, 1.019E+02, 1.429E+02, 9.099E+02, 1.099E+03, 4.827E+02, 9.071E+02, 7.941E+02, 1.071E+03, 8.505E+02, 9.430E+02, 1.013E+03, 1.852E+02, 2.000E+01, 1.029E+03, 2.000E+01, 2.000E+01, 2.000E+01, 1.139E+03, 1.034E+03, 2.000E+01, 2.000E+01, 1.031E+03, 9.528E+02, 9.127E+02, 6.749E+02, 5.864E+01, 4.080E+02, 2.000E+01, 3.249E+02, 2.000E+01, 2.695E+02, 1.380E-06,-5.967E+00, 6.864E-07,-3.178E+00,-1.032E+00, 9.462E-07, 7.252E-01, 8.657E-07, 1.131E+00
 2.160E+03, 4.476E-02, 9.665E-02, 4.207E-05, 8.120E-07, 8.959E-06, 7.515E-02, 3.654E-03, 1.060E-01, 1.444E-02, 1.525E-03, 3.126E-03, 9.837E-02, 1.379E+02, 1.637E+02, 9.769E+02, 1.077E+03, 6.488E+02, 9.680E+02, 1.025E+03, 1.082E+03, 9.478E+02, 9.894E+02, 1.036E+03, 1.922E+02, 2.000E+01, 1.026E+03, 2.000E+01, 2.000E+01, 2.000E+01, 1.137E+03, 1.032E+03, 2.000E+01, 2.000E+01, 1.031E+03, 1.035E+03, 9.615E+02, 7.663E+02, 1.144E+02, 4.640E+02, 2.000E+01, 3.578E+02, 2.000E+01, 2.985E+02, 6.883E-07,-6.050E+00, 1.701E-05,-3.273E+00,-1.066E+00, 7.221E-07, 7.384E-01, 8.775E-07, 1.191E+00
 2.240E+03, 1.027E-01, 5.942E-02, 2.910E-03, 2.088E-04, 6.313E-04, 5.160E-02, 2.291E-02, 9.940E-02, 9.828E-03, 9.273E-04, 2.128E-03, 8.837E-02, 1.942E+02, 1.752E+02, 1.081E+03, 1.119E+03, 1.078E+03, 1.110E+03, 1.114E+03, 1.148E+03, 1.058E+03, 1.013E+03, 1.075E+03, 2.050E+02, 2.000E+01, 1.060E+03, 2.000E+01, 2.000E+01, 2.000E+01, 1.141E+03, 1.038E+03, 2.000E+01, 2.000E+01, 9.961E+02, 1.004E+03, 9.468E+02, 7.631E+02, 6.956E+01, 4.611E+02, 2.000E+01, 3.806E+02, 2.000E+01, 3.215E+02,-1.765E-06,-6.164E+00, 5.796E-07,-3.399E+00,-1.011E+00, 1.721E-07, 7.856E-01, 1.215E-08, 1.222E+00
