s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
 7.200E+02, 1.828E-03, 8.652E-02, 5.508E-03, 7.788E-03, 1.303E-01, 8.788E-03, 6.644E-02, 1.787E-02, 3.759E-02, 1.317E-01, 7.605E+01, 8.901E+01, 8.306E+02, 1.103E+03, 2.046E+02, 8.150E+02, 2.903E+02, 1.091E+03, 7.623E+02, 8.024E+02, 9.788E+02, 1.783E+02, 1.035E+03, 1.019E+03, 1.033E+03, 1.087E+03, 9.788E+02, 9.349E+02, 8.912E+02, 3.547E+01, 2.745E+02, 6.654E+02, 3.957E+02, 5.221E+02, 3.887E+02, 3.294E+01, 2.805E+02, 2.311E+02, 2.469E+02, 2.252E+02, 2.077E+02,-6.413E+00,-5.953E+00,-6.341E+00,-1.789E+00,-2.311E-01, 6.894E-01, 6.726E-01, 6.016E-01, 9.767E-01
 8.000E+02, 2.362E-04, 8.698E-02, 5.935E-03, 5.385E-03, 1.317E-01, 1.526E-02, 7.019E-02, 1.304E-02, 2.528E-02, 1.256E-01, 7.707E+01, 9.079E+01, 8.331E+02, 1.109E+03, 2.061E+02, 8.299E+02, 3.040E+02, 1.119E+03, 7.659E+02, 8.076E+02, 9.782E+02, 1.814E+02, 1.030E+03, 1.028E+03, 1.028E+03, 1.058E+03, 9.618E+02, 9.967E+02, 9.316E+02, 5.612E+01, 2.940E+02, 7.135E+02, 3.811E+02, 5.298E+02, 4.004E+02, 3.193E+01, 2.868E+02, 2.376E+02, 2.512E+02, 2.361E+02, 2.126E+02,-6.289E+00,-5.879E+00,-6.418E+00,-1.856E+00,-2.404E-01, 6.800E-01, 7.185E-01, 6.444E-01, 9.777E-01
 8.800E+02, 1.462E-04, 8.490E-02, 7.650E-03, 7.159E-03, 1.327E-01, 1.001E-02, 6.699E-02, 1.663E-02, 4.091E-02, 1.299E-01, 7.777E+01, 9.099E+01, 8.357E+02, 1.100E+03, 2.080E+02, 8.343E+02, 3.128E+02, 1.110E+03, 7.683E+02, 8.084E+02, 9.802E+02, 1.830E+02, 1.035E+03, 1.024E+03, 1.040E+03, 1.058E+03, 9.563E+02, 9.850E+02, 9.247E+02, 6.560E+01, 3.059E+02, 6.889E+02, 3.887E+02, 5.260E+02, 3.957E+02, 3.227E+01, 2.850E+02, 2.360E+02, 2.496E+02, 2.340E+02, 2.112E+02,-6.368E+00,-5.894E+00,-6.396E+00,-1.845E+00,-1.956E-01, 6.495E-01, 7.085E-01, 6.511E-01, 9.772E-01
 9.600E+02, 4.168E-04, 8.503E-02, 7.363E-03, 7.901E-03, 1.323E-01, 1.090E-02, 6.730E-02, 1.677E-02, 3.169E-02, 1.302E-01, 7.810E+01, 9.080E+01, 8.333E+02, 1.103E+03, 2.021E+02, 8.304E+02, 3.059E+02, 1.102E+03, 7.703E+02, 8.086E+02, 9.857E+02, 1.839E+02, 1.039E+03, 1.024E+03, 1.039E+03, 1.068E+03, 9.678E+02, 9.411E+02, 9.008E+02, 5.038E+01, 2.950E+02, 6.661E+02, 3.793E+02, 5.189E+02, 3.925E+02, 3.633E+01, 2.916E+02, 2.376E+02, 2.517E+02, 2.358E+02, 2.127E+02,-6.361E+00,-5.956E+00,-6.366E+00,-1.740E+00,-1.893E-01, 6.846E-01, 7.148E-01, 6.333E-01, 9.818E-01
 1.040E+03, 2.613E-04, 8.664E-02, 6.139E-03, 6.378E-03, 1.317E-01, 9.873E-03, 7.052E-02, 1.479E-02, 2.644E-02, 1.299E-01, 7.823E+01, 9.078E+01, 8.336E+02, 1.102E+03, 2.137E+02, 8.401E+02, 2.899E+02, 1.116E+03, 7.705E+02, 8.084E+02, 9.758E+02, 1.846E+02, 1.023E+03, 1.010E+03, 1.037E+03, 1.054E+03, 9.595E+02, 9.697E+02, 9.151E+02, 5.458E+01, 2.918E+02, 6.784E+02, 3.711E+02, 5.143E+02, 4.036E+02, 3.251E+01, 2.850E+02, 2.369E+02, 2.501E+02, 2.360E+02, 2.118E+02,-6.284E+00,-5.795E+00,-6.514E+00,-1.807E+00,-3.012E-01, 6.609E-01, 6.996E-01, 6.849E-01, 9.740E-01
 1.120E+03, 6.129E-06, 8.508E-02, 7.437E-03, 8.496E-03, 1.325E-01, 1.111E-02, 6.742E-02, 1.641E-02, 3.380E-02, 1.296E-01, 7.652E+01, 8.995E+01, 8.205E+02, 1.084E+03, 2.065E+02, 8.339E+02, 2.922E+02, 1.094E+03, 7.645E+02, 8.061E+02, 9.732E+02, 1.848E+02, 1.026E+03, 1.022E+03, 1.041E+03, 1.051E+03, 9.568E+02, 9.537E+02, 9.085E+02, 4.866E+01, 2.916E+02, 6.718E+02, 3.607E+02, 5.070E+02, 3.985E+02, 3.195E+01, 2.856E+02, 2.338E+02, 2.484E+02, 2.335E+02, 2.098E+02,-6.328E+00,-5.864E+00,-6.401E+00,-1.804E+00,-1.794E-01, 6.821E-01, 6.963E-01, 6.605E-01, 9.850E-01
 1.200E+03, 6.830E-06, 7.956E-02, 1.073E-02, 2.713E-02, 1.333E-01, 7.083E-03, 5.991E-02, 2.107E-02, 7.640E-02, 1.318E-01, 8.081E+01, 9.358E+01, 8.398E+02, 1.088E+03, 2.038E+02, 8.300E+02, 3.016E+02, 1.109E+03, 7.790E+02, 8.163E+02, 9.868E+02, 1.847E+02, 1.033E+03, 1.012E+03, 1.023E+03, 1.096E+03, 9.906E+02, 1.007E+03, 9.447E+02, 6.574E+01, 3.118E+02, 7.024E+02, 3.870E+02, 5.321E+02, 4.022E+02, 3.250E+01, 3.000E+02, 2.464E+02, 2.600E+02, 2.454E+02, 2.202E+02,-6.608E+00,-6.088E+00,-6.567E+00,-1.849E+00,-1.711E-01, 6.408E-01, 7.053E-01, 6.531E-01, 9.704E-01
 1.280E+03, 1.209E-06, 7.020E-02, 1.747E-02, 4.473E-02, 1.363E-01, 1.855E-03, 6.037E-02, 2.211E-02, 8.399E-02, 1.351E-01, 8.741E+01, 9.886E+01, 8.556E+02, 1.077E+03, 2.195E+02, 8.524E+02, 3.149E+02, 1.100E+03, 8.018E+02, 8.324E+02, 9.944E+02, 1.857E+02, 1.021E+03, 1.002E+03, 1.023E+03, 1.151E+03, 1.032E+03, 1.046E+03, 9.791E+02, 5.864E+01, 3.308E+02, 7.195E+02, 4.018E+02, 5.560E+02, 4.300E+02, 3.336E+01, 3.162E+02, 2.632E+02, 2.753E+02, 2.596E+02, 2.357E+02,-6.517E+00,-6.215E+00,-6.528E+00,-1.877E+00,-1.701E-01, 6.256E-01, 6.977E-01, 6.381E-01, 9.550E-01
 1.360E+03, 4.816E-06, 6.933E-02, 1.827E-02, 4.431E-02, 1.368E-01, 4.015E-03, 5.828E-02, 2.359E-02, 7.781E-02, 1.353E-01, 8.887E+01, 1.003E+02, 8.580E+02, 1.061E+03, 2.345E+02, 8.559E+02, 3.195E+02, 1.110E+03, 8.069E+02, 8.373E+02, 9.951E+02, 1.882E+02, 1.023E+03, 1.005E+03, 1.015E+03, 1.150E+03, 1.031E+03, 1.071E+03, 9.927E+02, 5.568E+01, 3.320E+02, 7.403E+02, 3.987E+02, 5.546E+02, 4.327E+02, 3.374E+01, 3.217E+02, 2.659E+02, 2.788E+02, 2.646E+02, 2.383E+02,-6.534E+00,-6.162E+00,-6.707E+00,-1.934E+00,-1.911E-01, 6.319E-01, 7.182E-01, 6.595E-01, 9.726E-01
 1.440E+03, 1.277E-05, 7.043E-02, 1.807E-02, 3.503E-02, 1.374E-01, 1.361E-03, 5.872E-02, 2.325E-02, 8.995E-02, 1.358E-01, 8.863E+01, 1.002E+02, 8.597E+02, 1.042E+03, 2.139E+02, 8.537E+02, 3.272E+02, 1.118E+03, 8.061E+02, 8.373E+02, 9.877E+02, 1.904E+02, 1.010E+03, 9.992E+02, 1.019E+03, 1.144E+03, 1.024E+03, 1.060E+03, 9.850E+02, 5.687E+01, 3.322E+02, 7.010E+02, 3.892E+02, 5.506E+02, 4.309E+02, 3.340E+01, 3.181E+02, 2.628E+02, 2.768E+02, 2.611E+02, 2.359E+02,-6.658E+00,-6.205E+00,-6.706E+00,-1.803E+00,-2.516E-01, 6.322E-01, 6.963E-01, 6.574E-01, 9.867E-01
 1.520E+03, 5.690E-07, 7.076E-02, 1.756E-02, 3.787E-02, 1.368E-01, 1.699E-03, 5.789E-02, 2.379E-02, 9.066E-02, 1.359E-01, 8.823E+01, 9.950E+01, 8.571E+02, 1.059E+03, 2.210E+02, 8.509E+02, 3.250E+02, 1.123E+03, 8.052E+02, 8.352E+02, 9.964E+02, 1.919E+02, 1.014E+03, 1.002E+03, 1.028E+03, 1.172E+03, 1.047E+03, 1.083E+03, 9.961E+02, 4.131E+01, 3.145E+02, 7.280E+02, 4.127E+02, 5.625E+02, 4.387E+02, 3.342E+01, 3.182E+02, 2.642E+02, 2.772E+02, 2.584E+02, 2.354E+02,-6.592E+00,-6.156E+00,-6.571E+00,-1.873E+00,-2.069E-01, 6.554E-01, 7.043E-01, 6.379E-01, 9.807E-01
 1.600E+03, 1.415E-08, 7.032E-02, 1.693E-02, 5.007E-02, 1.355E-01, 2.402E-03, 5.960E-02, 2.223E-02, 8.806E-02, 1.346E-01, 8.580E+01, 9.701E+01, 8.525E+02, 1.070E+03, 2.156E+02, 8.445E+02, 3.128E+02, 1.099E+03, 7.974E+02, 8.280E+02, 9.893E+02, 1.927E+02, 1.027E+03, 9.973E+02, 1.014E+03, 1.134E+03, 1.022E+03, 1.072E+03, 9.907E+02, 6.463E+01, 3.249E+02, 7.191E+02, 4.005E+02, 5.538E+02, 4.275E+02, 3.312E+01, 3.088E+02, 2.577E+02, 2.698E+02, 2.565E+02, 2.302E+02,-6.593E+00,-6.168E+00,-6.498E+00,-1.843E+00,-2.628E-01, 6.426E-01, 7.271E-01, 6.451E-01, 9.909E-01
 1.680E+03, 1.543E-07, 7.386E-02, 1.512E-02, 3.450E-02, 1.355E-01, 5.178E-03, 6.050E-02, 2.173E-02, 7.122E-02, 1.339E-01, 8.844E+01, 1.006E+02, 8.583E+02, 1.091E+03, 2.277E+02, 8.538E+02, 3.270E+02, 1.101E+03, 8.054E+02, 8.382E+02, 1.002E+03, 1.925E+02, 1.029E+03, 1.008E+03, 1.027E+03, 1.178E+03, 1.049E+03, 1.091E+03, 1.004E+03, 4.969E+01, 3.294E+02, 7.392E+02, 3.877E+02, 5.526E+02, 4.338E+02, 3.432E+01, 3.230E+02, 2.655E+02, 2.795E+02, 2.628E+02, 2.368E+02,-6.796E+00,-6.245E+00,-6.734E+00,-1.869E+00,-2.630E-01, 6.558E-01, 7.030E-01, 6.279E-01, 9.837E-01
 1.760E+03, 1.982E-06, 6.760E-02, 1.932E-02, 4.995E-02, 1.371E-01, 1.537E-03, 5.582E-02, 2.457E-02, 1.039E-01, 1.354E-01, 8.998E+01, 1.005E+02, 8.674E+02, 1.059E+03, 2.236E+02, 8.566E+02, 3.171E+02, 1.103E+03, 8.105E+02, 8.384E+02, 9.940E+02, 1.927E+02, 1.018E+03, 9.954E+02, 1.028E+03, 1.182E+03, 1.051E+03, 1.062E+03, 9.836E+02, 4.603E+01, 3.229E+02, 7.336E+02, 4.127E+02, 5.615E+02, 4.410E+02, 3.326E+01, 3.188E+02, 2.645E+02, 2.782E+02, 2.627E+02, 2.368E+02,-6.792E+00,-6.241E+00,-6.631E+00,-1.918E+00,-2.373E-01, 6.498E-01, 7.146E-01, 6.678E-01, 9.738E-01
 1.840E+03, 7.081E-09, 6.952E-02, 1.808E-02, 4.454E-02, 1.367E-01, 1.957E-03, 5.692E-02, 2.362E-02, 1.018E-01, 1.347E-01, 8.763E+01, 9.863E+01, 8.551E+02, 1.063E+03, 2.233E+02, 8.563E+02, 3.153E+02, 1.115E+03, 8.034E+02, 8.329E+02, 9.910E+02, 1.937E+02, 1.013E+03, 9.920E+02, 1.015E+03, 1.165E+03, 1.039E+03, 1.037E+03, 9.714E+02, 4.898E+01, 3.201E+02, 6.767E+02, 3.893E+02, 5.465E+02, 4.293E+02, 3.362E+01, 3.137E+02, 2.610E+02, 2.741E+02, 2.583E+02, 2.329E+02,-6.550E+00,-6.182E+00,-6.568E+00,-1.754E+00,-2.903E-01, 6.658E-01, 7.176E-01, 6.281E-01, 9.773E-01
 1.920E+03, 1.249E-05, 7.208E-02, 1.655E-02, 3.598E-02, 1.363E-01, 3.670E-03, 6.054E-02, 2.206E-02, 7.399E-02, 1.348E-01, 8.899E+01, 9.959E+01, 8.621E+02, 1.057E+03, 2.274E+02, 8.532E+02, 3.311E+02, 1.134E+03, 8.073E+02, 8.350E+02, 9.917E+02, 1.939E+02, 1.013E+03, 9.890E+02, 1.020E+03, 1.150E+03, 1.029E+03, 1.070E+03, 9.882E+02, 6.789E+01, 3.423E+02, 7.242E+02, 3.999E+02, 5.558E+02, 4.258E+02, 3.320E+01, 3.174E+02, 2.620E+02, 2.753E+02, 2.612E+02, 2.355E+02,-6.542E+00,-6.152E+00,-6.614E+00,-1.877E+00,-2.654E-01, 6.426E-01, 7.151E-01, 6.645E-01, 9.657E-01
 2.000E+03, 1.004E-07, 7.013E-02, 1.769E-02, 4.292E-02, 1.366E-01, 3.264E-03, 5.852E-02, 2.305E-02, 8.540E-02, 1.348E-01, 8.986E+01, 1.005E+02, 8.624E+02, 1.064E+03, 2.209E+02, 8.574E+02, 3.242E+02, 1.106E+03, 8.105E+02, 8.383E+02, 9.994E+02, 1.938E+02, 1.013E+03, 9.945E+02, 1.019E+03, 1.145E+03, 1.029E+03, 1.064E+03, 9.864E+02, 5.386E+01, 3.271E+02, 7.376E+02, 4.045E+02, 5.567E+02, 4.223E+02, 3.344E+01, 3.217E+02, 2.645E+02, 2.789E+02, 2.657E+02, 2.368E+02,-6.582E+00,-6.129E+00,-6.567E+00,-1.929E+00,-3.267E-01, 6.177E-01, 7.065E-01, 6.289E-01, 9.806E-01
 2.080E+03, 3.281E-08, 7.072E-02, 1.745E-02, 3.945E-02, 1.367E-01, 1.486E-03, 5.733E-02, 2.403E-02, 9.465E-02, 1.358E-01, 8.840E+01, 9.981E+01, 8.559E+02, 1.061E+03, 2.215E+02, 8.518E+02, 3.255E+02, 1.114E+03, 8.062E+02, 8.366E+02, 9.950E+02, 1.940E+02, 1.013E+03, 1.003E+03, 1.023E+03, 1.164E+03, 1.038E+03, 1.030E+03, 9.676E+02, 5.750E+01, 3.257E+02, 7.286E+02, 4.173E+02, 5.671E+02, 4.423E+02, 3.369E+01, 3.195E+02, 2.637E+02, 2.756E+02, 2.578E+02, 2.354E+02,-6.647E+00,-6.219E+00,-6.640E+00,-1.880E+00,-3.220E-01, 6.304E-01, 7.023E-01, 6.384E-01, 9.793E-01
 2.160E+03, 5.463E-07, 7.120E-02, 1.687E-02, 4.151E-02, 1.361E-01, 1.269E-03, 5.813E-02, 2.392E-02, 8.863E-02, 1.363E-01, 8.825E+01, 9.951E+01, 8.600E+02, 1.067E+03, 2.144E+02, 8.524E+02, 3.289E+02, 1.109E+03, 8.051E+02, 8.356E+02, 9.938E+02, 1.939E+02, 1.024E+03, 1.001E+03, 1.018E+03, 1.163E+03, 1.037E+03, 1.079E+03, 9.940E+02, 5.325E+01, 3.255E+02, 7.086E+02, 4.052E+02, 5.584E+02, 4.342E+02, 3.340E+01, 3.163E+02, 2.622E+02, 2.755E+02, 2.591E+02, 2.338E+02,-6.621E+00,-6.145E+00,-6.607E+00,-1.826E+00,-1.965E-01, 6.319E-01, 7.112E-01, 6.372E-01, 9.984E-01
 2.240E+03, 4.083E-07, 7.019E-02, 1.733E-02, 4.654E-02, 1.361E-01, 1.366E-03, 5.659E-02, 2.371E-02, 1.071E-01, 1.347E-01, 8.819E+01, 9.828E+01, 8.560E+02, 1.056E+03, 2.213E+02, 8.594E+02, 3.284E+02, 1.116E+03, 8.053E+02, 8.316E+02, 9.911E+02, 1.939E+02, 1.006E+03, 9.907E+02, 1.014E+03, 1.168E+03, 1.038E+03, 1.038E+03, 9.695E+02, 5.402E+01, 3.198E+02, 7.154E+02, 3.997E+02, 5.488E+02, 4.240E+02, 3.284E+01, 3.140E+02, 2.612E+02, 2.744E+02, 2.548E+02, 2.314E+02,-6.502E+00,-6.225E+00,-6.530E+00,-1.875E+00,-3.062E-01, 6.541E-01, 6.906E-01, 6.518E-01, 9.846E-01
 2.320E+03, 6.806E-05, 7.640E-02, 1.361E-02, 2.552E-02, 1.352E-01, 1.507E-02, 6.678E-02, 1.502E-02, 3.839E-02, 1.260E-01, 8.501E+01, 9.453E+01, 8.558E+02, 1.099E+03, 2.282E+02, 8.463E+02, 3.161E+02, 1.073E+03, 7.951E+02, 8.206E+02, 9.845E+02, 1.939E+02, 1.018E+03, 1.007E+03, 1.009E+03, 1.080E+03, 9.769E+02, 9.458E+02, 9.018E+02, 4.710E+01, 3.009E+02, 6.836E+02, 3.713E+02, 5.210E+02, 4.038E+02, 3.207E+01, 3.000E+02, 2.461E+02, 2.604E+02, 2.430E+02, 2.206E+02,-6.411E+00,-5.838E+00,-6.269E+00,-1.828E+00,-1.953E-01, 6.808E-01, 6.944E-01, 6.495E-01, 9.878E-01
 2.400E+03, 1.019E-02, 8.747E-02, 1.903E-03, 1.187E-03, 1.234E-01, 2.421E-02, 7.173E-02, 9.429E-03, 9.664E-03, 1.190E-01, 6.875E+01, 7.890E+01, 8.105E+02, 1.095E+03, 1.866E+02, 8.172E+02, 2.827E+02, 1.012E+03, 7.363E+02, 7.691E+02, 9.379E+02, 1.931E+02, 9.811E+02, 9.970E+02, 9.897E+02, 9.461E+02, 8.694E+02, 8.730E+02, 8.294E+02, 5.128E+01, 2.570E+02, 6.050E+02, 3.430E+02, 4.643E+02, 3.481E+02, 3.052E+01, 2.472E+02, 2.036E+02, 2.184E+02, 2.015E+02, 1.828E+02,-5.988E+00,-5.509E+00,-6.023E+00,-1.756E+00,-1.241E-01, 6.714E-01, 6.870E-01, 6.481E-01, 9.899E-01
 2.480E+03, 1.209E-02, 8.793E-02, 8.161E-04, 3.792E-04, 1.216E-01, 3.629E-02, 6.697E-02, 8.634E-03, 1.179E-02, 1.110E-01, 6.546E+01, 7.536E+01, 8.034E+02, 1.079E+03, 1.885E+02, 7.994E+02, 2.838E+02, 9.988E+02, 7.227E+02, 7.555E+02, 9.347E+02, 1.885E+02, 9.823E+02, 9.994E+02, 9.788E+02, 9.068E+02, 8.470E+02, 8.008E+02, 7.859E+02, 3.902E+01, 2.376E+02, 5.919E+02, 3.351E+02, 4.561E+02, 3.366E+02, 2.986E+01, 2.391E+02, 1.961E+02, 2.092E+02, 1.923E+02, 1.769E+02,-5.984E+00,-5.506E+00,-5.906E+00,-1.689E+00,-1.156E-01, 6.917E-01, 6.715E-01, 6.536E-01, 9.563E-01
