m,C,m,C,m/s,m/s,m/s,m/s
 1.575E+00, 4.802E+02, 1.575E+00, 4.224E+02,-3.099E+00,-2.606E+00, 3.709E-02, 1.152E+00
 1.625E+00, 4.829E+02, 1.625E+00, 4.256E+02,-3.214E+00,-2.789E+00, 3.709E-02, 1.008E+00
 1.675E+00, 4.852E+02, 1.675E+00, 4.304E+02,-3.373E+00,-3.012E+00,-7.964E-02, 8.358E-01
 1.725E+00, 4.871E+02, 1.725E+00, 4.377E+02,-3.586E+00,-3.297E+00,-1.884E-01, 6.549E-01
 1.775E+00, 4.888E+02, 1.775E+00, 4.522E+02,-3.954E+00,-3.733E+00,-1.884E-01, 4.308E-01
 1.825E+00, 4.901E+02, 1.825E+00, 4.759E+02,-4.468E+00,-4.312E+00,-2.556E-01, 2.250E-01
 1.875E+00, 4.910E+02, 1.875E+00, 4.982E+02,-4.422E+00,-4.338E+00,-2.995E-01, 1.218E-01
 1.925E+00, 4.931E+02, 1.925E+00, 4.929E+02,-2.244E+00,-2.145E+00,-2.995E-01,-9.079E-04
 1.975E+00, 4.955E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 4.990E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 5.032E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 5.074E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 5.123E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 5.187E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 5.268E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 5.357E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 5.402E+02,NaN,NaN,NaN,NaN,NaN,NaN
