m,C,m,C,m/s,m/s,m/s,m/s
 1.075E+00, 1.091E+02, 1.075E+00, 5.622E+01,-1.843E-01,-1.819E-01,-3.819E-02, 1.425E-01
 1.125E+00, 1.249E+02, 1.125E+00, 7.328E+01,-4.734E-01,-4.308E-01,-2.872E-02, 2.310E-01
 1.175E+00, 1.403E+02, 1.175E+00, 9.674E+01,-7.581E-01,-6.464E-01,-2.872E-02, 3.239E-01
 1.225E+00, 1.559E+02, 1.225E+00, 1.209E+02,-9.757E-01,-8.096E-01,-2.107E-02, 3.887E-01
 1.275E+00, 1.694E+02, 1.275E+00, 1.414E+02,-1.162E+00,-9.185E-01,-2.740E-02, 4.255E-01
 1.325E+00, 1.801E+02, 1.325E+00, 1.573E+02,-1.319E+00,-9.974E-01,-2.740E-02, 4.851E-01
 1.375E+00, 1.885E+02, 1.375E+00, 1.687E+02,-1.445E+00,-1.074E+00,-2.190E-02, 5.765E-01
 1.425E+00, 1.953E+02, 1.425E+00, 1.772E+02,-1.541E+00,-1.148E+00,-3.091E-03, 6.815E-01
 1.475E+00, 2.007E+02, 1.475E+00, 1.847E+02,-1.641E+00,-1.226E+00,-3.091E-03, 7.525E-01
 1.525E+00, 2.052E+02, 1.525E+00, 1.908E+02,-1.730E+00,-1.327E+00, 1.918E-02, 7.893E-01
 1.575E+00, 2.094E+02, 1.575E+00, 1.948E+02,-1.825E+00,-1.456E+00, 1.655E-02, 7.947E-01
 1.625E+00, 2.122E+02, 1.625E+00, 1.974E+02,-1.908E+00,-1.570E+00, 1.655E-02, 7.535E-01
 1.675E+00, 2.140E+02, 1.675E+00, 1.993E+02,-1.992E+00,-1.701E+00, 5.508E-02, 6.465E-01
 1.725E+00, 2.154E+02, 1.725E+00, 2.011E+02,-2.082E+00,-1.857E+00, 4.076E-02, 5.085E-01
 1.775E+00, 2.166E+02, 1.775E+00, 2.042E+02,-2.239E+00,-2.071E+00, 4.076E-02, 3.414E-01
 1.825E+00, 2.172E+02, 1.825E+00, 2.108E+02,-2.469E+00,-2.363E+00,-8.443E-03, 2.107E-01
 1.875E+00, 2.174E+02, 1.875E+00, 2.183E+02,-2.414E+00,-2.359E+00,-1.003E-01, 1.378E-01
 1.925E+00, 2.178E+02, 1.925E+00, 2.178E+02,-1.209E+00,-1.125E+00,-1.003E-01, 7.892E-06
 1.975E+00, 2.183E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 2.189E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 2.196E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 2.210E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 2.225E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 2.250E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 2.291E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 2.353E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 2.370E+02,NaN,NaN,NaN,NaN,NaN,NaN
