m,C,m,C,m/s,m/s,m/s,m/s
 9.750E-01, 4.076E+01, 9.750E-01, 2.370E+01, 3.511E-01, 3.190E-01,-2.278E-02,-1.178E-01
 1.025E+00, 4.553E+01, 1.025E+00, 2.530E+01, 3.031E-01, 2.650E-01,-2.278E-02,-8.714E-02
 1.075E+00, 5.226E+01, 1.075E+00, 2.915E+01, 1.660E-01, 1.286E-01,-7.158E-03,-2.019E-02
 1.125E+00, 6.067E+01, 1.125E+00, 3.458E+01,-3.449E-02,-5.112E-02, 3.817E-03, 5.911E-02
 1.175E+00, 7.092E+01, 1.175E+00, 4.269E+01,-2.323E-01,-2.292E-01, 3.817E-03, 1.370E-01
 1.225E+00, 8.027E+01, 1.225E+00, 5.343E+01,-4.322E-01,-3.846E-01, 1.364E-03, 2.041E-01
 1.275E+00, 8.842E+01, 1.275E+00, 6.642E+01,-6.290E-01,-5.305E-01,-9.562E-03, 2.507E-01
 1.325E+00, 9.536E+01, 1.325E+00, 7.907E+01,-7.780E-01,-6.324E-01,-9.562E-03, 2.926E-01
 1.375E+00, 1.008E+02, 1.375E+00, 8.906E+01,-9.022E-01,-7.148E-01,-1.098E-02, 3.344E-01
 1.425E+00, 1.046E+02, 1.425E+00, 9.658E+01,-9.938E-01,-7.551E-01,-3.337E-04, 3.720E-01
 1.475E+00, 1.073E+02, 1.475E+00, 1.025E+02,-1.086E+00,-8.143E-01,-3.337E-04, 4.224E-01
 1.525E+00, 1.098E+02, 1.525E+00, 1.065E+02,-1.159E+00,-8.774E-01,-8.175E-03, 4.839E-01
 1.575E+00, 1.125E+02, 1.575E+00, 1.093E+02,-1.217E+00,-9.529E-01,-6.736E-03, 5.190E-01
 1.625E+00, 1.147E+02, 1.625E+00, 1.119E+02,-1.286E+00,-1.038E+00,-6.736E-03, 5.260E-01
 1.675E+00, 1.162E+02, 1.675E+00, 1.141E+02,-1.360E+00,-1.125E+00, 2.675E-03, 4.823E-01
 1.725E+00, 1.173E+02, 1.725E+00, 1.154E+02,-1.418E+00,-1.223E+00,-1.372E-02, 3.990E-01
 1.775E+00, 1.183E+02, 1.775E+00, 1.169E+02,-1.507E+00,-1.368E+00,-1.372E-02, 3.010E-01
 1.825E+00, 1.193E+02, 1.825E+00, 1.196E+02,-1.639E+00,-1.545E+00,-1.143E-02, 2.098E-01
 1.875E+00, 1.204E+02, 1.875E+00, 1.227E+02,-1.621E+00,-1.565E+00,-4.858E-03, 1.382E-01
 1.925E+00, 1.215E+02, 1.925E+00, 1.226E+02,-8.978E-01,-8.123E-01,-4.858E-03, 4.167E-06
 1.975E+00, 1.223E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 1.229E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 1.234E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 1.240E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 1.246E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 1.261E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 1.280E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 1.302E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 1.304E+02,NaN,NaN,NaN,NaN,NaN,NaN
