m,C,m,C,m/s,m/s,m/s,m/s
 1.375E+00, 1.316E+02, 1.375E+00, 1.138E+02,-1.094E+00,-8.137E-01, 8.468E-04, 4.523E-01
 1.425E+00, 1.359E+02, 1.425E+00, 1.224E+02,-1.196E+00,-8.695E-01, 4.762E-03, 5.153E-01
 1.475E+00, 1.389E+02, 1.475E+00, 1.297E+02,-1.281E+00,-9.411E-01, 4.762E-03, 5.759E-01
 1.525E+00, 1.418E+02, 1.525E+00, 1.345E+02,-1.379E+00,-1.048E+00, 1.116E-02, 6.100E-01
 1.575E+00, 1.445E+02, 1.575E+00, 1.380E+02,-1.440E+00,-1.137E+00, 1.237E-02, 6.065E-01
 1.625E+00, 1.467E+02, 1.625E+00, 1.410E+02,-1.508E+00,-1.247E+00, 1.237E-02, 5.654E-01
 1.675E+00, 1.486E+02, 1.675E+00, 1.436E+02,-1.584E+00,-1.359E+00, 3.129E-02, 4.980E-01
 1.725E+00, 1.504E+02, 1.725E+00, 1.457E+02,-1.667E+00,-1.481E+00, 3.325E-02, 3.995E-01
 1.775E+00, 1.517E+02, 1.775E+00, 1.478E+02,-1.794E+00,-1.657E+00, 3.325E-02, 2.757E-01
 1.825E+00, 1.530E+02, 1.825E+00, 1.514E+02,-1.966E+00,-1.872E+00,-4.263E-03, 1.642E-01
 1.875E+00, 1.536E+02, 1.875E+00, 1.555E+02,-1.909E+00,-1.859E+00,-4.352E-02, 1.157E-01
 1.925E+00, 1.542E+02, 1.925E+00, 1.546E+02,-9.278E-01,-8.411E-01,-4.352E-02, 3.421E-06
 1.975E+00, 1.550E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 1.556E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 1.563E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 1.571E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 1.586E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 1.602E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 1.625E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 1.652E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 1.656E+02,NaN,NaN,NaN,NaN,NaN,NaN
